,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,黑龙江省,230000,七台河市,230900,-24.8541545868
1,20010102,黑龙江省,230000,七台河市,230900,-23.4477095604
2,20010103,黑龙江省,230000,七台河市,230900,-20.340167284
3,20010104,黑龙江省,230000,七台河市,230900,-17.841397047
4,20010105,黑龙江省,230000,七台河市,230900,-20.1697710752
5,20010106,黑龙江省,230000,七台河市,230900,-21.6552911997
6,20010107,黑龙江省,230000,七台河市,230900,-19.2075529099
7,20010108,黑龙江省,230000,七台河市,230900,-16.5384159684
8,20010109,黑龙江省,230000,七台河市,230900,-18.5373277664
9,20010110,黑龙江省,230000,七台河市,230900,-25.7070682049
10,20010111,黑龙江省,230000,七台河市,230900,-28.3996015787
11,20010112,黑龙江省,230000,七台河市,230900,-27.3081675768
12,20010113,黑龙江省,230000,七台河市,230900,-26.8607858419
13,20010114,黑龙江省,230000,七台河市,230900,-26.441852212
14,20010115,黑龙江省,230000,七台河市,230900,-24.9502506256
15,20010116,黑龙江省,230000,七台河市,230900,-24.5794427395
16,20010117,黑龙江省,230000,七台河市,230900,-23.3194161654
17,20010118,黑龙江省,230000,七台河市,230900,-23.1234358549
18,20010119,黑龙江省,230000,七台河市,230900,-20.7692649364
19,20010120,黑龙江省,230000,七台河市,230900,-20.2121950388
20,20010121,黑龙江省,230000,七台河市,230900,-20.1154830456
21,20010122,黑龙江省,230000,七台河市,230900,-18.9403535128
22,20010123,黑龙江省,230000,七台河市,230900,-17.8189077377
23,20010124,黑龙江省,230000,七台河市,230900,-15.2818134427
24,20010125,黑龙江省,230000,七台河市,230900,-14.731276989
25,20010126,黑龙江省,230000,七台河市,230900,-16.3181765079
26,20010127,黑龙江省,230000,七台河市,230900,-13.2091262341
27,20010128,黑龙江省,230000,七台河市,230900,-15.1485722065
28,20010129,黑龙江省,230000,七台河市,230900,-14.4009299874
29,20010130,黑龙江省,230000,七台河市,230900,-17.0988010168
30,20010131,黑龙江省,230000,七台河市,230900,-13.490265429
31,20010201,黑龙江省,230000,七台河市,230900,-19.6648817062
32,20010202,黑龙江省,230000,七台河市,230900,-23.0837055445
33,20010203,黑龙江省,230000,七台河市,230900,-25.2488367558
34,20010204,黑龙江省,230000,七台河市,230900,-25.43163836
35,20010205,黑龙江省,230000,七台河市,230900,-22.816106081
36,20010206,黑龙江省,230000,七台河市,230900,-23.7994977236
37,20010207,黑龙江省,230000,七台河市,230900,-23.0562008619
38,20010208,黑龙江省,230000,七台河市,230900,-19.5513842106
39,20010209,黑龙江省,230000,七台河市,230900,-18.1774148941
40,20010210,黑龙江省,230000,七台河市,230900,-20.9795138836
41,20010211,黑龙江省,230000,七台河市,230900,-21.5702240467
42,20010212,黑龙江省,230000,七台河市,230900,-20.1548019648
43,20010213,黑龙江省,230000,七台河市,230900,-20.0017305613
44,20010214,黑龙江省,230000,七台河市,230900,-18.9063225985
45,20010215,黑龙江省,230000,七台河市,230900,-17.2957912683
46,20010216,黑龙江省,230000,七台河市,230900,-13.536473155
47,20010217,黑龙江省,230000,七台河市,230900,-6.71574357152
48,20010218,黑龙江省,230000,七台河市,230900,-10.20282197
49,20010219,黑龙江省,230000,七台河市,230900,-9.84515106678
50,20010220,黑龙江省,230000,七台河市,230900,-4.15610706806
51,20010221,黑龙江省,230000,七台河市,230900,-1.45338368416
52,20010222,黑龙江省,230000,七台河市,230900,-6.90764221549
53,20010223,黑龙江省,230000,七台河市,230900,-11.9392461181
54,20010224,黑龙江省,230000,七台河市,230900,-11.6417239308
55,20010225,黑龙江省,230000,七台河市,230900,-12.8582917452
56,20010226,黑龙江省,230000,七台河市,230900,-8.01129668951
57,20010227,黑龙江省,230000,七台河市,230900,-3.53356251121
58,20010228,黑龙江省,230000,七台河市,230900,-6.07640776038
59,20010301,黑龙江省,230000,七台河市,230900,-7.25194194913
60,20010302,黑龙江省,230000,七台河市,230900,-5.31530803442
61,20010303,黑龙江省,230000,七台河市,230900,-4.42105481029
62,20010304,黑龙江省,230000,七台河市,230900,-7.16752061248
