,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,海南省,460000,三亚市,460200,21.1496734619
1,20010102,海南省,460000,三亚市,460200,22.6907858849
2,20010103,海南省,460000,三亚市,460200,23.78175354
3,20010104,海南省,460000,三亚市,460200,23.6213550568
4,20010105,海南省,460000,三亚市,460200,23.6287069321
5,20010106,海南省,460000,三亚市,460200,23.5516982079
6,20010107,海南省,460000,三亚市,460200,23.2445654869
7,20010108,海南省,460000,三亚市,460200,23.5470170975
8,20010109,海南省,460000,三亚市,460200,23.3285503387
9,20010110,海南省,460000,三亚市,460200,22.2058935165
10,20010111,海南省,460000,三亚市,460200,23.5131688118
11,20010112,海南省,460000,三亚市,460200,23.8444771767
12,20010113,海南省,460000,三亚市,460200,22.6765842438
13,20010114,海南省,460000,三亚市,460200,22.8115935326
14,20010115,海南省,460000,三亚市,460200,21.8156943321
15,20010116,海南省,460000,三亚市,460200,21.6335082054
16,20010117,海南省,460000,三亚市,460200,23.0880618095
17,20010118,海南省,460000,三亚市,460200,23.2186741829
18,20010119,海南省,460000,三亚市,460200,23.8852720261
19,20010120,海南省,460000,三亚市,460200,23.2483201027
20,20010121,海南省,460000,三亚市,460200,24.1352705956
21,20010122,海南省,460000,三亚市,460200,24.5109739304
22,20010123,海南省,460000,三亚市,460200,25.1416459084
23,20010124,海南省,460000,三亚市,460200,25.3097949028
24,20010125,海南省,460000,三亚市,460200,25.09187603
25,20010126,海南省,460000,三亚市,460200,22.0774307251
26,20010127,海南省,460000,三亚市,460200,21.4193706512
27,20010128,海南省,460000,三亚市,460200,19.0433754921
28,20010129,海南省,460000,三亚市,460200,20.0090680122
29,20010130,海南省,460000,三亚市,460200,22.3868432045
30,20010131,海南省,460000,三亚市,460200,22.895986557
31,20010201,海南省,460000,三亚市,460200,22.6082043648
32,20010202,海南省,460000,三亚市,460200,22.8215780258
33,20010203,海南省,460000,三亚市,460200,22.2339100838
34,20010204,海南省,460000,三亚市,460200,22.1609463692
35,20010205,海南省,460000,三亚市,460200,23.8653492928
36,20010206,海南省,460000,三亚市,460200,23.7815976143
37,20010207,海南省,460000,三亚市,460200,23.9479203224
38,20010208,海南省,460000,三亚市,460200,22.6693577766
39,20010209,海南省,460000,三亚市,460200,22.6668767929
40,20010210,海南省,460000,三亚市,460200,20.8448901176
41,20010211,海南省,460000,三亚市,460200,22.5055923462
42,20010212,海南省,460000,三亚市,460200,23.3835291862
43,20010213,海南省,460000,三亚市,460200,22.7435083389
44,20010214,海南省,460000,三亚市,460200,19.5746922493
45,20010215,海南省,460000,三亚市,460200,20.6656894684
46,20010216,海南省,460000,三亚市,460200,21.8058524132
47,20010217,海南省,460000,三亚市,460200,22.4866809845
48,20010218,海南省,460000,三亚市,460200,23.4681415558
49,20010219,海南省,460000,三亚市,460200,23.3111577034
50,20010220,海南省,460000,三亚市,460200,23.0949764252
51,20010221,海南省,460000,三亚市,460200,24.4420089722
52,20010222,海南省,460000,三亚市,460200,24.7420639992
53,20010223,海南省,460000,三亚市,460200,24.7083501816
54,20010224,海南省,460000,三亚市,460200,24.8221578598
55,20010225,海南省,460000,三亚市,460200,23.5536208153
56,20010226,海南省,460000,三亚市,460200,24.4103598595
