,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,广东省,440000,东莞市,441900,15.2521309171
1,20010102,广东省,440000,东莞市,441900,18.003868648
2,20010103,广东省,440000,东莞市,441900,18.4588636671
3,20010104,广东省,440000,东莞市,441900,17.8175362178
4,20010105,广东省,440000,东莞市,441900,18.7059380668
5,20010106,广东省,440000,东莞市,441900,18.9874000549
6,20010107,广东省,440000,东莞市,441900,19.5820059095
7,20010108,广东省,440000,东莞市,441900,19.4290880476
8,20010109,广东省,440000,东莞市,441900,14.4719494411
9,20010110,广东省,440000,东莞市,441900,12.5563413075
10,20010111,广东省,440000,东莞市,441900,14.2888466971
11,20010112,广东省,440000,东莞市,441900,16.9625056131
12,20010113,广东省,440000,东莞市,441900,14.7581672668
13,20010114,广东省,440000,东莞市,441900,14.4170942307
14,20010115,广东省,440000,东莞市,441900,12.380352429
15,20010116,广东省,440000,东莞市,441900,14.4645803996
16,20010117,广东省,440000,东莞市,441900,16.6405784062
17,20010118,广东省,440000,东莞市,441900,18.884563991
18,20010119,广东省,440000,东莞市,441900,19.9052870614
19,20010120,广东省,440000,东莞市,441900,20.4848452977
20,20010121,广东省,440000,东莞市,441900,19.66138431
21,20010122,广东省,440000,东莞市,441900,21.3495363508
22,20010123,广东省,440000,东莞市,441900,20.8066267286
23,20010124,广东省,440000,东莞市,441900,20.7096541268
24,20010125,广东省,440000,东莞市,441900,15.5215241568
25,20010126,广东省,440000,东莞市,441900,10.9755155018
26,20010127,广东省,440000,东莞市,441900,9.36000170027
27,20010128,广东省,440000,东莞市,441900,10.7826690674
28,20010129,广东省,440000,东莞市,441900,13.0251738685
29,20010130,广东省,440000,东莞市,441900,15.1522681373
30,20010131,广东省,440000,东莞市,441900,16.3835018703
31,20010201,广东省,440000,东莞市,441900,12.8206956046
32,20010202,广东省,440000,东莞市,441900,10.1986950466
33,20010203,广东省,440000,东莞市,441900,11.911772183
34,20010204,广东省,440000,东莞市,441900,13.2477045059
35,20010205,广东省,440000,东莞市,441900,16.2061926978
36,20010206,广东省,440000,东莞市,441900,19.4738295419
37,20010207,广东省,440000,东莞市,441900,16.1723230907
38,20010208,广东省,440000,东莞市,441900,13.3229032244
39,20010209,广东省,440000,东莞市,441900,13.5823805673
40,20010210,广东省,440000,东莞市,441900,14.2104417256
41,20010211,广东省,440000,东莞市,441900,17.7482027326
42,20010212,广东省,440000,东莞市,441900,19.755872454
43,20010213,广东省,440000,东莞市,441900,14.1742007392
44,20010214,广东省,440000,东莞市,441900,12.4238507407
45,20010215,广东省,440000,东莞市,441900,14.8769332341
46,20010216,广东省,440000,东莞市,441900,16.3816890717
47,20010217,广东省,440000,东莞市,441900,17.3909884862
48,20010218,广东省,440000,东莞市,441900,19.4207049779
49,20010219,广东省,440000,东莞市,441900,20.5233966282
50,20010220,广东省,440000,东莞市,441900,20.5400461469
51,20010221,广东省,440000,东莞市,441900,20.8738406045
52,20010222,广东省,440000,东莞市,441900,21.7483076368
53,20010223,广东省,440000,东莞市,441900,22.1996100289
54,20010224,广东省,440000,东莞市,441900,19.1660191672
55,20010225,广东省,440000,东莞市,441900,11.4692814691
56,20010226,广东省,440000,东莞市,441900,13.88788414
57,20010227,广东省,440000,东莞市,441900,17.2456479754
58,20010228,广东省,440000,东莞市,441900,15.5368362154
59,20010301,广东省,440000,东莞市,441900,16.9439264025
60,20010302,广东省,440000,东莞市,441900,18.942697525
61,20010303,广东省,440000,东莞市,441900,18.5723866054
62,20010304,广东省,440000,东莞市,441900,18.5634547642
63,20010305,广东省,440000,东莞市,441900,20.1689834595
64,20010306,广东省,440000,东莞市,441900,21.5585417066
65,20010307,广东省,440000,东莞市,441900,19.5938148499
66,20010308,广东省,440000,东莞市,441900,14.4103540693
67,20010309,广东省,440000,东莞市,441900,16.4150582722
68,20010310,广东省,440000,东莞市,441900,15.8175920759
69,20010311,广东省,440000,东莞市,441900,16.3932072776
70,20010312,广东省,440000,东莞市,441900,17.6268885476
71,20010313,广东省,440000,东莞市,441900,19.5330810547
72,20010314,广东省,440000,东莞市,441900,21.0672206879
73,20010315,广东省,440000,东莞市,441900,22.9436735426
74,20010316,广东省,440000,东莞市,441900,23.016557421
75,20010317,广东省,440000,东莞市,441900,23.1104894366
76,20010318,广东省,440000,东莞市,441900,22.2368226733
77,20010319,广东省,440000,东莞市,441900,22.7425597055
78,20010320,广东省,440000,东莞市,441900,21.5638182504
79,20010321,广东省,440000,东莞市,441900,22.2199453626
80,20010322,广东省,440000,东莞市,441900,23.6414833069
81,20010323,广东省,440000,东莞市,441900,24.7153753553
82,20010324,广东省,440000,东莞市,441900,25.8260470799
83,20010325,广东省,440000,东莞市,441900,21.1858801161
84,20010326,广东省,440000,东莞市,441900,20.2007015773
85,20010327,广东省,440000,东莞市,441900,19.13508061
86,20010328,广东省,440000,东莞市,441900,20.3999107906
87,20010329,广东省,440000,东莞市,441900,18.6085003444
88,20010330,广东省,440000,东莞市,441900,20.9199551174
89,20010331,广东省,440000,东莞市,441900,22.3632450104
90,20010401,广东省,440000,东莞市,441900,21.4387727465
91,20010402,广东省,440000,东莞市,441900,23.0930927822
92,20010403,广东省,440000,东莞市,441900,24.2963109698
93,20010404,广东省,440000,东莞市,441900,20.0364892142
94,20010405,广东省,440000,东莞市,441900,21.3181860788
95,20010406,广东省,440000,东莞市,441900,20.4618562971
96,20010407,广东省,440000,东莞市,441900,22.1933506557
97,20010408,广东省,440000,东莞市,441900,24.7618985857
98,20010409,广东省,440000,东莞市,441900,24.1066657475
99,20010410,广东省,440000,东莞市,441900,21.7715802874
100,20010411,广东省,440000,东莞市,441900,14.5905298506
101,20010412,广东省,440000,东莞市,441900,18.0369998387
102,20010413,广东省,440000,东莞市,441900,19.5487902505
103,20010414,广东省,440000,东莞市,441900,20.0052855355
104,20010415,广东省,440000,东莞市,441900,22.6273790087
105,20010416,广东省,440000,东莞市,441900,23.2570590973
106,20010417,广东省,440000,东莞市,441900,23.9286635263
107,20010418,广东省,440000,东莞市,441900,23.7199737004
108,20010419,广东省,440000,东莞市,441900,25.0819906507
109,20010420,广东省,440000,东莞市,441900,26.3858536312
110,20010421,广东省,440000,东莞市,441900,22.7776478359
111,20010422,广东省,440000,东莞市,441900,19.1343198504
112,20010423,广东省,440000,东莞市,441900,21.3970244271
113,20010424,广东省,440000,东莞市,441900,21.4153693063
114,20010425,广东省,440000,东莞市,441900,19.2826341902
115,20010426,广东省,440000,东莞市,441900,22.2319932665
116,20010427,广东省,440000,东莞市,441900,24.2911330632
117,20010428,广东省,440000,东莞市,441900,26.6628889356
118,20010429,广东省,440000,东莞市,441900,27.5175552368
119,20010430,广东省,440000,东莞市,441900,27.6340808868
120,20010501,广东省,440000,东莞市,441900,24.5265036992
121,20010502,广东省,440000,东莞市,441900,24.8849179404
122,20010503,广东省,440000,东莞市,441900,24.3390486581
123,20010504,广东省,440000,东莞市,441900,25.3381829943
124,20010505,广东省,440000,东莞市,441900,27.4363525936
125,20010506,广东省,440000,东莞市,441900,28.5425458636
126,20010507,广东省,440000,东莞市,441900,28.4225858961
127,20010508,广东省,440000,东莞市,441900,27.0732522692
128,20010509,广东省,440000,东莞市,441900,24.7881167276
129,20010510,广东省,440000,东莞市,441900,23.9586140769
130,20010511,广东省,440000,东莞市,441900,25.3501311711
131,20010512,广东省,440000,东莞市,441900,26.614030838
132,20010513,广东省,440000,东莞市,441900,27.5667795454
133,20010514,广东省,440000,东莞市,441900,27.5772925786
134,20010515,广东省,440000,东莞市,441900,27.8532859257
135,20010516,广东省,440000,东莞市,441900,26.0390112741
136,20010517,广东省,440000,东莞市,441900,26.3893127441
137,20010518,广东省,440000,东莞市,441900,26.1059420449
138,20010519,广东省,440000,东莞市,441900,27.1698567527
139,20010520,广东省,440000,东莞市,441900,29.0250268664
140,20010521,广东省,440000,东莞市,441900,26.5006185259
141,20010522,广东省,440000,东莞市,441900,27.1679461343
142,20010523,广东省,440000,东莞市,441900,28.4130409786
143,20010524,广东省,440000,东莞市,441900,28.2032410758
144,20010525,广东省,440000,东莞市,441900,28.0595166343
145,20010526,广东省,440000,东莞市,441900,28.5929933275
146,20010527,广东省,440000,东莞市,441900,28.7875932966
147,20010528,广东省,440000,东莞市,441900,27.7396973201
148,20010529,广东省,440000,东莞市,441900,27.3546409607
149,20010530,广东省,440000,东莞市,441900,25.9220428467
150,20010531,广东省,440000,东莞市,441900,27.2340382167
151,20010601,广东省,440000,东莞市,441900,26.3516240801
152,20010602,广东省,440000,东莞市,441900,26.0095664433
153,20010603,广东省,440000,东莞市,441900,27.0954960414
154,20010604,广东省,440000,东莞市,441900,27.5523259299
155,20010605,广东省,440000,东莞市,441900,26.2081094469
156,20010606,广东省,440000,东莞市,441900,26.3543009077
157,20010607,广东省,440000,东莞市,441900,25.0727871486
158,20010608,广东省,440000,东莞市,441900,25.7764876229
159,20010609,广东省,440000,东莞市,441900,25.9205183302
160,20010610,广东省,440000,东莞市,441900,26.7001596178
161,20010611,广东省,440000,东莞市,441900,25.7633612497
162,20010612,广东省,440000,东莞市,441900,27.0038539342
163,20010613,广东省,440000,东莞市,441900,25.7761334011
164,20010614,广东省,440000,东莞市,441900,26.7305736542
165,20010615,广东省,440000,东莞市,441900,28.1446721213
166,20010616,广东省,440000,东莞市,441900,28.2847039359
167,20010617,广东省,440000,东莞市,441900,29.0391554151
168,20010618,广东省,440000,东莞市,441900,29.1067954472
169,20010619,广东省,440000,东莞市,441900,29.5004877363
170,20010620,广东省,440000,东莞市,441900,29.5356826782
171,20010621,广东省,440000,东莞市,441900,29.2947507586
172,20010622,广东省,440000,东莞市,441900,30.0092830658
173,20010623,广东省,440000,东莞市,441900,30.1071592058
174,20010624,广东省,440000,东莞市,441900,28.378508704
175,20010625,广东省,440000,东莞市,441900,26.8597918919
176,20010626,广东省,440000,东莞市,441900,26.5410940988
177,20010627,广东省,440000,东莞市,441900,25.3584365845
178,20010628,广东省,440000,东莞市,441900,28.6774654388
179,20010629,广东省,440000,东莞市,441900,29.1846038273
180,20010630,广东省,440000,东莞市,441900,28.4014947074
181,20010701,广东省,440000,东莞市,441900,27.3579940796
182,20010702,广东省,440000,东莞市,441900,27.2234965733
183,20010703,广东省,440000,东莞市,441900,27.6301471165
184,20010704,广东省,440000,东莞市,441900,31.0464864458
185,20010705,广东省,440000,东莞市,441900,30.0552289145
186,20010706,广东省,440000,东莞市,441900,26.5347900391
187,20010707,广东省,440000,东莞市,441900,28.1854566847
188,20010708,广东省,440000,东莞市,441900,28.7505209787
189,20010709,广东省,440000,东莞市,441900,29.3799163273
190,20010710,广东省,440000,东莞市,441900,29.539988654
191,20010711,广东省,440000,东莞市,441900,29.9562500545
192,20010712,广东省,440000,东莞市,441900,29.0297936031
193,20010713,广东省,440000,东莞市,441900,27.242194312
194,20010714,广东省,440000,东莞市,441900,28.2280832018
