,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,山西省,140000,临汾市,141000,-0.397366300151
1,20010102,山西省,140000,临汾市,141000,-0.13810120007
2,20010103,山西省,140000,临汾市,141000,-1.93903246433
3,20010104,山西省,140000,临汾市,141000,-2.52993866444
4,20010105,山西省,140000,临汾市,141000,-1.61195791841
5,20010106,山西省,140000,临汾市,141000,-2.06366810918
6,20010107,山西省,140000,临汾市,141000,-1.745792256
7,20010108,山西省,140000,临汾市,141000,-3.71827498436
8,20010109,山西省,140000,临汾市,141000,-4.6321807766
9,20010110,山西省,140000,临汾市,141000,-2.66991271496
10,20010111,山西省,140000,临汾市,141000,-2.3981829381
11,20010112,山西省,140000,临汾市,141000,-1.17272462428
12,20010113,山西省,140000,临汾市,141000,-5.25904741287
13,20010114,山西省,140000,临汾市,141000,-7.67040202141
14,20010115,山西省,140000,临汾市,141000,-6.36685102463
15,20010116,山西省,140000,临汾市,141000,-4.94229355812
16,20010117,山西省,140000,临汾市,141000,-2.05656386964
17,20010118,山西省,140000,临汾市,141000,-1.67510022521
18,20010119,山西省,140000,临汾市,141000,-2.05976360559
19,20010120,山西省,140000,临汾市,141000,-0.541026765592
20,20010121,山西省,140000,临汾市,141000,-1.37270880517
21,20010122,山西省,140000,临汾市,141000,-1.86998158932
22,20010123,山西省,140000,临汾市,141000,-3.67046659946
23,20010124,山西省,140000,临汾市,141000,-2.40225877047
24,20010125,山西省,140000,临汾市,141000,-4.37036275387
25,20010126,山西省,140000,临汾市,141000,-3.41493981838
26,20010127,山西省,140000,临汾市,141000,-3.16526413202
27,20010128,山西省,140000,临汾市,141000,-5.41841814995
28,20010129,山西省,140000,临汾市,141000,-2.86178324223
29,20010130,山西省,140000,临汾市,141000,-0.0884586611018
30,20010131,山西省,140000,临汾市,141000,-1.35718450844
31,20010201,山西省,140000,临汾市,141000,-1.72252598286
32,20010202,山西省,140000,临汾市,141000,0.259066260457
33,20010203,山西省,140000,临汾市,141000,0.645232969383
34,20010204,山西省,140000,临汾市,141000,0.434053342938
35,20010205,山西省,140000,临汾市,141000,-0.302083024718
36,20010206,山西省,140000,临汾市,141000,-2.13220432758
37,20010207,山西省,140000,临汾市,141000,-3.88680158138
38,20010208,山西省,140000,临汾市,141000,-0.895253921375
39,20010209,山西省,140000,临汾市,141000,0.372877495177
40,20010210,山西省,140000,临汾市,141000,0.459203879014
41,20010211,山西省,140000,临汾市,141000,-2.63243994713
42,20010212,山西省,140000,临汾市,141000,-1.9773951602
43,20010213,山西省,140000,临汾市,141000,-0.512953879759
44,20010214,山西省,140000,临汾市,141000,3.33683690548
45,20010215,山西省,140000,临汾市,141000,0.499310495257
46,20010216,山西省,140000,临汾市,141000,1.74598793745
47,20010217,山西省,140000,临汾市,141000,3.89219745159
48,20010218,山西省,140000,临汾市,141000,6.53859479904
49,20010219,山西省,140000,临汾市,141000,6.64771789551
50,20010220,山西省,140000,临汾市,141000,5.55101976395
51,20010221,山西省,140000,临汾市,141000,6.6672693634
52,20010222,山西省,140000,临汾市,141000,6.7121172142
53,20010223,山西省,140000,临汾市,141000,1.816248523
54,20010224,山西省,140000,临汾市,141000,-0.549926070292
55,20010225,山西省,140000,临汾市,141000,1.91010812283
56,20010226,山西省,140000,临汾市,141000,0.928425606191
57,20010227,山西省,140000,临汾市,141000,4.11394735336
58,20010228,山西省,140000,临汾市,141000,6.36067538261
59,20010301,山西省,140000,临汾市,141000,9.5825140667
60,20010302,山西省,140000,临汾市,141000,6.8388962841
61,20010303,山西省,140000,临汾市,141000,2.82425129056
62,20010304,山西省,140000,临汾市,141000,6.72124526024
63,20010305,山西省,140000,临汾市,141000,7.56660632133
64,20010306,山西省,140000,临汾市,141000,1.10352287412
65,20010307,山西省,140000,临汾市,141000,-0.983653468974
66,20010308,山西省,140000,临汾市,141000,-0.0294652869087
67,20010309,山西省,140000,临汾市,141000,5.76139166832
68,20010310,山西省,140000,临汾市,141000,6.78001857758
69,20010311,山西省,140000,临汾市,141000,7.71485416412
70,20010312,山西省,140000,临汾市,141000,10.878716259
71,20010313,山西省,140000,临汾市,141000,13.3195814896
72,20010314,山西省,140000,临汾市,141000,8.07567378998
73,20010315,山西省,140000,临汾市,141000,5.14938662529
74,20010316,山西省,140000,临汾市,141000,3.29995176315
75,20010317,山西省,140000,临汾市,141000,7.7402877903
76,20010318,山西省,140000,临汾市,141000,9.38811005592
77,20010319,山西省,140000,临汾市,141000,12.3151131439
78,20010320,山西省,140000,临汾市,141000,12.2600819969
79,20010321,山西省,140000,临汾市,141000,14.4066939545
80,20010322,山西省,140000,临汾市,141000,9.91754013062
81,20010323,山西省,140000,临汾市,141000,12.8100430298
82,20010324,山西省,140000,临汾市,141000,13.8821970558
83,20010325,山西省,140000,临汾市,141000,10.8135985184
84,20010326,山西省,140000,临汾市,141000,8.56337285042
85,20010327,山西省,140000,临汾市,141000,2.46508655787
86,20010328,山西省,140000,临汾市,141000,4.26830031395
87,20010329,山西省,140000,临汾市,141000,10.7016706657
88,20010330,山西省,140000,临汾市,141000,10.0534010887
89,20010331,山西省,140000,临汾市,141000,9.6712358284
90,20010401,山西省,140000,临汾市,141000,13.9548051834
91,20010402,山西省,140000,临汾市,141000,15.9605338669
92,20010403,山西省,140000,临汾市,141000,12.6411723328
93,20010404,山西省,140000,临汾市,141000,13.6927969933
94,20010405,山西省,140000,临汾市,141000,10.0861782455
95,20010406,山西省,140000,临汾市,141000,10.8978703117
96,20010407,山西省,140000,临汾市,141000,14.7812731171
97,20010408,山西省,140000,临汾市,141000,15.6626546478
98,20010409,山西省,140000,临汾市,141000,2.86747254133
99,20010410,山西省,140000,临汾市,141000,4.36621183395
100,20010411,山西省,140000,临汾市,141000,7.41281725883
101,20010412,山西省,140000,临汾市,141000,12.1420543861
102,20010413,山西省,140000,临汾市,141000,10.7542586136
103,20010414,山西省,140000,临汾市,141000,11.6768066978
104,20010415,山西省,140000,临汾市,141000,15.3301184464
105,20010416,山西省,140000,临汾市,141000,17.3377820206
106,20010417,山西省,140000,临汾市,141000,19.3890055466
107,20010418,山西省,140000,临汾市,141000,20.8560580444
108,20010419,山西省,140000,临汾市,141000,16.7199864388
109,20010420,山西省,140000,临汾市,141000,9.70334281921
110,20010421,山西省,140000,临汾市,141000,10.7309638596
111,20010422,山西省,140000,临汾市,141000,13.9397717476
112,20010423,山西省,140000,临汾市,141000,8.33137525558
113,20010424,山西省,140000,临汾市,141000,10.5592137146
114,20010425,山西省,140000,临汾市,141000,11.7821327209
115,20010426,山西省,140000,临汾市,141000,15.2019521713
116,20010427,山西省,140000,临汾市,141000,17.2506560516
117,20010428,山西省,140000,临汾市,141000,16.1583193398
118,20010429,山西省,140000,临汾市,141000,14.8719795036
119,20010430,山西省,140000,临汾市,141000,14.7608614731
120,20010501,山西省,140000,临汾市,141000,18.5471835327
121,20010502,山西省,140000,临汾市,141000,17.5951205063
122,20010503,山西省,140000,临汾市,141000,17.6476379395
123,20010504,山西省,140000,临汾市,141000,17.5743200684
124,20010505,山西省,140000,临汾市,141000,20.0164536285
125,20010506,山西省,140000,临汾市,141000,19.9386132431
126,20010507,山西省,140000,临汾市,141000,19.1589057159
127,20010508,山西省,140000,临汾市,141000,18.117879982
128,20010509,山西省,140000,临汾市,141000,18.8378297806
129,20010510,山西省,140000,临汾市,141000,20.5805122757
130,20010511,山西省,140000,临汾市,141000,20.8349229813
131,20010512,山西省,140000,临汾市,141000,20.0872674942
132,20010513,山西省,140000,临汾市,141000,24.1324765396
133,20010514,山西省,140000,临汾市,141000,20.0706102753
134,20010515,山西省,140000,临汾市,141000,19.5571874237
135,20010516,山西省,140000,临汾市,141000,17.6462470245
136,20010517,山西省,140000,临汾市,141000,20.6656491089
137,20010518,山西省,140000,临汾市,141000,22.5502438736
138,20010519,山西省,140000,临汾市,141000,24.1018090057
139,20010520,山西省,140000,临汾市,141000,24.6877994537
140,20010521,山西省,140000,临汾市,141000,24.4393938828
141,20010522,山西省,140000,临汾市,141000,25.6223022461
142,20010523,山西省,140000,临汾市,141000,24.5365181351
143,20010524,山西省,140000,临汾市,141000,18.0545669174
144,20010525,山西省,140000,临汾市,141000,20.8717619324
145,20010526,山西省,140000,临汾市,141000,21.3430363846
146,20010527,山西省,140000,临汾市,141000,21.6550264359
147,20010528,山西省,140000,临汾市,141000,23.7703710556
148,20010529,山西省,140000,临汾市,141000,22.1431111526
149,20010530,山西省,140000,临汾市,141000,17.9056936646
150,20010531,山西省,140000,临汾市,141000,20.4129551315
151,20010601,山西省,140000,临汾市,141000,22.8768590164
152,20010602,山西省,140000,临汾市,141000,23.8768793869
153,20010603,山西省,140000,临汾市,141000,24.7810832977
154,20010604,山西省,140000,临汾市,141000,23.2914505386
155,20010605,山西省,140000,临汾市,141000,25.1232981873
156,20010606,山西省,140000,临汾市,141000,27.3550925064
157,20010607,山西省,140000,临汾市,141000,25.5744589615
158,20010608,山西省,140000,临汾市,141000,24.3481116867
159,20010609,山西省,140000,临汾市,141000,20.3783360291
160,20010610,山西省,140000,临汾市,141000,23.5415649033
161,20010611,山西省,140000,临汾市,141000,22.7359389114
162,20010612,山西省,140000,临汾市,141000,20.4707483292
163,20010613,山西省,140000,临汾市,141000,23.2783403778
164,20010614,山西省,140000,临汾市,141000,24.1400839996
165,20010615,山西省,140000,临汾市,141000,23.4063605881
166,20010616,山西省,140000,临汾市,141000,24.1285622025
167,20010617,山西省,140000,临汾市,141000,24.5090019989
168,20010618,山西省,140000,临汾市,141000,24.6265932083
169,20010619,山西省,140000,临汾市,141000,25.7480314636
170,20010620,山西省,140000,临汾市,141000,25.057947464
171,20010621,山西省,140000,临汾市,141000,24.4021108627
172,20010622,山西省,140000,临汾市,141000,23.0347968292
173,20010623,山西省,140000,临汾市,141000,23.6583536911
174,20010624,山西省,140000,临汾市,141000,23.0378965759
175,20010625,山西省,140000,临汾市,141000,24.5639876175
176,20010626,山西省,140000,临汾市,141000,27.7939873505
177,20010627,山西省,140000,临汾市,141000,30.1714640045
178,20010628,山西省,140000,临汾市,141000,23.9358662796
179,20010629,山西省,140000,临汾市,141000,24.5052798843
180,20010630,山西省,140000,临汾市,141000,28.6418630219
181,20010701,山西省,140000,临汾市,141000,30.0664699554
182,20010702,山西省,140000,临汾市,141000,26.8547753525
183,20010703,山西省,140000,临汾市,141000,22.3856306839
184,20010704,山西省,140000,临汾市,141000,27.5703262329
185,20010705,山西省,140000,临汾市,141000,29.6021427155
186,20010706,山西省,140000,临汾市,141000,27.891843605
187,20010707,山西省,140000,临汾市,141000,28.2490557861
188,20010708,山西省,140000,临汾市,141000,30.2886106491
189,20010709,山西省,140000,临汾市,141000,27.3029035568
190,20010710,山西省,140000,临汾市,141000,24.0709497452
191,20010711,山西省,140000,临汾市,141000,25.1371088028
192,20010712,山西省,140000,临汾市,141000,28.1320061111
193,20010713,山西省,140000,临汾市,141000,27.4845158005
194,20010714,山西省,140000,临汾市,141000,27.4698973465
195,20010715,山西省,140000,临汾市,141000,28.0964695358
196,20010716,山西省,140000,临汾市,141000,28.2591418457
197,20010717,山西省,140000,临汾市,141000,27.7761797333
198,20010718,山西省,140000,临汾市,141000,28.0073108673
199,20010719,山西省,140000,临汾市,141000,27.3434257507
200,20010720,山西省,140000,临汾市,141000,22.7331046677
201,20010721,山西省,140000,临汾市,141000,24.3729659653
202,20010722,山西省,140000,临汾市,141000,26.7684220123
203,20010723,山西省,140000,临汾市,141000,26.8933944702
204,20010724,山西省,140000,临汾市,141000,24.0487581253
205,20010725,山西省,140000,临汾市,141000,26.2960975266
206,20010726,山西省,140000,临汾市,141000,24.0083187485
207,20010727,山西省,140000,临汾市,141000,19.8259309387
208,20010728,山西省,140000,临汾市,141000,23.800761795
209,20010729,山西省,140000,临汾市,141000,22.1003291702
210,20010730,山西省,140000,临汾市,141000,22.657137413
211,20010731,山西省,140000,临汾市,141000,24.0512083817
212,20010801,山西省,140000,临汾市,141000,24.4526008224
213,20010802,山西省,140000,临汾市,141000,23.4815277481
214,20010803,山西省,140000,临汾市,141000,24.2187813187
215,20010804,山西省,140000,临汾市,141000,25.5374830246
216,20010805,山西省,140000,临汾市,141000,26.9766810226
217,20010806,山西省,140000,临汾市,141000,27.0182903671
218,20010807,山西省,140000,临汾市,141000,26.0121443176
219,20010808,山西省,140000,临汾市,141000,24.4979040527
220,20010809,山西省,140000,临汾市,141000,23.4528957748
221,20010810,山西省,140000,临汾市,141000,22.7491291809
222,20010811,山西省,140000,临汾市,141000,21.7496067429
223,20010812,山西省,140000,临汾市,141000,23.1300247192
224,20010813,山西省,140000,临汾市,141000,23.0406718063
225,20010814,山西省,140000,临汾市,141000,22.2435646057
226,20010815,山西省,140000,临汾市,141000,22.4900016785
227,20010816,山西省,140000,临汾市,141000,21.7996604156
228,20010817,山西省,140000,临汾市,141000,23.5122523499
229,20010818,山西省,140000,临汾市,141000,22.6251163483
230,20010819,山西省,140000,临汾市,141000,19.5520342636
231,20010820,山西省,140000,临汾市,141000,22.0850497055
232,20010821,山西省,140000,临汾市,141000,23.7772974777
233,20010822,山西省,140000,临汾市,141000,24.3407211685
234,20010823,山西省,140000,临汾市,141000,24.7485845184
235,20010824,山西省,140000,临汾市,141000,23.8008453369
236,20010825,山西省,140000,临汾市,141000,23.5467980957
237,20010826,山西省,140000,临汾市,141000,21.8848653412
238,20010827,山西省,140000,临汾市,141000,19.9984824371
239,20010828,山西省,140000,临汾市,141000,18.2467094803
240,20010829,山西省,140000,临汾市,141000,19.5735622025
241,20010830,山西省,140000,临汾市,141000,19.6765908813
242,20010831,山西省,140000,临汾市,141000,20.3314040375
243,20010901,山西省,140000,临汾市,141000,21.1514985275
244,20010902,山西省,140000,临汾市,141000,21.9135478592
245,20010903,山西省,140000,临汾市,141000,19.8405516815
246,20010904,山西省,140000,临汾市,141000,20.866016655
247,20010905,山西省,140000,临汾市,141000,22.2544665909
248,20010906,山西省,140000,临汾市,141000,22.5468452835
249,20010907,山西省,140000,临汾市,141000,17.0834601212
250,20010908,山西省,140000,临汾市,141000,17.6565202713
251,20010909,山西省,140000,临汾市,141000,18.7428382111
252,20010910,山西省,140000,临汾市,141000,19.5383965302
253,20010911,山西省,140000,临汾市,141000,19.6617645264
254,20010912,山西省,140000,临汾市,141000,19.9764735794
255,20010913,山西省,140000,临汾市,141000,21.0512094879
256,20010914,山西省,140000,临汾市,141000,21.9584103775
257,20010915,山西省,140000,临汾市,141000,21.2592689896
258,20010916,山西省,140000,临汾市,141000,20.5712247086
259,20010917,山西省,140000,临汾市,141000,17.4294163513
260,20010918,山西省,140000,临汾市,141000,15.2867893028
261,20010919,山西省,140000,临汾市,141000,11.1741708946
262,20010920,山西省,140000,临汾市,141000,12.9146451378
263,20010921,山西省,140000,临汾市,141000,12.7839531517
264,20010922,山西省,140000,临汾市,141000,14.0076880455
265,20010923,山西省,140000,临汾市,141000,16.2036216736
266,20010924,山西省,140000,临汾市,141000,17.3166021919
267,20010925,山西省,140000,临汾市,141000,16.7241581345
268,20010926,山西省,140000,临汾市,141000,15.7230998039
269,20010927,山西省,140000,临汾市,141000,17.7845321655
270,20010928,山西省,140000,临汾市,141000,15.2026887703
271,20010929,山西省,140000,临汾市,141000,12.8732801056
272,20010930,山西省,140000,临汾市,141000,14.708503437
273,20011001,山西省,140000,临汾市,141000,15.9351748085
274,20011002,山西省,140000,临汾市,141000,13.8342466164
275,20011003,山西省,140000,临汾市,141000,10.9916594887
276,20011004,山西省,140000,临汾市,141000,12.6797037125
277,20011005,山西省,140000,临汾市,141000,14.3623881721
278,20011006,山西省,140000,临汾市,141000,13.3877767944
279,20011007,山西省,140000,临汾市,141000,13.2872808266
280,20011008,山西省,140000,临汾市,141000,12.19868433
281,20011009,山西省,140000,临汾市,141000,12.6460528374
282,20011010,山西省,140000,临汾市,141000,13.6976644325
283,20011011,山西省,140000,临汾市,141000,14.3766383934
284,20011012,山西省,140000,临汾市,141000,12.0050024223
285,20011013,山西省,140000,临汾市,141000,12.7987164116
286,20011014,山西省,140000,临汾市,141000,11.1462400818
287,20011015,山西省,140000,临汾市,141000,13.4964572906
288,20011016,山西省,140000,临汾市,141000,13.0893574333
289,20011017,山西省,140000,临汾市,141000,12.5865636063
290,20011018,山西省,140000,临汾市,141000,13.7398520851
291,20011019,山西省,140000,临汾市,141000,12.3432764435
292,20011020,山西省,140000,临汾市,141000,12.7592294502
293,20011021,山西省,140000,临汾市,141000,13.1057091522
294,20011022,山西省,140000,临汾市,141000,14.0775370789
295,20011023,山西省,140000,临汾市,141000,14.676063118
296,20011024,山西省,140000,临汾市,141000,14.2994358635
297,20011025,山西省,140000,临汾市,141000,13.3056936455
298,20011026,山西省,140000,临汾市,141000,13.7354932022
299,20011027,山西省,140000,临汾市,141000,13.0790719604
300,20011028,山西省,140000,临汾市,141000,10.649038868
301,20011029,山西省,140000,临汾市,141000,10.6204768181
302,20011030,山西省,140000,临汾市,141000,11.9128098297
303,20011031,山西省,140000,临汾市,141000,10.6022155952
304,20011101,山西省,140000,临汾市,141000,8.54135521889
305,20011102,山西省,140000,临汾市,141000,7.5393002224
306,20011103,山西省,140000,临汾市,141000,8.50830920219
307,20011104,山西省,140000,临汾市,141000,8.42294713974
308,20011105,山西省,140000,临汾市,141000,5.07042488098
309,20011106,山西省,140000,临汾市,141000,5.37552517414
310,20011107,山西省,140000,临汾市,141000,6.5981315136
311,20011108,山西省,140000,临汾市,141000,6.87099682808
312,20011109,山西省,140000,临汾市,141000,5.46210418701
313,20011110,山西省,140000,临汾市,141000,6.21093050003
314,20011111,山西省,140000,临汾市,141000,6.6926577282
315,20011112,山西省,140000,临汾市,141000,6.24494659424
316,20011113,山西省,140000,临汾市,141000,3.53887866974
317,20011114,山西省,140000,临汾市,141000,4.40617259979
318,20011115,山西省,140000,临汾市,141000,3.32345428705
319,20011116,山西省,140000,临汾市,141000,4.08005374908
320,20011117,山西省,140000,临汾市,141000,4.06131892204
321,20011118,山西省,140000,临汾市,141000,4.87581364155
322,20011119,山西省,140000,临汾市,141000,5.22025064945
323,20011120,山西省,140000,临汾市,141000,5.0681016922
324,20011121,山西省,140000,临汾市,141000,5.18775920391
325,20011122,山西省,140000,临汾市,141000,5.30731413364
326,20011123,山西省,140000,临汾市,141000,7.32777621269
327,20011124,山西省,140000,临汾市,141000,6.50121664047
328,20011125,山西省,140000,临汾市,141000,-0.725935105779
329,20011126,山西省,140000,临汾市,141000,-1.25394792238
330,20011127,山西省,140000,临汾市,141000,1.79851132214
331,20011128,山西省,140000,临汾市,141000,3.95265725136
332,20011129,山西省,140000,临汾市,141000,3.64308008909
333,20011130,山西省,140000,临汾市,141000,2.68565766573
334,20011201,山西省,140000,临汾市,141000,2.38111682028
335,20011202,山西省,140000,临汾市,141000,0.249940691926
336,20011203,山西省,140000,临汾市,141000,0.985033763051
337,20011204,山西省,140000,临汾市,141000,-1.84505716205
338,20011205,山西省,140000,临汾市,141000,-3.66525156498
339,20011206,山西省,140000,临汾市,141000,-2.91712852001
340,20011207,山西省,140000,临汾市,141000,-2.71351657391
341,20011208,山西省,140000,临汾市,141000,-1.46082338035
342,20011209,山西省,140000,临汾市,141000,-0.940433847904
343,20011210,山西省,140000,临汾市,141000,-1.62350281358
344,20011211,山西省,140000,临汾市,141000,-1.73420087099
345,20011212,山西省,140000,临汾市,141000,-5.93292664051
346,20011213,山西省,140000,临汾市,141000,-7.57322532654
347,20011214,山西省,140000,临汾市,141000,-5.09124786377
348,20011215,山西省,140000,临汾市,141000,-3.32166140079
349,20011216,山西省,140000,临汾市,141000,-2.24887671351
350,20011217,山西省,140000,临汾市,141000,-2.25716242313
351,20011218,山西省,140000,临汾市,141000,-2.08193552494
352,20011219,山西省,140000,临汾市,141000,-2.25452302456
353,20011220,山西省,140000,临汾市,141000,-6.6676578331
354,20011221,山西省,140000,临汾市,141000,-5.62668522835
355,20011222,山西省,140000,临汾市,141000,-4.37522546768
356,20011223,山西省,140000,临汾市,141000,-3.58502152443
357,20011224,山西省,140000,临汾市,141000,-6.38614403725
358,20011225,山西省,140000,临汾市,141000,-6.16682594299
359,20011226,山西省,140000,临汾市,141000,-4.73588871002
