,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,云南省,530000,临沧市,530900,13.2133674809
1,20010102,云南省,530000,临沧市,530900,13.6268657797
2,20010103,云南省,530000,临沧市,530900,13.6134771272
3,20010104,云南省,530000,临沧市,530900,13.9500939238
4,20010105,云南省,530000,临沧市,530900,13.2518775416
5,20010106,云南省,530000,临沧市,530900,12.3812548693
6,20010107,云南省,530000,临沧市,530900,11.5658398797
7,20010108,云南省,530000,临沧市,530900,10.8728204802
8,20010109,云南省,530000,临沧市,530900,10.5982770546
9,20010110,云南省,530000,临沧市,530900,9.53988396888
10,20010111,云南省,530000,临沧市,530900,10.4374342339
11,20010112,云南省,530000,临沧市,530900,9.74538496429
12,20010113,云南省,530000,临沧市,530900,11.8431946624
13,20010114,云南省,530000,临沧市,530900,11.738747765
14,20010115,云南省,530000,临沧市,530900,11.4452900232
15,20010116,云南省,530000,临沧市,530900,12.6251715866
16,20010117,云南省,530000,临沧市,530900,14.435487635
17,20010118,云南省,530000,临沧市,530900,12.3426912532
18,20010119,云南省,530000,临沧市,530900,13.1579959159
19,20010120,云南省,530000,临沧市,530900,13.0899224375
20,20010121,云南省,530000,临沧市,530900,13.1225472432
21,20010122,云南省,530000,临沧市,530900,12.5066651363
22,20010123,云南省,530000,临沧市,530900,14.0534117082
23,20010124,云南省,530000,临沧市,530900,15.098917344
24,20010125,云南省,530000,临沧市,530900,13.6259923262
25,20010126,云南省,530000,临沧市,530900,11.7659404605
26,20010127,云南省,530000,临沧市,530900,11.9536193025
27,20010128,云南省,530000,临沧市,530900,11.9035640604
28,20010129,云南省,530000,临沧市,530900,12.3186618394
29,20010130,云南省,530000,临沧市,530900,13.06726293
30,20010131,云南省,530000,临沧市,530900,13.9719215281
31,20010201,云南省,530000,临沧市,530900,15.0562795751
32,20010202,云南省,530000,临沧市,530900,16.0925251269
33,20010203,云南省,530000,临沧市,530900,16.1469784531
34,20010204,云南省,530000,临沧市,530900,15.6627646802
35,20010205,云南省,530000,临沧市,530900,14.9134046143
36,20010206,云南省,530000,临沧市,530900,14.797487315
37,20010207,云南省,530000,临沧市,530900,14.35799163
38,20010208,云南省,530000,临沧市,530900,14.8187097475
39,20010209,云南省,530000,临沧市,530900,14.3142963484
40,20010210,云南省,530000,临沧市,530900,14.3482817295
41,20010211,云南省,530000,临沧市,530900,14.1260496214
42,20010212,云南省,530000,临沧市,530900,14.3142779855
43,20010213,云南省,530000,临沧市,530900,14.6245639277
44,20010214,云南省,530000,临沧市,530900,15.0893293456
45,20010215,云南省,530000,临沧市,530900,15.9690837673
46,20010216,云南省,530000,临沧市,530900,15.302212416
47,20010217,云南省,530000,临沧市,530900,15.1632891636
48,20010218,云南省,530000,临沧市,530900,16.2725095188
49,20010219,云南省,530000,临沧市,530900,16.2748598585
50,20010220,云南省,530000,临沧市,530900,15.1266950906
51,20010221,云南省,530000,临沧市,530900,15.4550391552
52,20010222,云南省,530000,临沧市,530900,15.079361018
53,20010223,云南省,530000,临沧市,530900,15.8000539705
54,20010224,云南省,530000,临沧市,530900,12.7627065509
55,20010225,云南省,530000,临沧市,530900,13.3847627827
56,20010226,云南省,530000,临沧市,530900,16.2658217374
57,20010227,云南省,530000,临沧市,530900,15.2453522589
58,20010228,云南省,530000,临沧市,530900,16.0468857896
59,20010301,云南省,530000,临沧市,530900,16.6687759138
60,20010302,云南省,530000,临沧市,530900,17.5887840121
61,20010303,云南省,530000,临沧市,530900,17.2151075812
62,20010304,云南省,530000,临沧市,530900,17.2621507832
63,20010305,云南省,530000,临沧市,530900,17.6007405823
64,20010306,云南省,530000,临沧市,530900,17.1279309404
65,20010307,云南省,530000,临沧市,530900,16.6066887986
