,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,海南省,460000,临高县,469024,18.956990242
1,20010102,海南省,460000,临高县,469024,21.022439003
2,20010103,海南省,460000,临高县,469024,21.5766744614
3,20010104,海南省,460000,临高县,469024,21.2152261734
4,20010105,海南省,460000,临高县,469024,20.9093317986
5,20010106,海南省,460000,临高县,469024,22.1666793823
6,20010107,海南省,460000,临高县,469024,22.317481041
7,20010108,海南省,460000,临高县,469024,22.8121147156
8,20010109,海南省,460000,临高县,469024,20.0592741966
9,20010110,海南省,460000,临高县,469024,18.1869149208
10,20010111,海南省,460000,临高县,469024,20.1242623329
11,20010112,海南省,460000,临高县,469024,22.8114709854
12,20010113,海南省,460000,临高县,469024,17.4303874969
13,20010114,海南省,460000,临高县,469024,18.4515757561
14,20010115,海南省,460000,临高县,469024,16.1063046455
15,20010116,海南省,460000,临高县,469024,15.9702355862
16,20010117,海南省,460000,临高县,469024,20.5950365067
17,20010118,海南省,460000,临高县,469024,21.2602887154
18,20010119,海南省,460000,临高县,469024,21.7042346001
19,20010120,海南省,460000,临高县,469024,22.04814291
20,20010121,海南省,460000,临高县,469024,23.0364584923
21,20010122,海南省,460000,临高县,469024,23.6352729797
22,20010123,海南省,460000,临高县,469024,24.4730992317
23,20010124,海南省,460000,临高县,469024,25.62626791
24,20010125,海南省,460000,临高县,469024,22.4805073738
25,20010126,海南省,460000,临高县,469024,14.45489645
26,20010127,海南省,460000,临高县,469024,14.3115098476
27,20010128,海南省,460000,临高县,469024,12.4043331146
28,20010129,海南省,460000,临高县,469024,14.7955644131
29,20010130,海南省,460000,临高县,469024,17.510474205
30,20010131,海南省,460000,临高县,469024,20.8512034416
31,20010201,海南省,460000,临高县,469024,17.5650229454
32,20010202,海南省,460000,临高县,469024,16.1858725548
33,20010203,海南省,460000,临高县,469024,17.7181963921
34,20010204,海南省,460000,临高县,469024,15.5347468853
35,20010205,海南省,460000,临高县,469024,20.6371951103
36,20010206,海南省,460000,临高县,469024,22.5350327492
37,20010207,海南省,460000,临高县,469024,20.1104950905
38,20010208,海南省,460000,临高县,469024,17.1704244614
39,20010209,海南省,460000,临高县,469024,16.5233197212
40,20010210,海南省,460000,临高县,469024,14.2654461861
41,20010211,海南省,460000,临高县,469024,19.8927965164
42,20010212,海南省,460000,临高县,469024,20.0438351631
43,20010213,海南省,460000,临高县,469024,17.3652071953
44,20010214,海南省,460000,临高县,469024,13.7045693398
45,20010215,海南省,460000,临高县,469024,16.3749346733
46,20010216,海南省,460000,临高县,469024,18.2388877869
47,20010217,海南省,460000,临高县,469024,20.6753115654
48,20010218,海南省,460000,临高县,469024,21.6552429199
49,20010219,海南省,460000,临高县,469024,21.6717886925
50,20010220,海南省,460000,临高县,469024,21.4601716995
51,20010221,海南省,460000,临高县,469024,22.9294247627
52,20010222,海南省,460000,临高县,469024,23.8128018379
53,20010223,海南省,460000,临高县,469024,23.9505367279
54,20010224,海南省,460000,临高县,469024,22.5749211311
55,20010225,海南省,460000,临高县,469024,17.5342965126
56,20010226,海南省,460000,临高县,469024,18.7571153641
57,20010227,海南省,460000,临高县,469024,19.9467306137
58,20010228,海南省,460000,临高县,469024,17.1635012627
59,20010301,海南省,460000,临高县,469024,17.5336928368
60,20010302,海南省,460000,临高县,469024,21.3425140381
61,20010303,海南省,460000,临高县,469024,21.2771544456
62,20010304,海南省,460000,临高县,469024,19.6435432434
63,20010305,海南省,460000,临高县,469024,22.3476548195
64,20010306,海南省,460000,临高县,469024,23.0860352516
65,20010307,海南省,460000,临高县,469024,23.4519696236
66,20010308,海南省,460000,临高县,469024,18.8478617668
67,20010309,海南省,460000,临高县,469024,17.819975853
68,20010310,海南省,460000,临高县,469024,21.0058455467
69,20010311,海南省,460000,临高县,469024,19.2396588326
70,20010312,海南省,460000,临高县,469024,17.6692581177
71,20010313,海南省,460000,临高县,469024,21.3625431061
72,20010314,海南省,460000,临高县,469024,23.4037976265
73,20010315,海南省,460000,临高县,469024,23.6700630188
74,20010316,海南省,460000,临高县,469024,24.97671175
75,20010317,海南省,460000,临高县,469024,25.8877196312
76,20010318,海南省,460000,临高县,469024,25.7727413177
77,20010319,海南省,460000,临高县,469024,25.705602169
78,20010320,海南省,460000,临高县,469024,24.3823137283
79,20010321,海南省,460000,临高县,469024,24.3671302795
80,20010322,海南省,460000,临高县,469024,26.5032658577
81,20010323,海南省,460000,临高县,469024,28.3050808907
82,20010324,海南省,460000,临高县,469024,28.7179474831
83,20010325,海南省,460000,临高县,469024,25.0748448372
84,20010326,海南省,460000,临高县,469024,21.9944925308
85,20010327,海南省,460000,临高县,469024,22.295027256
86,20010328,海南省,460000,临高县,469024,23.9374117851
87,20010329,海南省,460000,临高县,469024,21.1783571243
88,20010330,海南省,460000,临高县,469024,23.2218027115
89,20010331,海南省,460000,临高县,469024,24.9232435226
90,20010401,海南省,460000,临高县,469024,24.0024795532
91,20010402,海南省,460000,临高县,469024,25.4752149582
92,20010403,海南省,460000,临高县,469024,27.1505069733
93,20010404,海南省,460000,临高县,469024,27.0585107803
94,20010405,海南省,460000,临高县,469024,26.4613213539
95,20010406,海南省,460000,临高县,469024,27.0680379868
96,20010407,海南省,460000,临高县,469024,28.456097126
97,20010408,海南省,460000,临高县,469024,30.6259403229
98,20010409,海南省,460000,临高县,469024,31.1480979919
99,20010410,海南省,460000,临高县,469024,30.061357975
100,20010411,海南省,460000,临高县,469024,17.15275383
101,20010412,海南省,460000,临高县,469024,17.7919931412
102,20010413,海南省,460000,临高县,469024,22.5051736832
103,20010414,海南省,460000,临高县,469024,25.4403762817
104,20010415,海南省,460000,临高县,469024,25.7891378403
105,20010416,海南省,460000,临高县,469024,26.532336235
106,20010417,海南省,460000,临高县,469024,27.3252477646
107,20010418,海南省,460000,临高县,469024,29.1429038048
108,20010419,海南省,460000,临高县,469024,30.552626133
109,20010420,海南省,460000,临高县,469024,31.4980273247
110,20010421,海南省,460000,临高县,469024,31.5016889572
111,20010422,海南省,460000,临高县,469024,25.4141750336
112,20010423,海南省,460000,临高县,469024,27.6967687607
113,20010424,海南省,460000,临高县,469024,26.4570879936
114,20010425,海南省,460000,临高县,469024,23.6618905067
115,20010426,海南省,460000,临高县,469024,26.1577596664
116,20010427,海南省,460000,临高县,469024,27.628344059
117,20010428,海南省,460000,临高县,469024,29.616039753
118,20010429,海南省,460000,临高县,469024,28.7087922096
119,20010430,海南省,460000,临高县,469024,29.5562057495
120,20010501,海南省,460000,临高县,469024,25.116027832
121,20010502,海南省,460000,临高县,469024,25.0698971748
122,20010503,海南省,460000,临高县,469024,26.2197566032
123,20010504,海南省,460000,临高县,469024,27.2421221733
124,20010505,海南省,460000,临高县,469024,28.9623003006
125,20010506,海南省,460000,临高县,469024,31.2090592384
126,20010507,海南省,460000,临高县,469024,31.8103790283
127,20010508,海南省,460000,临高县,469024,31.4629831314
128,20010509,海南省,460000,临高县,469024,28.644100666
129,20010510,海南省,460000,临高县,469024,24.0294380188
130,20010511,海南省,460000,临高县,469024,25.5446858406
131,20010512,海南省,460000,临高县,469024,25.8348937035
132,20010513,海南省,460000,临高县,469024,27.1473183632
133,20010514,海南省,460000,临高县,469024,27.9393687248
134,20010515,海南省,460000,临高县,469024,26.8891401291
135,20010516,海南省,460000,临高县,469024,25.8945336342
136,20010517,海南省,460000,临高县,469024,26.3312563896
137,20010518,海南省,460000,临高县,469024,26.8833479881
138,20010519,海南省,460000,临高县,469024,27.1342377663
139,20010520,海南省,460000,临高县,469024,27.806845665
140,20010521,海南省,460000,临高县,469024,29.7478075027
141,20010522,海南省,460000,临高县,469024,29.8953666687
142,20010523,海南省,460000,临高县,469024,27.62616539
143,20010524,海南省,460000,临高县,469024,28.1334862709
144,20010525,海南省,460000,临高县,469024,27.4669265747
145,20010526,海南省,460000,临高县,469024,26.1292190552
146,20010527,海南省,460000,临高县,469024,25.9230852127
147,20010528,海南省,460000,临高县,469024,26.0782213211
148,20010529,海南省,460000,临高县,469024,26.1523475647
149,20010530,海南省,460000,临高县,469024,26.2933535576
150,20010531,海南省,460000,临高县,469024,26.4759507179
151,20010601,海南省,460000,临高县,469024,26.8293914795
152,20010602,海南省,460000,临高县,469024,26.0227627754
153,20010603,海南省,460000,临高县,469024,28.5076947212
154,20010604,海南省,460000,临高县,469024,28.9285359383
155,20010605,海南省,460000,临高县,469024,27.2581458092
156,20010606,海南省,460000,临高县,469024,28.5925636292
157,20010607,海南省,460000,临高县,469024,27.1147828102
158,20010608,海南省,460000,临高县,469024,28.7426495552
159,20010609,海南省,460000,临高县,469024,29.1142168045
160,20010610,海南省,460000,临高县,469024,27.7339987755
161,20010611,海南省,460000,临高县,469024,29.281730175
162,20010612,海南省,460000,临高县,469024,29.6910362244
163,20010613,海南省,460000,临高县,469024,26.809800148
164,20010614,海南省,460000,临高县,469024,26.2390398979
165,20010615,海南省,460000,临高县,469024,25.5948700905
166,20010616,海南省,460000,临高县,469024,28.8103175163
167,20010617,海南省,460000,临高县,469024,29.6696600914
168,20010618,海南省,460000,临高县,469024,29.3702058792
169,20010619,海南省,460000,临高县,469024,29.4223680496
170,20010620,海南省,460000,临高县,469024,29.1924214363
171,20010621,海南省,460000,临高县,469024,26.6440997124
172,20010622,海南省,460000,临高县,469024,27.3893465996
173,20010623,海南省,460000,临高县,469024,28.6331357956
174,20010624,海南省,460000,临高县,469024,28.3985772133
175,20010625,海南省,460000,临高县,469024,27.0122499466
176,20010626,海南省,460000,临高县,469024,25.1098351479
177,20010627,海南省,460000,临高县,469024,26.2940735817
178,20010628,海南省,460000,临高县,469024,27.4218430519
179,20010629,海南省,460000,临高县,469024,27.7515354156
180,20010630,海南省,460000,临高县,469024,28.2029829025
181,20010701,海南省,460000,临高县,469024,25.1551690102
182,20010702,海南省,460000,临高县,469024,25.5151658058
183,20010703,海南省,460000,临高县,469024,27.819062233
184,20010704,海南省,460000,临高县,469024,28.0798254013
185,20010705,海南省,460000,临高县,469024,28.8100481033
186,20010706,海南省,460000,临高县,469024,29.5189108849
187,20010707,海南省,460000,临高县,469024,28.2057094574
188,20010708,海南省,460000,临高县,469024,28.4806056023
189,20010709,海南省,460000,临高县,469024,27.7098650932
190,20010710,海南省,460000,临高县,469024,28.3458213806
191,20010711,海南省,460000,临高县,469024,29.7591457367
192,20010712,海南省,460000,临高县,469024,30.4256987572
193,20010713,海南省,460000,临高县,469024,29.8121261597
194,20010714,海南省,460000,临高县,469024,27.7521529198
195,20010715,海南省,460000,临高县,469024,26.4806203842
196,20010716,海南省,460000,临高县,469024,28.2303771973
197,20010717,海南省,460000,临高县,469024,28.5529360771
198,20010718,海南省,460000,临高县,469024,27.8212947845
199,20010719,海南省,460000,临高县,469024,28.9642586708
200,20010720,海南省,460000,临高县,469024,27.4085054398
201,20010721,海南省,460000,临高县,469024,26.8732123375
202,20010722,海南省,460000,临高县,469024,27.2717223167
203,20010723,海南省,460000,临高县,469024,28.9486179352
204,20010724,海南省,460000,临高县,469024,29.0439920425
205,20010725,海南省,460000,临高县,469024,29.0503797531
