,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-4.89052665524
1,20010102,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-6.08732204902
2,20010103,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-7.01882261183
3,20010104,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-4.19836580463
4,20010105,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-5.14214531968
5,20010106,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-12.3512819802
6,20010107,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-19.3720447494
7,20010108,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-21.5764928678
8,20010109,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-18.4081022449
9,20010110,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-12.9402940099
10,20010111,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-6.07618784323
11,20010112,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-10.1131459445
12,20010113,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-12.1621967409
13,20010114,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-10.5121056626
14,20010115,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-9.41088219387
15,20010116,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-8.12776253863
16,20010117,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-9.03067971439
17,20010118,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-10.7817137183
18,20010119,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-12.8590690334
19,20010120,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-11.0352737613
20,20010121,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-10.5303952287
21,20010122,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-11.1042316251
22,20010123,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-11.1342043993
23,20010124,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-11.0553244614
24,20010125,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-12.4484373651
25,20010126,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-14.3796062004
26,20010127,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-16.2171483156
27,20010128,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-17.1300884805
28,20010129,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-15.3737536872
29,20010130,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-13.3258584185
30,20010131,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-15.5151009676
31,20010201,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-14.9425567534
32,20010202,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-12.7988029573
33,20010203,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-13.4565753006
34,20010204,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-15.3362002256
35,20010205,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-16.4568355607
36,20010206,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-16.6757180516
37,20010207,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-13.738282413
38,20010208,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-12.338121577
39,20010209,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-12.1923447586
40,20010210,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-8.70321606427
41,20010211,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-9.96570969791
42,20010212,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-12.1788525
43,20010213,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-8.75019744547
44,20010214,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-8.87634398298
45,20010215,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-10.2635655985
46,20010216,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-7.29204676791
47,20010217,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-2.53928181892
48,20010218,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-3.4640075499
49,20010219,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-3.33655278712
50,20010220,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-2.87254487451
51,20010221,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-2.76898377652
52,20010222,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-5.26358217146
53,20010223,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-5.11512466756
54,20010224,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-2.34442102864
55,20010225,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-3.38777940448
56,20010226,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-1.83246115486
57,20010227,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-0.320618337974
58,20010228,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-0.315040963441
59,20010301,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-4.42495647872
60,20010302,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-4.04163779282
61,20010303,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-3.9283872552
62,20010304,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-5.00882891039
63,20010305,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-5.78819611596
64,20010306,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-6.89735619615
65,20010307,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-5.33060589069
66,20010308,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-1.49422861453
67,20010309,新疆维吾尔自治区,650000,乌鲁木齐市,650100,1.3479986865
68,20010310,新疆维吾尔自治区,650000,乌鲁木齐市,650100,2.56360226433
69,20010311,新疆维吾尔自治区,650000,乌鲁木齐市,650100,2.78698901723
70,20010312,新疆维吾尔自治区,650000,乌鲁木齐市,650100,0.270157049206
71,20010313,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-1.10366142087
72,20010314,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-0.702088942433
73,20010315,新疆维吾尔自治区,650000,乌鲁木齐市,650100,0.650284220169
74,20010316,新疆维吾尔自治区,650000,乌鲁木齐市,650100,2.10173074102
75,20010317,新疆维吾尔自治区,650000,乌鲁木齐市,650100,3.81694612852
76,20010318,新疆维吾尔自治区,650000,乌鲁木齐市,650100,5.44902046715
77,20010319,新疆维吾尔自治区,650000,乌鲁木齐市,650100,6.9185163684
78,20010320,新疆维吾尔自治区,650000,乌鲁木齐市,650100,8.12799071103
79,20010321,新疆维吾尔自治区,650000,乌鲁木齐市,650100,7.69975326119
80,20010322,新疆维吾尔自治区,650000,乌鲁木齐市,650100,9.02612173267
81,20010323,新疆维吾尔自治区,650000,乌鲁木齐市,650100,8.83252506721
82,20010324,新疆维吾尔自治区,650000,乌鲁木齐市,650100,9.56307332109
83,20010325,新疆维吾尔自治区,650000,乌鲁木齐市,650100,10.2461159636
84,20010326,新疆维吾尔自治区,650000,乌鲁木齐市,650100,11.6576791856
85,20010327,新疆维吾尔自治区,650000,乌鲁木齐市,650100,15.1844924834
86,20010328,新疆维吾尔自治区,650000,乌鲁木齐市,650100,15.3845832871
87,20010329,新疆维吾尔自治区,650000,乌鲁木齐市,650100,14.9558064531
88,20010330,新疆维吾尔自治区,650000,乌鲁木齐市,650100,15.1176547539
89,20010331,新疆维吾尔自治区,650000,乌鲁木齐市,650100,15.4859521215
90,20010401,新疆维吾尔自治区,650000,乌鲁木齐市,650100,15.8475924701
91,20010402,新疆维吾尔自治区,650000,乌鲁木齐市,650100,5.27889970454
92,20010403,新疆维吾尔自治区,650000,乌鲁木齐市,650100,5.6488207724
93,20010404,新疆维吾尔自治区,650000,乌鲁木齐市,650100,9.90891603144
94,20010405,新疆维吾尔自治区,650000,乌鲁木齐市,650100,7.90008460022
95,20010406,新疆维吾尔自治区,650000,乌鲁木齐市,650100,7.54306219845
96,20010407,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-0.0934805343064
97,20010408,新疆维吾尔自治区,650000,乌鲁木齐市,650100,-1.34260775349
98,20010409,新疆维吾尔自治区,650000,乌鲁木齐市,650100,1.2144718679
99,20010410,新疆维吾尔自治区,650000,乌鲁木齐市,650100,5.77388633751
100,20010411,新疆维吾尔自治区,650000,乌鲁木齐市,650100,9.0639695656
101,20010412,新疆维吾尔自治区,650000,乌鲁木齐市,650100,11.829453887
102,20010413,新疆维吾尔自治区,650000,乌鲁木齐市,650100,15.6067697944
103,20010414,新疆维吾尔自治区,650000,乌鲁木齐市,650100,16.824608733
104,20010415,新疆维吾尔自治区,650000,乌鲁木齐市,650100,19.5339456884
105,20010416,新疆维吾尔自治区,650000,乌鲁木齐市,650100,15.6799974674
106,20010417,新疆维吾尔自治区,650000,乌鲁木齐市,650100,16.0588651285
107,20010418,新疆维吾尔自治区,650000,乌鲁木齐市,650100,11.6837060044
108,20010419,新疆维吾尔自治区,650000,乌鲁木齐市,650100,13.995371237
109,20010420,新疆维吾尔自治区,650000,乌鲁木齐市,650100,14.4074297417
110,20010421,新疆维吾尔自治区,650000,乌鲁木齐市,650100,12.3108527486
111,20010422,新疆维吾尔自治区,650000,乌鲁木齐市,650100,12.8189816824
112,20010423,新疆维吾尔自治区,650000,乌鲁木齐市,650100,14.0384339588
113,20010424,新疆维吾尔自治区,650000,乌鲁木齐市,650100,15.1402693958
114,20010425,新疆维吾尔自治区,650000,乌鲁木齐市,650100,14.5744297911
115,20010426,新疆维吾尔自治区,650000,乌鲁木齐市,650100,11.6907868967
116,20010427,新疆维吾尔自治区,650000,乌鲁木齐市,650100,13.3954992294
117,20010428,新疆维吾尔自治区,650000,乌鲁木齐市,650100,4.16962020572
118,20010429,新疆维吾尔自治区,650000,乌鲁木齐市,650100,11.5115668367
119,20010430,新疆维吾尔自治区,650000,乌鲁木齐市,650100,15.5984996703
120,20010501,新疆维吾尔自治区,650000,乌鲁木齐市,650100,15.8364545078
121,20010502,新疆维吾尔自治区,650000,乌鲁木齐市,650100,16.9764288228
122,20010503,新疆维吾尔自治区,650000,乌鲁木齐市,650100,18.9746018386
123,20010504,新疆维吾尔自治区,650000,乌鲁木齐市,650100,15.8188230933
124,20010505,新疆维吾尔自治区,650000,乌鲁木齐市,650100,16.4940091342
125,20010506,新疆维吾尔自治区,650000,乌鲁木齐市,650100,18.7991910795
126,20010507,新疆维吾尔自治区,650000,乌鲁木齐市,650100,22.1840766814
127,20010508,新疆维吾尔自治区,650000,乌鲁木齐市,650100,23.5684648839
128,20010509,新疆维吾尔自治区,650000,乌鲁木齐市,650100,24.2851049377
129,20010510,新疆维吾尔自治区,650000,乌鲁木齐市,650100,24.9058259173
130,20010511,新疆维吾尔自治区,650000,乌鲁木齐市,650100,23.6975893625
131,20010512,新疆维吾尔自治区,650000,乌鲁木齐市,650100,18.050665553
132,20010513,新疆维吾尔自治区,650000,乌鲁木齐市,650100,17.3699510156
133,20010514,新疆维吾尔自治区,650000,乌鲁木齐市,650100,20.7031163472
134,20010515,新疆维吾尔自治区,650000,乌鲁木齐市,650100,23.2426711757
135,20010516,新疆维吾尔自治区,650000,乌鲁木齐市,650100,22.0129080517
136,20010517,新疆维吾尔自治区,650000,乌鲁木齐市,650100,24.7687154165
137,20010518,新疆维吾尔自治区,650000,乌鲁木齐市,650100,26.775891746
138,20010519,新疆维吾尔自治区,650000,乌鲁木齐市,650100,22.8465678983
139,20010520,新疆维吾尔自治区,650000,乌鲁木齐市,650100,15.5591398565
140,20010521,新疆维吾尔自治区,650000,乌鲁木齐市,650100,16.3947296375
141,20010522,新疆维吾尔自治区,650000,乌鲁木齐市,650100,13.5651329087
142,20010523,新疆维吾尔自治区,650000,乌鲁木齐市,650100,17.5166380812
143,20010524,新疆维吾尔自治区,650000,乌鲁木齐市,650100,19.2323399986
144,20010525,新疆维吾尔自治区,650000,乌鲁木齐市,650100,21.3438295969
145,20010526,新疆维吾尔自治区,650000,乌鲁木齐市,650100,23.2213187334
146,20010527,新疆维吾尔自治区,650000,乌鲁木齐市,650100,22.7891876872
147,20010528,新疆维吾尔自治区,650000,乌鲁木齐市,650100,24.2967634899
148,20010529,新疆维吾尔自治区,650000,乌鲁木齐市,650100,26.1294678479
149,20010530,新疆维吾尔自治区,650000,乌鲁木齐市,650100,26.6849884871
150,20010531,新疆维吾尔自治区,650000,乌鲁木齐市,650100,26.8428906231
151,20010601,新疆维吾尔自治区,650000,乌鲁木齐市,650100,27.9308389338
152,20010602,新疆维吾尔自治区,650000,乌鲁木齐市,650100,27.0939724155
153,20010603,新疆维吾尔自治区,650000,乌鲁木齐市,650100,16.7221009789
154,20010604,新疆维吾尔自治区,650000,乌鲁木齐市,650100,19.810801948
155,20010605,新疆维吾尔自治区,650000,乌鲁木齐市,650100,22.9882286351
