,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,江西省,360000,九江市,360400,7.43184979757
1,20010102,江西省,360000,九江市,360400,5.82717299196
2,20010103,江西省,360000,九江市,360400,6.54601011276
3,20010104,江西省,360000,九江市,360400,7.94825628069
4,20010105,江西省,360000,九江市,360400,7.86723573473
5,20010106,江西省,360000,九江市,360400,7.52925221125
6,20010107,江西省,360000,九江市,360400,7.46282886929
7,20010108,江西省,360000,九江市,360400,3.91647830009
8,20010109,江西省,360000,九江市,360400,0.998272863527
9,20010110,江西省,360000,九江市,360400,3.1491387248
10,20010111,江西省,360000,九江市,360400,5.24531286028
11,20010112,江西省,360000,九江市,360400,3.38285953071
12,20010113,江西省,360000,九江市,360400,3.64116879834
13,20010114,江西省,360000,九江市,360400,1.12841703569
14,20010115,江西省,360000,九江市,360400,1.38904510472
15,20010116,江西省,360000,九江市,360400,4.84357867241
16,20010117,江西省,360000,九江市,360400,6.86814632416
17,20010118,江西省,360000,九江市,360400,8.2048453225
18,20010119,江西省,360000,九江市,360400,7.6468149609
19,20010120,江西省,360000,九江市,360400,7.38129126231
20,20010121,江西省,360000,九江市,360400,6.98163469103
21,20010122,江西省,360000,九江市,360400,4.88458632363
22,20010123,江西省,360000,九江市,360400,4.98451892005
23,20010124,江西省,360000,九江市,360400,2.49672152069
24,20010125,江西省,360000,九江市,360400,0.0711086821535
25,20010126,江西省,360000,九江市,360400,-0.61371877417
26,20010127,江西省,360000,九江市,360400,1.48263868834
27,20010128,江西省,360000,九江市,360400,2.12310893138
28,20010129,江西省,360000,九江市,360400,4.49722472297
29,20010130,江西省,360000,九江市,360400,7.34605133269
30,20010131,江西省,360000,九江市,360400,5.32971002393
31,20010201,江西省,360000,九江市,360400,2.89041678856
32,20010202,江西省,360000,九江市,360400,4.56990965472
33,20010203,江西省,360000,九江市,360400,4.06106344461
34,20010204,江西省,360000,九江市,360400,5.5358598921
35,20010205,江西省,360000,九江市,360400,7.24350201289
36,20010206,江西省,360000,九江市,360400,4.30711528858
37,20010207,江西省,360000,九江市,360400,1.79050614122
38,20010208,江西省,360000,九江市,360400,3.47115630309
39,20010209,江西省,360000,九江市,360400,4.12642556959
40,20010210,江西省,360000,九江市,360400,7.24814951155
41,20010211,江西省,360000,九江市,360400,6.12671746678
42,20010212,江西省,360000,九江市,360400,3.26443145441
43,20010213,江西省,360000,九江市,360400,1.10969230218
44,20010214,江西省,360000,九江市,360400,2.56990704462
45,20010215,江西省,360000,九江市,360400,6.21861180729
46,20010216,江西省,360000,九江市,360400,7.68263028463
47,20010217,江西省,360000,九江市,360400,8.50377562841
48,20010218,江西省,360000,九江市,360400,12.2616093742
49,20010219,江西省,360000,九江市,360400,13.5332679749
50,20010220,江西省,360000,九江市,360400,14.1831696616
51,20010221,江西省,360000,九江市,360400,11.311370235
52,20010222,江西省,360000,九江市,360400,14.5514112473
53,20010223,江西省,360000,九江市,360400,11.4670758777
54,20010224,江西省,360000,九江市,360400,2.93949397438
55,20010225,江西省,360000,九江市,360400,2.7981758888
56,20010226,江西省,360000,九江市,360400,5.45985016293
57,20010227,江西省,360000,九江市,360400,4.81702224149
58,20010228,江西省,360000,九江市,360400,5.32510841423
59,20010301,江西省,360000,九江市,360400,9.41677381727
60,20010302,江西省,360000,九江市,360400,10.6039601008
61,20010303,江西省,360000,九江市,360400,9.52851629257
62,20010304,江西省,360000,九江市,360400,10.6677580833
63,20010305,江西省,360000,九江市,360400,10.1813352161
64,20010306,江西省,360000,九江市,360400,9.20964694553
65,20010307,江西省,360000,九江市,360400,5.36329793334
66,20010308,江西省,360000,九江市,360400,5.60016858578
67,20010309,江西省,360000,九江市,360400,7.8726957851
68,20010310,江西省,360000,九江市,360400,9.66428665585
69,20010311,江西省,360000,九江市,360400,11.2111276203
70,20010312,江西省,360000,九江市,360400,12.1275679694
71,20010313,江西省,360000,九江市,360400,15.6448494805
72,20010314,江西省,360000,九江市,360400,18.3061176512
73,20010315,江西省,360000,九江市,360400,11.7764585707
74,20010316,江西省,360000,九江市,360400,6.89762571123
75,20010317,江西省,360000,九江市,360400,6.91995445887
76,20010318,江西省,360000,九江市,360400,10.9372893439
77,20010319,江西省,360000,九江市,360400,10.7536402596
78,20010320,江西省,360000,九江市,360400,12.5104029761
79,20010321,江西省,360000,九江市,360400,16.1953243891
80,20010322,江西省,360000,九江市,360400,12.8133143319
81,20010323,江西省,360000,九江市,360400,13.4905768712
82,20010324,江西省,360000,九江市,360400,12.2205719842
83,20010325,江西省,360000,九江市,360400,12.6926765442
84,20010326,江西省,360000,九江市,360400,14.7826979107
85,20010327,江西省,360000,九江市,360400,13.9390040927
