,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,海南省,460000,五指山市,469001,20.0499960581
1,20010102,海南省,460000,五指山市,469001,21.6830190023
2,20010103,海南省,460000,五指山市,469001,22.5595391591
3,20010104,海南省,460000,五指山市,469001,22.3667964935
4,20010105,海南省,460000,五指山市,469001,22.402938207
5,20010106,海南省,460000,五指山市,469001,22.8157946269
6,20010107,海南省,460000,五指山市,469001,22.749042511
7,20010108,海南省,460000,五指山市,469001,23.0150413513
8,20010109,海南省,460000,五指山市,469001,21.4746602376
9,20010110,海南省,460000,五指山市,469001,19.9824701945
10,20010111,海南省,460000,五指山市,469001,21.6751906077
11,20010112,海南省,460000,五指山市,469001,23.1483427684
12,20010113,海南省,460000,五指山市,469001,20.136505127
13,20010114,海南省,460000,五指山市,469001,20.8597119649
14,20010115,海南省,460000,五指山市,469001,18.9237397512
15,20010116,海南省,460000,五指山市,469001,18.7787857056
16,20010117,海南省,460000,五指山市,469001,21.6705862681
17,20010118,海南省,460000,五指山市,469001,22.1202901204
18,20010119,海南省,460000,五指山市,469001,22.8364715576
19,20010120,海南省,460000,五指山市,469001,22.7135060628
20,20010121,海南省,460000,五指山市,469001,23.5196317037
21,20010122,海南省,460000,五指山市,469001,24.0133113861
22,20010123,海南省,460000,五指山市,469001,24.6104284922
23,20010124,海南省,460000,五指山市,469001,25.2405967712
24,20010125,海南省,460000,五指山市,469001,23.8318017324
25,20010126,海南省,460000,五指山市,469001,18.0929406484
26,20010127,海南省,460000,五指山市,469001,17.7427946726
27,20010128,海南省,460000,五指山市,469001,15.7143541972
28,20010129,海南省,460000,五指山市,469001,17.4356943766
29,20010130,海南省,460000,五指山市,469001,19.9181302389
30,20010131,海南省,460000,五指山市,469001,21.7110093435
31,20010201,海南省,460000,五指山市,469001,20.1747887929
32,20010202,海南省,460000,五指山市,469001,19.3922036489
33,20010203,海南省,460000,五指山市,469001,19.9328435262
34,20010204,海南省,460000,五指山市,469001,18.7972170512
35,20010205,海南省,460000,五指山市,469001,22.0511252085
36,20010206,海南省,460000,五指山市,469001,23.0317440033
37,20010207,海南省,460000,五指山市,469001,21.8309892019
38,20010208,海南省,460000,五指山市,469001,19.9874038696
39,20010209,海南省,460000,五指山市,469001,19.5485013326
40,20010210,海南省,460000,五指山市,469001,17.4862066905
41,20010211,海南省,460000,五指山市,469001,20.8561757406
42,20010212,海南省,460000,五指山市,469001,21.8304182688
43,20010213,海南省,460000,五指山市,469001,19.9867318471
44,20010214,海南省,460000,五指山市,469001,16.8355903625
45,20010215,海南省,460000,五指山市,469001,18.664782842
46,20010216,海南省,460000,五指山市,469001,19.9014485677
47,20010217,海南省,460000,五指山市,469001,21.3240521749
48,20010218,海南省,460000,五指山市,469001,22.1913318634
49,20010219,海南省,460000,五指山市,469001,22.2516657511
50,20010220,海南省,460000,五指山市,469001,22.3088823954
51,20010221,海南省,460000,五指山市,469001,23.4556268056
52,20010222,海南省,460000,五指山市,469001,24.0807526906
53,20010223,海南省,460000,五指山市,469001,24.2134749095
54,20010224,海南省,460000,五指山市,469001,23.5383536021
55,20010225,海南省,460000,五指山市,469001,20.5387967428
56,20010226,海南省,460000,五指山市,469001,21.6474259694
57,20010227,海南省,460000,五指山市,469001,22.1786899567
58,20010228,海南省,460000,五指山市,469001,20.2716960907
59,20010301,海南省,460000,五指山市,469001,19.9252052307
60,20010302,海南省,460000,五指山市,469001,22.5821940104
61,20010303,海南省,460000,五指山市,469001,22.6725870768
62,20010304,海南省,460000,五指山市,469001,21.5762805939
63,20010305,海南省,460000,五指山市,469001,22.9741528829
64,20010306,海南省,460000,五指山市,469001,23.5802447001
65,20010307,海南省,460000,五指山市,469001,24.2040977478
66,20010308,海南省,460000,五指山市,469001,21.1640739441
67,20010309,海南省,460000,五指山市,469001,20.4542477926
68,20010310,海南省,460000,五指山市,469001,22.4940306346
69,20010311,海南省,460000,五指山市,469001,21.807100296
70,20010312,海南省,460000,五指山市,469001,20.3663914998
71,20010313,海南省,460000,五指山市,469001,22.6531308492
72,20010314,海南省,460000,五指山市,469001,23.8830610911
73,20010315,海南省,460000,五指山市,469001,24.3306096395
74,20010316,海南省,460000,五指山市,469001,25.0379549662
75,20010317,海南省,460000,五指山市,469001,25.8126710256
76,20010318,海南省,460000,五指山市,469001,26.3022975922
77,20010319,海南省,460000,五指山市,469001,26.2789020538
78,20010320,海南省,460000,五指山市,469001,25.5568300883
79,20010321,海南省,460000,五指山市,469001,25.4745178223
80,20010322,海南省,460000,五指山市,469001,26.7950299581
81,20010323,海南省,460000,五指山市,469001,27.8112545013
82,20010324,海南省,460000,五指山市,469001,28.1157296499
83,20010325,海南省,460000,五指山市,469001,26.5127366384
84,20010326,海南省,460000,五指山市,469001,23.9124501546
85,20010327,海南省,460000,五指山市,469001,23.3827145894
86,20010328,海南省,460000,五指山市,469001,25.1620546977
87,20010329,海南省,460000,五指山市,469001,23.3385035197
88,20010330,海南省,460000,五指山市,469001,24.4755236308
89,20010331,海南省,460000,五指山市,469001,25.6006202698
90,20010401,海南省,460000,五指山市,469001,25.2308076223
91,20010402,海南省,460000,五指山市,469001,26.1762809753
92,20010403,海南省,460000,五指山市,469001,27.2654927572
93,20010404,海南省,460000,五指山市,469001,27.2870807648
94,20010405,海南省,460000,五指山市,469001,27.0731836955
95,20010406,海南省,460000,五指山市,469001,27.2445214589
96,20010407,海南省,460000,五指山市,469001,28.1014359792
97,20010408,海南省,460000,五指山市,469001,29.5148073832
