,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-9.28591639884
1,20010102,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-10.6540828231
2,20010103,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-9.78844970665
3,20010104,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-7.43192075803
4,20010105,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-6.79377687497
5,20010106,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-11.367973254
6,20010107,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-18.0131784413
7,20010108,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-18.3757463558
8,20010109,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-15.8976941141
9,20010110,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-12.0868217961
10,20010111,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-10.0996546105
11,20010112,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-12.9213278662
12,20010113,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-11.9032071325
13,20010114,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-11.1572045128
14,20010115,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-9.9348140691
15,20010116,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-8.17216213918
16,20010117,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-8.69028648274
17,20010118,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-10.8441259973
18,20010119,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-13.2352122044
19,20010120,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-11.5699734336
20,20010121,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-10.9918433132
21,20010122,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-10.6274687364
22,20010123,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-10.8781970267
23,20010124,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-13.3105802664
24,20010125,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-13.4359511241
25,20010126,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-15.8235588714
26,20010127,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-15.9614292759
27,20010128,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-17.1515535956
28,20010129,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-15.7194815322
29,20010130,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-16.1520700327
30,20010131,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-17.0943673345
31,20010201,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-16.8424993041
32,20010202,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-15.6995293534
33,20010203,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-14.1004655889
34,20010204,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-13.0912463233
35,20010205,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-12.6691694676
36,20010206,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-12.8471510234
37,20010207,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-10.5020100638
38,20010208,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-11.1583091013
39,20010209,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-10.5045025237
40,20010210,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-8.26436303286
41,20010211,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-9.86180767597
42,20010212,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-11.52848341
43,20010213,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-8.4482164639
44,20010214,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-9.32070951334
45,20010215,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-8.23573129289
46,20010216,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-6.30427745685
47,20010217,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-3.02682968658
48,20010218,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-4.1396285666
49,20010219,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-3.99034930066
50,20010220,新疆维吾尔自治区,650000,伊犁哈萨克自治州,654000,-3.06976471241
