,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,河北省,130000,保定市,130600,-2.40230845605
1,20010102,河北省,130000,保定市,130600,-5.377956492
2,20010103,河北省,130000,保定市,130600,-8.25439360884
3,20010104,河北省,130000,保定市,130600,-7.11450651044
4,20010105,河北省,130000,保定市,130600,-4.87451637768
5,20010106,河北省,130000,保定市,130600,-4.43187499828
6,20010107,河北省,130000,保定市,130600,-2.28147188855
7,20010108,河北省,130000,保定市,130600,-4.71417426477
8,20010109,河北省,130000,保定市,130600,-7.72804478348
9,20010110,河北省,130000,保定市,130600,-8.01555879781
10,20010111,河北省,130000,保定市,130600,-9.64174774827
11,20010112,河北省,130000,保定市,130600,-8.49811586005
12,20010113,河北省,130000,保定市,130600,-12.5513809235
13,20010114,河北省,130000,保定市,130600,-13.785097513
14,20010115,河北省,130000,保定市,130600,-12.8495078947
15,20010116,河北省,130000,保定市,130600,-10.3984952833
16,20010117,河北省,130000,保定市,130600,-7.92420757794
17,20010118,河北省,130000,保定市,130600,-6.98191330081
18,20010119,河北省,130000,保定市,130600,-6.79072265156
19,20010120,河北省,130000,保定市,130600,-5.01021644717
20,20010121,河北省,130000,保定市,130600,-4.58096359206
21,20010122,河北省,130000,保定市,130600,-6.25222471112
22,20010123,河北省,130000,保定市,130600,-5.6647165017
23,20010124,河北省,130000,保定市,130600,-5.44059163234
24,20010125,河北省,130000,保定市,130600,-6.1067112782
25,20010126,河北省,130000,保定市,130600,-5.07841682434
26,20010127,河北省,130000,保定市,130600,-3.61010851503
27,20010128,河北省,130000,保定市,130600,-5.30570908062
28,20010129,河北省,130000,保定市,130600,-2.96147409057
29,20010130,河北省,130000,保定市,130600,-2.25476724251
30,20010131,河北省,130000,保定市,130600,-1.93535019708
31,20010201,河北省,130000,保定市,130600,-3.63932989758
32,20010202,河北省,130000,保定市,130600,-2.08783304056
33,20010203,河北省,130000,保定市,130600,-6.02075228144
34,20010204,河北省,130000,保定市,130600,-6.02170267261
35,20010205,河北省,130000,保定市,130600,-6.29829855434
36,20010206,河北省,130000,保定市,130600,-8.76102043371
