,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,海南省,460000,儋州市,460400,19.1829343523
1,20010102,海南省,460000,儋州市,460400,21.040202277
2,20010103,海南省,460000,儋州市,460400,21.5836110796
3,20010104,海南省,460000,儋州市,460400,21.2988515581
4,20010105,海南省,460000,儋州市,460400,21.2507021768
5,20010106,海南省,460000,儋州市,460400,22.4117796762
6,20010107,海南省,460000,儋州市,460400,22.4716216496
7,20010108,海南省,460000,儋州市,460400,22.9642606463
8,20010109,海南省,460000,儋州市,460400,20.0889342172
9,20010110,海南省,460000,儋州市,460400,18.3232004983
10,20010111,海南省,460000,儋州市,460400,20.3321999141
11,20010112,海南省,460000,儋州市,460400,22.9206455776
12,20010113,海南省,460000,儋州市,460400,17.6195169176
13,20010114,海南省,460000,儋州市,460400,18.7919891902
14,20010115,海南省,460000,儋州市,460400,16.280800002
15,20010116,海南省,460000,儋州市,460400,15.9781697137
16,20010117,海南省,460000,儋州市,460400,20.728477478
17,20010118,海南省,460000,儋州市,460400,21.4067647117
18,20010119,海南省,460000,儋州市,460400,21.8855953217
19,20010120,海南省,460000,儋州市,460400,22.1728303092
20,20010121,海南省,460000,儋州市,460400,23.1327443804
21,20010122,海南省,460000,儋州市,460400,23.7250911168
22,20010123,海南省,460000,儋州市,460400,24.5363025665
23,20010124,海南省,460000,儋州市,460400,25.756387983
24,20010125,海南省,460000,儋州市,460400,22.6974274772
25,20010126,海南省,460000,儋州市,460400,14.6696526664
26,20010127,海南省,460000,儋州市,460400,14.5742878233
27,20010128,海南省,460000,儋州市,460400,12.5238919939
28,20010129,海南省,460000,儋州市,460400,14.97316088
29,20010130,海南省,460000,儋州市,460400,17.6450928279
30,20010131,海南省,460000,儋州市,460400,21.0147203718
31,20010201,海南省,460000,儋州市,460400,17.6737371172
32,20010202,海南省,460000,儋州市,460400,16.3005450112
33,20010203,海南省,460000,儋州市,460400,17.8732054574
34,20010204,海南省,460000,儋州市,460400,15.8199191775
