,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-7.55094371229
1,20010102,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-8.12775648478
2,20010103,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-7.52941538321
3,20010104,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-6.99914566375
4,20010105,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-7.47207931183
5,20010106,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-7.10529400722
6,20010107,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-6.53940276455
7,20010108,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-10.8949729919
8,20010109,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-9.82405239311
9,20010110,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-6.64238891859
10,20010111,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-2.62418212891
11,20010112,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-3.84472280644
12,20010113,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-4.26459713304
13,20010114,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-4.39864340731
14,20010115,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-4.62548257854
15,20010116,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-3.9980794288
16,20010117,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-1.59457870243
17,20010118,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-5.32940129203
18,20010119,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-6.58516377887
19,20010120,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-5.17079489424
20,20010121,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-4.67273998389
21,20010122,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-4.59612758611
22,20010123,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-5.83149766149
23,20010124,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-5.53482981501
24,20010125,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-4.41538021371
25,20010126,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-4.87664168461
26,20010127,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-6.47932810655
27,20010128,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-7.56164594856
28,20010129,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-7.39446095389
29,20010130,新疆维吾尔自治区,650000,克孜勒苏柯尔克孜自治州,653000,-6.07938006375
