,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,内蒙古自治区,150000,兴安盟,152200,-21.1943002643
1,20010102,内蒙古自治区,150000,兴安盟,152200,-22.4821548
2,20010103,内蒙古自治区,150000,兴安盟,152200,-24.6178067178
3,20010104,内蒙古自治区,150000,兴安盟,152200,-26.9093322176
4,20010105,内蒙古自治区,150000,兴安盟,152200,-26.1864976016
5,20010106,内蒙古自治区,150000,兴安盟,152200,-18.7621481809
6,20010107,内蒙古自治区,150000,兴安盟,152200,-16.5751706846
7,20010108,内蒙古自治区,150000,兴安盟,152200,-22.7731026389
8,20010109,内蒙古自治区,150000,兴安盟,152200,-29.261580577
9,20010110,内蒙古自治区,150000,兴安盟,152200,-31.2353714567
10,20010111,内蒙古自治区,150000,兴安盟,152200,-31.1510650866
11,20010112,内蒙古自治区,150000,兴安盟,152200,-30.7547376806
12,20010113,内蒙古自治区,150000,兴安盟,152200,-30.4947053736
13,20010114,内蒙古自治区,150000,兴安盟,152200,-29.7699017727
14,20010115,内蒙古自治区,150000,兴安盟,152200,-27.8259773832
15,20010116,内蒙古自治区,150000,兴安盟,152200,-24.9237557382
16,20010117,内蒙古自治区,150000,兴安盟,152200,-22.9091913628
17,20010118,内蒙古自治区,150000,兴安盟,152200,-22.2908960978
18,20010119,内蒙古自治区,150000,兴安盟,152200,-24.4342574264
19,20010120,内蒙古自治区,150000,兴安盟,152200,-23.2480234088
20,20010121,内蒙古自治区,150000,兴安盟,152200,-21.7018489606
21,20010122,内蒙古自治区,150000,兴安盟,152200,-20.8033117757
22,20010123,内蒙古自治区,150000,兴安盟,152200,-17.3802480524
23,20010124,内蒙古自治区,150000,兴安盟,152200,-17.6134312948
24,20010125,内蒙古自治区,150000,兴安盟,152200,-16.1240500421
25,20010126,内蒙古自治区,150000,兴安盟,152200,-14.9020782586
26,20010127,内蒙古自治区,150000,兴安盟,152200,-18.133754921
27,20010128,内蒙古自治区,150000,兴安盟,152200,-17.9271847985
28,20010129,内蒙古自治区,150000,兴安盟,152200,-17.542899415
29,20010130,内蒙古自治区,150000,兴安盟,152200,-14.9790093682
30,20010131,内蒙古自治区,150000,兴安盟,152200,-18.4700353333
31,20010201,内蒙古自治区,150000,兴安盟,152200,-24.0822789279
32,20010202,内蒙古自治区,150000,兴安盟,152200,-28.8292361751
33,20010203,内蒙古自治区,150000,兴安盟,152200,-29.3626287981
34,20010204,内蒙古自治区,150000,兴安盟,152200,-26.932092736
35,20010205,内蒙古自治区,150000,兴安盟,152200,-26.5344354572
36,20010206,内蒙古自治区,150000,兴安盟,152200,-25.4226153171
37,20010207,内蒙古自治区,150000,兴安盟,152200,-21.9197045066
38,20010208,内蒙古自治区,150000,兴安盟,152200,-18.4428404028
39,20010209,内蒙古自治区,150000,兴安盟,152200,-20.6691901814
40,20010210,内蒙古自治区,150000,兴安盟,152200,-24.2170243119
41,20010211,内蒙古自治区,150000,兴安盟,152200,-23.3270892288
42,20010212,内蒙古自治区,150000,兴安盟,152200,-21.1817175952
43,20010213,内蒙古自治区,150000,兴安盟,152200,-22.2828004548
44,20010214,内蒙古自治区,150000,兴安盟,152200,-20.4262506427
45,20010215,内蒙古自治区,150000,兴安盟,152200,-18.3129885471
46,20010216,内蒙古自治区,150000,兴安盟,152200,-12.5476471756
47,20010217,内蒙古自治区,150000,兴安盟,152200,-8.0946420684
48,20010218,内蒙古自治区,150000,兴安盟,152200,-9.21936537714
49,20010219,内蒙古自治区,150000,兴安盟,152200,-8.02926253116
50,20010220,内蒙古自治区,150000,兴安盟,152200,-5.31870805548
51,20010221,内蒙古自治区,150000,兴安盟,152200,-6.12198336838
52,20010222,内蒙古自治区,150000,兴安盟,152200,-12.1143089699
53,20010223,内蒙古自治区,150000,兴安盟,152200,-14.6351537358
54,20010224,内蒙古自治区,150000,兴安盟,152200,-14.2814931638
