,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,内蒙古自治区,150000,包头市,150200,-13.2461201731
1,20010102,内蒙古自治区,150000,包头市,150200,-16.5495112228
2,20010103,内蒙古自治区,150000,包头市,150200,-15.2085432816
3,20010104,内蒙古自治区,150000,包头市,150200,-12.1260836919
4,20010105,内蒙古自治区,150000,包头市,150200,-5.52070834796
5,20010106,内蒙古自治区,150000,包头市,150200,-3.62752892494
6,20010107,内蒙古自治区,150000,包头市,150200,-8.88143095652
7,20010108,内蒙古自治区,150000,包头市,150200,-16.9478145472
8,20010109,内蒙古自治区,150000,包头市,150200,-14.7189726512
9,20010110,内蒙古自治区,150000,包头市,150200,-15.9234204992
10,20010111,内蒙古自治区,150000,包头市,150200,-13.26014033
11,20010112,内蒙古自治区,150000,包头市,150200,-15.0856209056
12,20010113,内蒙古自治区,150000,包头市,150200,-21.5242731984
13,20010114,内蒙古自治区,150000,包头市,150200,-19.9222472127
14,20010115,内蒙古自治区,150000,包头市,150200,-15.5998705292
15,20010116,内蒙古自治区,150000,包头市,150200,-12.0596005249
16,20010117,内蒙古自治区,150000,包头市,150200,-7.82597372055
17,20010118,内蒙古自治区,150000,包头市,150200,-9.51385517756
18,20010119,内蒙古自治区,150000,包头市,150200,-10.5277898343
19,20010120,内蒙古自治区,150000,包头市,150200,-8.00683327993
20,20010121,内蒙古自治区,150000,包头市,150200,-9.34908197403
21,20010122,内蒙古自治区,150000,包头市,150200,-8.59375356038
22,20010123,内蒙古自治区,150000,包头市,150200,-9.78257630666
23,20010124,内蒙古自治区,150000,包头市,150200,-12.21701032
24,20010125,内蒙古自治区,150000,包头市,150200,-10.038364652
25,20010126,内蒙古自治区,150000,包头市,150200,-9.75131064097
26,20010127,内蒙古自治区,150000,包头市,150200,-14.493854332
27,20010128,内蒙古自治区,150000,包头市,150200,-12.6912057495
28,20010129,内蒙古自治区,150000,包头市,150200,-10.8444247437
29,20010130,内蒙古自治区,150000,包头市,150200,-8.54856896718
30,20010131,内蒙古自治区,150000,包头市,150200,-13.1882752101
31,20010201,内蒙古自治区,150000,包头市,150200,-10.5546855291
32,20010202,内蒙古自治区,150000,包头市,150200,-7.5277094841
33,20010203,内蒙古自治区,150000,包头市,150200,-6.60723035177
34,20010204,内蒙古自治区,150000,包头市,150200,-6.51148749669
35,20010205,内蒙古自治区,150000,包头市,150200,-13.2606713104
36,20010206,内蒙古自治区,150000,包头市,150200,-17.0658782323
37,20010207,内蒙古自治区,150000,包头市,150200,-13.8207312775
38,20010208,内蒙古自治区,150000,包头市,150200,-11.3192224375
39,20010209,内蒙古自治区,150000,包头市,150200,-12.0417349752
40,20010210,内蒙古自治区,150000,包头市,150200,-13.3358936183
41,20010211,内蒙古自治区,150000,包头市,150200,-11.5318436813
42,20010212,内蒙古自治区,150000,包头市,150200,-8.21412188212
43,20010213,内蒙古自治区,150000,包头市,150200,-8.11925547282
44,20010214,内蒙古自治区,150000,包头市,150200,-7.56459047318
45,20010215,内蒙古自治区,150000,包头市,150200,-11.6638850784
46,20010216,内蒙古自治区,150000,包头市,150200,-4.26872434616
47,20010217,内蒙古自治区,150000,包头市,150200,-1.18339684532
48,20010218,内蒙古自治区,150000,包头市,150200,-0.709743102193
49,20010219,内蒙古自治区,150000,包头市,150200,1.83235878547
50,20010220,内蒙古自治区,150000,包头市,150200,1.57860895793
51,20010221,内蒙古自治区,150000,包头市,150200,2.00890095234
52,20010222,内蒙古自治区,150000,包头市,150200,-5.76228507499
53,20010223,内蒙古自治区,150000,包头市,150200,-10.4876892726
54,20010224,内蒙古自治区,150000,包头市,150200,-8.00406646729
55,20010225,内蒙古自治区,150000,包头市,150200,-2.01605294387
56,20010226,内蒙古自治区,150000,包头市,150200,-1.93839668751
57,20010227,内蒙古自治区,150000,包头市,150200,-2.03975525935
