,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,新疆维吾尔自治区,650000,北屯市,659005,-14.6977910995
1,20010102,新疆维吾尔自治区,650000,北屯市,659005,-16.0561294556
2,20010103,新疆维吾尔自治区,650000,北屯市,659005,-10.2202272415
3,20010104,新疆维吾尔自治区,650000,北屯市,659005,-7.82147717476
4,20010105,新疆维吾尔自治区,650000,北屯市,659005,-15.7571611404
5,20010106,新疆维吾尔自治区,650000,北屯市,659005,-30.8560123444
6,20010107,新疆维吾尔自治区,650000,北屯市,659005,-32.754114151
7,20010108,新疆维吾尔自治区,650000,北屯市,659005,-22.7408838272
8,20010109,新疆维吾尔自治区,650000,北屯市,659005,-18.0723762512
9,20010110,新疆维吾尔自治区,650000,北屯市,659005,-13.2592654228
10,20010111,新疆维吾尔自治区,650000,北屯市,659005,-15.8447961807
11,20010112,新疆维吾尔自治区,650000,北屯市,659005,-17.2740736008
12,20010113,新疆维吾尔自治区,650000,北屯市,659005,-9.70664596558
13,20010114,新疆维吾尔自治区,650000,北屯市,659005,-9.3430223465
14,20010115,新疆维吾尔自治区,650000,北屯市,659005,-9.35393381119
15,20010116,新疆维吾尔自治区,650000,北屯市,659005,-6.93564343452
16,20010117,新疆维吾尔自治区,650000,北屯市,659005,-12.972454071
17,20010118,新疆维吾尔自治区,650000,北屯市,659005,-12.3258628845
18,20010119,新疆维吾尔自治区,650000,北屯市,659005,-11.9433403015
19,20010120,新疆维吾尔自治区,650000,北屯市,659005,-12.8622555733
20,20010121,新疆维吾尔自治区,650000,北屯市,659005,-15.1754426956
21,20010122,新疆维吾尔自治区,650000,北屯市,659005,-20.2319507599
22,20010123,新疆维吾尔自治区,650000,北屯市,659005,-19.6218500137
23,20010124,新疆维吾尔自治区,650000,北屯市,659005,-16.7733726501
24,20010125,新疆维吾尔自治区,650000,北屯市,659005,-16.6135778427
25,20010126,新疆维吾尔自治区,650000,北屯市,659005,-23.6273527145
26,20010127,新疆维吾尔自治区,650000,北屯市,659005,-24.7786006927
27,20010128,新疆维吾尔自治区,650000,北屯市,659005,-23.9145708084
28,20010129,新疆维吾尔自治区,650000,北屯市,659005,-20.9120416641
29,20010130,新疆维吾尔自治区,650000,北屯市,659005,-21.2577972412
30,20010131,新疆维吾尔自治区,650000,北屯市,659005,-18.6597929001
31,20010201,新疆维吾尔自治区,650000,北屯市,659005,-18.5276603699
32,20010202,新疆维吾尔自治区,650000,北屯市,659005,-16.2500982285
33,20010203,新疆维吾尔自治区,650000,北屯市,659005,-19.7929592133
34,20010204,新疆维吾尔自治区,650000,北屯市,659005,-25.9586706161
35,20010205,新疆维吾尔自治区,650000,北屯市,659005,-24.3003339767
36,20010206,新疆维吾尔自治区,650000,北屯市,659005,-20.1121711731
37,20010207,新疆维吾尔自治区,650000,北屯市,659005,-20.7357311249
38,20010208,新疆维吾尔自治区,650000,北屯市,659005,-21.3028049469
39,20010209,新疆维吾尔自治区,650000,北屯市,659005,-15.6920099258
40,20010210,新疆维吾尔自治区,650000,北屯市,659005,-15.2862639427
41,20010211,新疆维吾尔自治区,650000,北屯市,659005,-18.8192615509
42,20010212,新疆维吾尔自治区,650000,北屯市,659005,-14.4263477325
43,20010213,新疆维吾尔自治区,650000,北屯市,659005,-11.6927375793
44,20010214,新疆维吾尔自治区,650000,北屯市,659005,-15.8131713867
45,20010215,新疆维吾尔自治区,650000,北屯市,659005,-12.1644625664
46,20010216,新疆维吾尔自治区,650000,北屯市,659005,-7.75747418404
47,20010217,新疆维吾尔自治区,650000,北屯市,659005,-6.41899967194
48,20010218,新疆维吾尔自治区,650000,北屯市,659005,-4.60404896736
49,20010219,新疆维吾尔自治区,650000,北屯市,659005,-6.50516653061
50,20010220,新疆维吾尔自治区,650000,北屯市,659005,-9.2740316391
51,20010221,新疆维吾尔自治区,650000,北屯市,659005,-14.6219801903
52,20010222,新疆维吾尔自治区,650000,北屯市,659005,-8.91143131256
53,20010223,新疆维吾尔自治区,650000,北屯市,659005,-7.07205486298
54,20010224,新疆维吾尔自治区,650000,北屯市,659005,-6.57100749016
55,20010225,新疆维吾尔自治区,650000,北屯市,659005,-7.88743042946
56,20010226,新疆维吾尔自治区,650000,北屯市,659005,-6.00785589218
57,20010227,新疆维吾尔自治区,650000,北屯市,659005,-3.17516982555
58,20010228,新疆维吾尔自治区,650000,北屯市,659005,-5.99972677231
59,20010301,新疆维吾尔自治区,650000,北屯市,659005,-15.5154180527
60,20010302,新疆维吾尔自治区,650000,北屯市,659005,-10.3098583221
61,20010303,新疆维吾尔自治区,650000,北屯市,659005,-9.03097581863
62,20010304,新疆维吾尔自治区,650000,北屯市,659005,-16.296957016
63,20010305,新疆维吾尔自治区,650000,北屯市,659005,-18.2141923904
64,20010306,新疆维吾尔自治区,650000,北屯市,659005,-11.3533654213
65,20010307,新疆维吾尔自治区,650000,北屯市,659005,-6.40374898911
66,20010308,新疆维吾尔自治区,650000,北屯市,659005,-4.09084129333
67,20010309,新疆维吾尔自治区,650000,北屯市,659005,-4.82280945778
68,20010310,新疆维吾尔自治区,650000,北屯市,659005,1.52608031034
69,20010311,新疆维吾尔自治区,650000,北屯市,659005,0.70969632268
70,20010312,新疆维吾尔自治区,650000,北屯市,659005,-7.55818939209
71,20010313,新疆维吾尔自治区,650000,北屯市,659005,-9.46530914307
72,20010314,新疆维吾尔自治区,650000,北屯市,659005,-7.61772990227
73,20010315,新疆维吾尔自治区,650000,北屯市,659005,-9.63769674301
74,20010316,新疆维吾尔自治区,650000,北屯市,659005,-9.21105766296
75,20010317,新疆维吾尔自治区,650000,北屯市,659005,-6.28093266487
