,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,四川省,510000,南充市,511300,8.71861214473
1,20010102,四川省,510000,南充市,511300,7.45560711828
2,20010103,四川省,510000,南充市,511300,7.80839305088
3,20010104,四川省,510000,南充市,511300,9.01583855728
4,20010105,四川省,510000,南充市,511300,8.09883867461
5,20010106,四川省,510000,南充市,511300,8.28412695589
6,20010107,四川省,510000,南充市,511300,8.75559306967
7,20010108,四川省,510000,南充市,511300,6.64876679716
8,20010109,四川省,510000,南充市,511300,5.34755254614
9,20010110,四川省,510000,南充市,511300,4.03686203628
10,20010111,四川省,510000,南充市,511300,5.13365474241
11,20010112,四川省,510000,南充市,511300,6.99213151274
12,20010113,四川省,510000,南充市,511300,7.35031410743
13,20010114,四川省,510000,南充市,511300,6.42949888624
14,20010115,四川省,510000,南充市,511300,7.07002889699
15,20010116,四川省,510000,南充市,511300,6.87388226082
16,20010117,四川省,510000,南充市,511300,6.22916114741
17,20010118,四川省,510000,南充市,511300,7.50613508553
18,20010119,四川省,510000,南充市,511300,7.56195127553
19,20010120,四川省,510000,南充市,511300,7.24801486114
20,20010121,四川省,510000,南充市,511300,8.37386170749
21,20010122,四川省,510000,南充市,511300,8.40858495647
22,20010123,四川省,510000,南充市,511300,6.80390857828
23,20010124,四川省,510000,南充市,511300,4.11495353436
24,20010125,四川省,510000,南充市,511300,3.29846255533
25,20010126,四川省,510000,南充市,511300,4.48029111994
26,20010127,四川省,510000,南充市,511300,6.22760697069
27,20010128,四川省,510000,南充市,511300,5.52826751512
28,20010129,四川省,510000,南充市,511300,7.09279109692
29,20010130,四川省,510000,南充市,511300,9.09158558681
30,20010131,四川省,510000,南充市,511300,8.81941038987
31,20010201,四川省,510000,南充市,511300,7.0151854548
32,20010202,四川省,510000,南充市,511300,7.23225323907
33,20010203,四川省,510000,南充市,511300,7.90124935939
34,20010204,四川省,510000,南充市,511300,8.24624347687
35,20010205,四川省,510000,南充市,511300,9.75642579177
36,20010206,四川省,510000,南充市,511300,9.46999655099
37,20010207,四川省,510000,南充市,511300,10.3892840024
38,20010208,四川省,510000,南充市,511300,10.1292542425
39,20010209,四川省,510000,南充市,511300,9.61027559741
40,20010210,四川省,510000,南充市,511300,10.6156742162
41,20010211,四川省,510000,南充市,511300,9.1911179115
42,20010212,四川省,510000,南充市,511300,6.95071600223
43,20010213,四川省,510000,南充市,511300,8.02513303428
44,20010214,四川省,510000,南充市,511300,7.16258598196
45,20010215,四川省,510000,南充市,511300,9.14071431653
46,20010216,四川省,510000,南充市,511300,9.12302770286
47,20010217,四川省,510000,南充市,511300,11.2397195882
48,20010218,四川省,510000,南充市,511300,11.0710072353
49,20010219,四川省,510000,南充市,511300,10.6224329718
50,20010220,四川省,510000,南充市,511300,10.6468871544
51,20010221,四川省,510000,南充市,511300,10.9178166225
52,20010222,四川省,510000,南充市,511300,12.9394099466
53,20010223,四川省,510000,南充市,511300,13.5856599808
54,20010224,四川省,510000,南充市,511300,13.2088724991
55,20010225,四川省,510000,南充市,511300,10.4124939359
56,20010226,四川省,510000,南充市,511300,8.90068784253
57,20010227,四川省,510000,南充市,511300,10.1245171119
58,20010228,四川省,510000,南充市,511300,11.5527080339
59,20010301,四川省,510000,南充市,511300,13.2362801782
60,20010302,四川省,510000,南充市,511300,13.1687905213
61,20010303,四川省,510000,南充市,511300,12.278619832
62,20010304,四川省,510000,南充市,511300,12.7663771202
63,20010305,四川省,510000,南充市,511300,15.0582431267
64,20010306,四川省,510000,南充市,511300,15.6320222
65,20010307,四川省,510000,南充市,511300,11.9076665352
66,20010308,四川省,510000,南充市,511300,10.9580745368
67,20010309,四川省,510000,南充市,511300,10.320190627
68,20010310,四川省,510000,南充市,511300,12.8245419141
69,20010311,四川省,510000,南充市,511300,14.8605450597
70,20010312,四川省,510000,南充市,511300,15.5386486711
71,20010313,四川省,510000,南充市,511300,17.2742719979
72,20010314,四川省,510000,南充市,511300,18.1937438702
73,20010315,四川省,510000,南充市,511300,14.9447398679
74,20010316,四川省,510000,南充市,511300,13.0841442634
75,20010317,四川省,510000,南充市,511300,14.8462631949
76,20010318,四川省,510000,南充市,511300,13.7697734504
77,20010319,四川省,510000,南充市,511300,14.9731599545
78,20010320,四川省,510000,南充市,511300,16.601728538
79,20010321,四川省,510000,南充市,511300,17.9484168086
80,20010322,四川省,510000,南充市,511300,19.8577547402
81,20010323,四川省,510000,南充市,511300,18.0034865018
82,20010324,四川省,510000,南充市,511300,13.5076070654
83,20010325,四川省,510000,南充市,511300,15.7141588474
84,20010326,四川省,510000,南充市,511300,15.5748952011
85,20010327,四川省,510000,南充市,511300,18.2265503324
86,20010328,四川省,510000,南充市,511300,17.0367470774
87,20010329,四川省,510000,南充市,511300,17.5283925287
88,20010330,四川省,510000,南充市,511300,18.7155092831
89,20010331,四川省,510000,南充市,511300,17.7742725898
90,20010401,四川省,510000,南充市,511300,15.9752746779
91,20010402,四川省,510000,南充市,511300,18.0588454542
92,20010403,四川省,510000,南充市,511300,17.5207726051
93,20010404,四川省,510000,南充市,511300,18.9715435423
94,20010405,四川省,510000,南充市,511300,16.8137086342
95,20010406,四川省,510000,南充市,511300,18.6092389863
96,20010407,四川省,510000,南充市,511300,17.0451668049
97,20010408,四川省,510000,南充市,511300,20.5380888314
98,20010409,四川省,510000,南充市,511300,10.7604718702
99,20010410,四川省,510000,南充市,511300,8.12515255501
100,20010411,四川省,510000,南充市,511300,11.4348188269
101,20010412,四川省,510000,南充市,511300,13.9302157698
102,20010413,四川省,510000,南充市,511300,17.8135966597
103,20010414,四川省,510000,南充市,511300,16.3607934754
104,20010415,四川省,510000,南充市,511300,18.4556624314
105,20010416,四川省,510000,南充市,511300,20.03253871
106,20010417,四川省,510000,南充市,511300,20.5694783967
107,20010418,四川省,510000,南充市,511300,22.7467437613
108,20010419,四川省,510000,南充市,511300,20.6658084475
109,20010420,四川省,510000,南充市,511300,17.4768264376
110,20010421,四川省,510000,南充市,511300,14.1217431036
111,20010422,四川省,510000,南充市,511300,11.9030625245
112,20010423,四川省,510000,南充市,511300,15.3893257996
113,20010424,四川省,510000,南充市,511300,16.4265732272
114,20010425,四川省,510000,南充市,511300,17.9626579285
115,20010426,四川省,510000,南充市,511300,17.7502741978
116,20010427,四川省,510000,南充市,511300,19.379704311
117,20010428,四川省,510000,南充市,511300,20.1738391087
118,20010429,四川省,510000,南充市,511300,21.9815482436
119,20010430,四川省,510000,南充市,511300,14.4429476837
120,20010501,四川省,510000,南充市,511300,17.3493716799
121,20010502,四川省,510000,南充市,511300,21.1998740887
122,20010503,四川省,510000,南充市,511300,21.6071503738
123,20010504,四川省,510000,南充市,511300,17.4937969734
124,20010505,四川省,510000,南充市,511300,20.3257232534
125,20010506,四川省,510000,南充市,511300,22.8590885689
126,20010507,四川省,510000,南充市,511300,22.796644737
127,20010508,四川省,510000,南充市,511300,21.6604909568
128,20010509,四川省,510000,南充市,511300,20.3287809964
129,20010510,四川省,510000,南充市,511300,22.2365278047
130,20010511,四川省,510000,南充市,511300,23.3329423707
131,20010512,四川省,510000,南充市,511300,24.8775728818
132,20010513,四川省,510000,南充市,511300,26.9180958189
133,20010514,四川省,510000,南充市,511300,26.3435755763
134,20010515,四川省,510000,南充市,511300,25.2573675616
135,20010516,四川省,510000,南充市,511300,20.4642169558
136,20010517,四川省,510000,南充市,511300,16.670102547
137,20010518,四川省,510000,南充市,511300,21.7165831862
138,20010519,四川省,510000,南充市,511300,23.9519331702
