,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,广西壮族自治区,450000,南宁市,450100,15.931811134
1,20010102,广西壮族自治区,450000,南宁市,450100,15.680214107
2,20010103,广西壮族自治区,450000,南宁市,450100,13.4422953924
3,20010104,广西壮族自治区,450000,南宁市,450100,13.1042930881
4,20010105,广西壮族自治区,450000,南宁市,450100,16.0114129583
5,20010106,广西壮族自治区,450000,南宁市,450100,18.4259467522
6,20010107,广西壮族自治区,450000,南宁市,450100,19.7125749588
7,20010108,广西壮族自治区,450000,南宁市,450100,20.2243708372
8,20010109,广西壮族自治区,450000,南宁市,450100,10.3863475521
9,20010110,广西壮族自治区,450000,南宁市,450100,9.46147406101
10,20010111,广西壮族自治区,450000,南宁市,450100,12.7124963403
11,20010112,广西壮族自治区,450000,南宁市,450100,13.3233022292
12,20010113,广西壮族自治区,450000,南宁市,450100,13.8641410271
13,20010114,广西壮族自治区,450000,南宁市,450100,13.007717371
14,20010115,广西壮族自治区,450000,南宁市,450100,8.73433182637
15,20010116,广西壮族自治区,450000,南宁市,450100,9.74873663982
16,20010117,广西壮族自治区,450000,南宁市,450100,11.8468634089
17,20010118,广西壮族自治区,450000,南宁市,450100,15.5691223741
18,20010119,广西壮族自治区,450000,南宁市,450100,18.7136006753
19,20010120,广西壮族自治区,450000,南宁市,450100,17.4318909645
20,20010121,广西壮族自治区,450000,南宁市,450100,19.0646022956
21,20010122,广西壮族自治区,450000,南宁市,450100,21.3147159417
22,20010123,广西壮族自治区,450000,南宁市,450100,21.0305834214
23,20010124,广西壮族自治区,450000,南宁市,450100,17.9744082689
24,20010125,广西壮族自治区,450000,南宁市,450100,9.8860613505
25,20010126,广西壮族自治区,450000,南宁市,450100,10.1924780409
26,20010127,广西壮族自治区,450000,南宁市,450100,9.85710660617
27,20010128,广西壮族自治区,450000,南宁市,450100,11.1612786253
28,20010129,广西壮族自治区,450000,南宁市,450100,12.4718075593
29,20010130,广西壮族自治区,450000,南宁市,450100,12.1877518098
30,20010131,广西壮族自治区,450000,南宁市,450100,12.0255989432
31,20010201,广西壮族自治区,450000,南宁市,450100,10.6316981713
32,20010202,广西壮族自治区,450000,南宁市,450100,8.78938273589
33,20010203,广西壮族自治区,450000,南宁市,450100,9.65823640426
34,20010204,广西壮族自治区,450000,南宁市,450100,12.5424614747
35,20010205,广西壮族自治区,450000,南宁市,450100,14.7410153747
36,20010206,广西壮族自治区,450000,南宁市,450100,16.805021445
37,20010207,广西壮族自治区,450000,南宁市,450100,13.4019464652
38,20010208,广西壮族自治区,450000,南宁市,450100,10.6513121724
39,20010209,广西壮族自治区,450000,南宁市,450100,8.8323884209
40,20010210,广西壮族自治区,450000,南宁市,450100,10.2873766025
41,20010211,广西壮族自治区,450000,南宁市,450100,11.3641608357
42,20010212,广西壮族自治区,450000,南宁市,450100,13.539612333
43,20010213,广西壮族自治区,450000,南宁市,450100,10.6995575031
44,20010214,广西壮族自治区,450000,南宁市,450100,12.2496284445
45,20010215,广西壮族自治区,450000,南宁市,450100,14.1830073992
46,20010216,广西壮族自治区,450000,南宁市,450100,15.1639963388
47,20010217,广西壮族自治区,450000,南宁市,450100,17.2253641287
48,20010218,广西壮族自治区,450000,南宁市,450100,18.1761663755
49,20010219,广西壮族自治区,450000,南宁市,450100,18.9447455009
50,20010220,广西壮族自治区,450000,南宁市,450100,20.8216458956
51,20010221,广西壮族自治区,450000,南宁市,450100,21.001910607
52,20010222,广西壮族自治区,450000,南宁市,450100,21.3259967168
53,20010223,广西壮族自治区,450000,南宁市,450100,21.5507558584
54,20010224,广西壮族自治区,450000,南宁市,450100,15.0144520601
55,20010225,广西壮族自治区,450000,南宁市,450100,10.3139123122
56,20010226,广西壮族自治区,450000,南宁市,450100,10.6663404306
57,20010227,广西壮族自治区,450000,南宁市,450100,12.2335843047
58,20010228,广西壮族自治区,450000,南宁市,450100,13.4106688102
59,20010301,广西壮族自治区,450000,南宁市,450100,15.5270678004
60,20010302,广西壮族自治区,450000,南宁市,450100,17.1993465225
61,20010303,广西壮族自治区,450000,南宁市,450100,15.8108295798
62,20010304,广西壮族自治区,450000,南宁市,450100,17.4146612088
63,20010305,广西壮族自治区,450000,南宁市,450100,18.6122398376
64,20010306,广西壮族自治区,450000,南宁市,450100,19.5510445038
65,20010307,广西壮族自治区,450000,南宁市,450100,17.344406724
66,20010308,广西壮族自治区,450000,南宁市,450100,13.2049393455
67,20010309,广西壮族自治区,450000,南宁市,450100,12.323074321
68,20010310,广西壮族自治区,450000,南宁市,450100,12.9144816995
69,20010311,广西壮族自治区,450000,南宁市,450100,13.7518543601
70,20010312,广西壮族自治区,450000,南宁市,450100,15.9537243644
71,20010313,广西壮族自治区,450000,南宁市,450100,16.8269136349
72,20010314,广西壮族自治区,450000,南宁市,450100,18.9309399525
73,20010315,广西壮族自治区,450000,南宁市,450100,21.0075967312
74,20010316,广西壮族自治区,450000,南宁市,450100,22.9755167166
75,20010317,广西壮族自治区,450000,南宁市,450100,19.8906081518
76,20010318,广西壮族自治区,450000,南宁市,450100,18.4886261225
77,20010319,广西壮族自治区,450000,南宁市,450100,17.7468058268
78,20010320,广西壮族自治区,450000,南宁市,450100,18.7753527959
79,20010321,广西壮族自治区,450000,南宁市,450100,22.1128088236
80,20010322,广西壮族自治区,450000,南宁市,450100,24.6748131514
81,20010323,广西壮族自治区,450000,南宁市,450100,25.3771268924
82,20010324,广西壮族自治区,450000,南宁市,450100,24.706807216
83,20010325,广西壮族自治区,450000,南宁市,450100,19.6328405142
84,20010326,广西壮族自治区,450000,南宁市,450100,18.83557868
85,20010327,广西壮族自治区,450000,南宁市,450100,19.7989964088
86,20010328,广西壮族自治区,450000,南宁市,450100,20.2055433989
87,20010329,广西壮族自治区,450000,南宁市,450100,18.9283923308
88,20010330,广西壮族自治区,450000,南宁市,450100,20.749508818
89,20010331,广西壮族自治区,450000,南宁市,450100,19.2573908965
90,20010401,广西壮族自治区,450000,南宁市,450100,20.1139974197
91,20010402,广西壮族自治区,450000,南宁市,450100,22.7763851881
92,20010403,广西壮族自治区,450000,南宁市,450100,23.8370638291
93,20010404,广西壮族自治区,450000,南宁市,450100,20.5784234206
94,20010405,广西壮族自治区,450000,南宁市,450100,20.5138489008
95,20010406,广西壮族自治区,450000,南宁市,450100,20.978966554
96,20010407,广西壮族自治区,450000,南宁市,450100,22.0380378564
97,20010408,广西壮族自治区,450000,南宁市,450100,26.0218926271
98,20010409,广西壮族自治区,450000,南宁市,450100,26.6536780993
99,20010410,广西壮族自治区,450000,南宁市,450100,23.0665808916
100,20010411,广西壮族自治区,450000,南宁市,450100,14.8228528301
101,20010412,广西壮族自治区,450000,南宁市,450100,17.5335747401
102,20010413,广西壮族自治区,450000,南宁市,450100,20.382463336
103,20010414,广西壮族自治区,450000,南宁市,450100,19.6995503902
104,20010415,广西壮族自治区,450000,南宁市,450100,18.9253295263
105,20010416,广西壮族自治区,450000,南宁市,450100,19.2365498543
106,20010417,广西壮族自治区,450000,南宁市,450100,21.3252602816
107,20010418,广西壮族自治区,450000,南宁市,450100,23.9724827607
108,20010419,广西壮族自治区,450000,南宁市,450100,26.687251091
109,20010420,广西壮族自治区,450000,南宁市,450100,27.7360746463
110,20010421,广西壮族自治区,450000,南宁市,450100,22.8570177158
111,20010422,广西壮族自治区,450000,南宁市,450100,16.5683132609
112,20010423,广西壮族自治区,450000,南宁市,450100,16.7279588779
113,20010424,广西壮族自治区,450000,南宁市,450100,17.7816835244
114,20010425,广西壮族自治区,450000,南宁市,450100,18.1652761698
115,20010426,广西壮族自治区,450000,南宁市,450100,18.9305701256
116,20010427,广西壮族自治区,450000,南宁市,450100,23.3219167789
117,20010428,广西壮族自治区,450000,南宁市,450100,25.7247165442
118,20010429,广西壮族自治区,450000,南宁市,450100,26.8951802651
119,20010430,广西壮族自治区,450000,南宁市,450100,25.4770957629
