,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,福建省,350000,南平市,350700,8.75294623299
1,20010102,福建省,350000,南平市,350700,10.62599388
2,20010103,福建省,350000,南平市,350700,9.47054983321
3,20010104,福建省,350000,南平市,350700,9.917741609
4,20010105,福建省,350000,南平市,350700,11.8381548382
5,20010106,福建省,350000,南平市,350700,14.0409058768
6,20010107,福建省,350000,南平市,350700,13.1677211883
7,20010108,福建省,350000,南平市,350700,13.3387940422
8,20010109,福建省,350000,南平市,350700,6.59113416596
9,20010110,福建省,350000,南平市,350700,6.67698293262
10,20010111,福建省,350000,南平市,350700,8.00797528312
11,20010112,福建省,350000,南平市,350700,8.57407080181
12,20010113,福建省,350000,南平市,350700,6.85046390503
13,20010114,福建省,350000,南平市,350700,7.18989833196
14,20010115,福建省,350000,南平市,350700,4.96615241066
15,20010116,福建省,350000,南平市,350700,6.41433397929
16,20010117,福建省,350000,南平市,350700,10.8877282218
17,20010118,福建省,350000,南平市,350700,10.639960395
18,20010119,福建省,350000,南平市,350700,12.4058609009
19,20010120,福建省,350000,南平市,350700,12.4557830568
20,20010121,福建省,350000,南平市,350700,12.74932825
21,20010122,福建省,350000,南平市,350700,12.0859678359
22,20010123,福建省,350000,南平市,350700,11.8055924915
23,20010124,福建省,350000,南平市,350700,11.6177123236
24,20010125,福建省,350000,南平市,350700,8.01122697951
25,20010126,福建省,350000,南平市,350700,4.11095271981
26,20010127,福建省,350000,南平市,350700,5.10760536648
27,20010128,福建省,350000,南平市,350700,7.16709310289
28,20010129,福建省,350000,南平市,350700,7.84679634609
29,20010130,福建省,350000,南平市,350700,9.68588147088
30,20010131,福建省,350000,南平市,350700,9.74973684644
31,20010201,福建省,350000,南平市,350700,6.74723780344
32,20010202,福建省,350000,南平市,350700,6.21016368412
33,20010203,福建省,350000,南平市,350700,7.40209684675
34,20010204,福建省,350000,南平市,350700,9.08190705284
35,20010205,福建省,350000,南平市,350700,11.0483814724
36,20010206,福建省,350000,南平市,350700,12.7696837168
37,20010207,福建省,350000,南平市,350700,8.25093849878
38,20010208,福建省,350000,南平市,350700,7.89316517966
39,20010209,福建省,350000,南平市,350700,7.07871001107
40,20010210,福建省,350000,南平市,350700,10.6402316623
41,20010211,福建省,350000,南平市,350700,10.7727765129
42,20010212,福建省,350000,南平市,350700,11.0073364803
43,20010213,福建省,350000,南平市,350700,6.7631265171
44,20010214,福建省,350000,南平市,350700,6.71746144976
45,20010215,福建省,350000,南平市,350700,8.3054780506
46,20010216,福建省,350000,南平市,350700,10.4434042582
47,20010217,福建省,350000,南平市,350700,11.2816080971
48,20010218,福建省,350000,南平市,350700,14.8576205874
49,20010219,福建省,350000,南平市,350700,16.529660452
50,20010220,福建省,350000,南平市,350700,16.6617709114
51,20010221,福建省,350000,南平市,350700,17.1016291815
