,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-6.4471935638
1,20010102,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-7.42162837721
2,20010103,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-6.7468281772
3,20010104,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-4.95848249409
4,20010105,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-5.34459980547
5,20010106,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-12.7311574727
6,20010107,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-20.2372383483
7,20010108,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-19.1537181907
8,20010109,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-16.1833081572
9,20010110,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-13.1815866183
10,20010111,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-10.3196443009
11,20010112,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-12.6960739893
12,20010113,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-10.9224234281
13,20010114,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-10.1545529757
14,20010115,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-9.61822764188
15,20010116,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-7.15129136386
16,20010117,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-7.53884308306
17,20010118,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-8.7669297963
18,20010119,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-11.0669619678
19,20010120,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-10.8654168011
20,20010121,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-10.7856675043
21,20010122,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-10.9330756828
22,20010123,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-11.5371349282
23,20010124,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-13.7526228134
24,20010125,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-12.7500113788
25,20010126,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-15.6859770736
26,20010127,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-16.7865397963
27,20010128,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-18.0384063982
28,20010129,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-16.4719729358
29,20010130,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-17.4634380341
30,20010131,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-17.6167404619
31,20010201,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-17.3922599113
32,20010202,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,-16.4334400517
