,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,福建省,350000,厦门市,350200,12.264721632
1,20010102,福建省,350000,厦门市,350200,14.3564574718
2,20010103,福建省,350000,厦门市,350200,14.9422142506
3,20010104,福建省,350000,厦门市,350200,14.92664814
4,20010105,福建省,350000,厦门市,350200,17.471452713
5,20010106,福建省,350000,厦门市,350200,17.6334738731
6,20010107,福建省,350000,厦门市,350200,18.0130581856
7,20010108,福建省,350000,厦门市,350200,16.8890991211
8,20010109,福建省,350000,厦门市,350200,15.8395226002
9,20010110,福建省,350000,厦门市,350200,12.8603699207
10,20010111,福建省,350000,厦门市,350200,13.7716274261
11,20010112,福建省,350000,厦门市,350200,15.6608629227
12,20010113,福建省,350000,厦门市,350200,14.1640911102
13,20010114,福建省,350000,厦门市,350200,11.5755410194
14,20010115,福建省,350000,厦门市,350200,9.7442138195
15,20010116,福建省,350000,厦门市,350200,10.3914282322
16,20010117,福建省,350000,厦门市,350200,13.8514671326
17,20010118,福建省,350000,厦门市,350200,15.4424824715
18,20010119,福建省,350000,厦门市,350200,16.6325092316
19,20010120,福建省,350000,厦门市,350200,17.5115127563
20,20010121,福建省,350000,厦门市,350200,15.9164199829
21,20010122,福建省,350000,厦门市,350200,16.1658661366
22,20010123,福建省,350000,厦门市,350200,15.7897479534
23,20010124,福建省,350000,厦门市,350200,16.9075865746
24,20010125,福建省,350000,厦门市,350200,14.8892211914
25,20010126,福建省,350000,厦门市,350200,11.094094038
26,20010127,福建省,350000,厦门市,350200,10.2418980598
27,20010128,福建省,350000,厦门市,350200,11.1076467037
28,20010129,福建省,350000,厦门市,350200,11.4625868797
29,20010130,福建省,350000,厦门市,350200,13.7242674828
30,20010131,福建省,350000,厦门市,350200,15.3608522415
31,20010201,福建省,350000,厦门市,350200,11.723252058
32,20010202,福建省,350000,厦门市,350200,10.0774486065
33,20010203,福建省,350000,厦门市,350200,12.0936565399
34,20010204,福建省,350000,厦门市,350200,13.7196016312
35,20010205,福建省,350000,厦门市,350200,15.6214005947
36,20010206,福建省,350000,厦门市,350200,17.0467677116
37,20010207,福建省,350000,厦门市,350200,12.6543233395
38,20010208,福建省,350000,厦门市,350200,12.1454024315
39,20010209,福建省,350000,厦门市,350200,13.1142983437
40,20010210,福建省,350000,厦门市,350200,13.302806139
41,20010211,福建省,350000,厦门市,350200,16.8105413914
42,20010212,福建省,350000,厦门市,350200,15.9005365372
43,20010213,福建省,350000,厦门市,350200,11.913383007
44,20010214,福建省,350000,厦门市,350200,10.2196190357
45,20010215,福建省,350000,厦门市,350200,12.8560788631
46,20010216,福建省,350000,厦门市,350200,12.9594106674
47,20010217,福建省,350000,厦门市,350200,14.2061464787
48,20010218,福建省,350000,厦门市,350200,16.5709810257
49,20010219,福建省,350000,厦门市,350200,18.0422677994
50,20010220,福建省,350000,厦门市,350200,18.9296970367
51,20010221,福建省,350000,厦门市,350200,19.153190136
52,20010222,福建省,350000,厦门市,350200,19.4132852554
53,20010223,福建省,350000,厦门市,350200,20.8984913826
54,20010224,福建省,350000,厦门市,350200,14.5655891895
55,20010225,福建省,350000,厦门市,350200,9.32284832001
56,20010226,福建省,350000,厦门市,350200,12.9629304409
57,20010227,福建省,350000,厦门市,350200,17.7234563828
58,20010228,福建省,350000,厦门市,350200,16.5412044525
59,20010301,福建省,350000,厦门市,350200,14.5753326416
60,20010302,福建省,350000,厦门市,350200,16.6167826653
61,20010303,福建省,350000,厦门市,350200,17.2703814507
62,20010304,福建省,350000,厦门市,350200,15.8093047142
63,20010305,福建省,350000,厦门市,350200,16.7823047638
64,20010306,福建省,350000,厦门市,350200,20.0221176147
65,20010307,福建省,350000,厦门市,350200,12.3360366821
66,20010308,福建省,350000,厦门市,350200,9.906924963
67,20010309,福建省,350000,厦门市,350200,13.4407286644
68,20010310,福建省,350000,厦门市,350200,13.3001658916
69,20010311,福建省,350000,厦门市,350200,13.6650640965
70,20010312,福建省,350000,厦门市,350200,15.7856519222
71,20010313,福建省,350000,厦门市,350200,16.0475680828
72,20010314,福建省,350000,厦门市,350200,18.6780481339
73,20010315,福建省,350000,厦门市,350200,19.6926941872
74,20010316,福建省,350000,厦门市,350200,18.0486998558
75,20010317,福建省,350000,厦门市,350200,20.9789838791
