,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,新疆维吾尔自治区,650000,双河市,659007,-4.58818626404
1,20010102,新疆维吾尔自治区,650000,双河市,659007,-5.98178291321
2,20010103,新疆维吾尔自治区,650000,双河市,659007,-5.91346883774
3,20010104,新疆维吾尔自治区,650000,双河市,659007,-4.98669815063
4,20010105,新疆维吾尔自治区,650000,双河市,659007,-5.07057237625
5,20010106,新疆维吾尔自治区,650000,双河市,659007,-13.4928712845
6,20010107,新疆维吾尔自治区,650000,双河市,659007,-21.7752170563
7,20010108,新疆维吾尔自治区,650000,双河市,659007,-20.9069480896
8,20010109,新疆维吾尔自治区,650000,双河市,659007,-18.5954914093
9,20010110,新疆维吾尔自治区,650000,双河市,659007,-16.2020740509
10,20010111,新疆维吾尔自治区,650000,双河市,659007,-11.4866600037
11,20010112,新疆维吾尔自治区,650000,双河市,659007,-13.93338871
12,20010113,新疆维吾尔自治区,650000,双河市,659007,-11.9051980972
13,20010114,新疆维吾尔自治区,650000,双河市,659007,-11.4418087006
14,20010115,新疆维吾尔自治区,650000,双河市,659007,-12.6632061005
15,20010116,新疆维吾尔自治区,650000,双河市,659007,-8.13975811005
16,20010117,新疆维吾尔自治区,650000,双河市,659007,-6.78021812439
17,20010118,新疆维吾尔自治区,650000,双河市,659007,-7.53397274017
18,20010119,新疆维吾尔自治区,650000,双河市,659007,-10.1209535599
19,20010120,新疆维吾尔自治区,650000,双河市,659007,-11.6483154297
20,20010121,新疆维吾尔自治区,650000,双河市,659007,-12.0328226089
21,20010122,新疆维吾尔自治区,650000,双河市,659007,-11.892780304
22,20010123,新疆维吾尔自治区,650000,双河市,659007,-12.7626314163
23,20010124,新疆维吾尔自治区,650000,双河市,659007,-15.3047904968
24,20010125,新疆维吾尔自治区,650000,双河市,659007,-12.449921608
25,20010126,新疆维吾尔自治区,650000,双河市,659007,-15.9480772018
26,20010127,新疆维吾尔自治区,650000,双河市,659007,-17.971818924
27,20010128,新疆维吾尔自治区,650000,双河市,659007,-19.0251865387
28,20010129,新疆维吾尔自治区,650000,双河市,659007,-17.3468456268
29,20010130,新疆维吾尔自治区,650000,双河市,659007,-18.8153247833
30,20010131,新疆维吾尔自治区,650000,双河市,659007,-18.8747501373
31,20010201,新疆维吾尔自治区,650000,双河市,659007,-18.7097988129
32,20010202,新疆维吾尔自治区,650000,双河市,659007,-18.0794658661
