,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,黑龙江省,230000,双鸭山市,230500,-25.830135201
1,20010102,黑龙江省,230000,双鸭山市,230500,-24.5673618606
2,20010103,黑龙江省,230000,双鸭山市,230500,-19.3196316921
3,20010104,黑龙江省,230000,双鸭山市,230500,-16.4946905627
4,20010105,黑龙江省,230000,双鸭山市,230500,-19.1438517426
5,20010106,黑龙江省,230000,双鸭山市,230500,-21.3323028738
6,20010107,黑龙江省,230000,双鸭山市,230500,-20.7822541902
7,20010108,黑龙江省,230000,双鸭山市,230500,-18.461205049
8,20010109,黑龙江省,230000,双鸭山市,230500,-18.8728620645
9,20010110,黑龙江省,230000,双鸭山市,230500,-25.8470302351
10,20010111,黑龙江省,230000,双鸭山市,230500,-28.4386822094
11,20010112,黑龙江省,230000,双鸭山市,230500,-26.866490104
12,20010113,黑龙江省,230000,双鸭山市,230500,-26.7531379064
13,20010114,黑龙江省,230000,双鸭山市,230500,-26.3574537508
14,20010115,黑龙江省,230000,双鸭山市,230500,-24.5995700143
15,20010116,黑龙江省,230000,双鸭山市,230500,-24.6160537257
16,20010117,黑龙江省,230000,双鸭山市,230500,-24.9894092444
17,20010118,黑龙江省,230000,双鸭山市,230500,-23.7147745942
18,20010119,黑龙江省,230000,双鸭山市,230500,-21.5598345959
19,20010120,黑龙江省,230000,双鸭山市,230500,-20.5430606495
20,20010121,黑龙江省,230000,双鸭山市,230500,-20.6099186233
21,20010122,黑龙江省,230000,双鸭山市,230500,-19.4766542261
22,20010123,黑龙江省,230000,双鸭山市,230500,-17.390390873
23,20010124,黑龙江省,230000,双鸭山市,230500,-15.3573010474
24,20010125,黑龙江省,230000,双鸭山市,230500,-14.7544922251
25,20010126,黑龙江省,230000,双鸭山市,230500,-16.6977057601
26,20010127,黑龙江省,230000,双鸭山市,230500,-13.7309814366
27,20010128,黑龙江省,230000,双鸭山市,230500,-15.5279128624
28,20010129,黑龙江省,230000,双鸭山市,230500,-14.7250049909
29,20010130,黑龙江省,230000,双鸭山市,230500,-18.3286484805
30,20010131,黑龙江省,230000,双鸭山市,230500,-13.5962435693
31,20010201,黑龙江省,230000,双鸭山市,230500,-19.3062564676
32,20010202,黑龙江省,230000,双鸭山市,230500,-22.8958707867
33,20010203,黑龙江省,230000,双鸭山市,230500,-24.6567740007
34,20010204,黑龙江省,230000,双鸭山市,230500,-25.5980280096
35,20010205,黑龙江省,230000,双鸭山市,230500,-23.6052589417
36,20010206,黑龙江省,230000,双鸭山市,230500,-24.170542428
37,20010207,黑龙江省,230000,双鸭山市,230500,-22.9307203004
38,20010208,黑龙江省,230000,双鸭山市,230500,-20.3169644385
39,20010209,黑龙江省,230000,双鸭山市,230500,-19.975344918
40,20010210,黑龙江省,230000,双鸭山市,230500,-21.6993260817
41,20010211,黑龙江省,230000,双鸭山市,230500,-21.9892920581
42,20010212,黑龙江省,230000,双鸭山市,230500,-20.439355908
43,20010213,黑龙江省,230000,双鸭山市,230500,-20.0920788447
44,20010214,黑龙江省,230000,双鸭山市,230500,-18.7482127565
45,20010215,黑龙江省,230000,双鸭山市,230500,-16.6696876757
46,20010216,黑龙江省,230000,双鸭山市,230500,-13.6444874388
47,20010217,黑龙江省,230000,双鸭山市,230500,-8.49101633737
48,20010218,黑龙江省,230000,双鸭山市,230500,-11.0817257708
49,20010219,黑龙江省,230000,双鸭山市,230500,-11.0605853399
50,20010220,黑龙江省,230000,双鸭山市,230500,-4.59279598612
51,20010221,黑龙江省,230000,双鸭山市,230500,-2.26359177539
52,20010222,黑龙江省,230000,双鸭山市,230500,-7.55975653186
