,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,新疆维吾尔自治区,650000,吐鲁番市,650400,-5.3865731502
1,20010102,新疆维吾尔自治区,650000,吐鲁番市,650400,-5.66482712432
2,20010103,新疆维吾尔自治区,650000,吐鲁番市,650400,-5.80020054521
3,20010104,新疆维吾尔自治区,650000,吐鲁番市,650400,-5.00380550094
4,20010105,新疆维吾尔自治区,650000,吐鲁番市,650400,-5.3203789136
5,20010106,新疆维吾尔自治区,650000,吐鲁番市,650400,-8.93310703058
6,20010107,新疆维吾尔自治区,650000,吐鲁番市,650400,-13.2897323007
7,20010108,新疆维吾尔自治区,650000,吐鲁番市,650400,-14.3756158722
8,20010109,新疆维吾尔自治区,650000,吐鲁番市,650400,-13.1482657927
9,20010110,新疆维吾尔自治区,650000,吐鲁番市,650400,-10.3241809575
10,20010111,新疆维吾尔自治区,650000,吐鲁番市,650400,-6.0343607951
11,20010112,新疆维吾尔自治区,650000,吐鲁番市,650400,-7.46119839877
12,20010113,新疆维吾尔自治区,650000,吐鲁番市,650400,-8.70953892387
13,20010114,新疆维吾尔自治区,650000,吐鲁番市,650400,-8.09929871687
14,20010115,新疆维吾尔自治区,650000,吐鲁番市,650400,-7.02600256517
15,20010116,新疆维吾尔自治区,650000,吐鲁番市,650400,-6.88619047053
16,20010117,新疆维吾尔自治区,650000,吐鲁番市,650400,-5.89945462745
17,20010118,新疆维吾尔自治区,650000,吐鲁番市,650400,-8.00811037788
18,20010119,新疆维吾尔自治区,650000,吐鲁番市,650400,-9.59022931747
19,20010120,新疆维吾尔自治区,650000,吐鲁番市,650400,-7.52363116473
20,20010121,新疆维吾尔自治区,650000,吐鲁番市,650400,-7.33822686404
21,20010122,新疆维吾尔自治区,650000,吐鲁番市,650400,-7.31846476621
22,20010123,新疆维吾尔自治区,650000,吐鲁番市,650400,-7.08172690167
23,20010124,新疆维吾尔自治区,650000,吐鲁番市,650400,-7.62218121921
24,20010125,新疆维吾尔自治区,650000,吐鲁番市,650400,-8.93666347718
25,20010126,新疆维吾尔自治区,650000,吐鲁番市,650400,-9.68815887038
26,20010127,新疆维吾尔自治区,650000,吐鲁番市,650400,-11.0160568589
27,20010128,新疆维吾尔自治区,650000,吐鲁番市,650400,-11.6541289697
28,20010129,新疆维吾尔自治区,650000,吐鲁番市,650400,-10.5144987642
29,20010130,新疆维吾尔自治区,650000,吐鲁番市,650400,-8.78096173409
30,20010131,新疆维吾尔自治区,650000,吐鲁番市,650400,-9.32856560773
31,20010201,新疆维吾尔自治区,650000,吐鲁番市,650400,-8.6754080905
32,20010202,新疆维吾尔自治区,650000,吐鲁番市,650400,-8.03131360294
33,20010203,新疆维吾尔自治区,650000,吐鲁番市,650400,-8.06378343909
34,20010204,新疆维吾尔自治区,650000,吐鲁番市,650400,-8.37273071029
35,20010205,新疆维吾尔自治区,650000,吐鲁番市,650400,-9.38967855346
36,20010206,新疆维吾尔自治区,650000,吐鲁番市,650400,-10.3029701085
37,20010207,新疆维吾尔自治区,650000,吐鲁番市,650400,-8.74200865164
38,20010208,新疆维吾尔自治区,650000,吐鲁番市,650400,-6.77532142241
39,20010209,新疆维吾尔自治区,650000,吐鲁番市,650400,-6.44295522427
40,20010210,新疆维吾尔自治区,650000,吐鲁番市,650400,-3.99708338715
41,20010211,新疆维吾尔自治区,650000,吐鲁番市,650400,-5.53409613613
42,20010212,新疆维吾尔自治区,650000,吐鲁番市,650400,-6.16512350452
43,20010213,新疆维吾尔自治区,650000,吐鲁番市,650400,-4.74696184392
44,20010214,新疆维吾尔自治区,650000,吐鲁番市,650400,-3.81715132878
45,20010215,新疆维吾尔自治区,650000,吐鲁番市,650400,-4.37315775737
46,20010216,新疆维吾尔自治区,650000,吐鲁番市,650400,-2.25760632076
