,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,宁夏回族自治区,640000,吴忠市,640300,-2.88525359197
1,20010102,宁夏回族自治区,640000,吴忠市,640300,-3.07004102794
2,20010103,宁夏回族自治区,640000,吴忠市,640300,-4.72098720074
3,20010104,宁夏回族自治区,640000,吴忠市,640300,-2.5655538792
4,20010105,宁夏回族自治区,640000,吴忠市,640300,-2.62174085054
5,20010106,宁夏回族自治区,640000,吴忠市,640300,-4.1164401011
6,20010107,宁夏回族自治区,640000,吴忠市,640300,-5.27063613588
7,20010108,宁夏回族自治区,640000,吴忠市,640300,-8.39093820615
8,20010109,宁夏回族自治区,640000,吴忠市,640300,-4.27378142422
9,20010110,宁夏回族自治区,640000,吴忠市,640300,-3.53063767065
10,20010111,宁夏回族自治区,640000,吴忠市,640300,-2.78733272173
11,20010112,宁夏回族自治区,640000,吴忠市,640300,-3.3522005894
12,20010113,宁夏回族自治区,640000,吴忠市,640300,-9.72349944982
13,20010114,宁夏回族自治区,640000,吴忠市,640300,-8.53975811872
14,20010115,宁夏回族自治区,640000,吴忠市,640300,-6.10323552652
15,20010116,宁夏回族自治区,640000,吴忠市,640300,-4.64564391158
16,20010117,宁夏回族自治区,640000,吴忠市,640300,-1.41382586888
17,20010118,宁夏回族自治区,640000,吴忠市,640300,-4.233275381
18,20010119,宁夏回族自治区,640000,吴忠市,640300,-4.7691294009
19,20010120,宁夏回族自治区,640000,吴忠市,640300,-3.07865914161
20,20010121,宁夏回族自治区,640000,吴忠市,640300,-2.78879751671
21,20010122,宁夏回族自治区,640000,吴忠市,640300,-1.82010495798
22,20010123,宁夏回族自治区,640000,吴忠市,640300,-4.2776289799
23,20010124,宁夏回族自治区,640000,吴忠市,640300,-5.17917573452
24,20010125,宁夏回族自治区,640000,吴忠市,640300,-5.60796342113
25,20010126,宁夏回族自治区,640000,吴忠市,640300,-5.44079030644
26,20010127,宁夏回族自治区,640000,吴忠市,640300,-8.36277532578
27,20010128,宁夏回族自治区,640000,吴忠市,640300,-7.21369333701
28,20010129,宁夏回族自治区,640000,吴忠市,640300,-5.33552554521
29,20010130,宁夏回族自治区,640000,吴忠市,640300,-2.97507171197
30,20010131,宁夏回族自治区,640000,吴忠市,640300,-5.74251544476
31,20010201,宁夏回族自治区,640000,吴忠市,640300,-4.14377505671
32,20010202,宁夏回族自治区,640000,吴忠市,640300,-2.99343585968
33,20010203,宁夏回族自治区,640000,吴忠市,640300,-2.15748342872
34,20010204,宁夏回族自治区,640000,吴忠市,640300,0.525507340123
35,20010205,宁夏回族自治区,640000,吴忠市,640300,-0.499760923061
36,20010206,宁夏回族自治区,640000,吴忠市,640300,-6.02703872594
37,20010207,宁夏回族自治区,640000,吴忠市,640300,-7.12922487476
38,20010208,宁夏回族自治区,640000,吴忠市,640300,-3.24959520318
39,20010209,宁夏回族自治区,640000,吴忠市,640300,-1.76546920294
40,20010210,宁夏回族自治区,640000,吴忠市,640300,-1.33722345463
41,20010211,宁夏回族自治区,640000,吴忠市,640300,-3.20165809718
42,20010212,宁夏回族自治区,640000,吴忠市,640300,-3.44373184443
43,20010213,宁夏回族自治区,640000,吴忠市,640300,-2.19216878848
44,20010214,宁夏回族自治区,640000,吴忠市,640300,-0.6432558884
45,20010215,宁夏回族自治区,640000,吴忠市,640300,-3.20030204816
46,20010216,宁夏回族自治区,640000,吴忠市,640300,-0.52903052157
47,20010217,宁夏回族自治区,640000,吴忠市,640300,1.74709284847
48,20010218,宁夏回族自治区,640000,吴忠市,640300,2.9506373866
49,20010219,宁夏回族自治区,640000,吴忠市,640300,3.13535187461
50,20010220,宁夏回族自治区,640000,吴忠市,640300,3.30971129374
51,20010221,宁夏回族自治区,640000,吴忠市,640300,5.76101863384
52,20010222,宁夏回族自治区,640000,吴忠市,640300,1.87742761319
53,20010223,宁夏回族自治区,640000,吴忠市,640300,-3.2040977478
54,20010224,宁夏回族自治区,640000,吴忠市,640300,-4.15163671429
55,20010225,宁夏回族自治区,640000,吴忠市,640300,-1.38355724378
56,20010226,宁夏回族自治区,640000,吴忠市,640300,0.670972420517
57,20010227,宁夏回族自治区,640000,吴忠市,640300,1.05599473976
58,20010228,宁夏回族自治区,640000,吴忠市,640300,2.94828539003
59,20010301,宁夏回族自治区,640000,吴忠市,640300,4.10507149046
60,20010302,宁夏回族自治区,640000,吴忠市,640300,-0.745437773199
61,20010303,宁夏回族自治区,640000,吴忠市,640300,-0.850566421127
62,20010304,宁夏回族自治区,640000,吴忠市,640300,3.21634681116
63,20010305,宁夏回族自治区,640000,吴忠市,640300,1.31252782318
64,20010306,宁夏回族自治区,640000,吴忠市,640300,-3.99874867092
65,20010307,宁夏回族自治区,640000,吴忠市,640300,-5.44851935994
66,20010308,宁夏回族自治区,640000,吴忠市,640300,-2.47772493688
67,20010309,宁夏回族自治区,640000,吴忠市,640300,3.54193476113
68,20010310,宁夏回族自治区,640000,吴忠市,640300,4.36535044692
69,20010311,宁夏回族自治区,640000,吴忠市,640300,5.04333131422
70,20010312,宁夏回族自治区,640000,吴忠市,640300,10.1800489426
71,20010313,宁夏回族自治区,640000,吴忠市,640300,7.8819604787
72,20010314,宁夏回族自治区,640000,吴忠市,640300,1.73236871578
73,20010315,宁夏回族自治区,640000,吴忠市,640300,2.1977653395
74,20010316,宁夏回族自治区,640000,吴忠市,640300,3.40943552147
75,20010317,宁夏回族自治区,640000,吴忠市,640300,4.98387319391
76,20010318,宁夏回族自治区,640000,吴忠市,640300,6.40979597785
77,20010319,宁夏回族自治区,640000,吴忠市,640300,8.2838639346
78,20010320,宁夏回族自治区,640000,吴忠市,640300,9.69880526716
79,20010321,宁夏回族自治区,640000,吴忠市,640300,9.47218762745
80,20010322,宁夏回族自治区,640000,吴忠市,640300,7.51448024403
81,20010323,宁夏回族自治区,640000,吴忠市,640300,10.4014667381
82,20010324,宁夏回族自治区,640000,吴忠市,640300,8.2988501137
83,20010325,宁夏回族自治区,640000,吴忠市,640300,7.74531867287
84,20010326,宁夏回族自治区,640000,吴忠市,640300,4.72764114358
85,20010327,宁夏回族自治区,640000,吴忠市,640300,-1.04964457736
86,20010328,宁夏回族自治区,640000,吴忠市,640300,3.06777059219
87,20010329,宁夏回族自治区,640000,吴忠市,640300,9.74074530602
88,20010330,宁夏回族自治区,640000,吴忠市,640300,11.4466691884
89,20010331,宁夏回族自治区,640000,吴忠市,640300,11.3671814962
90,20010401,宁夏回族自治区,640000,吴忠市,640300,13.6346006177
91,20010402,宁夏回族自治区,640000,吴忠市,640300,14.7334635474
92,20010403,宁夏回族自治区,640000,吴忠市,640300,15.8698338379
93,20010404,宁夏回族自治区,640000,吴忠市,640300,14.2485176867
94,20010405,宁夏回族自治区,640000,吴忠市,640300,7.33791194179
95,20010406,宁夏回族自治区,640000,吴忠市,640300,12.371962634
96,20010407,宁夏回族自治区,640000,吴忠市,640300,11.950019468
97,20010408,宁夏回族自治区,640000,吴忠市,640300,6.30998927897
98,20010409,宁夏回族自治区,640000,吴忠市,640300,-1.32372730255
99,20010410,宁夏回族自治区,640000,吴忠市,640300,0.812447519634
100,20010411,宁夏回族自治区,640000,吴忠市,640300,5.72954290022
101,20010412,宁夏回族自治区,640000,吴忠市,640300,10.9086048603
102,20010413,宁夏回族自治区,640000,吴忠市,640300,6.30450724472
103,20010414,宁夏回族自治区,640000,吴忠市,640300,9.52445912361
104,20010415,宁夏回族自治区,640000,吴忠市,640300,13.5788769722
105,20010416,宁夏回族自治区,640000,吴忠市,640300,16.6663070809
106,20010417,宁夏回族自治区,640000,吴忠市,640300,18.5970782367
107,20010418,宁夏回族自治区,640000,吴忠市,640300,19.1699082201
108,20010419,宁夏回族自治区,640000,吴忠市,640300,14.199062976
109,20010420,宁夏回族自治区,640000,吴忠市,640300,8.28088448264
110,20010421,宁夏回族自治区,640000,吴忠市,640300,9.8937253085
111,20010422,宁夏回族自治区,640000,吴忠市,640300,10.0626831922
112,20010423,宁夏回族自治区,640000,吴忠市,640300,7.71885515343
113,20010424,宁夏回族自治区,640000,吴忠市,640300,8.19514803453
114,20010425,宁夏回族自治区,640000,吴忠市,640300,9.44402187521
115,20010426,宁夏回族自治区,640000,吴忠市,640300,12.4755143903
116,20010427,宁夏回族自治区,640000,吴忠市,640300,12.8765176643
117,20010428,宁夏回族自治区,640000,吴忠市,640300,12.3854833516
118,20010429,宁夏回族自治区,640000,吴忠市,640300,7.27324877002
119,20010430,宁夏回族自治区,640000,吴忠市,640300,13.487388004
120,20010501,宁夏回族自治区,640000,吴忠市,640300,18.5364259373
121,20010502,宁夏回族自治区,640000,吴忠市,640300,16.0682628805
122,20010503,宁夏回族自治区,640000,吴忠市,640300,15.9054287997
123,20010504,宁夏回族自治区,640000,吴忠市,640300,18.0892364762
124,20010505,宁夏回族自治区,640000,吴忠市,640300,20.6160275286
125,20010506,宁夏回族自治区,640000,吴忠市,640300,13.7915834947
126,20010507,宁夏回族自治区,640000,吴忠市,640300,16.0810987516
127,20010508,宁夏回族自治区,640000,吴忠市,640300,15.898046992
128,20010509,宁夏回族自治区,640000,吴忠市,640300,17.744269241
129,20010510,宁夏回族自治区,640000,吴忠市,640300,19.5641004389
130,20010511,宁夏回族自治区,640000,吴忠市,640300,20.2515918125
131,20010512,宁夏回族自治区,640000,吴忠市,640300,21.4594768177
132,20010513,宁夏回族自治区,640000,吴忠市,640300,20.9262476834
133,20010514,宁夏回族自治区,640000,吴忠市,640300,16.1652879065
134,20010515,宁夏回族自治区,640000,吴忠市,640300,16.1015736623
135,20010516,宁夏回族自治区,640000,吴忠市,640300,17.6431410746
136,20010517,宁夏回族自治区,640000,吴忠市,640300,18.9468163144
137,20010518,宁夏回族自治区,640000,吴忠市,640300,19.4725418524
138,20010519,宁夏回族自治区,640000,吴忠市,640300,21.3880955089
139,20010520,宁夏回族自治区,640000,吴忠市,640300,22.7130371441
140,20010521,宁夏回族自治区,640000,吴忠市,640300,24.3585506353
141,20010522,宁夏回族自治区,640000,吴忠市,640300,22.8825568719
142,20010523,宁夏回族自治区,640000,吴忠市,640300,12.2541276975
143,20010524,宁夏回族自治区,640000,吴忠市,640300,16.6914994933
144,20010525,宁夏回族自治区,640000,吴忠市,640300,15.0880744024
145,20010526,宁夏回族自治区,640000,吴忠市,640300,17.4924713915
146,20010527,宁夏回族自治区,640000,吴忠市,640300,19.145914858
147,20010528,宁夏回族自治区,640000,吴忠市,640300,20.8071294264
148,20010529,宁夏回族自治区,640000,吴忠市,640300,19.6853506782
149,20010530,宁夏回族自治区,640000,吴忠市,640300,16.1083675731
150,20010531,宁夏回族自治区,640000,吴忠市,640300,18.4997458891
151,20010601,宁夏回族自治区,640000,吴忠市,640300,21.580491066
152,20010602,宁夏回族自治区,640000,吴忠市,640300,21.6839449189
153,20010603,宁夏回族自治区,640000,吴忠市,640300,22.2142546827
154,20010604,宁夏回族自治区,640000,吴忠市,640300,23.5545503876
155,20010605,宁夏回族自治区,640000,吴忠市,640300,24.900770014
156,20010606,宁夏回族自治区,640000,吴忠市,640300,22.8805206906
157,20010607,宁夏回族自治区,640000,吴忠市,640300,23.3380019882
158,20010608,宁夏回族自治区,640000,吴忠市,640300,21.0012904514
159,20010609,宁夏回族自治区,640000,吴忠市,640300,17.5374629281
160,20010610,宁夏回族自治区,640000,吴忠市,640300,21.0927351605
161,20010611,宁夏回族自治区,640000,吴忠市,640300,18.59061744
162,20010612,宁夏回族自治区,640000,吴忠市,640300,20.9634137154
163,20010613,宁夏回族自治区,640000,吴忠市,640300,24.1707329317
164,20010614,宁夏回族自治区,640000,吴忠市,640300,22.5322626721
165,20010615,宁夏回族自治区,640000,吴忠市,640300,21.31305946
166,20010616,宁夏回族自治区,640000,吴忠市,640300,21.9183072177
167,20010617,宁夏回族自治区,640000,吴忠市,640300,19.7664582079
168,20010618,宁夏回族自治区,640000,吴忠市,640300,23.2195706367
169,20010619,宁夏回族自治区,640000,吴忠市,640300,22.9035447294
170,20010620,宁夏回族自治区,640000,吴忠市,640300,22.1938694607
171,20010621,宁夏回族自治区,640000,吴忠市,640300,23.1456552852
172,20010622,宁夏回族自治区,640000,吴忠市,640300,23.5052314672
173,20010623,宁夏回族自治区,640000,吴忠市,640300,23.8345013532
174,20010624,宁夏回族自治区,640000,吴忠市,640300,24.0745560039
175,20010625,宁夏回族自治区,640000,吴忠市,640300,25.9344796701
176,20010626,宁夏回族自治区,640000,吴忠市,640300,24.5286092325
177,20010627,宁夏回族自治区,640000,吴忠市,640300,24.1089576374
178,20010628,宁夏回族自治区,640000,吴忠市,640300,17.2697307847
179,20010629,宁夏回族自治区,640000,吴忠市,640300,24.2272556478
180,20010630,宁夏回族自治区,640000,吴忠市,640300,25.8628592058
181,20010701,宁夏回族自治区,640000,吴忠市,640300,24.2954444885
182,20010702,宁夏回族自治区,640000,吴忠市,640300,23.5184893608
183,20010703,宁夏回族自治区,640000,吴忠市,640300,24.2778014703
184,20010704,宁夏回族自治区,640000,吴忠市,640300,27.5630460219
185,20010705,宁夏回族自治区,640000,吴忠市,640300,28.6729370897
186,20010706,宁夏回族自治区,640000,吴忠市,640300,27.1345433322
187,20010707,宁夏回族自治区,640000,吴忠市,640300,26.0823393735
188,20010708,宁夏回族自治区,640000,吴忠市,640300,26.1291848529
189,20010709,宁夏回族自治区,640000,吴忠市,640300,20.0409779115
190,20010710,宁夏回族自治区,640000,吴忠市,640300,20.2652351206
191,20010711,宁夏回族自治区,640000,吴忠市,640300,25.681721644
192,20010712,宁夏回族自治区,640000,吴忠市,640300,27.0186735933
193,20010713,宁夏回族自治区,640000,吴忠市,640300,28.1635358117
194,20010714,宁夏回族自治区,640000,吴忠市,640300,29.4419137348
195,20010715,宁夏回族自治区,640000,吴忠市,640300,28.809797417
196,20010716,宁夏回族自治区,640000,吴忠市,640300,28.2210996801
197,20010717,宁夏回族自治区,640000,吴忠市,640300,25.9291557399
198,20010718,宁夏回族自治区,640000,吴忠市,640300,21.5338578224
199,20010719,宁夏回族自治区,640000,吴忠市,640300,21.5790436485
200,20010720,宁夏回族自治区,640000,吴忠市,640300,19.4463757602
201,20010721,宁夏回族自治区,640000,吴忠市,640300,23.3640402014
202,20010722,宁夏回族自治区,640000,吴忠市,640300,27.2752259861
203,20010723,宁夏回族自治区,640000,吴忠市,640300,25.3984945037
204,20010724,宁夏回族自治区,640000,吴忠市,640300,22.0624921972
205,20010725,宁夏回族自治区,640000,吴忠市,640300,23.9802500118
206,20010726,宁夏回族自治区,640000,吴忠市,640300,17.9916973114
207,20010727,宁夏回族自治区,640000,吴忠市,640300,20.0261649218
208,20010728,宁夏回族自治区,640000,吴忠市,640300,22.4407720566
209,20010729,宁夏回族自治区,640000,吴忠市,640300,22.5297437581
210,20010730,宁夏回族自治区,640000,吴忠市,640300,24.1068181125
211,20010731,宁夏回族自治区,640000,吴忠市,640300,25.12710684
212,20010801,宁夏回族自治区,640000,吴忠市,640300,26.0651491339
213,20010802,宁夏回族自治区,640000,吴忠市,640300,26.0088500977
214,20010803,宁夏回族自治区,640000,吴忠市,640300,26.0769656355
215,20010804,宁夏回族自治区,640000,吴忠市,640300,25.8544579853
216,20010805,宁夏回族自治区,640000,吴忠市,640300,23.3892739469
217,20010806,宁夏回族自治区,640000,吴忠市,640300,26.0165718252
218,20010807,宁夏回族自治区,640000,吴忠市,640300,24.8303763216
219,20010808,宁夏回族自治区,640000,吴忠市,640300,24.2324363102
220,20010809,宁夏回族自治区,640000,吴忠市,640300,24.948723793
221,20010810,宁夏回族自治区,640000,吴忠市,640300,24.9362754388
222,20010811,宁夏回族自治区,640000,吴忠市,640300,23.3493620699
223,20010812,宁夏回族自治区,640000,吴忠市,640300,22.1156629216
