,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,内蒙古自治区,150000,呼和浩特市,150100,-10.0980518129
1,20010102,内蒙古自治区,150000,呼和浩特市,150100,-12.837791125
2,20010103,内蒙古自治区,150000,呼和浩特市,150100,-13.4770926581
3,20010104,内蒙古自治区,150000,呼和浩特市,150100,-9.63151109484
4,20010105,内蒙古自治区,150000,呼和浩特市,150100,-5.51048525704
5,20010106,内蒙古自治区,150000,呼和浩特市,150100,-3.48720114496
6,20010107,内蒙古自治区,150000,呼和浩特市,150100,-5.14970218341
7,20010108,内蒙古自治区,150000,呼和浩特市,150100,-12.5846406513
8,20010109,内蒙古自治区,150000,呼和浩特市,150100,-13.3266386668
9,20010110,内蒙古自治区,150000,呼和浩特市,150100,-12.3063177745
10,20010111,内蒙古自治区,150000,呼和浩特市,150100,-11.8389492883
11,20010112,内蒙古自治区,150000,呼和浩特市,150100,-11.5271955384
12,20010113,内蒙古自治区,150000,呼和浩特市,150100,-18.5181638082
13,20010114,内蒙古自治区,150000,呼和浩特市,150100,-18.0395537482
14,20010115,内蒙古自治区,150000,呼和浩特市,150100,-15.5499085532
15,20010116,内蒙古自治区,150000,呼和浩特市,150100,-12.3693914202
16,20010117,内蒙古自治区,150000,呼和浩特市,150100,-8.63036904865
17,20010118,内蒙古自治区,150000,呼和浩特市,150100,-7.19894509845
18,20010119,内蒙古自治区,150000,呼和浩特市,150100,-10.0672457377
19,20010120,内蒙古自治区,150000,呼和浩特市,150100,-8.05522983339
20,20010121,内蒙古自治区,150000,呼和浩特市,150100,-7.08271427155
21,20010122,内蒙古自治区,150000,呼和浩特市,150100,-5.85037065082
22,20010123,内蒙古自治区,150000,呼和浩特市,150100,-6.28983460532
23,20010124,内蒙古自治区,150000,呼和浩特市,150100,-9.79707791011
24,20010125,内蒙古自治区,150000,呼和浩特市,150100,-9.39710263146
25,20010126,内蒙古自治区,150000,呼和浩特市,150100,-10.1399153286
26,20010127,内蒙古自治区,150000,呼和浩特市,150100,-12.4025853263
27,20010128,内蒙古自治区,150000,呼和浩特市,150100,-13.0693046146
28,20010129,内蒙古自治区,150000,呼和浩特市,150100,-11.3408716414
29,20010130,内蒙古自治区,150000,呼和浩特市,150100,-7.9817190912
30,20010131,内蒙古自治区,150000,呼和浩特市,150100,-10.8525705126
31,20010201,内蒙古自治区,150000,呼和浩特市,150100,-9.92781790627
32,20010202,内蒙古自治区,150000,呼和浩特市,150100,-7.9447283109
33,20010203,内蒙古自治区,150000,呼和浩特市,150100,-6.02304226557
34,20010204,内蒙古自治区,150000,呼和浩特市,150100,-4.20370441808
