,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,甘肃省,620000,嘉峪关市,620200,-7.34046154022
1,20010102,甘肃省,620000,嘉峪关市,620200,-8.76160755157
2,20010103,甘肃省,620000,嘉峪关市,620200,-5.9359913826
3,20010104,甘肃省,620000,嘉峪关市,620200,-4.92229919434
4,20010105,甘肃省,620000,嘉峪关市,620200,-4.55856513977
5,20010106,甘肃省,620000,嘉峪关市,620200,-3.72072682381
6,20010107,甘肃省,620000,嘉峪关市,620200,-9.8759683609
7,20010108,甘肃省,620000,嘉峪关市,620200,-11.256936264
8,20010109,甘肃省,620000,嘉峪关市,620200,-5.52248783112
9,20010110,甘肃省,620000,嘉峪关市,620200,-5.92163534164
10,20010111,甘肃省,620000,嘉峪关市,620200,-7.55440568924
11,20010112,甘肃省,620000,嘉峪关市,620200,-7.54055042267
12,20010113,甘肃省,620000,嘉峪关市,620200,-9.55333881378
13,20010114,甘肃省,620000,嘉峪关市,620200,-6.80452756882
14,20010115,甘肃省,620000,嘉峪关市,620200,-5.26429510117
15,20010116,甘肃省,620000,嘉峪关市,620200,-5.1094212532
16,20010117,甘肃省,620000,嘉峪关市,620200,-5.18345136642
17,20010118,甘肃省,620000,嘉峪关市,620200,-6.36428461075
18,20010119,甘肃省,620000,嘉峪关市,620200,-6.57452116013
19,20010120,甘肃省,620000,嘉峪关市,620200,-4.18399238586
20,20010121,甘肃省,620000,嘉峪关市,620200,-5.08836212158
21,20010122,甘肃省,620000,嘉峪关市,620200,-7.42680006027
22,20010123,甘肃省,620000,嘉峪关市,620200,-8.51401157379
23,20010124,甘肃省,620000,嘉峪关市,620200,-7.93736391068
24,20010125,甘肃省,620000,嘉峪关市,620200,-6.12355804443
25,20010126,甘肃省,620000,嘉峪关市,620200,-8.7886838913
26,20010127,甘肃省,620000,嘉峪关市,620200,-10.0416751862
27,20010128,甘肃省,620000,嘉峪关市,620200,-7.63120737076
28,20010129,甘肃省,620000,嘉峪关市,620200,-6.77753009796
29,20010130,甘肃省,620000,嘉峪关市,620200,-7.26241350174
30,20010131,甘肃省,620000,嘉峪关市,620200,-7.25732316971
31,20010201,甘肃省,620000,嘉峪关市,620200,-6.70601663589
32,20010202,甘肃省,620000,嘉峪关市,620200,-5.60983819962
33,20010203,甘肃省,620000,嘉峪关市,620200,-5.76968622208
34,20010204,甘肃省,620000,嘉峪关市,620200,-4.86009492874
35,20010205,甘肃省,620000,嘉峪关市,620200,-8.72681083679
36,20010206,甘肃省,620000,嘉峪关市,620200,-13.2234838486
37,20010207,甘肃省,620000,嘉峪关市,620200,-8.82117900848
38,20010208,甘肃省,620000,嘉峪关市,620200,-3.56266236305
39,20010209,甘肃省,620000,嘉峪关市,620200,-3.32907319069
40,20010210,甘肃省,620000,嘉峪关市,620200,-4.00424952507
41,20010211,甘肃省,620000,嘉峪关市,620200,-5.70137844086
42,20010212,甘肃省,620000,嘉峪关市,620200,-5.83451938629
43,20010213,甘肃省,620000,嘉峪关市,620200,-2.5049703598
44,20010214,甘肃省,620000,嘉峪关市,620200,-2.93471717834
45,20010215,甘肃省,620000,嘉峪关市,620200,-4.17891359329
46,20010216,甘肃省,620000,嘉峪关市,620200,-2.82412662506
47,20010217,甘肃省,620000,嘉峪关市,620200,0.503777146339
48,20010218,甘肃省,620000,嘉峪关市,620200,0.901520955563
49,20010219,甘肃省,620000,嘉峪关市,620200,1.06782181263
50,20010220,甘肃省,620000,嘉峪关市,620200,2.46219124794
51,20010221,甘肃省,620000,嘉峪关市,620200,1.1269230485
52,20010222,甘肃省,620000,嘉峪关市,620200,-1.78109412193
53,20010223,甘肃省,620000,嘉峪关市,620200,-4.81137161255
54,20010224,甘肃省,620000,嘉峪关市,620200,-6.00086917877
55,20010225,甘肃省,620000,嘉峪关市,620200,-0.973525989056
56,20010226,甘肃省,620000,嘉峪关市,620200,0.593912982941
57,20010227,甘肃省,620000,嘉峪关市,620200,0.752317029238
58,20010228,甘肃省,620000,嘉峪关市,620200,2.91458024979
59,20010301,甘肃省,620000,嘉峪关市,620200,1.19025529623
60,20010302,甘肃省,620000,嘉峪关市,620200,-5.41927318573
61,20010303,甘肃省,620000,嘉峪关市,620200,1.02997655869
62,20010304,甘肃省,620000,嘉峪关市,620200,3.01749448776
63,20010305,甘肃省,620000,嘉峪关市,620200,-8.02890768051
64,20010306,甘肃省,620000,嘉峪关市,620200,-7.89309835434
65,20010307,甘肃省,620000,嘉峪关市,620200,-6.60640258789
66,20010308,甘肃省,620000,嘉峪关市,620200,-1.76733653545
67,20010309,甘肃省,620000,嘉峪关市,620200,4.23979287148
68,20010310,甘肃省,620000,嘉峪关市,620200,3.57747597694
69,20010311,甘肃省,620000,嘉峪关市,620200,6.15296506882
70,20010312,甘肃省,620000,嘉峪关市,620200,6.40192937851
71,20010313,甘肃省,620000,嘉峪关市,620200,-1.23765630722
72,20010314,甘肃省,620000,嘉峪关市,620200,-0.206277865171
73,20010315,甘肃省,620000,嘉峪关市,620200,2.45368824005
74,20010316,甘肃省,620000,嘉峪关市,620200,2.70102233887
75,20010317,甘肃省,620000,嘉峪关市,620200,3.47292971611
76,20010318,甘肃省,620000,嘉峪关市,620200,6.03273048401
77,20010319,甘肃省,620000,嘉峪关市,620200,6.59823818207
78,20010320,甘肃省,620000,嘉峪关市,620200,7.76532564163
79,20010321,甘肃省,620000,嘉峪关市,620200,5.3593296051
80,20010322,甘肃省,620000,嘉峪关市,620200,7.49161701202
81,20010323,甘肃省,620000,嘉峪关市,620200,8.33936653137
82,20010324,甘肃省,620000,嘉峪关市,620200,6.02834739685
83,20010325,甘肃省,620000,嘉峪关市,620200,7.25126590729
84,20010326,甘肃省,620000,嘉峪关市,620200,6.80550317764
85,20010327,甘肃省,620000,嘉峪关市,620200,3.3708758831
86,20010328,甘肃省,620000,嘉峪关市,620200,8.14718866348
87,20010329,甘肃省,620000,嘉峪关市,620200,8.30806484222
88,20010330,甘肃省,620000,嘉峪关市,620200,11.1869094849
89,20010331,甘肃省,620000,嘉峪关市,620200,12.5285074234
90,20010401,甘肃省,620000,嘉峪关市,620200,12.4764749527
91,20010402,甘肃省,620000,嘉峪关市,620200,12.8782524109
92,20010403,甘肃省,620000,嘉峪关市,620200,8.36567897797
93,20010404,甘肃省,620000,嘉峪关市,620200,4.5137345314
94,20010405,甘肃省,620000,嘉峪关市,620200,10.383480835
95,20010406,甘肃省,620000,嘉峪关市,620200,7.76142416
96,20010407,甘肃省,620000,嘉峪关市,620200,9.08186511993
97,20010408,甘肃省,620000,嘉峪关市,620200,-5.07931060791
98,20010409,甘肃省,620000,嘉峪关市,620200,-2.77235736847
99,20010410,甘肃省,620000,嘉峪关市,620200,0.90473959446
100,20010411,甘肃省,620000,嘉峪关市,620200,6.54398145676
101,20010412,甘肃省,620000,嘉峪关市,620200,7.95850105286
102,20010413,甘肃省,620000,嘉峪关市,620200,6.1657793045
103,20010414,甘肃省,620000,嘉峪关市,620200,10.0069454193
104,20010415,甘肃省,620000,嘉峪关市,620200,13.7104021072
105,20010416,甘肃省,620000,嘉峪关市,620200,15.9813890457
106,20010417,甘肃省,620000,嘉峪关市,620200,15.4084381104
107,20010418,甘肃省,620000,嘉峪关市,620200,14.8669275284
108,20010419,甘肃省,620000,嘉峪关市,620200,10.5575035095
109,20010420,甘肃省,620000,嘉峪关市,620200,12.1274169922
110,20010421,甘肃省,620000,嘉峪关市,620200,14.1118469238
111,20010422,甘肃省,620000,嘉峪关市,620200,9.18949069977
112,20010423,甘肃省,620000,嘉峪关市,620200,9.10051670074
113,20010424,甘肃省,620000,嘉峪关市,620200,7.83781051636
114,20010425,甘肃省,620000,嘉峪关市,620200,9.98207759857
115,20010426,甘肃省,620000,嘉峪关市,620200,13.3655275345
116,20010427,甘肃省,620000,嘉峪关市,620200,10.4782405853
117,20010428,甘肃省,620000,嘉峪关市,620200,12.5007928848
118,20010429,甘肃省,620000,嘉峪关市,620200,8.36159420013
119,20010430,甘肃省,620000,嘉峪关市,620200,14.2893203735
120,20010501,甘肃省,620000,嘉峪关市,620200,14.7419303894
121,20010502,甘肃省,620000,嘉峪关市,620200,13.772428894
122,20010503,甘肃省,620000,嘉峪关市,620200,14.3978281021
123,20010504,甘肃省,620000,嘉峪关市,620200,16.8449043274
124,20010505,甘肃省,620000,嘉峪关市,620200,12.4837646484
125,20010506,甘肃省,620000,嘉峪关市,620200,11.8503089905
126,20010507,甘肃省,620000,嘉峪关市,620200,13.8741386414
127,20010508,甘肃省,620000,嘉峪关市,620200,15.6770040512
128,20010509,甘肃省,620000,嘉峪关市,620200,18.1346752167
129,20010510,甘肃省,620000,嘉峪关市,620200,18.8699501038
130,20010511,甘肃省,620000,嘉峪关市,620200,20.7824077606
131,20010512,甘肃省,620000,嘉峪关市,620200,20.7653018951
132,20010513,甘肃省,620000,嘉峪关市,620200,15.3955310822
133,20010514,甘肃省,620000,嘉峪关市,620200,12.5047060013
134,20010515,甘肃省,620000,嘉峪关市,620200,14.6552677155
135,20010516,甘肃省,620000,嘉峪关市,620200,18.1463588715
136,20010517,甘肃省,620000,嘉峪关市,620200,17.976184082
137,20010518,甘肃省,620000,嘉峪关市,620200,19.8153240204
138,20010519,甘肃省,620000,嘉峪关市,620200,22.0193962097
139,20010520,甘肃省,620000,嘉峪关市,620200,21.8108417511
140,20010521,甘肃省,620000,嘉峪关市,620200,19.2170677185
141,20010522,甘肃省,620000,嘉峪关市,620200,13.4807489395
142,20010523,甘肃省,620000,嘉峪关市,620200,14.0461111069
143,20010524,甘肃省,620000,嘉峪关市,620200,13.7292858124
144,20010525,甘肃省,620000,嘉峪关市,620200,13.7957595825
145,20010526,甘肃省,620000,嘉峪关市,620200,15.4471208572
146,20010527,甘肃省,620000,嘉峪关市,620200,18.0398422241
147,20010528,甘肃省,620000,嘉峪关市,620200,18.4655601501
148,20010529,甘肃省,620000,嘉峪关市,620200,18.3664604187
149,20010530,甘肃省,620000,嘉峪关市,620200,16.3852210999
150,20010531,甘肃省,620000,嘉峪关市,620200,18.2109237671
151,20010601,甘肃省,620000,嘉峪关市,620200,20.6349887848
152,20010602,甘肃省,620000,嘉峪关市,620200,21.7934135437
153,20010603,甘肃省,620000,嘉峪关市,620200,24.2681388855
154,20010604,甘肃省,620000,嘉峪关市,620200,20.405330658
155,20010605,甘肃省,620000,嘉峪关市,620200,18.1743099213
156,20010606,甘肃省,620000,嘉峪关市,620200,20.5778240204
157,20010607,甘肃省,620000,嘉峪关市,620200,21.8894264221
158,20010608,甘肃省,620000,嘉峪关市,620200,22.6653720856
159,20010609,甘肃省,620000,嘉峪关市,620200,21.6233348846
160,20010610,甘肃省,620000,嘉峪关市,620200,20.3013469696
161,20010611,甘肃省,620000,嘉峪关市,620200,22.9776454926
162,20010612,甘肃省,620000,嘉峪关市,620200,23.9902484894
163,20010613,甘肃省,620000,嘉峪关市,620200,21.4342849731
164,20010614,甘肃省,620000,嘉峪关市,620200,19.2899909973
165,20010615,甘肃省,620000,嘉峪关市,620200,19.3392715454
166,20010616,甘肃省,620000,嘉峪关市,620200,19.9080780029
167,20010617,甘肃省,620000,嘉峪关市,620200,21.5873561859
168,20010618,甘肃省,620000,嘉峪关市,620200,23.4509433746
169,20010619,甘肃省,620000,嘉峪关市,620200,22.7473480225
170,20010620,甘肃省,620000,嘉峪关市,620200,22.4378520966
171,20010621,甘肃省,620000,嘉峪关市,620200,22.9923404694
172,20010622,甘肃省,620000,嘉峪关市,620200,23.0170806885
173,20010623,甘肃省,620000,嘉峪关市,620200,24.1526515961
174,20010624,甘肃省,620000,嘉峪关市,620200,25.3878009796
175,20010625,甘肃省,620000,嘉峪关市,620200,20.5112007141
176,20010626,甘肃省,620000,嘉峪关市,620200,21.2682403564
177,20010627,甘肃省,620000,嘉峪关市,620200,22.1072044373
178,20010628,甘肃省,620000,嘉峪关市,620200,23.877053833
179,20010629,甘肃省,620000,嘉峪关市,620200,24.6374076843
180,20010630,甘肃省,620000,嘉峪关市,620200,22.4568843842
181,20010701,甘肃省,620000,嘉峪关市,620200,21.659721756
