,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,吉林省,220000,四平市,220300,-16.7674990382
1,20010102,吉林省,220000,四平市,220300,-19.3557667732
2,20010103,吉林省,220000,四平市,220300,-19.6739292145
3,20010104,吉林省,220000,四平市,220300,-23.0435688155
4,20010105,吉林省,220000,四平市,220300,-22.9326150758
5,20010106,吉林省,220000,四平市,220300,-14.6174246924
6,20010107,吉林省,220000,四平市,220300,-12.0541984013
7,20010108,吉林省,220000,四平市,220300,-13.4028121063
8,20010109,吉林省,220000,四平市,220300,-21.0614563397
9,20010110,吉林省,220000,四平市,220300,-24.9843728202
10,20010111,吉林省,220000,四平市,220300,-27.9745619638
11,20010112,吉林省,220000,四平市,220300,-27.3087305341
12,20010113,吉林省,220000,四平市,220300,-28.6097515651
13,20010114,吉林省,220000,四平市,220300,-28.485133103
14,20010115,吉林省,220000,四平市,220300,-26.4905969756
15,20010116,吉林省,220000,四平市,220300,-23.8888176509
16,20010117,吉林省,220000,四平市,220300,-16.5000366143
17,20010118,吉林省,220000,四平市,220300,-19.9434412548
18,20010119,吉林省,220000,四平市,220300,-19.018331119
19,20010120,吉林省,220000,四平市,220300,-18.2713826043
20,20010121,吉林省,220000,四平市,220300,-18.1343393326
21,20010122,吉林省,220000,四平市,220300,-18.9881693976
22,20010123,吉林省,220000,四平市,220300,-15.572050299
23,20010124,吉林省,220000,四平市,220300,-14.1606422492
24,20010125,吉林省,220000,四平市,220300,-15.2722374371
25,20010126,吉林省,220000,四平市,220300,-11.5026339463
26,20010127,吉林省,220000,四平市,220300,-13.7703291007
27,20010128,吉林省,220000,四平市,220300,-16.2301483835
28,20010129,吉林省,220000,四平市,220300,-13.8069425651
29,20010130,吉林省,220000,四平市,220300,-9.75769901276
30,20010131,吉林省,220000,四平市,220300,-11.1363200801
31,20010201,吉林省,220000,四平市,220300,-17.2056025778
32,20010202,吉林省,220000,四平市,220300,-22.2876014028
33,20010203,吉林省,220000,四平市,220300,-24.3471950803
34,20010204,吉林省,220000,四平市,220300,-21.4275450706
35,20010205,吉林省,220000,四平市,220300,-21.4211995942
36,20010206,吉林省,220000,四平市,220300,-22.7638259615
37,20010207,吉林省,220000,四平市,220300,-19.0319522449
38,20010208,吉林省,220000,四平市,220300,-13.2962540558
39,20010209,吉林省,220000,四平市,220300,-13.9449169636
40,20010210,吉林省,220000,四平市,220300,-19.3476798194
41,20010211,吉林省,220000,四平市,220300,-19.9036312784
42,20010212,吉林省,220000,四平市,220300,-16.2515507426
43,20010213,吉林省,220000,四平市,220300,-17.7439405578
44,20010214,吉林省,220000,四平市,220300,-16.5224922044
45,20010215,吉林省,220000,四平市,220300,-15.6787201677
46,20010216,吉林省,220000,四平市,220300,-9.79364149911
47,20010217,吉林省,220000,四平市,220300,-2.33027475221
48,20010218,吉林省,220000,四平市,220300,-3.69151009832
49,20010219,吉林省,220000,四平市,220300,-5.55333726747
50,20010220,吉林省,220000,四平市,220300,0.77271677088
51,20010221,吉林省,220000,四平市,220300,-0.843190926526
52,20010222,吉林省,220000,四平市,220300,-5.98329518523
53,20010223,吉林省,220000,四平市,220300,-10.6658955983
54,20010224,吉林省,220000,四平市,220300,-9.71696400642
55,20010225,吉林省,220000,四平市,220300,-7.08062883786
56,20010226,吉林省,220000,四平市,220300,-0.00143742887303
57,20010227,吉林省,220000,四平市,220300,-0.70513266325
58,20010228,吉林省,220000,四平市,220300,-1.41295551934
59,20010301,吉林省,220000,四平市,220300,-2.97929911954
60,20010302,吉林省,220000,四平市,220300,0.241510431615
61,20010303,吉林省,220000,四平市,220300,-4.27530006
62,20010304,吉林省,220000,四平市,220300,-7.83344905717
63,20010305,吉林省,220000,四平市,220300,-6.30426718507
64,20010306,吉林省,220000,四平市,220300,-9.31037725721
65,20010307,吉林省,220000,四平市,220300,-10.8787469523
66,20010308,吉林省,220000,四平市,220300,-9.88284856933
67,20010309,吉林省,220000,四平市,220300,-9.96564504078
68,20010310,吉林省,220000,四平市,220300,-7.70119200434
69,20010311,吉林省,220000,四平市,220300,-6.22740691049
70,20010312,吉林省,220000,四平市,220300,-1.33619360632
71,20010313,吉林省,220000,四平市,220300,4.44118736471
72,20010314,吉林省,220000,四平市,220300,-3.12924345902
73,20010315,吉林省,220000,四平市,220300,-1.30640947393
74,20010316,吉林省,220000,四平市,220300,4.12015375069
75,20010317,吉林省,220000,四平市,220300,5.34625906604
76,20010318,吉林省,220000,四平市,220300,6.97791210243
77,20010319,吉林省,220000,四平市,220300,8.72641425473
78,20010320,吉林省,220000,四平市,220300,0.00167416249003
79,20010321,吉林省,220000,四平市,220300,2.02424490838
80,20010322,吉林省,220000,四平市,220300,-1.17803283462
81,20010323,吉林省,220000,四平市,220300,0.772728873949
82,20010324,吉林省,220000,四平市,220300,0.443459017468
83,20010325,吉林省,220000,四平市,220300,-2.27433776855
84,20010326,吉林省,220000,四平市,220300,-3.51799583435
85,20010327,吉林省,220000,四平市,220300,-0.636929064989
86,20010328,吉林省,220000,四平市,220300,-0.351316861276
87,20010329,吉林省,220000,四平市,220300,0.617129597015
88,20010330,吉林省,220000,四平市,220300,1.51451236648
89,20010331,吉林省,220000,四平市,220300,4.48949217796
90,20010401,吉林省,220000,四平市,220300,7.20745618003
91,20010402,吉林省,220000,四平市,220300,3.6032487154
92,20010403,吉林省,220000,四平市,220300,5.8071481841
93,20010404,吉林省,220000,四平市,220300,8.84380705016
94,20010405,吉林省,220000,四平市,220300,6.36382980006
95,20010406,吉林省,220000,四平市,220300,9.60174741064
96,20010407,吉林省,220000,四平市,220300,10.6706165246
97,20010408,吉林省,220000,四平市,220300,12.6334710462
98,20010409,吉林省,220000,四平市,220300,10.4453526565
99,20010410,吉林省,220000,四平市,220300,6.36598348618
100,20010411,吉林省,220000,四平市,220300,4.72300027098
101,20010412,吉林省,220000,四平市,220300,7.016438944
102,20010413,吉林省,220000,四平市,220300,7.64765119553
103,20010414,吉林省,220000,四平市,220300,9.59373259544
104,20010415,吉林省,220000,四平市,220300,14.5230384214
105,20010416,吉林省,220000,四平市,220300,15.7403608731
106,20010417,吉林省,220000,四平市,220300,20.0139164925
107,20010418,吉林省,220000,四平市,220300,13.0589294434
108,20010419,吉林省,220000,四平市,220300,3.8909215842
109,20010420,吉林省,220000,四平市,220300,9.28324614252
110,20010421,吉林省,220000,四平市,220300,6.94037093435
111,20010422,吉林省,220000,四平市,220300,12.5564402853
112,20010423,吉林省,220000,四平市,220300,7.28345593384
113,20010424,吉林省,220000,四平市,220300,9.76144402368
114,20010425,吉林省,220000,四平市,220300,11.8483565535
115,20010426,吉林省,220000,四平市,220300,16.9288487434
116,20010427,吉林省,220000,四平市,220300,15.6187515259
117,20010428,吉林省,220000,四平市,220300,15.1896333354
118,20010429,吉林省,220000,四平市,220300,19.8911437988
119,20010430,吉林省,220000,四平市,220300,12.4479198796
120,20010501,吉林省,220000,四平市,220300,16.7746186938
121,20010502,吉林省,220000,四平市,220300,14.6953721046
122,20010503,吉林省,220000,四平市,220300,16.6125629629
123,20010504,吉林省,220000,四平市,220300,11.2008366585
124,20010505,吉林省,220000,四平市,220300,11.8476100309
125,20010506,吉林省,220000,四平市,220300,12.569314003
126,20010507,吉林省,220000,四平市,220300,14.2239108086
127,20010508,吉林省,220000,四平市,220300,12.7761513506
128,20010509,吉林省,220000,四平市,220300,12.1368005957
129,20010510,吉林省,220000,四平市,220300,10.4893663951
130,20010511,吉林省,220000,四平市,220300,18.0565487998
131,20010512,吉林省,220000,四平市,220300,23.6147659847
132,20010513,吉林省,220000,四平市,220300,25.7848975999
133,20010514,吉林省,220000,四平市,220300,19.9962187495
134,20010515,吉林省,220000,四平市,220300,13.5398589884
135,20010516,吉林省,220000,四平市,220300,18.8142265592
136,20010517,吉林省,220000,四平市,220300,21.4801955223
137,20010518,吉林省,220000,四平市,220300,17.0698288509
138,20010519,吉林省,220000,四平市,220300,22.9303826605
139,20010520,吉林省,220000,四平市,220300,25.5197992325
140,20010521,吉林省,220000,四平市,220300,24.9558770316
141,20010522,吉林省,220000,四平市,220300,22.2434948512
142,20010523,吉林省,220000,四平市,220300,22.6854696955
143,20010524,吉林省,220000,四平市,220300,18.4656952449
144,20010525,吉林省,220000,四平市,220300,13.8746040889
145,20010526,吉林省,220000,四平市,220300,18.0378283773
146,20010527,吉林省,220000,四平市,220300,23.2779859815
147,20010528,吉林省,220000,四平市,220300,20.3876139777
148,20010529,吉林省,220000,四平市,220300,15.0784393038
149,20010530,吉林省,220000,四平市,220300,16.3379910333
150,20010531,吉林省,220000,四平市,220300,19.5072029659
151,20010601,吉林省,220000,四平市,220300,22.0638004712
152,20010602,吉林省,220000,四平市,220300,25.4175101689
153,20010603,吉林省,220000,四平市,220300,28.1972334726
154,20010604,吉林省,220000,四平市,220300,29.8227307456
155,20010605,吉林省,220000,四平市,220300,28.0444683347
156,20010606,吉林省,220000,四平市,220300,21.6820812907
157,20010607,吉林省,220000,四平市,220300,23.5742513793
158,20010608,吉林省,220000,四平市,220300,24.6599002566
159,20010609,吉林省,220000,四平市,220300,24.6798599788
160,20010610,吉林省,220000,四平市,220300,24.5013534682
161,20010611,吉林省,220000,四平市,220300,20.5307892391
162,20010612,吉林省,220000,四平市,220300,23.7228576796
163,20010613,吉林省,220000,四平市,220300,22.624198573
164,20010614,吉林省,220000,四平市,220300,22.0567591531
165,20010615,吉林省,220000,四平市,220300,20.243794305
166,20010616,吉林省,220000,四平市,220300,20.0896644592
167,20010617,吉林省,220000,四平市,220300,19.1315043994
168,20010618,吉林省,220000,四平市,220300,20.5724714143
169,20010619,吉林省,220000,四平市,220300,21.2347550392
170,20010620,吉林省,220000,四平市,220300,23.615160329
171,20010621,吉林省,220000,四平市,220300,21.3332603318
172,20010622,吉林省,220000,四平市,220300,20.7769565582
173,20010623,吉林省,220000,四平市,220300,23.9354828426
174,20010624,吉林省,220000,四平市,220300,24.9089644296
175,20010625,吉林省,220000,四平市,220300,25.7573422023
176,20010626,吉林省,220000,四平市,220300,24.4512098857
177,20010627,吉林省,220000,四平市,220300,26.1289824077
178,20010628,吉林省,220000,四平市,220300,25.2038980893
179,20010629,吉林省,220000,四平市,220300,24.981010982
180,20010630,吉林省,220000,四平市,220300,21.915429524
181,20010701,吉林省,220000,四平市,220300,23.8212223734
182,20010702,吉林省,220000,四平市,220300,24.7398554257
183,20010703,吉林省,220000,四平市,220300,25.2196673666
184,20010704,吉林省,220000,四平市,220300,20.621509007
185,20010705,吉林省,220000,四平市,220300,25.3359502384
186,20010706,吉林省,220000,四平市,220300,26.8560000828
187,20010707,吉林省,220000,四平市,220300,26.7296352386
188,20010708,吉林省,220000,四平市,220300,25.706319809
189,20010709,吉林省,220000,四平市,220300,23.2696547508
190,20010710,吉林省,220000,四平市,220300,25.304162366
191,20010711,吉林省,220000,四平市,220300,24.0698183605
192,20010712,吉林省,220000,四平市,220300,21.8754790851
193,20010713,吉林省,220000,四平市,220300,24.9053327697
194,20010714,吉林省,220000,四平市,220300,25.6381070954
195,20010715,吉林省,220000,四平市,220300,25.1154863494
