,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,黑龙江省,230000,大兴安岭地区,232700,-34.8920677868
1,20010102,黑龙江省,230000,大兴安岭地区,232700,-29.243280157
2,20010103,黑龙江省,230000,大兴安岭地区,232700,-22.9381382793
3,20010104,黑龙江省,230000,大兴安岭地区,232700,-25.1493105757
4,20010105,黑龙江省,230000,大兴安岭地区,232700,-26.4502144822
5,20010106,黑龙江省,230000,大兴安岭地区,232700,-30.2033707068
6,20010107,黑龙江省,230000,大兴安岭地区,232700,-27.2717718947
7,20010108,黑龙江省,230000,大兴安岭地区,232700,-26.3988443952
8,20010109,黑龙江省,230000,大兴安岭地区,232700,-33.3483290366
9,20010110,黑龙江省,230000,大兴安岭地区,232700,-33.1420943059
10,20010111,黑龙江省,230000,大兴安岭地区,232700,-32.211589472
11,20010112,黑龙江省,230000,大兴安岭地区,232700,-30.4327701954
12,20010113,黑龙江省,230000,大兴安岭地区,232700,-29.6291053579
13,20010114,黑龙江省,230000,大兴安岭地区,232700,-27.9262081811
14,20010115,黑龙江省,230000,大兴安岭地区,232700,-29.1268540829
15,20010116,黑龙江省,230000,大兴安岭地区,232700,-31.3860393402
16,20010117,黑龙江省,230000,大兴安岭地区,232700,-33.673919844
17,20010118,黑龙江省,230000,大兴安岭地区,232700,-31.076215919
18,20010119,黑龙江省,230000,大兴安岭地区,232700,-30.8248000014
19,20010120,黑龙江省,230000,大兴安岭地区,232700,-32.6481250185
20,20010121,黑龙江省,230000,大兴安岭地区,232700,-31.5933843928
21,20010122,黑龙江省,230000,大兴安岭地区,232700,-29.646213864
22,20010123,黑龙江省,230000,大兴安岭地区,232700,-26.4019428743
23,20010124,黑龙江省,230000,大兴安岭地区,232700,-24.0155644198
24,20010125,黑龙江省,230000,大兴安岭地区,232700,-22.6620672646
25,20010126,黑龙江省,230000,大兴安岭地区,232700,-22.1357401314
26,20010127,黑龙江省,230000,大兴安岭地区,232700,-25.7418082788
27,20010128,黑龙江省,230000,大兴安岭地区,232700,-25.6321127568
28,20010129,黑龙江省,230000,大兴安岭地区,232700,-28.6977417097
29,20010130,黑龙江省,230000,大兴安岭地区,232700,-30.7147095182
30,20010131,黑龙江省,230000,大兴安岭地区,232700,-29.6740255881
31,20010201,黑龙江省,230000,大兴安岭地区,232700,-29.5603143272
32,20010202,黑龙江省,230000,大兴安岭地区,232700,-30.3727613239
33,20010203,黑龙江省,230000,大兴安岭地区,232700,-31.3344841353
34,20010204,黑龙江省,230000,大兴安岭地区,232700,-34.1783333437
35,20010205,黑龙江省,230000,大兴安岭地区,232700,-33.5612529702
36,20010206,黑龙江省,230000,大兴安岭地区,232700,-34.7637079046
37,20010207,黑龙江省,230000,大兴安岭地区,232700,-33.8554260096
38,20010208,黑龙江省,230000,大兴安岭地区,232700,-32.2342669636
39,20010209,黑龙江省,230000,大兴安岭地区,232700,-29.7352592748
40,20010210,黑龙江省,230000,大兴安岭地区,232700,-29.9349614502
41,20010211,黑龙江省,230000,大兴安岭地区,232700,-30.0573159052
42,20010212,黑龙江省,230000,大兴安岭地区,232700,-28.4434791617
43,20010213,黑龙江省,230000,大兴安岭地区,232700,-25.4937608964
44,20010214,黑龙江省,230000,大兴安岭地区,232700,-24.2829557646
45,20010215,黑龙江省,230000,大兴安岭地区,232700,-21.5605345385
46,20010216,黑龙江省,230000,大兴安岭地区,232700,-20.0000247168
47,20010217,黑龙江省,230000,大兴安岭地区,232700,-19.8659514943
48,20010218,黑龙江省,230000,大兴安岭地区,232700,-21.8814290335
49,20010219,黑龙江省,230000,大兴安岭地区,232700,-17.6606175746
50,20010220,黑龙江省,230000,大兴安岭地区,232700,-10.0483926371
51,20010221,黑龙江省,230000,大兴安岭地区,232700,-13.0836177966
52,20010222,黑龙江省,230000,大兴安岭地区,232700,-18.6391354176
53,20010223,黑龙江省,230000,大兴安岭地区,232700,-21.0228124934
54,20010224,黑龙江省,230000,大兴安岭地区,232700,-23.3871319097
55,20010225,黑龙江省,230000,大兴安岭地区,232700,-20.8150416645
56,20010226,黑龙江省,230000,大兴安岭地区,232700,-14.0230040944
57,20010227,黑龙江省,230000,大兴安岭地区,232700,-12.9273743804
58,20010228,黑龙江省,230000,大兴安岭地区,232700,-14.442306208
59,20010301,黑龙江省,230000,大兴安岭地区,232700,-17.540955526
60,20010302,黑龙江省,230000,大兴安岭地区,232700,-13.6094373651
61,20010303,黑龙江省,230000,大兴安岭地区,232700,-12.7186554069
62,20010304,黑龙江省,230000,大兴安岭地区,232700,-17.0082207251
63,20010305,黑龙江省,230000,大兴安岭地区,232700,-18.1467380392
64,20010306,黑龙江省,230000,大兴安岭地区,232700,-16.0096087849
65,20010307,黑龙江省,230000,大兴安岭地区,232700,-18.0311845289
66,20010308,黑龙江省,230000,大兴安岭地区,232700,-19.6159442849
67,20010309,黑龙江省,230000,大兴安岭地区,232700,-17.5991814202
68,20010310,黑龙江省,230000,大兴安岭地区,232700,-17.1971953112
69,20010311,黑龙江省,230000,大兴安岭地区,232700,-15.9240808093
70,20010312,黑龙江省,230000,大兴安岭地区,232700,-10.614807632
71,20010313,黑龙江省,230000,大兴安岭地区,232700,-12.794950074
72,20010314,黑龙江省,230000,大兴安岭地区,232700,-12.352008474
73,20010315,黑龙江省,230000,大兴安岭地区,232700,-12.4541305796
74,20010316,黑龙江省,230000,大兴安岭地区,232700,-6.0300928748
75,20010317,黑龙江省,230000,大兴安岭地区,232700,-4.57071948489
76,20010318,黑龙江省,230000,大兴安岭地区,232700,-7.28141736984
77,20010319,黑龙江省,230000,大兴安岭地区,232700,-6.9067614691
78,20010320,黑龙江省,230000,大兴安岭地区,232700,-11.0280052413
79,20010321,黑龙江省,230000,大兴安岭地区,232700,-12.723708938
80,20010322,黑龙江省,230000,大兴安岭地区,232700,-11.2365075492
81,20010323,黑龙江省,230000,大兴安岭地区,232700,-10.7402256585
82,20010324,黑龙江省,230000,大兴安岭地区,232700,-7.80544160047
83,20010325,黑龙江省,230000,大兴安岭地区,232700,-4.62382298216
84,20010326,黑龙江省,230000,大兴安岭地区,232700,-3.64408606455
85,20010327,黑龙江省,230000,大兴安岭地区,232700,-3.84724153947
86,20010328,黑龙江省,230000,大兴安岭地区,232700,-5.76437109545
87,20010329,黑龙江省,230000,大兴安岭地区,232700,-4.25585788488
88,20010330,黑龙江省,230000,大兴安岭地区,232700,-0.801401376728
89,20010331,黑龙江省,230000,大兴安岭地区,232700,0.277764875835
90,20010401,黑龙江省,230000,大兴安岭地区,232700,-0.678644883284
91,20010402,黑龙江省,230000,大兴安岭地区,232700,-3.7548812731
92,20010403,黑龙江省,230000,大兴安岭地区,232700,0.569311859151
93,20010404,黑龙江省,230000,大兴安岭地区,232700,0.467472369766
94,20010405,黑龙江省,230000,大兴安岭地区,232700,-2.11113651097
95,20010406,黑龙江省,230000,大兴安岭地区,232700,3.46484510778
96,20010407,黑龙江省,230000,大兴安岭地区,232700,4.13673184771
97,20010408,黑龙江省,230000,大兴安岭地区,232700,2.60602735543
98,20010409,黑龙江省,230000,大兴安岭地区,232700,2.7982036269
99,20010410,黑龙江省,230000,大兴安岭地区,232700,-1.12080966617
100,20010411,黑龙江省,230000,大兴安岭地区,232700,1.14113368957
101,20010412,黑龙江省,230000,大兴安岭地区,232700,0.761476071488
102,20010413,黑龙江省,230000,大兴安岭地区,232700,3.35681382669
103,20010414,黑龙江省,230000,大兴安岭地区,232700,0.741329944842
104,20010415,黑龙江省,230000,大兴安岭地区,232700,5.04366282449
105,20010416,黑龙江省,230000,大兴安岭地区,232700,-4.84244681922
106,20010417,黑龙江省,230000,大兴安岭地区,232700,-3.3844967963
107,20010418,黑龙江省,230000,大兴安岭地区,232700,-5.10009073446
108,20010419,黑龙江省,230000,大兴安岭地区,232700,-2.76092031188
109,20010420,黑龙江省,230000,大兴安岭地区,232700,-1.00130972649
110,20010421,黑龙江省,230000,大兴安岭地区,232700,1.79716288333
111,20010422,黑龙江省,230000,大兴安岭地区,232700,7.2977895168
112,20010423,黑龙江省,230000,大兴安岭地区,232700,3.95208806251
113,20010424,黑龙江省,230000,大兴安岭地区,232700,3.00584701497
114,20010425,黑龙江省,230000,大兴安岭地区,232700,6.05564424751
115,20010426,黑龙江省,230000,大兴安岭地区,232700,9.70951709835
116,20010427,黑龙江省,230000,大兴安岭地区,232700,14.49725204
117,20010428,黑龙江省,230000,大兴安岭地区,232700,6.15344368427
118,20010429,黑龙江省,230000,大兴安岭地区,232700,9.43898870311
119,20010430,黑龙江省,230000,大兴安岭地区,232700,8.9629765738
120,20010501,黑龙江省,230000,大兴安岭地区,232700,11.0172939476
121,20010502,黑龙江省,230000,大兴安岭地区,232700,9.14423744613
122,20010503,黑龙江省,230000,大兴安岭地区,232700,9.53627697043
