,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,山西省,140000,太原市,140100,-3.10446586328
1,20010102,山西省,140000,太原市,140100,-2.19586935464
2,20010103,山西省,140000,太原市,140100,-5.08270548372
3,20010104,山西省,140000,太原市,140100,-4.95853194068
4,20010105,山西省,140000,太原市,140100,-2.0070718036
5,20010106,山西省,140000,太原市,140100,-4.16906682183
6,20010107,山西省,140000,太原市,140100,-3.26736990143
7,20010108,山西省,140000,太原市,140100,-6.16656395968
8,20010109,山西省,140000,太原市,140100,-8.92071589302
9,20010110,山西省,140000,太原市,140100,-5.49559657714
10,20010111,山西省,140000,太原市,140100,-5.65116744883
11,20010112,山西省,140000,太原市,140100,-4.02091271737
12,20010113,山西省,140000,太原市,140100,-9.36884319081
13,20010114,山西省,140000,太原市,140100,-12.0388960558
14,20010115,山西省,140000,太原市,140100,-10.9327745999
15,20010116,山西省,140000,太原市,140100,-8.18154542586
16,20010117,山西省,140000,太原市,140100,-5.51969334658
17,20010118,山西省,140000,太原市,140100,-3.75482815855
18,20010119,山西省,140000,太原市,140100,-5.28310046476
19,20010120,山西省,140000,太原市,140100,-3.03458470457
20,20010121,山西省,140000,太原市,140100,-2.62921139773
21,20010122,山西省,140000,太原市,140100,-3.28195297017
22,20010123,山西省,140000,太原市,140100,-4.61829126582
23,20010124,山西省,140000,太原市,140100,-3.17631714484
24,20010125,山西省,140000,太原市,140100,-5.3113935134
25,20010126,山西省,140000,太原市,140100,-4.97360122905
26,20010127,山西省,140000,太原市,140100,-4.99126359996
27,20010128,山西省,140000,太原市,140100,-7.48923312916
28,20010129,山西省,140000,太原市,140100,-4.60821376127
29,20010130,山西省,140000,太原市,140100,-1.77815050588
30,20010131,山西省,140000,太原市,140100,-3.81323076697
31,20010201,山西省,140000,太原市,140100,-3.98105051938
32,20010202,山西省,140000,太原市,140100,-2.14554128226
33,20010203,山西省,140000,太原市,140100,-1.68341316195
34,20010204,山西省,140000,太原市,140100,-0.417825441766
35,20010205,山西省,140000,太原市,140100,-0.937209007495
36,20010206,山西省,140000,太原市,140100,-4.90521798414
37,20010207,山西省,140000,太原市,140100,-6.80172025456
38,20010208,山西省,140000,太原市,140100,-3.30782933095
39,20010209,山西省,140000,太原市,140100,-2.41476007069
40,20010210,山西省,140000,太原市,140100,-2.49335611568
41,20010211,山西省,140000,太原市,140100,-4.36022679946
42,20010212,山西省,140000,太原市,140100,-2.71190611054
43,20010213,山西省,140000,太原市,140100,-2.32260118513
44,20010214,山西省,140000,太原市,140100,2.04733700963
45,20010215,山西省,140000,太原市,140100,-2.62914844821
46,20010216,山西省,140000,太原市,140100,-0.254586857223
47,20010217,山西省,140000,太原市,140100,1.50949568608
48,20010218,山西省,140000,太原市,140100,4.95756809852
49,20010219,山西省,140000,太原市,140100,6.36201894985
50,20010220,山西省,140000,太原市,140100,3.64780897253
51,20010221,山西省,140000,太原市,140100,3.73344669623
52,20010222,山西省,140000,太原市,140100,5.93155120401
53,20010223,山西省,140000,太原市,140100,-0.950873674715
54,20010224,山西省,140000,太原市,140100,-2.91812342756
55,20010225,山西省,140000,太原市,140100,1.61031138897
56,20010226,山西省,140000,太原市,140100,1.79518553089
57,20010227,山西省,140000,太原市,140100,2.67958089885
58,20010228,山西省,140000,太原市,140100,4.53237098806
59,20010301,山西省,140000,太原市,140100,6.9208001249
60,20010302,山西省,140000,太原市,140100,4.56177348249
61,20010303,山西省,140000,太原市,140100,-0.113154454047
62,20010304,山西省,140000,太原市,140100,4.9899810763
63,20010305,山西省,140000,太原市,140100,5.87828717512
64,20010306,山西省,140000,太原市,140100,-2.7689985107
65,20010307,山西省,140000,太原市,140100,-3.95883380665
66,20010308,山西省,140000,太原市,140100,-1.66183210822
67,20010309,山西省,140000,太原市,140100,4.20439181608
68,20010310,山西省,140000,太原市,140100,4.27226330252
69,20010311,山西省,140000,太原市,140100,5.75677257426
70,20010312,山西省,140000,太原市,140100,8.88158927244
71,20010313,山西省,140000,太原市,140100,12.2686050639
72,20010314,山西省,140000,太原市,140100,4.36630896961
73,20010315,山西省,140000,太原市,140100,6.4127016348
74,20010316,山西省,140000,太原市,140100,4.22292928135
75,20010317,山西省,140000,太原市,140100,6.02393428017
76,20010318,山西省,140000,太原市,140100,7.72635574902
77,20010319,山西省,140000,太原市,140100,11.7801566965
78,20010320,山西省,140000,太原市,140100,11.2680216958
79,20010321,山西省,140000,太原市,140100,12.22171071
80,20010322,山西省,140000,太原市,140100,7.97808229222
81,20010323,山西省,140000,太原市,140100,12.130405426
82,20010324,山西省,140000,太原市,140100,11.8083636901
