,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,陕西省,610000,安康市,610900,5.27046888641
1,20010102,陕西省,610000,安康市,610900,4.9998807822
2,20010103,陕西省,610000,安康市,610900,5.10395660996
3,20010104,陕西省,610000,安康市,610900,4.91931977017
4,20010105,陕西省,610000,安康市,610900,3.8895458281
5,20010106,陕西省,610000,安康市,610900,3.40677213616
6,20010107,陕西省,610000,安康市,610900,3.90132075974
7,20010108,陕西省,610000,安康市,610900,2.06969862218
8,20010109,陕西省,610000,安康市,610900,2.72953856311
9,20010110,陕西省,610000,安康市,610900,2.44094577432
10,20010111,陕西省,610000,安康市,610900,3.4734641271
11,20010112,陕西省,610000,安康市,610900,3.52352435248
12,20010113,陕西省,610000,安康市,610900,4.1114355943
13,20010114,陕西省,610000,安康市,610900,2.65585476646
14,20010115,陕西省,610000,安康市,610900,3.19008920631
15,20010116,陕西省,610000,安康市,610900,2.37508673913
16,20010117,陕西省,610000,安康市,610900,1.81167275512
17,20010118,陕西省,610000,安康市,610900,4.50875727619
18,20010119,陕西省,610000,安康市,610900,4.36760833008
19,20010120,陕西省,610000,安康市,610900,3.85729879141
20,20010121,陕西省,610000,安康市,610900,3.69177140296
21,20010122,陕西省,610000,安康市,610900,3.92003035971
22,20010123,陕西省,610000,安康市,610900,1.1321560787
23,20010124,陕西省,610000,安康市,610900,0.696709734654
24,20010125,陕西省,610000,安康市,610900,0.567302895311
25,20010126,陕西省,610000,安康市,610900,1.62333555676
26,20010127,陕西省,610000,安康市,610900,2.30856463681
27,20010128,陕西省,610000,安康市,610900,2.66681179038
28,20010129,陕西省,610000,安康市,610900,4.77755783924
29,20010130,陕西省,610000,安康市,610900,5.96540657112
30,20010131,陕西省,610000,安康市,610900,6.3297620288
31,20010201,陕西省,610000,安康市,610900,5.3361729128
32,20010202,陕西省,610000,安康市,610900,6.30256608129
33,20010203,陕西省,610000,安康市,610900,6.57953262329
34,20010204,陕西省,610000,安康市,610900,7.31791118213
35,20010205,陕西省,610000,安康市,610900,5.02153199485
36,20010206,陕西省,610000,安康市,610900,4.79232967964
37,20010207,陕西省,610000,安康市,610900,5.76385321362
38,20010208,陕西省,610000,安康市,610900,5.14384104099
39,20010209,陕西省,610000,安康市,610900,6.13845039265
40,20010210,陕西省,610000,安康市,610900,8.35071146488
41,20010211,陕西省,610000,安康市,610900,4.35585255069
42,20010212,陕西省,610000,安康市,610900,2.47903944249
43,20010213,陕西省,610000,安康市,610900,4.14552787798
44,20010214,陕西省,610000,安康市,610900,5.38688873393
45,20010215,陕西省,610000,安康市,610900,6.92678174802
46,20010216,陕西省,610000,安康市,610900,7.56877108983
47,20010217,陕西省,610000,安康市,610900,8.95434377875
48,20010218,陕西省,610000,安康市,610900,10.673995597
49,20010219,陕西省,610000,安康市,610900,10.3757953899
50,20010220,陕西省,610000,安康市,610900,8.31223883799
51,20010221,陕西省,610000,安康市,610900,8.89862691505
52,20010222,陕西省,610000,安康市,610900,9.14212513821
53,20010223,陕西省,610000,安康市,610900,9.13583526441
54,20010224,陕西省,610000,安康市,610900,7.97446330105
55,20010225,陕西省,610000,安康市,610900,6.13711887598
56,20010226,陕西省,610000,安康市,610900,4.40407452413
57,20010227,陕西省,610000,安康市,610900,6.05642357894
58,20010228,陕西省,610000,安康市,610900,8.25084625823
59,20010301,陕西省,610000,安康市,610900,10.6433344569
60,20010302,陕西省,610000,安康市,610900,10.7168866396
61,20010303,陕西省,610000,安康市,610900,9.44551146882
62,20010304,陕西省,610000,安康市,610900,11.0611400775
63,20010305,陕西省,610000,安康市,610900,12.0808643784
64,20010306,陕西省,610000,安康市,610900,11.5995032021
65,20010307,陕西省,610000,安康市,610900,5.90874617015
66,20010308,陕西省,610000,安康市,610900,7.95496617045
67,20010309,陕西省,610000,安康市,610900,9.4462317058
68,20010310,陕西省,610000,安康市,610900,12.2582754067
69,20010311,陕西省,610000,安康市,610900,12.5081541368
70,20010312,陕西省,610000,安康市,610900,13.6801645245
71,20010313,陕西省,610000,安康市,610900,15.3282583611
72,20010314,陕西省,610000,安康市,610900,16.3127733639
73,20010315,陕西省,610000,安康市,610900,8.34491812331
74,20010316,陕西省,610000,安康市,610900,6.82130382742
75,20010317,陕西省,610000,安康市,610900,11.1806922129
76,20010318,陕西省,610000,安康市,610900,11.7426991463
77,20010319,陕西省,610000,安康市,610900,12.2771010569
78,20010320,陕西省,610000,安康市,610900,14.5217252629
79,20010321,陕西省,610000,安康市,610900,16.402936118
80,20010322,陕西省,610000,安康市,610900,15.2812140499
81,20010323,陕西省,610000,安康市,610900,13.0044856923
82,20010324,陕西省,610000,安康市,610900,13.1680742673
83,20010325,陕西省,610000,安康市,610900,14.6275193351
84,20010326,陕西省,610000,安康市,610900,14.3862811497
85,20010327,陕西省,610000,安康市,610900,13.880037461
86,20010328,陕西省,610000,安康市,610900,11.6055256469
87,20010329,陕西省,610000,安康市,610900,13.7591113022
88,20010330,陕西省,610000,安康市,610900,16.7103196212
89,20010331,陕西省,610000,安康市,610900,15.1741735595
90,20010401,陕西省,610000,安康市,610900,14.9055521318
91,20010402,陕西省,610000,安康市,610900,17.6147827421
92,20010403,陕西省,610000,安康市,610900,17.7727438552
93,20010404,陕西省,610000,安康市,610900,16.3608223881
94,20010405,陕西省,610000,安康市,610900,16.2405642782
95,20010406,陕西省,610000,安康市,610900,16.1439982482
96,20010407,陕西省,610000,安康市,610900,16.6727759668
97,20010408,陕西省,610000,安康市,610900,18.2396147592
98,20010409,陕西省,610000,安康市,610900,7.56497562783
99,20010410,陕西省,610000,安康市,610900,4.57845708302
100,20010411,陕西省,610000,安康市,610900,8.9188775335
101,20010412,陕西省,610000,安康市,610900,12.7442664078
102,20010413,陕西省,610000,安康市,610900,15.3583784444
103,20010414,陕西省,610000,安康市,610900,14.1070009811
104,20010415,陕西省,610000,安康市,610900,16.7493754455
105,20010416,陕西省,610000,安康市,610900,18.4408603396
106,20010417,陕西省,610000,安康市,610900,19.5662123135
107,20010418,陕西省,610000,安康市,610900,21.3255761351
108,20010419,陕西省,610000,安康市,610900,19.5835975919
109,20010420,陕西省,610000,安康市,610900,12.2484152828
110,20010421,陕西省,610000,安康市,610900,9.2960741009
111,20010422,陕西省,610000,安康市,610900,10.619249974
112,20010423,陕西省,610000,安康市,610900,12.5157771281
113,20010424,陕西省,610000,安康市,610900,12.7462734495
114,20010425,陕西省,610000,安康市,610900,14.7921594211
115,20010426,陕西省,610000,安康市,610900,17.2817317588
116,20010427,陕西省,610000,安康市,610900,17.5690480641
117,20010428,陕西省,610000,安康市,610900,16.1752108846
118,20010429,陕西省,610000,安康市,610900,19.3826545988
119,20010430,陕西省,610000,安康市,610900,14.8014588015
120,20010501,陕西省,610000,安康市,610900,17.7366768292
121,20010502,陕西省,610000,安康市,610900,19.3129758154
122,20010503,陕西省,610000,安康市,610900,19.8839091233
123,20010504,陕西省,610000,安康市,610900,15.7721486603
124,20010505,陕西省,610000,安康市,610900,18.5389031683
125,20010506,陕西省,610000,安康市,610900,21.9359389714
126,20010507,陕西省,610000,安康市,610900,19.6060830525
127,20010508,陕西省,610000,安康市,610900,20.7893915176
128,20010509,陕西省,610000,安康市,610900,18.8900562354
129,20010510,陕西省,610000,安康市,610900,20.9854980196
130,20010511,陕西省,610000,安康市,610900,22.5536389351
131,20010512,陕西省,610000,安康市,610900,21.6849455833
132,20010513,陕西省,610000,安康市,610900,23.6124315943
133,20010514,陕西省,610000,安康市,610900,23.5264856134
134,20010515,陕西省,610000,安康市,610900,21.637609039
135,20010516,陕西省,610000,安康市,610900,17.7330117055
136,20010517,陕西省,610000,安康市,610900,16.998832362
137,20010518,陕西省,610000,安康市,610900,21.0118125166
