,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,贵州省,520000,安顺市,520400,9.34677706162
1,20010102,贵州省,520000,安顺市,520400,6.97940305869
2,20010103,贵州省,520000,安顺市,520400,6.72543688615
3,20010104,贵州省,520000,安顺市,520400,7.74373141925
4,20010105,贵州省,520000,安顺市,520400,9.37138473988
5,20010106,贵州省,520000,安顺市,520400,11.8096479177
6,20010107,贵州省,520000,安顺市,520400,14.407307148
7,20010108,贵州省,520000,安顺市,520400,10.7678660154
8,20010109,贵州省,520000,安顺市,520400,4.1831142207
9,20010110,贵州省,520000,安顺市,520400,6.17105547587
10,20010111,贵州省,520000,安顺市,520400,8.58156547944
11,20010112,贵州省,520000,安顺市,520400,6.87948401769
12,20010113,贵州省,520000,安顺市,520400,9.17906256517
13,20010114,贵州省,520000,安顺市,520400,5.10945185026
14,20010115,贵州省,520000,安顺市,520400,4.60840980212
15,20010116,贵州省,520000,安顺市,520400,7.26090679566
16,20010117,贵州省,520000,安顺市,520400,8.65727114677
17,20010118,贵州省,520000,安顺市,520400,10.9281880061
18,20010119,贵州省,520000,安顺市,520400,9.83013617992
19,20010120,贵州省,520000,安顺市,520400,10.7870966196
20,20010121,贵州省,520000,安顺市,520400,13.3950865666
21,20010122,贵州省,520000,安顺市,520400,12.8144142628
22,20010123,贵州省,520000,安顺市,520400,11.8979683121
23,20010124,贵州省,520000,安顺市,520400,7.96026735504
24,20010125,贵州省,520000,安顺市,520400,4.2697181354
25,20010126,贵州省,520000,安顺市,520400,5.58329249422
26,20010127,贵州省,520000,安顺市,520400,4.34167327483
27,20010128,贵州省,520000,安顺市,520400,4.43011709054
28,20010129,贵州省,520000,安顺市,520400,6.64245237907
29,20010130,贵州省,520000,安顺市,520400,7.84089191755
30,20010131,贵州省,520000,安顺市,520400,6.65605725845
31,20010201,贵州省,520000,安顺市,520400,4.01415011287
32,20010202,贵州省,520000,安顺市,520400,3.80264709393
33,20010203,贵州省,520000,安顺市,520400,5.05784930785
34,20010204,贵州省,520000,安顺市,520400,7.52194660902
35,20010205,贵州省,520000,安顺市,520400,12.0427434842
36,20010206,贵州省,520000,安顺市,520400,9.36683527629
37,20010207,贵州省,520000,安顺市,520400,8.12235263983
38,20010208,贵州省,520000,安顺市,520400,4.61793504159
39,20010209,贵州省,520000,安顺市,520400,4.69475113352
40,20010210,贵州省,520000,安顺市,520400,6.61225308975
41,20010211,贵州省,520000,安顺市,520400,6.83459184567
42,20010212,贵州省,520000,安顺市,520400,6.20408910513
43,20010213,贵州省,520000,安顺市,520400,4.52525476615
44,20010214,贵州省,520000,安顺市,520400,7.8508794109
45,20010215,贵州省,520000,安顺市,520400,8.05915437142
46,20010216,贵州省,520000,安顺市,520400,9.85771588484
47,20010217,贵州省,520000,安顺市,520400,11.493059357
48,20010218,贵州省,520000,安顺市,520400,13.3646818797
49,20010219,贵州省,520000,安顺市,520400,14.1153008143
50,20010220,贵州省,520000,安顺市,520400,14.8357243538
51,20010221,贵州省,520000,安顺市,520400,15.7232039372
52,20010222,贵州省,520000,安顺市,520400,18.5087889036
53,20010223,贵州省,520000,安顺市,520400,16.6128145456
54,20010224,贵州省,520000,安顺市,520400,9.27048834165
55,20010225,贵州省,520000,安顺市,520400,5.71524112423
56,20010226,贵州省,520000,安顺市,520400,7.99405850967
57,20010227,贵州省,520000,安顺市,520400,7.44364893436
58,20010228,贵州省,520000,安顺市,520400,8.84994035959
59,20010301,贵州省,520000,安顺市,520400,11.8297930559
60,20010302,贵州省,520000,安顺市,520400,11.0315453211
61,20010303,贵州省,520000,安顺市,520400,10.4999009768
62,20010304,贵州省,520000,安顺市,520400,13.1467568477
63,20010305,贵州省,520000,安顺市,520400,14.5318746567
64,20010306,贵州省,520000,安顺市,520400,15.3394119342
65,20010307,贵州省,520000,安顺市,520400,10.4980239868
66,20010308,贵州省,520000,安顺市,520400,8.32320670287
67,20010309,贵州省,520000,安顺市,520400,8.48604569832
68,20010310,贵州省,520000,安顺市,520400,9.78868488471
69,20010311,贵州省,520000,安顺市,520400,10.8463534117
70,20010312,贵州省,520000,安顺市,520400,13.3095393578
71,20010313,贵州省,520000,安顺市,520400,15.4743910631
72,20010314,贵州省,520000,安顺市,520400,17.3786893686
73,20010315,贵州省,520000,安顺市,520400,19.4791347186
74,20010316,贵州省,520000,安顺市,520400,19.2327388922
75,20010317,贵州省,520000,安顺市,520400,14.035167257
76,20010318,贵州省,520000,安顺市,520400,13.4875849088
77,20010319,贵州省,520000,安顺市,520400,13.8975404501
78,20010320,贵州省,520000,安顺市,520400,14.8022562265
79,20010321,贵州省,520000,安顺市,520400,19.9417080879
80,20010322,贵州省,520000,安顺市,520400,22.0298502445
81,20010323,贵州省,520000,安顺市,520400,21.8530990283
82,20010324,贵州省,520000,安顺市,520400,16.8999801079
83,20010325,贵州省,520000,安顺市,520400,12.3584540685
84,20010326,贵州省,520000,安顺市,520400,13.7601799965
85,20010327,贵州省,520000,安顺市,520400,16.3252285719
86,20010328,贵州省,520000,安顺市,520400,12.4550068776
87,20010329,贵州省,520000,安顺市,520400,14.7961353064
88,20010330,贵州省,520000,安顺市,520400,16.6558197339
89,20010331,贵州省,520000,安顺市,520400,14.2509624561
90,20010401,贵州省,520000,安顺市,520400,15.0746889512
91,20010402,贵州省,520000,安顺市,520400,16.976140976
92,20010403,贵州省,520000,安顺市,520400,17.539446036
93,20010404,贵州省,520000,安顺市,520400,15.7235888243
94,20010405,贵州省,520000,安顺市,520400,15.7765584389
95,20010406,贵州省,520000,安顺市,520400,18.8467089335
96,20010407,贵州省,520000,安顺市,520400,20.3363965352
97,20010408,贵州省,520000,安顺市,520400,22.2641996543
98,20010409,贵州省,520000,安顺市,520400,22.3872212569
99,20010410,贵州省,520000,安顺市,520400,10.6928143501
100,20010411,贵州省,520000,安顺市,520400,10.065172116
101,20010412,贵州省,520000,安顺市,520400,13.6290820042
102,20010413,贵州省,520000,安顺市,520400,17.5612707933
103,20010414,贵州省,520000,安顺市,520400,15.3592354059
104,20010415,贵州省,520000,安顺市,520400,14.8381586075
105,20010416,贵州省,520000,安顺市,520400,16.4230443239
106,20010417,贵州省,520000,安顺市,520400,18.4547067483
107,20010418,贵州省,520000,安顺市,520400,21.5289125443
108,20010419,贵州省,520000,安顺市,520400,23.9734309514
109,20010420,贵州省,520000,安顺市,520400,23.1225061417
110,20010421,贵州省,520000,安顺市,520400,15.5991864602
111,20010422,贵州省,520000,安顺市,520400,12.6923676729
112,20010423,贵州省,520000,安顺市,520400,14.0549371243
113,20010424,贵州省,520000,安顺市,520400,13.7549750408
114,20010425,贵州省,520000,安顺市,520400,14.8038728237
115,20010426,贵州省,520000,安顺市,520400,16.4504627387
116,20010427,贵州省,520000,安顺市,520400,21.6868834496
117,20010428,贵州省,520000,安顺市,520400,22.6620636781
118,20010429,贵州省,520000,安顺市,520400,22.9701899687
119,20010430,贵州省,520000,安顺市,520400,15.8099478086
120,20010501,贵州省,520000,安顺市,520400,17.3593271971
121,20010502,贵州省,520000,安顺市,520400,20.2326303323
122,20010503,贵州省,520000,安顺市,520400,21.7100460529
123,20010504,贵州省,520000,安顺市,520400,22.044555823
124,20010505,贵州省,520000,安顺市,520400,21.9386812051
125,20010506,贵州省,520000,安顺市,520400,23.9028980732
126,20010507,贵州省,520000,安顺市,520400,20.2700767517
127,20010508,贵州省,520000,安顺市,520400,16.0833681424
128,20010509,贵州省,520000,安顺市,520400,14.8362779617
129,20010510,贵州省,520000,安顺市,520400,15.3734993537
130,20010511,贵州省,520000,安顺市,520400,17.6424854994
131,20010512,贵州省,520000,安顺市,520400,19.6107974847
132,20010513,贵州省,520000,安顺市,520400,21.5711263816
133,20010514,贵州省,520000,安顺市,520400,17.4236690203
134,20010515,贵州省,520000,安顺市,520400,16.0846273899
135,20010516,贵州省,520000,安顺市,520400,18.3236269156
136,20010517,贵州省,520000,安顺市,520400,18.4298712413
137,20010518,贵州省,520000,安顺市,520400,17.4570987225
138,20010519,贵州省,520000,安顺市,520400,21.2265516917
139,20010520,贵州省,520000,安顺市,520400,21.4357008139
140,20010521,贵州省,520000,安顺市,520400,21.5519973437
141,20010522,贵州省,520000,安顺市,520400,23.6614931424
142,20010523,贵州省,520000,安顺市,520400,24.1401894887
143,20010524,贵州省,520000,安顺市,520400,20.3709763686
144,20010525,贵州省,520000,安顺市,520400,20.4818065961
145,20010526,贵州省,520000,安顺市,520400,18.7117129962
146,20010527,贵州省,520000,安顺市,520400,17.2537065347
147,20010528,贵州省,520000,安顺市,520400,17.967555205
148,20010529,贵州省,520000,安顺市,520400,16.6924735308
