,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,江西省,360000,宜春市,360900,8.4926010587
1,20010102,江西省,360000,宜春市,360900,8.19154158506
2,20010103,江西省,360000,宜春市,360900,7.67628721757
3,20010104,江西省,360000,宜春市,360900,9.05129525878
4,20010105,江西省,360000,宜春市,360900,9.09964429248
5,20010106,江西省,360000,宜春市,360900,9.32526004314
6,20010107,江西省,360000,宜春市,360900,8.39898952571
7,20010108,江西省,360000,宜春市,360900,6.27477301251
8,20010109,江西省,360000,宜春市,360900,3.36625264991
9,20010110,江西省,360000,宜春市,360900,4.30972392451
10,20010111,江西省,360000,宜春市,360900,5.50760543346
11,20010112,江西省,360000,宜春市,360900,5.30133291808
12,20010113,江西省,360000,宜春市,360900,5.63977130977
13,20010114,江西省,360000,宜春市,360900,4.17694147608
14,20010115,江西省,360000,宜春市,360900,3.48502635956
15,20010116,江西省,360000,宜春市,360900,6.28077298945
16,20010117,江西省,360000,宜春市,360900,8.0303314274
17,20010118,江西省,360000,宜春市,360900,8.45042466034
18,20010119,江西省,360000,宜春市,360900,9.39557114514
19,20010120,江西省,360000,宜春市,360900,8.8337477554
20,20010121,江西省,360000,宜春市,360900,9.23034850034
21,20010122,江西省,360000,宜春市,360900,6.81887574629
22,20010123,江西省,360000,宜春市,360900,6.4185894511
23,20010124,江西省,360000,宜春市,360900,3.99881992557
24,20010125,江西省,360000,宜春市,360900,2.06653710929
25,20010126,江西省,360000,宜春市,360900,1.69839781794
26,20010127,江西省,360000,宜春市,360900,2.77729291266
27,20010128,江西省,360000,宜春市,360900,5.09030974995
28,20010129,江西省,360000,宜春市,360900,6.29898265275
29,20010130,江西省,360000,宜春市,360900,9.1125014912
30,20010131,江西省,360000,宜春市,360900,7.84053597667
31,20010201,江西省,360000,宜春市,360900,5.30600939014
32,20010202,江西省,360000,宜春市,360900,5.46055492488
33,20010203,江西省,360000,宜春市,360900,4.9020196958
34,20010204,江西省,360000,宜春市,360900,6.73667753826
35,20010205,江西省,360000,宜春市,360900,8.10974457047
36,20010206,江西省,360000,宜春市,360900,6.55249579386
37,20010207,江西省,360000,宜春市,360900,3.91835892742
38,20010208,江西省,360000,宜春市,360900,5.14505318078
39,20010209,江西省,360000,宜春市,360900,4.62296288664
40,20010210,江西省,360000,宜春市,360900,7.77634160085
41,20010211,江西省,360000,宜春市,360900,8.06081218069
42,20010212,江西省,360000,宜春市,360900,4.99184923822
43,20010213,江西省,360000,宜春市,360900,3.01799758998
44,20010214,江西省,360000,宜春市,360900,4.73905683648
45,20010215,江西省,360000,宜春市,360900,7.63679862022
46,20010216,江西省,360000,宜春市,360900,9.56468961456
47,20010217,江西省,360000,宜春市,360900,10.8582427285
48,20010218,江西省,360000,宜春市,360900,13.7614465193
