,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,海南省,460000,屯昌县,469022,18.9731432597
1,20010102,海南省,460000,屯昌县,469022,21.0292193095
2,20010103,海南省,460000,屯昌县,469022,21.9463157654
3,20010104,海南省,460000,屯昌县,469022,21.6084270477
4,20010105,海南省,460000,屯昌县,469022,21.2104873657
5,20010106,海南省,460000,屯昌县,469022,21.9462909698
6,20010107,海南省,460000,屯昌县,469022,22.323067983
7,20010108,海南省,460000,屯昌县,469022,22.3143939972
8,20010109,海南省,460000,屯昌县,469022,20.8215910594
9,20010110,海南省,460000,屯昌县,469022,18.7409420013
10,20010111,海南省,460000,屯昌县,469022,20.8702990214
11,20010112,海南省,460000,屯昌县,469022,22.8261502584
12,20010113,海南省,460000,屯昌县,469022,18.4478232066
13,20010114,海南省,460000,屯昌县,469022,19.477408727
14,20010115,海南省,460000,屯昌县,469022,17.5219643911
15,20010116,海南省,460000,屯昌县,469022,17.3205858866
16,20010117,海南省,460000,屯昌县,469022,20.7031968435
17,20010118,海南省,460000,屯昌县,469022,21.3401012421
18,20010119,海南省,460000,屯昌县,469022,22.1046854655
19,20010120,海南省,460000,屯昌县,469022,22.4195340474
20,20010121,海南省,460000,屯昌县,469022,23.1179409027
21,20010122,海南省,460000,屯昌县,469022,23.738064448
22,20010123,海南省,460000,屯昌县,469022,24.1801821391
23,20010124,海南省,460000,屯昌县,469022,24.9339981079
24,20010125,海南省,460000,屯昌县,469022,23.6685441335
25,20010126,海南省,460000,屯昌县,469022,15.3960720698
26,20010127,海南省,460000,屯昌县,469022,15.2862828573
27,20010128,海南省,460000,屯昌县,469022,13.3883968989
28,20010129,海南省,460000,屯昌县,469022,15.3955170314
29,20010130,海南省,460000,屯昌县,469022,18.4999898275
30,20010131,海南省,460000,屯昌县,469022,20.9057477315
31,20010201,海南省,460000,屯昌县,469022,19.4745101929
32,20010202,海南省,460000,屯昌县,469022,17.7009359996
33,20010203,海南省,460000,屯昌县,469022,19.2552998861
34,20010204,海南省,460000,屯昌县,469022,16.5636571248
35,20010205,海南省,460000,屯昌县,469022,20.945037206
36,20010206,海南省,460000,屯昌县,469022,22.8290812174
37,20010207,海南省,460000,屯昌县,469022,21.3680146535
38,20010208,海南省,460000,屯昌县,469022,18.2077344259
39,20010209,海南省,460000,屯昌县,469022,18.1924063365
40,20010210,海南省,460000,屯昌县,469022,15.2170225779
41,20010211,海南省,460000,屯昌县,469022,20.2207241058
42,20010212,海南省,460000,屯昌县,469022,20.7156855265
43,20010213,海南省,460000,屯昌县,469022,18.8419335683
44,20010214,海南省,460000,屯昌县,469022,14.894376119
45,20010215,海南省,460000,屯昌县,469022,17.1660480499
46,20010216,海南省,460000,屯昌县,469022,18.6351095835
47,20010217,海南省,460000,屯昌县,469022,20.7681833903
48,20010218,海南省,460000,屯昌县,469022,21.6781012217
49,20010219,海南省,460000,屯昌县,469022,21.5093377431
50,20010220,海南省,460000,屯昌县,469022,21.6403427124
51,20010221,海南省,460000,屯昌县,469022,23.0595995585
52,20010222,海南省,460000,屯昌县,469022,23.8345896403
53,20010223,海南省,460000,屯昌县,469022,24.2054246267
54,20010224,海南省,460000,屯昌县,469022,23.4302749634
55,20010225,海南省,460000,屯昌县,469022,19.0737279256
56,20010226,海南省,460000,屯昌县,469022,19.7152989705
57,20010227,海南省,460000,屯昌县,469022,21.4015254974
58,20010228,海南省,460000,屯昌县,469022,18.660861969
59,20010301,海南省,460000,屯昌县,469022,18.3508879344
60,20010302,海南省,460000,屯昌县,469022,21.6747843424
61,20010303,海南省,460000,屯昌县,469022,22.1062978109
62,20010304,海南省,460000,屯昌县,469022,20.2366555532
63,20010305,海南省,460000,屯昌县,469022,22.1637763977
64,20010306,海南省,460000,屯昌县,469022,22.9697729747
65,20010307,海南省,460000,屯昌县,469022,23.4290447235
66,20010308,海南省,460000,屯昌县,469022,19.6130809784
67,20010309,海南省,460000,屯昌县,469022,18.8358008067
68,20010310,海南省,460000,屯昌县,469022,21.876194636
69,20010311,海南省,460000,屯昌县,469022,20.2260214488
70,20010312,海南省,460000,屯昌县,469022,18.7513955434
71,20010313,海南省,460000,屯昌县,469022,21.8050053914
72,20010314,海南省,460000,屯昌县,469022,23.3610636393
73,20010315,海南省,460000,屯昌县,469022,23.5686963399
74,20010316,海南省,460000,屯昌县,469022,24.7444572449
75,20010317,海南省,460000,屯昌县,469022,25.8214823405
76,20010318,海南省,460000,屯昌县,469022,25.8079331716
77,20010319,海南省,460000,屯昌县,469022,25.8363342285
78,20010320,海南省,460000,屯昌县,469022,25.2593110402
79,20010321,海南省,460000,屯昌县,469022,24.9459031423
80,20010322,海南省,460000,屯昌县,469022,26.532965978
81,20010323,海南省,460000,屯昌县,469022,27.9511089325
82,20010324,海南省,460000,屯昌县,469022,28.3237864176
83,20010325,海南省,460000,屯昌县,469022,25.6741752625
84,20010326,海南省,460000,屯昌县,469022,22.5248483022
85,20010327,海南省,460000,屯昌县,469022,22.9809799194
86,20010328,海南省,460000,屯昌县,469022,24.3062896729
87,20010329,海南省,460000,屯昌县,469022,21.8726196289
88,20010330,海南省,460000,屯昌县,469022,23.5128568014
89,20010331,海南省,460000,屯昌县,469022,24.9617379506
90,20010401,海南省,460000,屯昌县,469022,24.3655605316
91,20010402,海南省,460000,屯昌县,469022,25.578816096
92,20010403,海南省,460000,屯昌县,469022,27.2044200897
93,20010404,海南省,460000,屯昌县,469022,27.2559172312
94,20010405,海南省,460000,屯昌县,469022,26.4391791026
95,20010406,海南省,460000,屯昌县,469022,27.1438280741
96,20010407,海南省,460000,屯昌县,469022,27.9548130035
97,20010408,海南省,460000,屯昌县,469022,29.6110305786
98,20010409,海南省,460000,屯昌县,469022,29.9584077199
99,20010410,海南省,460000,屯昌县,469022,29.3419806163
100,20010411,海南省,460000,屯昌县,469022,18.3947366079
101,20010412,海南省,460000,屯昌县,469022,18.4984207153
102,20010413,海南省,460000,屯昌县,469022,22.9765866597
103,20010414,海南省,460000,屯昌县,469022,25.4936141968
