,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-8.31678742304
1,20010102,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-9.40365126034
2,20010103,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-9.76744461345
3,20010104,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-9.85649259803
4,20010105,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-9.53610413353
5,20010106,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-10.6619747599
6,20010107,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-12.0383758674
7,20010108,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-13.9932047331
8,20010109,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-13.1715149815
9,20010110,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-10.8657749632
10,20010111,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-8.94545733624
11,20010112,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-9.46487901691
12,20010113,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-10.167330243
13,20010114,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-9.86564187501
14,20010115,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-9.92924012677
15,20010116,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-9.02660361037
16,20010117,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-7.31007762477
17,20010118,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-8.99516774062
18,20010119,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-10.1834366314
19,20010120,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-8.71369575045
20,20010121,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-8.68752590384
21,20010122,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-7.40692927205
22,20010123,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-7.65393003545
23,20010124,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-9.04372775821
24,20010125,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-10.0528199673
25,20010126,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-9.98512685147
26,20010127,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-10.5440110044
27,20010128,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-10.534731804
28,20010129,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-9.23991887219
29,20010130,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-7.96688034702
30,20010131,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-8.701808783
31,20010201,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-8.22057016475
32,20010202,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-7.61252145303
33,20010203,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-7.79070801133
34,20010204,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-7.36007300314
35,20010205,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-6.73494474442
36,20010206,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-8.15337918494
37,20010207,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-7.82687342205
38,20010208,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-6.80248524396
39,20010209,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-6.56355099366
40,20010210,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-4.97396586977
41,20010211,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-5.53888088454
42,20010212,新疆维吾尔自治区,650000,巴音郭楞蒙古自治州,652800,-7.05053783225
