,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,陕西省,610000,延安市,610600,-1.61706016882
1,20010102,陕西省,610000,延安市,610600,-1.00327771832
2,20010103,陕西省,610000,延安市,610600,-2.8413823005
3,20010104,陕西省,610000,延安市,610600,-1.57929144095
4,20010105,陕西省,610000,延安市,610600,-1.09174694746
5,20010106,陕西省,610000,延安市,610600,-1.6595555922
6,20010107,陕西省,610000,延安市,610600,-1.91635297832
7,20010108,陕西省,610000,延安市,610600,-6.00507960781
8,20010109,陕西省,610000,延安市,610600,-4.34095722116
9,20010110,陕西省,610000,延安市,610600,-2.85178751394
10,20010111,陕西省,610000,延安市,610600,-2.21279469841
11,20010112,陕西省,610000,延安市,610600,-1.06753735881
12,20010113,陕西省,610000,延安市,610600,-7.05302679154
13,20010114,陕西省,610000,延安市,610600,-7.93959913972
14,20010115,陕西省,610000,延安市,610600,-5.58355488828
15,20010116,陕西省,610000,延安市,610600,-3.62053460203
16,20010117,陕西省,610000,延安市,610600,-1.90936877522
17,20010118,陕西省,610000,延安市,610600,-1.78458647831
18,20010119,陕西省,610000,延安市,610600,-2.97309891126
19,20010120,陕西省,610000,延安市,610600,-1.46597435939
20,20010121,陕西省,610000,延安市,610600,-2.0229917848
21,20010122,陕西省,610000,延安市,610600,-1.08400579101
22,20010123,陕西省,610000,延安市,610600,-2.8135187972
23,20010124,陕西省,610000,延安市,610600,-2.86064101163
24,20010125,陕西省,610000,延安市,610600,-3.95263230929
25,20010126,陕西省,610000,延安市,610600,-4.32322813106
26,20010127,陕西省,610000,延安市,610600,-5.3097020785
27,20010128,陕西省,610000,延安市,610600,-6.53570925805
28,20010129,陕西省,610000,延安市,610600,-4.32867805419
29,20010130,陕西省,610000,延安市,610600,-1.48297863414
30,20010131,陕西省,610000,延安市,610600,-3.05652363839
31,20010201,陕西省,610000,延安市,610600,-2.50280890093
32,20010202,陕西省,610000,延安市,610600,-0.910912818366
