,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,吉林省,220000,延边朝鲜族自治州,222400,-20.046713033
1,20010102,吉林省,220000,延边朝鲜族自治州,222400,-19.8263965953
2,20010103,吉林省,220000,延边朝鲜族自治州,222400,-20.6364736163
3,20010104,吉林省,220000,延边朝鲜族自治州,222400,-21.7301640314
4,20010105,吉林省,220000,延边朝鲜族自治州,222400,-22.6593193811
5,20010106,吉林省,220000,延边朝鲜族自治州,222400,-21.3456729227
6,20010107,吉林省,220000,延边朝鲜族自治州,222400,-16.0526114298
7,20010108,吉林省,220000,延边朝鲜族自治州,222400,-11.8684859236
8,20010109,吉林省,220000,延边朝鲜族自治州,222400,-16.8607705093
9,20010110,吉林省,220000,延边朝鲜族自治州,222400,-22.4496339688
10,20010111,吉林省,220000,延边朝鲜族自治州,222400,-27.0198552313
11,20010112,吉林省,220000,延边朝鲜族自治州,222400,-26.9431248499
12,20010113,吉林省,220000,延边朝鲜族自治州,222400,-26.8830922024
13,20010114,吉林省,220000,延边朝鲜族自治州,222400,-26.7689913915
14,20010115,吉林省,220000,延边朝鲜族自治州,222400,-25.9044068076
15,20010116,吉林省,220000,延边朝鲜族自治州,222400,-25.0971712633
16,20010117,吉林省,220000,延边朝鲜族自治州,222400,-20.0066432559
17,20010118,吉林省,220000,延边朝鲜族自治州,222400,-20.0797494936
18,20010119,吉林省,220000,延边朝鲜族自治州,222400,-17.2754075783
19,20010120,吉林省,220000,延边朝鲜族自治州,222400,-17.8542802511
20,20010121,吉林省,220000,延边朝鲜族自治州,222400,-18.7564376878
21,20010122,吉林省,220000,延边朝鲜族自治州,222400,-18.480420554
22,20010123,吉林省,220000,延边朝鲜族自治州,222400,-18.3745297519
23,20010124,吉林省,220000,延边朝鲜族自治州,222400,-14.8767757179
24,20010125,吉林省,220000,延边朝鲜族自治州,222400,-14.2002581683
25,20010126,吉林省,220000,延边朝鲜族自治州,222400,-15.0392484113
26,20010127,吉林省,220000,延边朝鲜族自治州,222400,-11.6709720911
27,20010128,吉林省,220000,延边朝鲜族自治州,222400,-14.7666968275
28,20010129,吉林省,220000,延边朝鲜族自治州,222400,-13.8433775468
29,20010130,吉林省,220000,延边朝鲜族自治州,222400,-14.4975075682
30,20010131,吉林省,220000,延边朝鲜族自治州,222400,-11.6259999551
31,20010201,吉林省,220000,延边朝鲜族自治州,222400,-17.9862107206
32,20010202,吉林省,220000,延边朝鲜族自治州,222400,-21.4669560834
33,20010203,吉林省,220000,延边朝鲜族自治州,222400,-24.4303332715
34,20010204,吉林省,220000,延边朝鲜族自治州,222400,-20.3227413193
35,20010205,吉林省,220000,延边朝鲜族自治州,222400,-18.7476710643
36,20010206,吉林省,220000,延边朝鲜族自治州,222400,-21.3325555187
37,20010207,吉林省,220000,延边朝鲜族自治州,222400,-21.6072062343
38,20010208,吉林省,220000,延边朝鲜族自治州,222400,-16.6237510177
39,20010209,吉林省,220000,延边朝鲜族自治州,222400,-14.3784371999
40,20010210,吉林省,220000,延边朝鲜族自治州,222400,-18.7312326352
41,20010211,吉林省,220000,延边朝鲜族自治州,222400,-20.1754530757
42,20010212,吉林省,220000,延边朝鲜族自治州,222400,-18.1427598906
43,20010213,吉林省,220000,延边朝鲜族自治州,222400,-18.3806886279
44,20010214,吉林省,220000,延边朝鲜族自治州,222400,-18.9964690721
45,20010215,吉林省,220000,延边朝鲜族自治州,222400,-17.5845109687
