,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,甘肃省,620000,张掖市,620700,-8.26817024971
1,20010102,甘肃省,620000,张掖市,620700,-8.83610921977
2,20010103,甘肃省,620000,张掖市,620700,-7.43872532066
3,20010104,甘肃省,620000,张掖市,620700,-6.14856869834
4,20010105,甘肃省,620000,张掖市,620700,-6.9208817482
5,20010106,甘肃省,620000,张掖市,620700,-6.0011834782
6,20010107,甘肃省,620000,张掖市,620700,-8.9230839233
7,20010108,甘肃省,620000,张掖市,620700,-11.7933654007
8,20010109,甘肃省,620000,张掖市,620700,-8.27491253736
9,20010110,甘肃省,620000,张掖市,620700,-7.43607505487
10,20010111,甘肃省,620000,张掖市,620700,-8.4129196965
11,20010112,甘肃省,620000,张掖市,620700,-7.99730244948
12,20010113,甘肃省,620000,张掖市,620700,-10.2336825935
13,20010114,甘肃省,620000,张掖市,620700,-7.49148685105
14,20010115,甘肃省,620000,张掖市,620700,-7.28438022185
15,20010116,甘肃省,620000,张掖市,620700,-6.10985187608
16,20010117,甘肃省,620000,张掖市,620700,-5.04676947058
17,20010118,甘肃省,620000,张掖市,620700,-7.74802410846
18,20010119,甘肃省,620000,张掖市,620700,-6.91575711601
19,20010120,甘肃省,620000,张掖市,620700,-4.66813079192
20,20010121,甘肃省,620000,张掖市,620700,-5.63031833512
21,20010122,甘肃省,620000,张掖市,620700,-8.06354608341
22,20010123,甘肃省,620000,张掖市,620700,-7.99850956761
23,20010124,甘肃省,620000,张掖市,620700,-8.38930347988
24,20010125,甘肃省,620000,张掖市,620700,-7.67282930199
25,20010126,甘肃省,620000,张掖市,620700,-9.72651036905
26,20010127,甘肃省,620000,张掖市,620700,-11.1132275426
27,20010128,甘肃省,620000,张掖市,620700,-9.43909983732
28,20010129,甘肃省,620000,张掖市,620700,-8.03586170625
29,20010130,甘肃省,620000,张掖市,620700,-7.0911298382
30,20010131,甘肃省,620000,张掖市,620700,-7.90521139515
31,20010201,甘肃省,620000,张掖市,620700,-8.01170078589
32,20010202,甘肃省,620000,张掖市,620700,-6.91842381322
33,20010203,甘肃省,620000,张掖市,620700,-5.86588041636
34,20010204,甘肃省,620000,张掖市,620700,-5.11713746129
35,20010205,甘肃省,620000,张掖市,620700,-7.04995120788
36,20010206,甘肃省,620000,张掖市,620700,-11.0276830829
37,20010207,甘肃省,620000,张掖市,620700,-8.99008949435
38,20010208,甘肃省,620000,张掖市,620700,-6.27076221486
39,20010209,甘肃省,620000,张掖市,620700,-5.65983342638
40,20010210,甘肃省,620000,张掖市,620700,-4.36384672535
41,20010211,甘肃省,620000,张掖市,620700,-6.27684890007
42,20010212,甘肃省,620000,张掖市,620700,-7.37409877777
43,20010213,甘肃省,620000,张掖市,620700,-5.49643184214
44,20010214,甘肃省,620000,张掖市,620700,-5.22063610748
45,20010215,甘肃省,620000,张掖市,620700,-4.18182326336
46,20010216,甘肃省,620000,张掖市,620700,-4.153130597
47,20010217,甘肃省,620000,张掖市,620700,-0.431274372505
48,20010218,甘肃省,620000,张掖市,620700,-0.780863530782
49,20010219,甘肃省,620000,张掖市,620700,-0.575261963303
50,20010220,甘肃省,620000,张掖市,620700,0.343220201606
51,20010221,甘肃省,620000,张掖市,620700,0.300946815941
52,20010222,甘肃省,620000,张掖市,620700,-2.40318043013
53,20010223,甘肃省,620000,张掖市,620700,-4.51196236756
54,20010224,甘肃省,620000,张掖市,620700,-5.0126035846
55,20010225,甘肃省,620000,张掖市,620700,-2.43427262927
56,20010226,甘肃省,620000,张掖市,620700,-1.71478794207
57,20010227,甘肃省,620000,张掖市,620700,-1.53024564547
58,20010228,甘肃省,620000,张掖市,620700,-0.0247423869216
59,20010301,甘肃省,620000,张掖市,620700,-1.02788954779
60,20010302,甘肃省,620000,张掖市,620700,-6.43515116828
61,20010303,甘肃省,620000,张掖市,620700,-2.61477511285
62,20010304,甘肃省,620000,张掖市,620700,-0.376682311451
63,20010305,甘肃省,620000,张掖市,620700,-6.1031358388
64,20010306,甘肃省,620000,张掖市,620700,-6.81541490068
65,20010307,甘肃省,620000,张掖市,620700,-6.79881400478
66,20010308,甘肃省,620000,张掖市,620700,-1.96466149238
67,20010309,甘肃省,620000,张掖市,620700,1.0542414934
68,20010310,甘肃省,620000,张掖市,620700,1.02483376192
69,20010311,甘肃省,620000,张掖市,620700,3.07754774855
70,20010312,甘肃省,620000,张掖市,620700,4.25775634999
71,20010313,甘肃省,620000,张掖市,620700,-0.407025902523
72,20010314,甘肃省,620000,张掖市,620700,0.850196110355
73,20010315,甘肃省,620000,张掖市,620700,1.60392709126
74,20010316,甘肃省,620000,张掖市,620700,0.923406175015
75,20010317,甘肃省,620000,张掖市,620700,1.16971049706
76,20010318,甘肃省,620000,张掖市,620700,3.52201209749
77,20010319,甘肃省,620000,张掖市,620700,3.45030646087
78,20010320,甘肃省,620000,张掖市,620700,5.34911830571
79,20010321,甘肃省,620000,张掖市,620700,4.37641118984
80,20010322,甘肃省,620000,张掖市,620700,5.55883808282
81,20010323,甘肃省,620000,张掖市,620700,5.74955475817
82,20010324,甘肃省,620000,张掖市,620700,3.82981930825
83,20010325,甘肃省,620000,张掖市,620700,5.29005438211
84,20010326,甘肃省,620000,张掖市,620700,4.60194946309
85,20010327,甘肃省,620000,张掖市,620700,1.93429891921
86,20010328,甘肃省,620000,张掖市,620700,5.68329597979
87,20010329,甘肃省,620000,张掖市,620700,6.94459347822
88,20010330,甘肃省,620000,张掖市,620700,8.54030868958
89,20010331,甘肃省,620000,张掖市,620700,10.016844078
90,20010401,甘肃省,620000,张掖市,620700,10.5331650851
91,20010402,甘肃省,620000,张掖市,620700,10.8424784407
92,20010403,甘肃省,620000,张掖市,620700,8.65616834894
93,20010404,甘肃省,620000,张掖市,620700,5.28022611141
94,20010405,甘肃省,620000,张掖市,620700,7.84089446554
95,20010406,甘肃省,620000,张掖市,620700,7.09522480381
96,20010407,甘肃省,620000,张掖市,620700,8.33298571742
97,20010408,甘肃省,620000,张掖市,620700,-2.74956966948
98,20010409,甘肃省,620000,张掖市,620700,-3.53130217231
99,20010410,甘肃省,620000,张掖市,620700,-0.898175236256
100,20010411,甘肃省,620000,张掖市,620700,4.5800999257
101,20010412,甘肃省,620000,张掖市,620700,7.19591414199
102,20010413,甘肃省,620000,张掖市,620700,6.06872619415
103,20010414,甘肃省,620000,张掖市,620700,8.08750076683
104,20010415,甘肃省,620000,张掖市,620700,11.4574160479
105,20010416,甘肃省,620000,张掖市,620700,13.582439987
106,20010417,甘肃省,620000,张掖市,620700,13.9263148016
107,20010418,甘肃省,620000,张掖市,620700,14.6734535159
108,20010419,甘肃省,620000,张掖市,620700,10.6686108258
109,20010420,甘肃省,620000,张掖市,620700,10.9981845155
110,20010421,甘肃省,620000,张掖市,620700,14.4639568232
111,20010422,甘肃省,620000,张掖市,620700,8.27313628975
112,20010423,甘肃省,620000,张掖市,620700,8.3717690317
113,20010424,甘肃省,620000,张掖市,620700,8.19787409841
114,20010425,甘肃省,620000,张掖市,620700,9.42872704292
115,20010426,甘肃省,620000,张掖市,620700,11.2720581269
116,20010427,甘肃省,620000,张掖市,620700,8.46464613992
117,20010428,甘肃省,620000,张掖市,620700,11.732251649
118,20010429,甘肃省,620000,张掖市,620700,5.68214919372
119,20010430,甘肃省,620000,张掖市,620700,11.3089491056
120,20010501,甘肃省,620000,张掖市,620700,13.4916772161
121,20010502,甘肃省,620000,张掖市,620700,12.5958156488
122,20010503,甘肃省,620000,张掖市,620700,12.3813215178
123,20010504,甘肃省,620000,张掖市,620700,14.3985062424
124,20010505,甘肃省,620000,张掖市,620700,13.2372073446
125,20010506,甘肃省,620000,张掖市,620700,9.14540238283
126,20010507,甘肃省,620000,张掖市,620700,11.1528883662
127,20010508,甘肃省,620000,张掖市,620700,12.3391946092
128,20010509,甘肃省,620000,张掖市,620700,14.9529767815
129,20010510,甘肃省,620000,张掖市,620700,16.0076910038
130,20010511,甘肃省,620000,张掖市,620700,16.8914444009
131,20010512,甘肃省,620000,张掖市,620700,19.2894661573
132,20010513,甘肃省,620000,张掖市,620700,13.9611564169
133,20010514,甘肃省,620000,张掖市,620700,12.3021580735
134,20010515,甘肃省,620000,张掖市,620700,12.9426772303
135,20010516,甘肃省,620000,张掖市,620700,14.8844686236
136,20010517,甘肃省,620000,张掖市,620700,14.3881286991
137,20010518,甘肃省,620000,张掖市,620700,16.8054821832
