,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,云南省,530000,德宏傣族景颇族自治州,533100,12.5456609726
1,20010102,云南省,530000,德宏傣族景颇族自治州,533100,12.6543885867
2,20010103,云南省,530000,德宏傣族景颇族自治州,533100,12.3772391478
3,20010104,云南省,530000,德宏傣族景颇族自治州,533100,12.7456918557
4,20010105,云南省,530000,德宏傣族景颇族自治州,533100,12.45429492
5,20010106,云南省,530000,德宏傣族景颇族自治州,533100,11.6251235406
6,20010107,云南省,530000,德宏傣族景颇族自治州,533100,10.6667065223
7,20010108,云南省,530000,德宏傣族景颇族自治州,533100,10.0047356486
8,20010109,云南省,530000,德宏傣族景颇族自治州,533100,9.93469488621
9,20010110,云南省,530000,德宏傣族景颇族自治州,533100,8.70089119673
10,20010111,云南省,530000,德宏傣族景颇族自治州,533100,10.0084182819
11,20010112,云南省,530000,德宏傣族景颇族自治州,533100,9.13468281428
12,20010113,云南省,530000,德宏傣族景颇族自治州,533100,11.3618925412
13,20010114,云南省,530000,德宏傣族景颇族自治州,533100,10.6419618924
14,20010115,云南省,530000,德宏傣族景颇族自治州,533100,10.5278502305
15,20010116,云南省,530000,德宏傣族景颇族自治州,533100,11.4500587781
16,20010117,云南省,530000,德宏傣族景颇族自治州,533100,12.6122270028
17,20010118,云南省,530000,德宏傣族景颇族自治州,533100,11.3933014472
18,20010119,云南省,530000,德宏傣族景颇族自治州,533100,12.0201201439
19,20010120,云南省,530000,德宏傣族景颇族自治州,533100,12.5585310459
20,20010121,云南省,530000,德宏傣族景颇族自治州,533100,11.7891568343
21,20010122,云南省,530000,德宏傣族景颇族自治州,533100,11.5668466886
22,20010123,云南省,530000,德宏傣族景颇族自治州,533100,12.7878715197
23,20010124,云南省,530000,德宏傣族景颇族自治州,533100,12.9062716166
24,20010125,云南省,530000,德宏傣族景颇族自治州,533100,11.5906564792
25,20010126,云南省,530000,德宏傣族景颇族自治州,533100,11.0278233687
26,20010127,云南省,530000,德宏傣族景颇族自治州,533100,11.1090441147
27,20010128,云南省,530000,德宏傣族景颇族自治州,533100,11.4025410414
28,20010129,云南省,530000,德宏傣族景颇族自治州,533100,11.8850812117
29,20010130,云南省,530000,德宏傣族景颇族自治州,533100,12.6031719049
30,20010131,云南省,530000,德宏傣族景颇族自治州,533100,13.4734462897
31,20010201,云南省,530000,德宏傣族景颇族自治州,533100,13.768789649
32,20010202,云南省,530000,德宏傣族景颇族自治州,533100,14.501353542
33,20010203,云南省,530000,德宏傣族景颇族自治州,533100,14.472497503
34,20010204,云南省,530000,德宏傣族景颇族自治州,533100,13.7084876299
35,20010205,云南省,530000,德宏傣族景颇族自治州,533100,13.2259506782
36,20010206,云南省,530000,德宏傣族景颇族自治州,533100,13.7893153826
37,20010207,云南省,530000,德宏傣族景颇族自治州,533100,13.680948178
38,20010208,云南省,530000,德宏傣族景颇族自治州,533100,14.1195188363
39,20010209,云南省,530000,德宏傣族景颇族自治州,533100,13.9112755458
40,20010210,云南省,530000,德宏傣族景颇族自治州,533100,14.0161077579
41,20010211,云南省,530000,德宏傣族景颇族自治州,533100,13.5778765281
42,20010212,云南省,530000,德宏傣族景颇族自治州,533100,13.691495498
43,20010213,云南省,530000,德宏傣族景颇族自治州,533100,13.908079346
44,20010214,云南省,530000,德宏傣族景颇族自治州,533100,14.6226675113
45,20010215,云南省,530000,德宏傣族景颇族自治州,533100,15.0980002085
46,20010216,云南省,530000,德宏傣族景颇族自治州,533100,14.8554784457
47,20010217,云南省,530000,德宏傣族景颇族自治州,533100,15.1979134878
48,20010218,云南省,530000,德宏傣族景颇族自治州,533100,15.2979690631
49,20010219,云南省,530000,德宏傣族景颇族自治州,533100,15.4224579334
50,20010220,云南省,530000,德宏傣族景颇族自治州,533100,13.9803373814
51,20010221,云南省,530000,德宏傣族景颇族自治州,533100,14.4279416005
52,20010222,云南省,530000,德宏傣族景颇族自治州,533100,14.0038263003
53,20010223,云南省,530000,德宏傣族景颇族自治州,533100,14.0748031537
54,20010224,云南省,530000,德宏傣族景颇族自治州,533100,12.8464715083
55,20010225,云南省,530000,德宏傣族景颇族自治州,533100,12.7820570469
56,20010226,云南省,530000,德宏傣族景颇族自治州,533100,14.0830800533
57,20010227,云南省,530000,德宏傣族景颇族自治州,533100,13.7137910922
58,20010228,云南省,530000,德宏傣族景颇族自治州,533100,14.8172543049
59,20010301,云南省,530000,德宏傣族景颇族自治州,533100,15.7693937222
60,20010302,云南省,530000,德宏傣族景颇族自治州,533100,16.5582480033
61,20010303,云南省,530000,德宏傣族景颇族自治州,533100,16.6077051163
62,20010304,云南省,530000,德宏傣族景颇族自治州,533100,16.4251862764
63,20010305,云南省,530000,德宏傣族景颇族自治州,533100,16.9021880627
64,20010306,云南省,530000,德宏傣族景颇族自治州,533100,16.2445428371
65,20010307,云南省,530000,德宏傣族景颇族自治州,533100,15.8679276705
66,20010308,云南省,530000,德宏傣族景颇族自治州,533100,17.0221206347
67,20010309,云南省,530000,德宏傣族景颇族自治州,533100,17.6510726611
68,20010310,云南省,530000,德宏傣族景颇族自治州,533100,17.3418836991
69,20010311,云南省,530000,德宏傣族景颇族自治州,533100,17.2078553438
70,20010312,云南省,530000,德宏傣族景颇族自治州,533100,17.2805463076
71,20010313,云南省,530000,德宏傣族景颇族自治州,533100,17.0981190602
72,20010314,云南省,530000,德宏傣族景颇族自治州,533100,15.4875035683
73,20010315,云南省,530000,德宏傣族景颇族自治州,533100,16.6290629307
74,20010316,云南省,530000,德宏傣族景颇族自治州,533100,16.8083120187
75,20010317,云南省,530000,德宏傣族景颇族自治州,533100,17.8442014456
76,20010318,云南省,530000,德宏傣族景颇族自治州,533100,17.3327550888
77,20010319,云南省,530000,德宏傣族景颇族自治州,533100,17.1507906119
78,20010320,云南省,530000,德宏傣族景颇族自治州,533100,17.5644224087
79,20010321,云南省,530000,德宏傣族景颇族自治州,533100,18.0751750867
80,20010322,云南省,530000,德宏傣族景颇族自治州,533100,18.490348498
81,20010323,云南省,530000,德宏傣族景颇族自治州,533100,18.478854696
82,20010324,云南省,530000,德宏傣族景颇族自治州,533100,16.6801733573
83,20010325,云南省,530000,德宏傣族景颇族自治州,533100,16.8145234982
84,20010326,云南省,530000,德宏傣族景颇族自治州,533100,16.3208563725
85,20010327,云南省,530000,德宏傣族景颇族自治州,533100,16.7360003789
86,20010328,云南省,530000,德宏傣族景颇族自治州,533100,17.038642923
87,20010329,云南省,530000,德宏傣族景颇族自治州,533100,18.8483602206
88,20010330,云南省,530000,德宏傣族景颇族自治州,533100,19.4640473525
89,20010331,云南省,530000,德宏傣族景颇族自治州,533100,18.5601440271
90,20010401,云南省,530000,德宏傣族景颇族自治州,533100,19.3706928889
91,20010402,云南省,530000,德宏傣族景颇族自治州,533100,18.4295967023
92,20010403,云南省,530000,德宏傣族景颇族自治州,533100,19.1719255447
93,20010404,云南省,530000,德宏傣族景颇族自治州,533100,19.1995128791
94,20010405,云南省,530000,德宏傣族景颇族自治州,533100,19.7490334511
95,20010406,云南省,530000,德宏傣族景颇族自治州,533100,20.3050993284
96,20010407,云南省,530000,德宏傣族景颇族自治州,533100,20.1873267492
97,20010408,云南省,530000,德宏傣族景颇族自治州,533100,20.5958899657
98,20010409,云南省,530000,德宏傣族景颇族自治州,533100,20.9769833088
99,20010410,云南省,530000,德宏傣族景颇族自治州,533100,20.3030966123
