,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,湖南省,430000,怀化市,431200,6.36368885197
1,20010102,湖南省,430000,怀化市,431200,6.8611622482
2,20010103,湖南省,430000,怀化市,431200,7.31694056558
3,20010104,湖南省,430000,怀化市,431200,7.89556347738
4,20010105,湖南省,430000,怀化市,431200,7.08569628293
5,20010106,湖南省,430000,怀化市,431200,7.24709995457
6,20010107,湖南省,430000,怀化市,431200,6.34039491904
7,20010108,湖南省,430000,怀化市,431200,4.53149512166
8,20010109,湖南省,430000,怀化市,431200,4.15113851672
9,20010110,湖南省,430000,怀化市,431200,4.10325524846
10,20010111,湖南省,430000,怀化市,431200,6.27743690522
11,20010112,湖南省,430000,怀化市,431200,5.77667584185
12,20010113,湖南省,430000,怀化市,431200,6.24747054303
13,20010114,湖南省,430000,怀化市,431200,3.63601327724
14,20010115,湖南省,430000,怀化市,431200,4.03793662884
15,20010116,湖南省,430000,怀化市,431200,7.34636832065
16,20010117,湖南省,430000,怀化市,431200,7.21373969219
17,20010118,湖南省,430000,怀化市,431200,8.82956364116
18,20010119,湖南省,430000,怀化市,431200,8.4507453637
19,20010120,湖南省,430000,怀化市,431200,9.57977696716
20,20010121,湖南省,430000,怀化市,431200,8.8900908564
21,20010122,湖南省,430000,怀化市,431200,5.53680039234
22,20010123,湖南省,430000,怀化市,431200,3.6792121598
23,20010124,湖南省,430000,怀化市,431200,2.14419428051
24,20010125,湖南省,430000,怀化市,431200,2.09110513867
25,20010126,湖南省,430000,怀化市,431200,3.38890953924
26,20010127,湖南省,430000,怀化市,431200,2.92881268361
27,20010128,湖南省,430000,怀化市,431200,4.38694951964
28,20010129,湖南省,430000,怀化市,431200,6.83077877858
29,20010130,湖南省,430000,怀化市,431200,9.48253592507
30,20010131,湖南省,430000,怀化市,431200,8.46975292925
31,20010201,湖南省,430000,怀化市,431200,6.00998030334
32,20010202,湖南省,430000,怀化市,431200,5.35993423618
33,20010203,湖南省,430000,怀化市,431200,5.70088873535
34,20010204,湖南省,430000,怀化市,431200,6.75404215641
35,20010205,湖南省,430000,怀化市,431200,7.53325087125
36,20010206,湖南省,430000,怀化市,431200,5.37623364026
37,20010207,湖南省,430000,怀化市,431200,5.38076514885
38,20010208,湖南省,430000,怀化市,431200,5.11437796374
39,20010209,湖南省,430000,怀化市,431200,5.35832148693
40,20010210,湖南省,430000,怀化市,431200,7.62209094157
41,20010211,湖南省,430000,怀化市,431200,6.66830375546
42,20010212,湖南省,430000,怀化市,431200,3.46471484372
43,20010213,湖南省,430000,怀化市,431200,3.39062352259
44,20010214,湖南省,430000,怀化市,431200,5.94557133659
45,20010215,湖南省,430000,怀化市,431200,8.56041988779
