,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,广东省,440000,惠州市,441300,13.7164038022
1,20010102,广东省,440000,惠州市,441300,16.6802216371
2,20010103,广东省,440000,惠州市,441300,17.2231206099
3,20010104,广东省,440000,惠州市,441300,16.8261547486
4,20010105,广东省,440000,惠州市,441300,17.7544329166
5,20010106,广东省,440000,惠州市,441300,17.6708740393
6,20010107,广东省,440000,惠州市,441300,18.6687188943
7,20010108,广东省,440000,惠州市,441300,18.7660077413
8,20010109,广东省,440000,惠州市,441300,13.1969136397
9,20010110,广东省,440000,惠州市,441300,11.8935222228
10,20010111,广东省,440000,惠州市,441300,13.988728404
11,20010112,广东省,440000,惠州市,441300,15.5674893856
12,20010113,广东省,440000,惠州市,441300,13.9829369783
13,20010114,广东省,440000,惠州市,441300,13.2784195741
14,20010115,广东省,440000,惠州市,441300,11.7857832511
15,20010116,广东省,440000,惠州市,441300,13.7416408857
16,20010117,广东省,440000,惠州市,441300,15.7784560124
17,20010118,广东省,440000,惠州市,441300,17.7853175004
18,20010119,广东省,440000,惠州市,441300,19.2136668364
19,20010120,广东省,440000,惠州市,441300,20.2649743557
20,20010121,广东省,440000,惠州市,441300,19.2271757921
21,20010122,广东省,440000,惠州市,441300,20.6509609222
22,20010123,广东省,440000,惠州市,441300,20.6056817373
23,20010124,广东省,440000,惠州市,441300,19.8931349913
24,20010125,广东省,440000,惠州市,441300,13.9267339706
25,20010126,广东省,440000,惠州市,441300,9.86943034331
26,20010127,广东省,440000,惠州市,441300,8.85792197784
27,20010128,广东省,440000,惠州市,441300,10.4970892668
28,20010129,广东省,440000,惠州市,441300,12.4431771835
29,20010130,广东省,440000,惠州市,441300,14.3677965005
30,20010131,广东省,440000,惠州市,441300,15.5881654819
31,20010201,广东省,440000,惠州市,441300,11.6981421312
32,20010202,广东省,440000,惠州市,441300,9.52970496813
33,20010203,广东省,440000,惠州市,441300,11.5541578531
34,20010204,广东省,440000,惠州市,441300,12.989038825
35,20010205,广东省,440000,惠州市,441300,15.415446043
36,20010206,广东省,440000,惠州市,441300,18.917394797
37,20010207,广东省,440000,惠州市,441300,14.7553607623
38,20010208,广东省,440000,惠州市,441300,12.2700253725
39,20010209,广东省,440000,惠州市,441300,12.4397711754
40,20010210,广东省,440000,惠州市,441300,13.2524440289
41,20010211,广东省,440000,惠州市,441300,17.116956075
42,20010212,广东省,440000,惠州市,441300,19.1150304476
43,20010213,广东省,440000,惠州市,441300,12.840465943
44,20010214,广东省,440000,惠州市,441300,11.3056835731
45,20010215,广东省,440000,惠州市,441300,13.8440089226
46,20010216,广东省,440000,惠州市,441300,15.5494580666
