,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,西藏自治区,540000,拉萨市,540100,-0.442192354737
1,20010102,西藏自治区,540000,拉萨市,540100,-1.65067800354
2,20010103,西藏自治区,540000,拉萨市,540100,-3.97539314036
3,20010104,西藏自治区,540000,拉萨市,540100,-3.15791838143
4,20010105,西藏自治区,540000,拉萨市,540100,-7.10346810785
5,20010106,西藏自治区,540000,拉萨市,540100,-6.29614676515
6,20010107,西藏自治区,540000,拉萨市,540100,-1.92425573219
7,20010108,西藏自治区,540000,拉萨市,540100,-3.97777292051
8,20010109,西藏自治区,540000,拉萨市,540100,-6.55802414189
9,20010110,西藏自治区,540000,拉萨市,540100,-6.33947427632
10,20010111,西藏自治区,540000,拉萨市,540100,-4.00670414306
11,20010112,西藏自治区,540000,拉萨市,540100,-5.71284785173
12,20010113,西藏自治区,540000,拉萨市,540100,-5.11637392109
13,20010114,西藏自治区,540000,拉萨市,540100,-5.36196337824
14,20010115,西藏自治区,540000,拉萨市,540100,-6.24875078463
15,20010116,西藏自治区,540000,拉萨市,540100,-5.10968071794
16,20010117,西藏自治区,540000,拉萨市,540100,-3.12954969643
17,20010118,西藏自治区,540000,拉萨市,540100,-2.3160673906
18,20010119,西藏自治区,540000,拉萨市,540100,-2.16106988877
19,20010120,西藏自治区,540000,拉萨市,540100,-2.35521551171
20,20010121,西藏自治区,540000,拉萨市,540100,-2.9833209633
21,20010122,西藏自治区,540000,拉萨市,540100,-1.48097327831
22,20010123,西藏自治区,540000,拉萨市,540100,-3.76001667088
23,20010124,西藏自治区,540000,拉萨市,540100,-3.43430973808
24,20010125,西藏自治区,540000,拉萨市,540100,-0.299069424728
25,20010126,西藏自治区,540000,拉萨市,540100,4.23250513697
26,20010127,西藏自治区,540000,拉萨市,540100,3.23567446279
27,20010128,西藏自治区,540000,拉萨市,540100,0.98921549162
28,20010129,西藏自治区,540000,拉萨市,540100,2.26042796624
29,20010130,西藏自治区,540000,拉萨市,540100,3.01240584642
30,20010131,西藏自治区,540000,拉萨市,540100,4.97799717563
31,20010201,西藏自治区,540000,拉萨市,540100,6.5384326716
32,20010202,西藏自治区,540000,拉萨市,540100,5.6659772837
33,20010203,西藏自治区,540000,拉萨市,540100,0.980768153189
34,20010204,西藏自治区,540000,拉萨市,540100,-0.457641089769
35,20010205,西藏自治区,540000,拉萨市,540100,-1.35785822191
36,20010206,西藏自治区,540000,拉萨市,540100,-3.56261595777
37,20010207,西藏自治区,540000,拉萨市,540100,-1.22763896851
38,20010208,西藏自治区,540000,拉萨市,540100,0.384846570353
39,20010209,西藏自治区,540000,拉萨市,540100,-2.75478450066
40,20010210,西藏自治区,540000,拉萨市,540100,2.75177030265
41,20010211,西藏自治区,540000,拉萨市,540100,5.5987554907
42,20010212,西藏自治区,540000,拉萨市,540100,3.9523550558
43,20010213,西藏自治区,540000,拉萨市,540100,1.47964386239
