,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,四川省,510000,攀枝花市,510400,11.4227163196
1,20010102,四川省,510000,攀枝花市,510400,11.7746937871
2,20010103,四川省,510000,攀枝花市,510400,9.99195706844
3,20010104,四川省,510000,攀枝花市,510400,9.59850978851
4,20010105,四川省,510000,攀枝花市,510400,11.0232875347
5,20010106,四川省,510000,攀枝花市,510400,9.28165698051
6,20010107,四川省,510000,攀枝花市,510400,9.54290902615
7,20010108,四川省,510000,攀枝花市,510400,8.75708034635
8,20010109,四川省,510000,攀枝花市,510400,6.37108489871
9,20010110,四川省,510000,攀枝花市,510400,6.52774095535
10,20010111,四川省,510000,攀枝花市,510400,7.0598641336
11,20010112,四川省,510000,攀枝花市,510400,7.15500122309
12,20010113,四川省,510000,攀枝花市,510400,8.13865065575
13,20010114,四川省,510000,攀枝花市,510400,7.94289952517
14,20010115,四川省,510000,攀枝花市,510400,7.05383816361
15,20010116,四川省,510000,攀枝花市,510400,8.27480778098
16,20010117,四川省,510000,攀枝花市,510400,10.844350934
17,20010118,四川省,510000,攀枝花市,510400,9.33816558123
18,20010119,四川省,510000,攀枝花市,510400,8.88628578186
19,20010120,四川省,510000,攀枝花市,510400,10.5793750286
20,20010121,四川省,510000,攀枝花市,510400,11.0209590793
21,20010122,四川省,510000,攀枝花市,510400,11.2726559043
22,20010123,四川省,510000,攀枝花市,510400,12.9834287763
23,20010124,四川省,510000,攀枝花市,510400,12.5447379351
24,20010125,四川省,510000,攀枝花市,510400,9.35235214233
25,20010126,四川省,510000,攀枝花市,510400,7.79179787636
26,20010127,四川省,510000,攀枝花市,510400,8.24431711435
27,20010128,四川省,510000,攀枝花市,510400,6.4800465703
28,20010129,四川省,510000,攀枝花市,510400,8.11757862568
29,20010130,四川省,510000,攀枝花市,510400,9.08776015043
30,20010131,四川省,510000,攀枝花市,510400,10.008333385
31,20010201,四川省,510000,攀枝花市,510400,10.37713027
32,20010202,四川省,510000,攀枝花市,510400,11.7047382593
33,20010203,四川省,510000,攀枝花市,510400,12.1124821305
34,20010204,四川省,510000,攀枝花市,510400,12.4985126257
35,20010205,四川省,510000,攀枝花市,510400,12.2999795675
36,20010206,四川省,510000,攀枝花市,510400,10.950782299
37,20010207,四川省,510000,攀枝花市,510400,9.374358356
38,20010208,四川省,510000,攀枝花市,510400,9.92079025507
39,20010209,四川省,510000,攀枝花市,510400,7.27325212955
40,20010210,四川省,510000,攀枝花市,510400,8.09521093965
41,20010211,四川省,510000,攀枝花市,510400,10.7219102383
42,20010212,四川省,510000,攀枝花市,510400,11.2227343917
43,20010213,四川省,510000,攀枝花市,510400,8.97031620145
44,20010214,四川省,510000,攀枝花市,510400,9.34162503481
45,20010215,四川省,510000,攀枝花市,510400,10.4313262701
46,20010216,四川省,510000,攀枝花市,510400,11.1980395317
47,20010217,四川省,510000,攀枝花市,510400,12.5959256291
48,20010218,四川省,510000,攀枝花市,510400,13.0818802118
