,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,云南省,530000,文山壮族苗族自治州,532600,13.3102228192
1,20010102,云南省,530000,文山壮族苗族自治州,532600,13.5587032567
2,20010103,云南省,530000,文山壮族苗族自治州,532600,10.3093599858
3,20010104,云南省,530000,文山壮族苗族自治州,532600,11.1860179486
4,20010105,云南省,530000,文山壮族苗族自治州,532600,12.1772248918
5,20010106,云南省,530000,文山壮族苗族自治州,532600,13.7806686595
6,20010107,云南省,530000,文山壮族苗族自治州,532600,14.9511443567
7,20010108,云南省,530000,文山壮族苗族自治州,532600,14.884951398
8,20010109,云南省,530000,文山壮族苗族自治州,532600,8.44456206888
9,20010110,云南省,530000,文山壮族苗族自治州,532600,8.43201383646
10,20010111,云南省,530000,文山壮族苗族自治州,532600,10.7331503025
11,20010112,云南省,530000,文山壮族苗族自治州,532600,11.89905942
12,20010113,云南省,530000,文山壮族苗族自治州,532600,11.5970156988
13,20010114,云南省,530000,文山壮族苗族自治州,532600,10.5148824332
14,20010115,云南省,530000,文山壮族苗族自治州,532600,7.45919991922
15,20010116,云南省,530000,文山壮族苗族自治州,532600,9.24931110161
16,20010117,云南省,530000,文山壮族苗族自治州,532600,12.2336245136
17,20010118,云南省,530000,文山壮族苗族自治州,532600,13.7552991674
18,20010119,云南省,530000,文山壮族苗族自治州,532600,14.1275106513
19,20010120,云南省,530000,文山壮族苗族自治州,532600,13.9518409121
20,20010121,云南省,530000,文山壮族苗族自治州,532600,17.4126968107
21,20010122,云南省,530000,文山壮族苗族自治州,532600,17.9875709008
22,20010123,云南省,530000,文山壮族苗族自治州,532600,18.166704634
23,20010124,云南省,530000,文山壮族苗族自治州,532600,17.6909803722
24,20010125,云南省,530000,文山壮族苗族自治州,532600,11.6618143856
25,20010126,云南省,530000,文山壮族苗族自治州,532600,7.87941703244
26,20010127,云南省,530000,文山壮族苗族自治州,532600,8.22336866545
27,20010128,云南省,530000,文山壮族苗族自治州,532600,6.65977094484
28,20010129,云南省,530000,文山壮族苗族自治州,532600,9.16912917123
29,20010130,云南省,530000,文山壮族苗族自治州,532600,9.28036523902
30,20010131,云南省,530000,文山壮族苗族自治州,532600,9.53737383303
31,20010201,云南省,530000,文山壮族苗族自治州,532600,8.00957912639
32,20010202,云南省,530000,文山壮族苗族自治州,532600,7.88286403297
33,20010203,云南省,530000,文山壮族苗族自治州,532600,9.60192095024
34,20010204,云南省,530000,文山壮族苗族自治州,532600,10.8630177387
35,20010205,云南省,530000,文山壮族苗族自治州,532600,15.102883104
36,20010206,云南省,530000,文山壮族苗族自治州,532600,16.0752761813
37,20010207,云南省,530000,文山壮族苗族自治州,532600,11.1979031355
38,20010208,云南省,530000,文山壮族苗族自治州,532600,9.0241536403
39,20010209,云南省,530000,文山壮族苗族自治州,532600,6.68995321661
40,20010210,云南省,530000,文山壮族苗族自治州,532600,7.62262947663
41,20010211,云南省,530000,文山壮族苗族自治州,532600,10.9743154913
42,20010212,云南省,530000,文山壮族苗族自治州,532600,11.1025594076
43,20010213,云南省,530000,文山壮族苗族自治州,532600,8.28399985078
44,20010214,云南省,530000,文山壮族苗族自治州,532600,9.22102631693
45,20010215,云南省,530000,文山壮族苗族自治州,532600,10.5602127849
46,20010216,云南省,530000,文山壮族苗族自治州,532600,11.2991190233
47,20010217,云南省,530000,文山壮族苗族自治州,532600,15.3654658414
48,20010218,云南省,530000,文山壮族苗族自治州,532600,16.0936650815
49,20010219,云南省,530000,文山壮族苗族自治州,532600,16.7590346682
50,20010220,云南省,530000,文山壮族苗族自治州,532600,16.4230658075
51,20010221,云南省,530000,文山壮族苗族自治州,532600,17.1044431216
52,20010222,云南省,530000,文山壮族苗族自治州,532600,17.9449801099
53,20010223,云南省,530000,文山壮族苗族自治州,532600,17.5038773633
54,20010224,云南省,530000,文山壮族苗族自治州,532600,11.8358532311
55,20010225,云南省,530000,文山壮族苗族自治州,532600,10.4141445022
56,20010226,云南省,530000,文山壮族苗族自治州,532600,13.9169786978
57,20010227,云南省,530000,文山壮族苗族自治州,532600,12.3396651227
58,20010228,云南省,530000,文山壮族苗族自治州,532600,11.4317231524
59,20010301,云南省,530000,文山壮族苗族自治州,532600,13.011115779
60,20010302,云南省,530000,文山壮族苗族自治州,532600,15.9379600995
61,20010303,云南省,530000,文山壮族苗族自治州,532600,12.3209851721
62,20010304,云南省,530000,文山壮族苗族自治州,532600,13.9503727236
63,20010305,云南省,530000,文山壮族苗族自治州,532600,18.3209099977
64,20010306,云南省,530000,文山壮族苗族自治州,532600,18.5448551731
65,20010307,云南省,530000,文山壮族苗族自治州,532600,16.6850961049
66,20010308,云南省,530000,文山壮族苗族自治州,532600,11.6914610932
67,20010309,云南省,530000,文山壮族苗族自治州,532600,11.7048392089
68,20010310,云南省,530000,文山壮族苗族自治州,532600,13.494306896
69,20010311,云南省,530000,文山壮族苗族自治州,532600,11.3579039228
70,20010312,云南省,530000,文山壮族苗族自治州,532600,13.1909945806
71,20010313,云南省,530000,文山壮族苗族自治州,532600,14.8063145513
72,20010314,云南省,530000,文山壮族苗族自治州,532600,17.5468211381
73,20010315,云南省,530000,文山壮族苗族自治州,532600,19.0264541792
74,20010316,云南省,530000,文山壮族苗族自治州,532600,21.1093352497
75,20010317,云南省,530000,文山壮族苗族自治州,532600,20.2423910334
76,20010318,云南省,530000,文山壮族苗族自治州,532600,18.1587594074
77,20010319,云南省,530000,文山壮族苗族自治州,532600,19.2451555556
78,20010320,云南省,530000,文山壮族苗族自治州,532600,16.8014520286
79,20010321,云南省,530000,文山壮族苗族自治州,532600,20.3496786477
80,20010322,云南省,530000,文山壮族苗族自治州,532600,22.8452833701
81,20010323,云南省,530000,文山壮族苗族自治州,532600,24.2350092902
82,20010324,云南省,530000,文山壮族苗族自治州,532600,22.1540818975
83,20010325,云南省,530000,文山壮族苗族自治州,532600,16.3509296473
84,20010326,云南省,530000,文山壮族苗族自治州,532600,15.8156369804
85,20010327,云南省,530000,文山壮族苗族自治州,532600,17.3941550877
86,20010328,云南省,530000,文山壮族苗族自治州,532600,16.5942832007
87,20010329,云南省,530000,文山壮族苗族自治州,532600,16.3330537271
88,20010330,云南省,530000,文山壮族苗族自治州,532600,18.8585996766
89,20010331,云南省,530000,文山壮族苗族自治州,532600,19.0407230543
90,20010401,云南省,530000,文山壮族苗族自治州,532600,20.0098868937
91,20010402,云南省,530000,文山壮族苗族自治州,532600,22.3438359689
92,20010403,云南省,530000,文山壮族苗族自治州,532600,22.7137028238
93,20010404,云南省,530000,文山壮族苗族自治州,532600,19.2825434864
94,20010405,云南省,530000,文山壮族苗族自治州,532600,18.8690074423
95,20010406,云南省,530000,文山壮族苗族自治州,532600,20.2196651403
96,20010407,云南省,530000,文山壮族苗族自治州,532600,23.5373573856
97,20010408,云南省,530000,文山壮族苗族自治州,532600,24.6232621843
98,20010409,云南省,530000,文山壮族苗族自治州,532600,25.2063949972
99,20010410,云南省,530000,文山壮族苗族自治州,532600,21.0905484186
100,20010411,云南省,530000,文山壮族苗族自治州,532600,13.7590979148
101,20010412,云南省,530000,文山壮族苗族自治州,532600,16.0483130856
102,20010413,云南省,530000,文山壮族苗族自治州,532600,19.7790562726
103,20010414,云南省,530000,文山壮族苗族自治州,532600,16.4598782719
104,20010415,云南省,530000,文山壮族苗族自治州,532600,19.3316113569
105,20010416,云南省,530000,文山壮族苗族自治州,532600,19.6620959406
106,20010417,云南省,530000,文山壮族苗族自治州,532600,21.5771924447
107,20010418,云南省,530000,文山壮族苗族自治州,532600,25.3831463966
108,20010419,云南省,530000,文山壮族苗族自治州,532600,26.449127529
109,20010420,云南省,530000,文山壮族苗族自治州,532600,25.8345958876
110,20010421,云南省,530000,文山壮族苗族自治州,532600,23.9816822937
111,20010422,云南省,530000,文山壮族苗族自治州,532600,19.0653629856
112,20010423,云南省,530000,文山壮族苗族自治州,532600,17.3459533747
113,20010424,云南省,530000,文山壮族苗族自治州,532600,16.4068961627
114,20010425,云南省,530000,文山壮族苗族自治州,532600,17.5253366802
115,20010426,云南省,530000,文山壮族苗族自治州,532600,20.4564490111
116,20010427,云南省,530000,文山壮族苗族自治州,532600,22.9316347095
117,20010428,云南省,530000,文山壮族苗族自治州,532600,22.4681612651
118,20010429,云南省,530000,文山壮族苗族自治州,532600,23.9688337575
119,20010430,云南省,530000,文山壮族苗族自治州,532600,21.8530753039
120,20010501,云南省,530000,文山壮族苗族自治州,532600,19.1766704615
121,20010502,云南省,530000,文山壮族苗族自治州,532600,20.781029024
122,20010503,云南省,530000,文山壮族苗族自治州,532600,21.9041288348
123,20010504,云南省,530000,文山壮族苗族自治州,532600,22.2964019223
124,20010505,云南省,530000,文山壮族苗族自治州,532600,24.5771647744
125,20010506,云南省,530000,文山壮族苗族自治州,532600,26.1740100418
126,20010507,云南省,530000,文山壮族苗族自治州,532600,23.6395363186
127,20010508,云南省,530000,文山壮族苗族自治州,532600,20.1205952409
128,20010509,云南省,530000,文山壮族苗族自治州,532600,18.4447820636
129,20010510,云南省,530000,文山壮族苗族自治州,532600,15.4143175733
130,20010511,云南省,530000,文山壮族苗族自治州,532600,17.6623034961
131,20010512,云南省,530000,文山壮族苗族自治州,532600,19.591231277
132,20010513,云南省,530000,文山壮族苗族自治州,532600,20.4111904476
133,20010514,云南省,530000,文山壮族苗族自治州,532600,17.5509052
134,20010515,云南省,530000,文山壮族苗族自治州,532600,16.6868238587
135,20010516,云南省,530000,文山壮族苗族自治州,532600,18.4378153207
136,20010517,云南省,530000,文山壮族苗族自治州,532600,21.1632494719
137,20010518,云南省,530000,文山壮族苗族自治州,532600,17.5393559414
138,20010519,云南省,530000,文山壮族苗族自治州,532600,21.2141391091
139,20010520,云南省,530000,文山壮族苗族自治州,532600,23.3175070666
140,20010521,云南省,530000,文山壮族苗族自治州,532600,22.8737347921
141,20010522,云南省,530000,文山壮族苗族自治州,532600,24.0994420535
142,20010523,云南省,530000,文山壮族苗族自治州,532600,23.9714667279
143,20010524,云南省,530000,文山壮族苗族自治州,532600,22.909922199
144,20010525,云南省,530000,文山壮族苗族自治州,532600,21.4892320771
145,20010526,云南省,530000,文山壮族苗族自治州,532600,19.8500207818
146,20010527,云南省,530000,文山壮族苗族自治州,532600,17.7538974596
147,20010528,云南省,530000,文山壮族苗族自治州,532600,19.0411608046
148,20010529,云南省,530000,文山壮族苗族自治州,532600,19.1459993832
149,20010530,云南省,530000,文山壮族苗族自治州,532600,21.0755297619
150,20010531,云南省,530000,文山壮族苗族自治州,532600,19.3114464525
151,20010601,云南省,530000,文山壮族苗族自治州,532600,18.4831223972
152,20010602,云南省,530000,文山壮族苗族自治州,532600,18.4162959776
153,20010603,云南省,530000,文山壮族苗族自治州,532600,19.997376594
154,20010604,云南省,530000,文山壮族苗族自治州,532600,21.8267501886
155,20010605,云南省,530000,文山壮族苗族自治州,532600,21.904385774
156,20010606,云南省,530000,文山壮族苗族自治州,532600,22.2503575864
157,20010607,云南省,530000,文山壮族苗族自治州,532600,23.0810859238
158,20010608,云南省,530000,文山壮族苗族自治州,532600,25.0643327962
159,20010609,云南省,530000,文山壮族苗族自治州,532600,25.1707771412
160,20010610,云南省,530000,文山壮族苗族自治州,532600,22.0829108971
