,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,云南省,530000,昆明市,530100,12.5225463486
1,20010102,云南省,530000,昆明市,530100,12.2913822556
2,20010103,云南省,530000,昆明市,530100,10.3194778633
3,20010104,云南省,530000,昆明市,530100,10.812546854
4,20010105,云南省,530000,昆明市,530100,11.6301912308
5,20010106,云南省,530000,昆明市,530100,10.4491294289
6,20010107,云南省,530000,昆明市,530100,10.9702155685
7,20010108,云南省,530000,昆明市,530100,9.8421622467
8,20010109,云南省,530000,昆明市,530100,6.51298297167
9,20010110,云南省,530000,昆明市,530100,7.5240616703
10,20010111,云南省,530000,昆明市,530100,8.11222935677
11,20010112,云南省,530000,昆明市,530100,8.04613658428
12,20010113,云南省,530000,昆明市,530100,8.7962912941
13,20010114,云南省,530000,昆明市,530100,8.44332546711
14,20010115,云南省,530000,昆明市,530100,7.02171325684
15,20010116,云南省,530000,昆明市,530100,9.02432346344
16,20010117,云南省,530000,昆明市,530100,11.8858997726
17,20010118,云南省,530000,昆明市,530100,11.2460484886
18,20010119,云南省,530000,昆明市,530100,10.3593247032
19,20010120,云南省,530000,昆明市,530100,11.4383649254
20,20010121,云南省,530000,昆明市,530100,12.9001162529
21,20010122,云南省,530000,昆明市,530100,12.718251152
22,20010123,云南省,530000,昆明市,530100,13.9430891418
23,20010124,云南省,530000,昆明市,530100,13.4629406357
24,20010125,云南省,530000,昆明市,530100,10.7827333164
25,20010126,云南省,530000,昆明市,530100,6.2589440918
26,20010127,云南省,530000,昆明市,530100,6.8051077342
27,20010128,云南省,530000,昆明市,530100,4.31063158274
28,20010129,云南省,530000,昆明市,530100,7.43902448654
29,20010130,云南省,530000,昆明市,530100,8.56423967361
30,20010131,云南省,530000,昆明市,530100,8.7737330389
31,20010201,云南省,530000,昆明市,530100,8.52536609173
32,20010202,云南省,530000,昆明市,530100,10.3911735153
33,20010203,云南省,530000,昆明市,530100,11.8661236954
34,20010204,云南省,530000,昆明市,530100,13.048672123
35,20010205,云南省,530000,昆明市,530100,14.1780139923
36,20010206,云南省,530000,昆明市,530100,12.3736507607
37,20010207,云南省,530000,昆明市,530100,8.90147197723
38,20010208,云南省,530000,昆明市,530100,8.81333435059
39,20010209,云南省,530000,昆明市,530100,5.65636603355
40,20010210,云南省,530000,昆明市,530100,6.95690483093
41,20010211,云南省,530000,昆明市,530100,10.9137937164
42,20010212,云南省,530000,昆明市,530100,10.9765661716
43,20010213,云南省,530000,昆明市,530100,6.2912844348
44,20010214,云南省,530000,昆明市,530100,7.7693491745
45,20010215,云南省,530000,昆明市,530100,10.1245567703
