,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,山西省,140000,晋城市,140500,1.23124971791
1,20010102,山西省,140000,晋城市,140500,0.792553887419
2,20010103,山西省,140000,晋城市,140500,-1.53711449582
3,20010104,山西省,140000,晋城市,140500,-3.11703670543
4,20010105,山西省,140000,晋城市,140500,-2.57354215954
5,20010106,山西省,140000,晋城市,140500,-1.69160985688
6,20010107,山西省,140000,晋城市,140500,-1.90813412874
7,20010108,山西省,140000,晋城市,140500,-1.6986761145
8,20010109,山西省,140000,晋城市,140500,-4.29815079855
9,20010110,山西省,140000,晋城市,140500,-3.0030239043
10,20010111,山西省,140000,晋城市,140500,-3.72856794233
11,20010112,山西省,140000,晋城市,140500,-1.50040836956
12,20010113,山西省,140000,晋城市,140500,-3.43852028639
13,20010114,山西省,140000,晋城市,140500,-6.07024383545
14,20010115,山西省,140000,晋城市,140500,-5.66065315578
15,20010116,山西省,140000,晋城市,140500,-4.80940084872
16,20010117,山西省,140000,晋城市,140500,-2.25389694649
17,20010118,山西省,140000,晋城市,140500,-1.45906154228
18,20010119,山西省,140000,晋城市,140500,-1.18390657607
19,20010120,山西省,140000,晋城市,140500,-0.70124506675
20,20010121,山西省,140000,晋城市,140500,-1.0212328136
21,20010122,山西省,140000,晋城市,140500,-2.96450982923
22,20010123,山西省,140000,晋城市,140500,-3.96313102349
23,20010124,山西省,140000,晋城市,140500,-2.14634931606
24,20010125,山西省,140000,晋城市,140500,-4.57870266749
25,20010126,山西省,140000,晋城市,140500,-3.13987151436
26,20010127,山西省,140000,晋城市,140500,-1.13455470967
27,20010128,山西省,140000,晋城市,140500,-3.86717632542
28,20010129,山西省,140000,晋城市,140500,-1.51023121858
29,20010130,山西省,140000,晋城市,140500,0.283982665683
30,20010131,山西省,140000,晋城市,140500,0.980549615362
31,20010201,山西省,140000,晋城市,140500,-0.669654833355
32,20010202,山西省,140000,晋城市,140500,0.83016243415
33,20010203,山西省,140000,晋城市,140500,0.652471903793
34,20010204,山西省,140000,晋城市,140500,-1.59767500732
35,20010205,山西省,140000,晋城市,140500,-1.77058344302
36,20010206,山西省,140000,晋城市,140500,-2.61492244575
37,20010207,山西省,140000,晋城市,140500,-3.18402005279
38,20010208,山西省,140000,晋城市,140500,0.038126465905
39,20010209,山西省,140000,晋城市,140500,1.52837423656
40,20010210,山西省,140000,晋城市,140500,0.201146643285
41,20010211,山西省,140000,晋城市,140500,-2.70301168898
42,20010212,山西省,140000,晋城市,140500,-2.00808836585
43,20010213,山西省,140000,晋城市,140500,0.194904102245
44,20010214,山西省,140000,晋城市,140500,3.77627612197
45,20010215,山西省,140000,晋城市,140500,2.7554179119
46,20010216,山西省,140000,晋城市,140500,1.42590583926
47,20010217,山西省,140000,晋城市,140500,3.82733636317
48,20010218,山西省,140000,晋城市,140500,7.6551991131
49,20010219,山西省,140000,晋城市,140500,7.31911310942
50,20010220,山西省,140000,晋城市,140500,6.17502867657
51,20010221,山西省,140000,晋城市,140500,7.73697448813
52,20010222,山西省,140000,晋城市,140500,7.13993972281
53,20010223,山西省,140000,晋城市,140500,1.68991576913
54,20010224,山西省,140000,晋城市,140500,1.15574031291
55,20010225,山西省,140000,晋城市,140500,1.91977568295
56,20010226,山西省,140000,晋城市,140500,0.371532526758
57,20010227,山西省,140000,晋城市,140500,4.9187152904
58,20010228,山西省,140000,晋城市,140500,7.34936170993
59,20010301,山西省,140000,晋城市,140500,10.7693944599
60,20010302,山西省,140000,晋城市,140500,8.91353723277
61,20010303,山西省,140000,晋城市,140500,4.94180567368
62,20010304,山西省,140000,晋城市,140500,7.4600417303
63,20010305,山西省,140000,晋城市,140500,9.85647690814
64,20010306,山西省,140000,晋城市,140500,3.98400409325
65,20010307,山西省,140000,晋城市,140500,1.57007016306
66,20010308,山西省,140000,晋城市,140500,1.67493303444
67,20010309,山西省,140000,晋城市,140500,7.32530803266
68,20010310,山西省,140000,晋城市,140500,6.99238712891
69,20010311,山西省,140000,晋城市,140500,8.03928346219
70,20010312,山西省,140000,晋城市,140500,11.3557023173
71,20010313,山西省,140000,晋城市,140500,13.5193910599
72,20010314,山西省,140000,晋城市,140500,10.5062636914
73,20010315,山西省,140000,晋城市,140500,4.73754137495
74,20010316,山西省,140000,晋城市,140500,3.92793111179
75,20010317,山西省,140000,晋城市,140500,9.72601562998
76,20010318,山西省,140000,晋城市,140500,11.2529464805
77,20010319,山西省,140000,晋城市,140500,14.5001283729
78,20010320,山西省,140000,晋城市,140500,14.3367236593
79,20010321,山西省,140000,晋城市,140500,16.6846163377
80,20010322,山西省,140000,晋城市,140500,11.0386829376
81,20010323,山西省,140000,晋城市,140500,13.5091909326
82,20010324,山西省,140000,晋城市,140500,16.0829545311
83,20010325,山西省,140000,晋城市,140500,12.5625097026
84,20010326,山西省,140000,晋城市,140500,8.97222929415
85,20010327,山西省,140000,晋城市,140500,3.72697259032
86,20010328,山西省,140000,晋城市,140500,5.69366142024
87,20010329,山西省,140000,晋城市,140500,11.3067900202
88,20010330,山西省,140000,晋城市,140500,8.42650484002
89,20010331,山西省,140000,晋城市,140500,8.34952628094
90,20010401,山西省,140000,晋城市,140500,12.366081528
91,20010402,山西省,140000,晋城市,140500,15.4127007775
92,20010403,山西省,140000,晋城市,140500,10.9456426372
93,20010404,山西省,140000,晋城市,140500,12.6703355623
94,20010405,山西省,140000,晋城市,140500,11.7638303923
95,20010406,山西省,140000,晋城市,140500,9.70878891323
96,20010407,山西省,140000,晋城市,140500,14.8443996181
97,20010408,山西省,140000,晋城市,140500,16.5663915717
98,20010409,山西省,140000,晋城市,140500,6.02271635636
99,20010410,山西省,140000,晋城市,140500,6.16516011694
100,20010411,山西省,140000,晋城市,140500,8.96478665393
101,20010412,山西省,140000,晋城市,140500,13.1053731338
102,20010413,山西省,140000,晋城市,140500,12.2993479604
103,20010414,山西省,140000,晋城市,140500,13.6945634096
104,20010415,山西省,140000,晋城市,140500,16.2904815674
105,20010416,山西省,140000,晋城市,140500,18.8620955426
106,20010417,山西省,140000,晋城市,140500,19.4120614425
107,20010418,山西省,140000,晋城市,140500,20.2738988296
108,20010419,山西省,140000,晋城市,140500,15.9976718322
109,20010420,山西省,140000,晋城市,140500,10.5489529319
110,20010421,山西省,140000,晋城市,140500,11.4776940553
111,20010422,山西省,140000,晋城市,140500,14.7052085711
112,20010423,山西省,140000,晋城市,140500,9.69797748068
113,20010424,山西省,140000,晋城市,140500,11.0130952338
114,20010425,山西省,140000,晋城市,140500,13.274468878
115,20010426,山西省,140000,晋城市,140500,16.1759731044
116,20010427,山西省,140000,晋城市,140500,17.4039227859
117,20010428,山西省,140000,晋城市,140500,16.2612730109
118,20010429,山西省,140000,晋城市,140500,16.953298776
119,20010430,山西省,140000,晋城市,140500,16.6283223525
120,20010501,山西省,140000,晋城市,140500,18.7784291143
121,20010502,山西省,140000,晋城市,140500,19.2101430478
122,20010503,山西省,140000,晋城市,140500,18.1306604302
123,20010504,山西省,140000,晋城市,140500,17.6410759636
124,20010505,山西省,140000,晋城市,140500,19.4747300355
125,20010506,山西省,140000,晋城市,140500,19.8104427172
126,20010507,山西省,140000,晋城市,140500,19.2286641494
127,20010508,山西省,140000,晋城市,140500,20.1578501826
128,20010509,山西省,140000,晋城市,140500,18.9485689246
129,20010510,山西省,140000,晋城市,140500,20.3523491569
130,20010511,山西省,140000,晋城市,140500,20.6447019162
131,20010512,山西省,140000,晋城市,140500,21.6572845293
132,20010513,山西省,140000,晋城市,140500,24.466979317
133,20010514,山西省,140000,晋城市,140500,22.6252600628
134,20010515,山西省,140000,晋城市,140500,21.7950047203
135,20010516,山西省,140000,晋城市,140500,18.9363570835
136,20010517,山西省,140000,晋城市,140500,22.3444779438
137,20010518,山西省,140000,晋城市,140500,24.5049362183
138,20010519,山西省,140000,晋城市,140500,25.3313805953
139,20010520,山西省,140000,晋城市,140500,26.1836268384
140,20010521,山西省,140000,晋城市,140500,24.0228497049
141,20010522,山西省,140000,晋城市,140500,24.4841200787
142,20010523,山西省,140000,晋城市,140500,26.2195058906
143,20010524,山西省,140000,晋城市,140500,20.1616463869
144,20010525,山西省,140000,晋城市,140500,23.2513633396
145,20010526,山西省,140000,晋城市,140500,22.7994015735
146,20010527,山西省,140000,晋城市,140500,22.7152604642
147,20010528,山西省,140000,晋城市,140500,25.3470558498
148,20010529,山西省,140000,晋城市,140500,22.9084881492
149,20010530,山西省,140000,晋城市,140500,18.2463266953
150,20010531,山西省,140000,晋城市,140500,21.7739309228
151,20010601,山西省,140000,晋城市,140500,24.4987011785
152,20010602,山西省,140000,晋城市,140500,24.8650312009
153,20010603,山西省,140000,晋城市,140500,25.0010161193
154,20010604,山西省,140000,晋城市,140500,24.5987781027
155,20010605,山西省,140000,晋城市,140500,25.3295264037
156,20010606,山西省,140000,晋城市,140500,27.9933326555
157,20010607,山西省,140000,晋城市,140500,26.0883392666
158,20010608,山西省,140000,晋城市,140500,25.9078005915
159,20010609,山西省,140000,晋城市,140500,21.5050725522
160,20010610,山西省,140000,晋城市,140500,25.1019202523
161,20010611,山西省,140000,晋城市,140500,25.187036846
162,20010612,山西省,140000,晋城市,140500,20.8435329769
163,20010613,山西省,140000,晋城市,140500,23.5829447041
164,20010614,山西省,140000,晋城市,140500,24.1695710887
165,20010615,山西省,140000,晋城市,140500,23.9227401899
166,20010616,山西省,140000,晋城市,140500,24.7647269705
167,20010617,山西省,140000,晋城市,140500,25.1914591582
168,20010618,山西省,140000,晋城市,140500,24.9099442855
169,20010619,山西省,140000,晋城市,140500,26.3296142246
170,20010620,山西省,140000,晋城市,140500,24.519940086
171,20010621,山西省,140000,晋城市,140500,23.7554721003
172,20010622,山西省,140000,晋城市,140500,21.9050831173
173,20010623,山西省,140000,晋城市,140500,23.5572702988
174,20010624,山西省,140000,晋城市,140500,23.6358892192
175,20010625,山西省,140000,晋城市,140500,24.1689145461
176,20010626,山西省,140000,晋城市,140500,27.7416971455
177,20010627,山西省,140000,晋城市,140500,30.5689513994
178,20010628,山西省,140000,晋城市,140500,25.5249361785
179,20010629,山西省,140000,晋城市,140500,24.7318317579
180,20010630,山西省,140000,晋城市,140500,28.7657842221
181,20010701,山西省,140000,晋城市,140500,30.6698905281
182,20010702,山西省,140000,晋城市,140500,27.9105936133
183,20010703,山西省,140000,晋城市,140500,23.406363197
184,20010704,山西省,140000,晋城市,140500,27.665915116
185,20010705,山西省,140000,晋城市,140500,29.1718838733
186,20010706,山西省,140000,晋城市,140500,27.4796777808
187,20010707,山西省,140000,晋城市,140500,27.5974466075
188,20010708,山西省,140000,晋城市,140500,30.0255457837
189,20010709,山西省,140000,晋城市,140500,28.7942478346
190,20010710,山西省,140000,晋城市,140500,24.2244528895
191,20010711,山西省,140000,晋城市,140500,24.4428007706
192,20010712,山西省,140000,晋城市,140500,28.5717155622
193,20010713,山西省,140000,晋城市,140500,27.6685615208
194,20010714,山西省,140000,晋城市,140500,26.7153774759
195,20010715,山西省,140000,晋城市,140500,27.3387406391
196,20010716,山西省,140000,晋城市,140500,27.4647641389
197,20010717,山西省,140000,晋城市,140500,27.1104735499
198,20010718,山西省,140000,晋城市,140500,27.3915626692
199,20010719,山西省,140000,晋城市,140500,28.4090643344
200,20010720,山西省,140000,晋城市,140500,25.5014844148
201,20010721,山西省,140000,晋城市,140500,25.2141158062
202,20010722,山西省,140000,晋城市,140500,26.1677484927
203,20010723,山西省,140000,晋城市,140500,26.2670800582
204,20010724,山西省,140000,晋城市,140500,25.0865477686
205,20010725,山西省,140000,晋城市,140500,27.5898454915
206,20010726,山西省,140000,晋城市,140500,24.5687880309
207,20010727,山西省,140000,晋城市,140500,20.8860597196
208,20010728,山西省,140000,晋城市,140500,24.4295678346
209,20010729,山西省,140000,晋城市,140500,21.9538346166
210,20010730,山西省,140000,晋城市,140500,23.0965912031
211,20010731,山西省,140000,晋城市,140500,24.7793553394
212,20010801,山西省,140000,晋城市,140500,24.3083637072
213,20010802,山西省,140000,晋城市,140500,23.3376577626
214,20010803,山西省,140000,晋城市,140500,24.6438436094
215,20010804,山西省,140000,晋城市,140500,25.8759735771
216,20010805,山西省,140000,晋城市,140500,26.9700672316
217,20010806,山西省,140000,晋城市,140500,28.1914462214
218,20010807,山西省,140000,晋城市,140500,26.3506332066
219,20010808,山西省,140000,晋城市,140500,24.1195406706
220,20010809,山西省,140000,晋城市,140500,22.9932644886
221,20010810,山西省,140000,晋城市,140500,23.7647228241
222,20010811,山西省,140000,晋城市,140500,21.6643727344
223,20010812,山西省,140000,晋城市,140500,22.8095419511
224,20010813,山西省,140000,晋城市,140500,23.5227812891
225,20010814,山西省,140000,晋城市,140500,23.1704220979
226,20010815,山西省,140000,晋城市,140500,22.1898341801
227,20010816,山西省,140000,晋城市,140500,22.6404947198
228,20010817,山西省,140000,晋城市,140500,24.0090170321
229,20010818,山西省,140000,晋城市,140500,24.1940568012
230,20010819,山西省,140000,晋城市,140500,21.990089997
231,20010820,山西省,140000,晋城市,140500,23.0230871283
232,20010821,山西省,140000,晋城市,140500,25.3460690042
233,20010822,山西省,140000,晋城市,140500,25.9194525014
234,20010823,山西省,140000,晋城市,140500,25.7136717257
235,20010824,山西省,140000,晋城市,140500,25.3038139343
236,20010825,山西省,140000,晋城市,140500,24.3492763353
237,20010826,山西省,140000,晋城市,140500,22.9384370057
238,20010827,山西省,140000,晋城市,140500,21.5146500961
239,20010828,山西省,140000,晋城市,140500,19.4600338314
240,20010829,山西省,140000,晋城市,140500,20.0318664053
241,20010830,山西省,140000,晋城市,140500,20.3108815732
242,20010831,山西省,140000,晋城市,140500,21.3950288192
243,20010901,山西省,140000,晋城市,140500,22.1503888835
244,20010902,山西省,140000,晋城市,140500,23.0010663737
245,20010903,山西省,140000,晋城市,140500,21.7315627388
246,20010904,山西省,140000,晋城市,140500,22.3791751032
247,20010905,山西省,140000,晋城市,140500,24.540196709
248,20010906,山西省,140000,晋城市,140500,22.9159788049
249,20010907,山西省,140000,晋城市,140500,19.1973925051
250,20010908,山西省,140000,晋城市,140500,19.5758702651
251,20010909,山西省,140000,晋城市,140500,20.0706837696
252,20010910,山西省,140000,晋城市,140500,20.3210244386
253,20010911,山西省,140000,晋城市,140500,19.8364418693
254,20010912,山西省,140000,晋城市,140500,20.7183659595
255,20010913,山西省,140000,晋城市,140500,21.8177475307
256,20010914,山西省,140000,晋城市,140500,22.8446271316
257,20010915,山西省,140000,晋城市,140500,21.8012530285
258,20010916,山西省,140000,晋城市,140500,23.7672663979
259,20010917,山西省,140000,晋城市,140500,18.602852614
260,20010918,山西省,140000,晋城市,140500,17.2442192409
261,20010919,山西省,140000,晋城市,140500,12.1659306236
262,20010920,山西省,140000,晋城市,140500,12.9927636437
263,20010921,山西省,140000,晋城市,140500,13.2382146172
264,20010922,山西省,140000,晋城市,140500,15.2867123148
265,20010923,山西省,140000,晋城市,140500,17.9285833939
266,20010924,山西省,140000,晋城市,140500,19.9520533189
267,20010925,山西省,140000,晋城市,140500,18.3031653529
268,20010926,山西省,140000,晋城市,140500,16.7648775267
269,20010927,山西省,140000,晋城市,140500,18.814828458
270,20010928,山西省,140000,晋城市,140500,17.2721596593
271,20010929,山西省,140000,晋城市,140500,14.3796414085
272,20010930,山西省,140000,晋城市,140500,16.7656973963
273,20011001,山西省,140000,晋城市,140500,17.1666650772
274,20011002,山西省,140000,晋城市,140500,15.0650138855
275,20011003,山西省,140000,晋城市,140500,13.1182499347
276,20011004,山西省,140000,晋城市,140500,12.7217523741
277,20011005,山西省,140000,晋城市,140500,15.0197767175
278,20011006,山西省,140000,晋城市,140500,14.1013096934
279,20011007,山西省,140000,晋城市,140500,13.8048188168
280,20011008,山西省,140000,晋城市,140500,13.5071011419
281,20011009,山西省,140000,晋城市,140500,14.9627184246
282,20011010,山西省,140000,晋城市,140500,14.7846350877
283,20011011,山西省,140000,晋城市,140500,14.9144256426
284,20011012,山西省,140000,晋城市,140500,13.2914043509
285,20011013,山西省,140000,晋城市,140500,13.5978322651
286,20011014,山西省,140000,晋城市,140500,12.4401462389
287,20011015,山西省,140000,晋城市,140500,15.6046213067
288,20011016,山西省,140000,晋城市,140500,14.7472840185
289,20011017,山西省,140000,晋城市,140500,12.747838974
290,20011018,山西省,140000,晋城市,140500,13.5282101838
291,20011019,山西省,140000,晋城市,140500,13.3806947625
292,20011020,山西省,140000,晋城市,140500,13.5250837907
293,20011021,山西省,140000,晋城市,140500,14.2033758163
294,20011022,山西省,140000,晋城市,140500,14.4408189939
295,20011023,山西省,140000,晋城市,140500,15.5846488372
296,20011024,山西省,140000,晋城市,140500,14.8552888373
297,20011025,山西省,140000,晋城市,140500,13.4978933334
298,20011026,山西省,140000,晋城市,140500,14.6056418626
299,20011027,山西省,140000,晋城市,140500,14.3071272062
300,20011028,山西省,140000,晋城市,140500,12.1386870923
