,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,云南省,530000,普洱市,530800,14.7904092519
1,20010102,云南省,530000,普洱市,530800,15.0373301458
2,20010103,云南省,530000,普洱市,530800,15.1456051547
3,20010104,云南省,530000,普洱市,530800,15.5651908065
4,20010105,云南省,530000,普洱市,530800,15.2998419964
5,20010106,云南省,530000,普洱市,530800,14.0459624493
6,20010107,云南省,530000,普洱市,530800,13.5245157492
7,20010108,云南省,530000,普洱市,530800,12.7143087676
8,20010109,云南省,530000,普洱市,530800,12.6239282531
9,20010110,云南省,530000,普洱市,530800,11.7151457661
10,20010111,云南省,530000,普洱市,530800,12.4568078494
11,20010112,云南省,530000,普洱市,530800,11.9787575115
12,20010113,云南省,530000,普洱市,530800,13.89674599
13,20010114,云南省,530000,普洱市,530800,13.8794166199
14,20010115,云南省,530000,普洱市,530800,13.8679454495
15,20010116,云南省,530000,普洱市,530800,14.214882369
16,20010117,云南省,530000,普洱市,530800,15.3617378293
17,20010118,云南省,530000,普洱市,530800,14.6927415674
18,20010119,云南省,530000,普洱市,530800,14.7595571845
19,20010120,云南省,530000,普洱市,530800,15.5005423806
20,20010121,云南省,530000,普洱市,530800,15.2424067777
21,20010122,云南省,530000,普洱市,530800,14.1386821631
22,20010123,云南省,530000,普洱市,530800,15.5310662009
23,20010124,云南省,530000,普洱市,530800,16.7742931867
24,20010125,云南省,530000,普洱市,530800,15.5124441108
25,20010126,云南省,530000,普洱市,530800,13.5610204273
26,20010127,云南省,530000,普洱市,530800,13.6596521898
27,20010128,云南省,530000,普洱市,530800,13.076123989
28,20010129,云南省,530000,普洱市,530800,12.9276880784
29,20010130,云南省,530000,普洱市,530800,14.0634741157
30,20010131,云南省,530000,普洱市,530800,15.0362027775
31,20010201,云南省,530000,普洱市,530800,16.0683788916
32,20010202,云南省,530000,普洱市,530800,16.779656102
33,20010203,云南省,530000,普洱市,530800,17.3749201322
34,20010204,云南省,530000,普洱市,530800,17.2088605129
35,20010205,云南省,530000,普洱市,530800,16.4253169069
36,20010206,云南省,530000,普洱市,530800,15.5044022088
37,20010207,云南省,530000,普洱市,530800,15.3513443012
38,20010208,云南省,530000,普洱市,530800,15.946449877
39,20010209,云南省,530000,普洱市,530800,15.8866709411
40,20010210,云南省,530000,普洱市,530800,14.6737279988
41,20010211,云南省,530000,普洱市,530800,15.3849255533
42,20010212,云南省,530000,普洱市,530800,15.7880218101
43,20010213,云南省,530000,普洱市,530800,16.3970244918
