,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,江西省,360000,景德镇市,360200,9.29868650436
1,20010102,江西省,360000,景德镇市,360200,7.91043925285
2,20010103,江西省,360000,景德镇市,360200,8.62500576178
3,20010104,江西省,360000,景德镇市,360200,8.95274317265
4,20010105,江西省,360000,景德镇市,360200,9.58931064606
5,20010106,江西省,360000,景德镇市,360200,10.2918426991
6,20010107,江西省,360000,景德镇市,360200,8.22610958417
7,20010108,江西省,360000,景德镇市,360200,6.37865682443
8,20010109,江西省,360000,景德镇市,360200,3.17503192027
9,20010110,江西省,360000,景德镇市,360200,4.00831955671
10,20010111,江西省,360000,景德镇市,360200,4.9417732954
11,20010112,江西省,360000,景德镇市,360200,5.72563989957
12,20010113,江西省,360000,景德镇市,360200,4.72377838691
13,20010114,江西省,360000,景德镇市,360200,2.95333645741
14,20010115,江西省,360000,景德镇市,360200,2.12040596952
15,20010116,江西省,360000,景德镇市,360200,4.77184311549
16,20010117,江西省,360000,景德镇市,360200,8.94133214156
17,20010118,江西省,360000,景德镇市,360200,8.68436324596
18,20010119,江西省,360000,景德镇市,360200,9.74712840716
19,20010120,江西省,360000,景德镇市,360200,9.05425834656
20,20010121,江西省,360000,景德镇市,360200,9.04462043444
21,20010122,江西省,360000,景德镇市,360200,7.64881853263
22,20010123,江西省,360000,景德镇市,360200,7.5716625452
23,20010124,江西省,360000,景德镇市,360200,6.36924258868
24,20010125,江西省,360000,景德镇市,360200,3.21456653873
25,20010126,江西省,360000,景德镇市,360200,0.803158580015
26,20010127,江西省,360000,景德镇市,360200,3.34995210171
27,20010128,江西省,360000,景德镇市,360200,3.73790373405
28,20010129,江西省,360000,景德镇市,360200,5.01218704383
29,20010130,江西省,360000,景德镇市,360200,7.08894260724
30,20010131,江西省,360000,景德镇市,360200,6.6886049509
31,20010201,江西省,360000,景德镇市,360200,4.66179680824
32,20010202,江西省,360000,景德镇市,360200,6.23899928729
33,20010203,江西省,360000,景德镇市,360200,5.96968007088
34,20010204,江西省,360000,景德镇市,360200,6.98206122716
35,20010205,江西省,360000,景德镇市,360200,8.16554657618
36,20010206,江西省,360000,景德镇市,360200,7.38955271244
37,20010207,江西省,360000,景德镇市,360200,4.20488760869
38,20010208,江西省,360000,景德镇市,360200,5.4498689572
39,20010209,江西省,360000,景德镇市,360200,4.71860671043
40,20010210,江西省,360000,景德镇市,360200,8.21554700534
41,20010211,江西省,360000,景德镇市,360200,8.03686499596
