,�梪�,吽爺,吽爺測鎢,傑庈,傑庈測鎢,す歙ァ恲
0,20010101,賽譴吽,210000,陳栠庈,211300,-8.42612156952
1,20010102,賽譴吽,210000,陳栠庈,211300,-12.5150110011
2,20010103,賽譴吽,210000,陳栠庈,211300,-15.3030599628
3,20010104,賽譴吽,210000,陳栠庈,211300,-15.7260120626
4,20010105,賽譴吽,210000,陳栠庈,211300,-13.1956006435
5,20010106,賽譴吽,210000,陳栠庈,211300,-9.79601306246
6,20010107,賽譴吽,210000,陳栠庈,211300,-9.86510249188
7,20010108,賽譴吽,210000,陳栠庈,211300,-11.3967060541
8,20010109,賽譴吽,210000,陳栠庈,211300,-14.471441453
9,20010110,賽譴吽,210000,陳栠庈,211300,-17.3764042101
10,20010111,賽譴吽,210000,陳栠庈,211300,-19.7845839952
11,20010112,賽譴吽,210000,陳栠庈,211300,-19.7021012724
12,20010113,賽譴吽,210000,陳栠庈,211300,-19.6492964427
13,20010114,賽譴吽,210000,陳栠庈,211300,-18.7846085398
14,20010115,賽譴吽,210000,陳栠庈,211300,-17.8612684618
15,20010116,賽譴吽,210000,陳栠庈,211300,-15.44089754
16,20010117,賽譴吽,210000,陳栠庈,211300,-9.75973390278
17,20010118,賽譴吽,210000,陳栠庈,211300,-13.0931284386
18,20010119,賽譴吽,210000,陳栠庈,211300,-13.9932049701
19,20010120,賽譴吽,210000,陳栠庈,211300,-12.5089901372
20,20010121,賽譴吽,210000,陳栠庈,211300,-11.9652738069
21,20010122,賽譴吽,210000,陳栠庈,211300,-11.2741977123
22,20010123,賽譴吽,210000,陳栠庈,211300,-9.28426039846
23,20010124,賽譴吽,210000,陳栠庈,211300,-8.68171417504
24,20010125,賽譴吽,210000,陳栠庈,211300,-9.24059617729
25,20010126,賽譴吽,210000,陳栠庈,211300,-8.02635750018
26,20010127,賽譴吽,210000,陳栠庈,211300,-8.13625451138
27,20010128,賽譴吽,210000,陳栠庈,211300,-6.96583613178
28,20010129,賽譴吽,210000,陳栠庈,211300,-7.31998136587
29,20010130,賽譴吽,210000,陳栠庈,211300,-5.37527483388
30,20010131,賽譴吽,210000,陳栠庈,211300,-6.79093167656
31,20010201,賽譴吽,210000,陳栠庈,211300,-10.9289908242
32,20010202,賽譴吽,210000,陳栠庈,211300,-14.0003703519
33,20010203,賽譴吽,210000,陳栠庈,211300,-17.3813443435
34,20010204,賽譴吽,210000,陳栠庈,211300,-15.8685357947
35,20010205,賽譴吽,210000,陳栠庈,211300,-15.6972413983
36,20010206,賽譴吽,210000,陳栠庈,211300,-15.7811744757
37,20010207,賽譴吽,210000,陳栠庈,211300,-11.9735148246
38,20010208,賽譴吽,210000,陳栠庈,211300,-6.96764587101
39,20010209,賽譴吽,210000,陳栠庈,211300,-8.03507977201
40,20010210,賽譴吽,210000,陳栠庈,211300,-12.93653965
41,20010211,賽譴吽,210000,陳栠庈,211300,-12.7805746313
42,20010212,賽譴吽,210000,陳栠庈,211300,-8.83786826385
43,20010213,賽譴吽,210000,陳栠庈,211300,-8.6907678738
44,20010214,賽譴吽,210000,陳栠庈,211300,-8.26822782818
45,20010215,賽譴吽,210000,陳栠庈,211300,-7.70972603246
46,20010216,賽譴吽,210000,陳栠庈,211300,-3.13200986176
47,20010217,賽譴吽,210000,陳栠庈,211300,0.745601338645
48,20010218,賽譴吽,210000,陳栠庈,211300,0.927790821121
49,20010219,賽譴吽,210000,陳栠庈,211300,1.23776564
50,20010220,賽譴吽,210000,陳栠庈,211300,2.60194077617
51,20010221,賽譴吽,210000,陳栠庈,211300,3.23349610128
52,20010222,賽譴吽,210000,陳栠庈,211300,-2.19864318622
53,20010223,賽譴吽,210000,陳栠庈,211300,-6.32617076238
54,20010224,賽譴吽,210000,陳栠庈,211300,-4.7182283276
55,20010225,賽譴吽,210000,陳栠庈,211300,-1.13950725689
56,20010226,賽譴吽,210000,陳栠庈,211300,4.2587505809
57,20010227,賽譴吽,210000,陳栠庈,211300,2.66209460351
58,20010228,賽譴吽,210000,陳栠庈,211300,3.34787347442
59,20010301,賽譴吽,210000,陳栠庈,211300,1.42552216573
60,20010302,賽譴吽,210000,陳栠庈,211300,2.82220800299
61,20010303,賽譴吽,210000,陳栠庈,211300,-2.5803352197
62,20010304,賽譴吽,210000,陳栠庈,211300,-2.81112591844
63,20010305,賽譴吽,210000,陳栠庈,211300,-1.36780427426
64,20010306,賽譴吽,210000,陳栠庈,211300,-5.42070582875
65,20010307,賽譴吽,210000,陳栠庈,211300,-6.48958868729
66,20010308,賽譴吽,210000,陳栠庈,211300,-6.46640581415
67,20010309,賽譴吽,210000,陳栠庈,211300,-5.04578986555
68,20010310,賽譴吽,210000,陳栠庈,211300,-4.47136944637
69,20010311,賽譴吽,210000,陳栠庈,211300,-1.68368706003
70,20010312,賽譴吽,210000,陳栠庈,211300,3.87765910124
71,20010313,賽譴吽,210000,陳栠庈,211300,9.0486485749
72,20010314,賽譴吽,210000,陳栠庈,211300,-0.247379223996
73,20010315,賽譴吽,210000,陳栠庈,211300,2.96933500443
74,20010316,賽譴吽,210000,陳栠庈,211300,7.52053029077
75,20010317,賽譴吽,210000,陳栠庈,211300,8.80785717881
76,20010318,賽譴吽,210000,陳栠庈,211300,10.6473322249
77,20010319,賽譴吽,210000,陳栠庈,211300,14.5015698483
78,20010320,賽譴吽,210000,陳栠庈,211300,6.36340180196
79,20010321,賽譴吽,210000,陳栠庈,211300,4.27526748599
80,20010322,賽譴吽,210000,陳栠庈,211300,4.12256355871
81,20010323,賽譴吽,210000,陳栠庈,211300,5.33193940447
82,20010324,賽譴吽,210000,陳栠庈,211300,2.29581966094
