,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,辽宁省,210000,本溪市,210500,-12.5315029725
1,20010102,辽宁省,210000,本溪市,210500,-17.4861362706
2,20010103,辽宁省,210000,本溪市,210500,-18.1973665486
3,20010104,辽宁省,210000,本溪市,210500,-20.2614862193
4,20010105,辽宁省,210000,本溪市,210500,-18.4390908946
5,20010106,辽宁省,210000,本溪市,210500,-12.0345600792
6,20010107,辽宁省,210000,本溪市,210500,-9.33004234148
7,20010108,辽宁省,210000,本溪市,210500,-9.18027998054
8,20010109,辽宁省,210000,本溪市,210500,-16.269545638
9,20010110,辽宁省,210000,本溪市,210500,-20.802795576
10,20010111,辽宁省,210000,本溪市,210500,-25.8983852552
11,20010112,辽宁省,210000,本溪市,210500,-24.4489389502
12,20010113,辽宁省,210000,本溪市,210500,-26.4236787713
13,20010114,辽宁省,210000,本溪市,210500,-27.3448194421
14,20010115,辽宁省,210000,本溪市,210500,-26.128754989
15,20010116,辽宁省,210000,本溪市,210500,-22.9423317287
16,20010117,辽宁省,210000,本溪市,210500,-14.3601034413
17,20010118,辽宁省,210000,本溪市,210500,-15.3693535017
18,20010119,辽宁省,210000,本溪市,210500,-14.6794193517
19,20010120,辽宁省,210000,本溪市,210500,-14.3944263873
20,20010121,辽宁省,210000,本溪市,210500,-15.2990611947
21,20010122,辽宁省,210000,本溪市,210500,-15.5439213462
22,20010123,辽宁省,210000,本溪市,210500,-13.7282335862
23,20010124,辽宁省,210000,本溪市,210500,-11.612933615
24,20010125,辽宁省,210000,本溪市,210500,-11.9290547578
25,20010126,辽宁省,210000,本溪市,210500,-7.27830113535
26,20010127,辽宁省,210000,本溪市,210500,-8.32568011077
27,20010128,辽宁省,210000,本溪市,210500,-13.2930717883
28,20010129,辽宁省,210000,本溪市,210500,-12.5103766815
29,20010130,辽宁省,210000,本溪市,210500,-8.02583713117
30,20010131,辽宁省,210000,本溪市,210500,-8.05778422563
31,20010201,辽宁省,210000,本溪市,210500,-15.4043822081
32,20010202,辽宁省,210000,本溪市,210500,-16.0412172649
33,20010203,辽宁省,210000,本溪市,210500,-18.6236995199
34,20010204,辽宁省,210000,本溪市,210500,-15.3090994047
35,20010205,辽宁省,210000,本溪市,210500,-14.8157602393
36,20010206,辽宁省,210000,本溪市,210500,-17.3382256964
37,20010207,辽宁省,210000,本溪市,210500,-17.4638246453
38,20010208,辽宁省,210000,本溪市,210500,-10.4871207527
39,20010209,辽宁省,210000,本溪市,210500,-9.17421154354
40,20010210,辽宁省,210000,本溪市,210500,-16.2211411518
41,20010211,辽宁省,210000,本溪市,210500,-17.1055590588
42,20010212,辽宁省,210000,本溪市,210500,-14.0632532783
43,20010213,辽宁省,210000,本溪市,210500,-13.7403634527
44,20010214,辽宁省,210000,本溪市,210500,-11.8101749835
45,20010215,辽宁省,210000,本溪市,210500,-12.4055958209
46,20010216,辽宁省,210000,本溪市,210500,-9.43209809842
47,20010217,辽宁省,210000,本溪市,210500,-2.07037984223
48,20010218,辽宁省,210000,本溪市,210500,-0.426226189603
49,20010219,辽宁省,210000,本溪市,210500,-2.54243616436
50,20010220,辽宁省,210000,本溪市,210500,2.05169824673
51,20010221,辽宁省,210000,本溪市,210500,1.28666995142
52,20010222,辽宁省,210000,本溪市,210500,-2.24636268616
53,20010223,辽宁省,210000,本溪市,210500,-5.44714490227
54,20010224,辽宁省,210000,本溪市,210500,-6.58035987356
55,20010225,辽宁省,210000,本溪市,210500,-4.16415077707
56,20010226,辽宁省,210000,本溪市,210500,0.783511551016
57,20010227,辽宁省,210000,本溪市,210500,0.167322033125
