,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,吉林省,220000,松原市,220700,-20.5657254203
1,20010102,吉林省,220000,松原市,220700,-22.207588915
2,20010103,吉林省,220000,松原市,220700,-22.3845978096
3,20010104,吉林省,220000,松原市,220700,-25.3159362918
4,20010105,吉林省,220000,松原市,220700,-26.3071989779
5,20010106,吉林省,220000,松原市,220700,-19.3412306426
6,20010107,吉林省,220000,松原市,220700,-15.4070203969
7,20010108,吉林省,220000,松原市,220700,-15.654597173
8,20010109,吉林省,220000,松原市,220700,-24.289973087
9,20010110,吉林省,220000,松原市,220700,-28.4328918144
10,20010111,吉林省,220000,松原市,220700,-30.4739596257
11,20010112,吉林省,220000,松原市,220700,-30.0917193303
12,20010113,吉林省,220000,松原市,220700,-29.8753397582
13,20010114,吉林省,220000,松原市,220700,-29.2366133205
14,20010115,吉林省,220000,松原市,220700,-27.6404676906
15,20010116,吉林省,220000,松原市,220700,-25.1496022959
16,20010117,吉林省,220000,松原市,220700,-20.4716261879
17,20010118,吉林省,220000,松原市,220700,-23.9938171574
18,20010119,吉林省,220000,松原市,220700,-21.9259219873
19,20010120,吉林省,220000,松原市,220700,-22.3214195126
20,20010121,吉林省,220000,松原市,220700,-21.4057537454
21,20010122,吉林省,220000,松原市,220700,-22.0837388273
22,20010123,吉林省,220000,松原市,220700,-18.4707196658
23,20010124,吉林省,220000,松原市,220700,-16.1574765659
24,20010125,吉林省,220000,松原市,220700,-17.5904164549
25,20010126,吉林省,220000,松原市,220700,-15.3321198635
26,20010127,吉林省,220000,松原市,220700,-16.1936706949
27,20010128,吉林省,220000,松原市,220700,-17.648848987
28,20010129,吉林省,220000,松原市,220700,-15.6702862255
29,20010130,吉林省,220000,松原市,220700,-13.0535992325
30,20010131,吉林省,220000,松原市,220700,-13.278387226
31,20010201,吉林省,220000,松原市,220700,-19.7116041027
32,20010202,吉林省,220000,松原市,220700,-25.2981735605
33,20010203,吉林省,220000,松原市,220700,-28.3990396906
34,20010204,吉林省,220000,松原市,220700,-25.2953917707
35,20010205,吉林省,220000,松原市,220700,-23.7142242994
36,20010206,吉林省,220000,松原市,220700,-24.431070359
37,20010207,吉林省,220000,松原市,220700,-20.712763927
38,20010208,吉林省,220000,松原市,220700,-17.2326980497
39,20010209,吉林省,220000,松原市,220700,-17.7240316047
40,20010210,吉林省,220000,松原市,220700,-21.7548320645
41,20010211,吉林省,220000,松原市,220700,-21.7577637532
42,20010212,吉林省,220000,松原市,220700,-19.5683437097
43,20010213,吉林省,220000,松原市,220700,-20.3132814501
44,20010214,吉林省,220000,松原市,220700,-19.9528626927
45,20010215,吉林省,220000,松原市,220700,-17.9381422293
46,20010216,吉林省,220000,松原市,220700,-11.3778289263
47,20010217,吉林省,220000,松原市,220700,-4.76679737841
48,20010218,吉林省,220000,松原市,220700,-7.62653086615
49,20010219,吉林省,220000,松原市,220700,-7.97016014818
50,20010220,吉林省,220000,松原市,220700,-1.78077031941
51,20010221,吉林省,220000,松原市,220700,-2.58264537327
52,20010222,吉林省,220000,松原市,220700,-7.62784047987
53,20010223,吉林省,220000,松原市,220700,-12.9878932609
54,20010224,吉林省,220000,松原市,220700,-12.1558411395
55,20010225,吉林省,220000,松原市,220700,-10.0849019348
56,20010226,吉林省,220000,松原市,220700,-3.28719548905
57,20010227,吉林省,220000,松原市,220700,-2.36790301077
58,20010228,吉林省,220000,松原市,220700,-4.59082539746
59,20010301,吉林省,220000,松原市,220700,-5.7522557368
60,20010302,吉林省,220000,松原市,220700,-2.46453174802
61,20010303,吉林省,220000,松原市,220700,-5.67144805877
62,20010304,吉林省,220000,松原市,220700,-8.98053046524
63,20010305,吉林省,220000,松原市,220700,-9.02188843586
64,20010306,吉林省,220000,松原市,220700,-10.5148228505
65,20010307,吉林省,220000,松原市,220700,-11.2966091906
66,20010308,吉林省,220000,松原市,220700,-11.0528130922
67,20010309,吉林省,220000,松原市,220700,-10.6023358048
68,20010310,吉林省,220000,松原市,220700,-8.23883130902
69,20010311,吉林省,220000,松原市,220700,-7.9290112042
70,20010312,吉林省,220000,松原市,220700,-4.0043635681
71,20010313,吉林省,220000,松原市,220700,1.28814043288
72,20010314,吉林省,220000,松原市,220700,-3.08935238494
73,20010315,吉林省,220000,松原市,220700,-1.66730812925
74,20010316,吉林省,220000,松原市,220700,3.63241587311
75,20010317,吉林省,220000,松原市,220700,3.80576202127
76,20010318,吉林省,220000,松原市,220700,4.35047353682
77,20010319,吉林省,220000,松原市,220700,6.26437623384
78,20010320,吉林省,220000,松原市,220700,-2.21647288174
79,20010321,吉林省,220000,松原市,220700,-2.04219987646
80,20010322,吉林省,220000,松原市,220700,-2.82069874201
81,20010323,吉林省,220000,松原市,220700,-1.66878599417
82,20010324,吉林省,220000,松原市,220700,-0.954875358793
83,20010325,吉林省,220000,松原市,220700,-2.26073332302
84,20010326,吉林省,220000,松原市,220700,-2.95416518118
85,20010327,吉林省,220000,松原市,220700,-0.566851487414
86,20010328,吉林省,220000,松原市,220700,-0.603447231601
87,20010329,吉林省,220000,松原市,220700,0.325710781529
88,20010330,吉林省,220000,松原市,220700,2.16414490098
89,20010331,吉林省,220000,松原市,220700,4.56039195764
90,20010401,吉林省,220000,松原市,220700,5.89795465157
91,20010402,吉林省,220000,松原市,220700,2.62327865499
92,20010403,吉林省,220000,松原市,220700,5.08627441281
93,20010404,吉林省,220000,松原市,220700,6.66702139182
94,20010405,吉林省,220000,松原市,220700,5.43012726111
95,20010406,吉林省,220000,松原市,220700,9.44708678761
96,20010407,吉林省,220000,松原市,220700,10.2917088055
97,20010408,吉林省,220000,松原市,220700,10.3388306821
98,20010409,吉林省,220000,松原市,220700,7.81281159354
