,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,广西壮族自治区,450000,柳州市,450200,12.0373470492
1,20010102,广西壮族自治区,450000,柳州市,450200,10.5315272401
2,20010103,广西壮族自治区,450000,柳州市,450200,10.1204380175
3,20010104,广西壮族自治区,450000,柳州市,450200,9.8409975331
4,20010105,广西壮族自治区,450000,柳州市,450200,10.6014521296
5,20010106,广西壮族自治区,450000,柳州市,450200,13.452720549
6,20010107,广西壮族自治区,450000,柳州市,450200,13.9392720897
7,20010108,广西壮族自治区,450000,柳州市,450200,13.5880570877
8,20010109,广西壮族自治区,450000,柳州市,450200,6.7499093079
9,20010110,广西壮族自治区,450000,柳州市,450200,6.78743104237
10,20010111,广西壮族自治区,450000,柳州市,450200,9.96497276353
11,20010112,广西壮族自治区,450000,柳州市,450200,9.626437036
12,20010113,广西壮族自治区,450000,柳州市,450200,10.6769674813
13,20010114,广西壮族自治区,450000,柳州市,450200,9.13597932676
14,20010115,广西壮族自治区,450000,柳州市,450200,6.15819436748
15,20010116,广西壮族自治区,450000,柳州市,450200,8.49419503096
16,20010117,广西壮族自治区,450000,柳州市,450200,9.20635829321
17,20010118,广西壮族自治区,450000,柳州市,450200,11.509490269
18,20010119,广西壮族自治区,450000,柳州市,450200,14.3469225023
19,20010120,广西壮族自治区,450000,柳州市,450200,12.5411804711
20,20010121,广西壮族自治区,450000,柳州市,450200,14.6916673474
21,20010122,广西壮族自治区,450000,柳州市,450200,14.6236936523
22,20010123,广西壮族自治区,450000,柳州市,450200,10.935539641
23,20010124,广西壮族自治区,450000,柳州市,450200,6.96455409469
24,20010125,广西壮族自治区,450000,柳州市,450200,5.07703411288
25,20010126,广西壮族自治区,450000,柳州市,450200,6.53636085696
26,20010127,广西壮族自治区,450000,柳州市,450200,6.62537303203
27,20010128,广西壮族自治区,450000,柳州市,450200,7.89513515845
28,20010129,广西壮族自治区,450000,柳州市,450200,9.70585868417
29,20010130,广西壮族自治区,450000,柳州市,450200,10.8305222581
30,20010131,广西壮族自治区,450000,柳州市,450200,9.94463278608
31,20010201,广西壮族自治区,450000,柳州市,450200,8.15900205984
32,20010202,广西壮族自治区,450000,柳州市,450200,7.51480517736
33,20010203,广西壮族自治区,450000,柳州市,450200,8.12492923039
34,20010204,广西壮族自治区,450000,柳州市,450200,10.2692915754
35,20010205,广西壮族自治区,450000,柳州市,450200,10.8189374179
36,20010206,广西壮族自治区,450000,柳州市,450200,10.4650588152
37,20010207,广西壮族自治区,450000,柳州市,450200,8.88354152586
38,20010208,广西壮族自治区,450000,柳州市,450200,7.7872796175
39,20010209,广西壮族自治区,450000,柳州市,450200,6.66212126104
40,20010210,广西壮族自治区,450000,柳州市,450200,9.01495710233
41,20010211,广西壮族自治区,450000,柳州市,450200,9.08350627015
42,20010212,广西壮族自治区,450000,柳州市,450200,8.51137244992
43,20010213,广西壮族自治区,450000,柳州市,450200,6.60460098197
44,20010214,广西壮族自治区,450000,柳州市,450200,9.54020749069
45,20010215,广西壮族自治区,450000,柳州市,450200,10.9486072005
46,20010216,广西壮族自治区,450000,柳州市,450200,12.9282208419
47,20010217,广西壮族自治区,450000,柳州市,450200,14.4773184613
48,20010218,广西壮族自治区,450000,柳州市,450200,15.8295400666
