,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,甘肃省,620000,武威市,620600,-6.60590358575
1,20010102,甘肃省,620000,武威市,620600,-7.13121427808
2,20010103,甘肃省,620000,武威市,620600,-6.58015403293
3,20010104,甘肃省,620000,武威市,620600,-5.54095258032
4,20010105,甘肃省,620000,武威市,620600,-6.09888896772
5,20010106,甘肃省,620000,武威市,620600,-5.27428545838
6,20010107,甘肃省,620000,武威市,620600,-8.70205047585
7,20010108,甘肃省,620000,武威市,620600,-12.1148560615
8,20010109,甘肃省,620000,武威市,620600,-7.7211518685
9,20010110,甘肃省,620000,武威市,620600,-7.2316583764
10,20010111,甘肃省,620000,武威市,620600,-7.28292028677
11,20010112,甘肃省,620000,武威市,620600,-8.56447102342
12,20010113,甘肃省,620000,武威市,620600,-10.4629932131
13,20010114,甘肃省,620000,武威市,620600,-7.86218374684
14,20010115,甘肃省,620000,武威市,620600,-6.23890882447
15,20010116,甘肃省,620000,武威市,620600,-6.36010642279
16,20010117,甘肃省,620000,武威市,620600,-4.63641710792
17,20010118,甘肃省,620000,武威市,620600,-7.55804580734
18,20010119,甘肃省,620000,武威市,620600,-7.03928600039
19,20010120,甘肃省,620000,武威市,620600,-4.61109739826
20,20010121,甘肃省,620000,武威市,620600,-4.87427862201
21,20010122,甘肃省,620000,武威市,620600,-6.24003787835
22,20010123,甘肃省,620000,武威市,620600,-7.61451296579
23,20010124,甘肃省,620000,武威市,620600,-9.73783030964
24,20010125,甘肃省,620000,武威市,620600,-8.71945364135
25,20010126,甘肃省,620000,武威市,620600,-10.2058076745
26,20010127,甘肃省,620000,武威市,620600,-12.3461402825
27,20010128,甘肃省,620000,武威市,620600,-10.1528890133
28,20010129,甘肃省,620000,武威市,620600,-8.16179865315
29,20010130,甘肃省,620000,武威市,620600,-7.71381594454
30,20010131,甘肃省,620000,武威市,620600,-8.75104847408
31,20010201,甘肃省,620000,武威市,620600,-7.37072669324
32,20010202,甘肃省,620000,武威市,620600,-6.68419878256
33,20010203,甘肃省,620000,武威市,620600,-5.15786088932
34,20010204,甘肃省,620000,武威市,620600,-3.84572465221
35,20010205,甘肃省,620000,武威市,620600,-5.77793274891
36,20010206,甘肃省,620000,武威市,620600,-9.75955430099
37,20010207,甘肃省,620000,武威市,620600,-9.30927397524
38,20010208,甘肃省,620000,武威市,620600,-6.45470286551
39,20010209,甘肃省,620000,武威市,620600,-6.18433896701
40,20010210,甘肃省,620000,武威市,620600,-4.76570204042
41,20010211,甘肃省,620000,武威市,620600,-8.23145074504
42,20010212,甘肃省,620000,武威市,620600,-8.68430396489
43,20010213,甘肃省,620000,武威市,620600,-5.9900822157
44,20010214,甘肃省,620000,武威市,620600,-5.46472366083
45,20010215,甘肃省,620000,武威市,620600,-4.84766003915
46,20010216,甘肃省,620000,武威市,620600,-3.80220816533
47,20010217,甘肃省,620000,武威市,620600,-0.292829221957
48,20010218,甘肃省,620000,武威市,620600,-1.80976860605
49,20010219,甘肃省,620000,武威市,620600,-1.0416008874
50,20010220,甘肃省,620000,武威市,620600,-0.229072309626
51,20010221,甘肃省,620000,武威市,620600,0.747531587147
52,20010222,甘肃省,620000,武威市,620600,-3.06932980705
53,20010223,甘肃省,620000,武威市,620600,-6.62934106872
54,20010224,甘肃省,620000,武威市,620600,-4.89911163989
55,20010225,甘肃省,620000,武威市,620600,-3.65050401574
56,20010226,甘肃省,620000,武威市,620600,-3.2463463999
57,20010227,甘肃省,620000,武威市,620600,-2.17340619401
58,20010228,甘肃省,620000,武威市,620600,-0.0100807571462
59,20010301,甘肃省,620000,武威市,620600,-1.4611554147
60,20010302,甘肃省,620000,武威市,620600,-6.87376627752
61,20010303,甘肃省,620000,武威市,620600,-2.65285557465
62,20010304,甘肃省,620000,武威市,620600,-1.40966867957
