,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,辽宁省,210000,沈阳市,210100,-12.906887205
1,20010102,辽宁省,210000,沈阳市,210100,-18.2619545083
2,20010103,辽宁省,210000,沈阳市,210100,-17.7454327533
3,20010104,辽宁省,210000,沈阳市,210100,-20.347926692
4,20010105,辽宁省,210000,沈阳市,210100,-19.1517630125
5,20010106,辽宁省,210000,沈阳市,210100,-11.7054647145
6,20010107,辽宁省,210000,沈阳市,210100,-10.3473498947
7,20010108,辽宁省,210000,沈阳市,210100,-11.6854425731
8,20010109,辽宁省,210000,沈阳市,210100,-18.6382007599
9,20010110,辽宁省,210000,沈阳市,210100,-22.8729063837
10,20010111,辽宁省,210000,沈阳市,210100,-26.3579750563
11,20010112,辽宁省,210000,沈阳市,210100,-24.7356147766
12,20010113,辽宁省,210000,沈阳市,210100,-26.9582292657
13,20010114,辽宁省,210000,沈阳市,210100,-27.3747493342
14,20010115,辽宁省,210000,沈阳市,210100,-25.9233796973
15,20010116,辽宁省,210000,沈阳市,210100,-21.8202769129
16,20010117,辽宁省,210000,沈阳市,210100,-13.0092310905
17,20010118,辽宁省,210000,沈阳市,210100,-18.0638167733
18,20010119,辽宁省,210000,沈阳市,210100,-18.0080056943
19,20010120,辽宁省,210000,沈阳市,210100,-16.7154622831
20,20010121,辽宁省,210000,沈阳市,210100,-17.3722313329
21,20010122,辽宁省,210000,沈阳市,210100,-16.8272042274
22,20010123,辽宁省,210000,沈阳市,210100,-14.1689205923
23,20010124,辽宁省,210000,沈阳市,210100,-13.3059987269
24,20010125,辽宁省,210000,沈阳市,210100,-14.1381450452
25,20010126,辽宁省,210000,沈阳市,210100,-10.1271555047
26,20010127,辽宁省,210000,沈阳市,210100,-11.5288793162
27,20010128,辽宁省,210000,沈阳市,210100,-14.1216518001
28,20010129,辽宁省,210000,沈阳市,210100,-13.05259293
29,20010130,辽宁省,210000,沈阳市,210100,-7.11185771541
30,20010131,辽宁省,210000,沈阳市,210100,-8.87094091114
31,20010201,辽宁省,210000,沈阳市,210100,-14.6507934771
32,20010202,辽宁省,210000,沈阳市,210100,-18.0252106064
33,20010203,辽宁省,210000,沈阳市,210100,-21.0751637911
34,20010204,辽宁省,210000,沈阳市,210100,-19.2911658538
35,20010205,辽宁省,210000,沈阳市,210100,-19.1253916088
36,20010206,辽宁省,210000,沈阳市,210100,-20.8985148982
37,20010207,辽宁省,210000,沈阳市,210100,-18.234270397
38,20010208,辽宁省,210000,沈阳市,210100,-10.0270203791
39,20010209,辽宁省,210000,沈阳市,210100,-10.2066577359
40,20010210,辽宁省,210000,沈阳市,210100,-16.5401787758
41,20010211,辽宁省,210000,沈阳市,210100,-17.3171420599
42,20010212,辽宁省,210000,沈阳市,210100,-13.2250151634
43,20010213,辽宁省,210000,沈阳市,210100,-14.4612052566
44,20010214,辽宁省,210000,沈阳市,210100,-12.0070751341
45,20010215,辽宁省,210000,沈阳市,210100,-13.1137591412
46,20010216,辽宁省,210000,沈阳市,210100,-7.17222070694
47,20010217,辽宁省,210000,沈阳市,210100,-0.759669262205
48,20010218,辽宁省,210000,沈阳市,210100,-1.96036700355
49,20010219,辽宁省,210000,沈阳市,210100,-2.63711384723
50,20010220,辽宁省,210000,沈阳市,210100,2.50773135298
51,20010221,辽宁省,210000,沈阳市,210100,0.836530592685
52,20010222,辽宁省,210000,沈阳市,210100,-3.32817142888
53,20010223,辽宁省,210000,沈阳市,210100,-7.52460336685
54,20010224,辽宁省,210000,沈阳市,210100,-5.96802407817
55,20010225,辽宁省,210000,沈阳市,210100,-3.70503645194
56,20010226,辽宁省,210000,沈阳市,210100,2.07430396896
57,20010227,辽宁省,210000,沈阳市,210100,1.03360495912
58,20010228,辽宁省,210000,沈阳市,210100,0.820574721714
59,20010301,辽宁省,210000,沈阳市,210100,-0.348574778751
60,20010302,辽宁省,210000,沈阳市,210100,2.11254179164
61,20010303,辽宁省,210000,沈阳市,210100,-1.85805475241
62,20010304,辽宁省,210000,沈阳市,210100,-4.86949813993
63,20010305,辽宁省,210000,沈阳市,210100,-2.33139915843
64,20010306,辽宁省,210000,沈阳市,210100,-8.33279707557
65,20010307,辽宁省,210000,沈阳市,210100,-9.85895801845
66,20010308,辽宁省,210000,沈阳市,210100,-9.69489012266
67,20010309,辽宁省,210000,沈阳市,210100,-9.97992743944
68,20010310,辽宁省,210000,沈阳市,210100,-8.38528003191
69,20010311,辽宁省,210000,沈阳市,210100,-4.38973787584
70,20010312,辽宁省,210000,沈阳市,210100,0.321076474153
71,20010313,辽宁省,210000,沈阳市,210100,5.64899531164
72,20010314,辽宁省,210000,沈阳市,210100,-4.01353708694
73,20010315,辽宁省,210000,沈阳市,210100,-0.55168845779
74,20010316,辽宁省,210000,沈阳市,210100,4.48436615342
75,20010317,辽宁省,210000,沈阳市,210100,5.51222842618
76,20010318,辽宁省,210000,沈阳市,210100,8.43793768632
77,20010319,辽宁省,210000,沈阳市,210100,10.1849937188
78,20010320,辽宁省,210000,沈阳市,210100,2.73571916003
79,20010321,辽宁省,210000,沈阳市,210100,4.47093863864
80,20010322,辽宁省,210000,沈阳市,210100,0.909703008512
81,20010323,辽宁省,210000,沈阳市,210100,4.30910087887
82,20010324,辽宁省,210000,沈阳市,210100,2.3166424287
83,20010325,辽宁省,210000,沈阳市,210100,-1.40618085234
84,20010326,辽宁省,210000,沈阳市,210100,-2.42637983121
85,20010327,辽宁省,210000,沈阳市,210100,-0.541647003277
86,20010328,辽宁省,210000,沈阳市,210100,0.38443349588
87,20010329,辽宁省,210000,沈阳市,210100,0.754192339845
88,20010330,辽宁省,210000,沈阳市,210100,1.9798506216
89,20010331,辽宁省,210000,沈阳市,210100,4.45820666614
90,20010401,辽宁省,210000,沈阳市,210100,8.67296900247
91,20010402,辽宁省,210000,沈阳市,210100,5.48214178336
92,20010403,辽宁省,210000,沈阳市,210100,6.49699622706
93,20010404,辽宁省,210000,沈阳市,210100,9.9653225447
94,20010405,辽宁省,210000,沈阳市,210100,7.38076671801
95,20010406,辽宁省,210000,沈阳市,210100,9.32916164398
96,20010407,辽宁省,210000,沈阳市,210100,10.8409140988
97,20010408,辽宁省,210000,沈阳市,210100,12.2080874443
98,20010409,辽宁省,210000,沈阳市,210100,10.7257017336
99,20010410,辽宁省,210000,沈阳市,210100,8.29718264781
100,20010411,辽宁省,210000,沈阳市,210100,6.18476192575
101,20010412,辽宁省,210000,沈阳市,210100,7.81265450779
102,20010413,辽宁省,210000,沈阳市,210100,8.06141538369
103,20010414,辽宁省,210000,沈阳市,210100,12.0277505925
104,20010415,辽宁省,210000,沈阳市,210100,15.1397193858
105,20010416,辽宁省,210000,沈阳市,210100,17.1931999106
106,20010417,辽宁省,210000,沈阳市,210100,18.5665695291
107,20010418,辽宁省,210000,沈阳市,210100,15.3734765053
108,20010419,辽宁省,210000,沈阳市,210100,5.52003539236
109,20010420,辽宁省,210000,沈阳市,210100,10.2262029648
110,20010421,辽宁省,210000,沈阳市,210100,8.22953726116
111,20010422,辽宁省,210000,沈阳市,210100,14.5759856073
112,20010423,辽宁省,210000,沈阳市,210100,9.63837181894
113,20010424,辽宁省,210000,沈阳市,210100,10.6827863894
114,20010425,辽宁省,210000,沈阳市,210100,12.6384901749
115,20010426,辽宁省,210000,沈阳市,210100,16.573236616
116,20010427,辽宁省,210000,沈阳市,210100,14.2927665209
117,20010428,辽宁省,210000,沈阳市,210100,14.9778236088
118,20010429,辽宁省,210000,沈阳市,210100,18.7768883956
119,20010430,辽宁省,210000,沈阳市,210100,11.4040639526
120,20010501,辽宁省,210000,沈阳市,210100,16.1515346326
121,20010502,辽宁省,210000,沈阳市,210100,15.2636663537
122,20010503,辽宁省,210000,沈阳市,210100,15.7615328588
123,20010504,辽宁省,210000,沈阳市,210100,14.1105410174
124,20010505,辽宁省,210000,沈阳市,210100,15.0868986029
125,20010506,辽宁省,210000,沈阳市,210100,11.7954511141
126,20010507,辽宁省,210000,沈阳市,210100,15.2161010692
127,20010508,辽宁省,210000,沈阳市,210100,12.06924835
128,20010509,辽宁省,210000,沈阳市,210100,11.967685323
129,20010510,辽宁省,210000,沈阳市,210100,11.3998196
130,20010511,辽宁省,210000,沈阳市,210100,18.8604798568
131,20010512,辽宁省,210000,沈阳市,210100,22.8308718832
132,20010513,辽宁省,210000,沈阳市,210100,24.1288051605
133,20010514,辽宁省,210000,沈阳市,210100,19.4274431028
134,20010515,辽宁省,210000,沈阳市,210100,14.3694955675
135,20010516,辽宁省,210000,沈阳市,210100,20.8561243258
136,20010517,辽宁省,210000,沈阳市,210100,22.55030627
137,20010518,辽宁省,210000,沈阳市,210100,18.9114927493
138,20010519,辽宁省,210000,沈阳市,210100,24.5653541465
139,20010520,辽宁省,210000,沈阳市,210100,24.9877789146
140,20010521,辽宁省,210000,沈阳市,210100,22.9896643287
141,20010522,辽宁省,210000,沈阳市,210100,23.7095138148
142,20010523,辽宁省,210000,沈阳市,210100,24.7743275793
143,20010524,辽宁省,210000,沈阳市,210100,19.8601202212
144,20010525,辽宁省,210000,沈阳市,210100,15.7683260566
145,20010526,辽宁省,210000,沈阳市,210100,19.947675705
146,20010527,辽宁省,210000,沈阳市,210100,24.061366282
147,20010528,辽宁省,210000,沈阳市,210100,23.4967215689
148,20010529,辽宁省,210000,沈阳市,210100,15.5964980376
149,20010530,辽宁省,210000,沈阳市,210100,17.9536474629
150,20010531,辽宁省,210000,沈阳市,210100,20.9953098799
151,20010601,辽宁省,210000,沈阳市,210100,22.5327482224
152,20010602,辽宁省,210000,沈阳市,210100,24.6570714147
