,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,河北省,130000,沧州市,130900,0.380670717464
1,20010102,河北省,130000,沧州市,130900,-2.78546382285
2,20010103,河北省,130000,沧州市,130900,-6.02028372481
3,20010104,河北省,130000,沧州市,130900,-4.03340181145
4,20010105,河北省,130000,沧州市,130900,-1.56147124236
5,20010106,河北省,130000,沧州市,130900,-1.26061737296
6,20010107,河北省,130000,沧州市,130900,-0.219814376534
7,20010108,河北省,130000,沧州市,130900,-1.48983595822
8,20010109,河北省,130000,沧州市,130900,-5.19253640561
9,20010110,河北省,130000,沧州市,130900,-6.55303549122
10,20010111,河北省,130000,沧州市,130900,-8.32301379539
11,20010112,河北省,130000,沧州市,130900,-7.5218098228
12,20010113,河北省,130000,沧州市,130900,-10.5115111841
13,20010114,河北省,130000,沧州市,130900,-12.0823466327
14,20010115,河北省,130000,沧州市,130900,-10.5181946626
15,20010116,河北省,130000,沧州市,130900,-7.80311888617
16,20010117,河北省,130000,沧州市,130900,-6.4501842937
17,20010118,河北省,130000,沧州市,130900,-4.5861274294
18,20010119,河北省,130000,沧州市,130900,-6.22879279626
19,20010120,河北省,130000,沧州市,130900,-4.02418853141
20,20010121,河北省,130000,沧州市,130900,-3.98000611486
21,20010122,河北省,130000,沧州市,130900,-5.39503775416
22,20010123,河北省,130000,沧州市,130900,-3.51677906835
23,20010124,河北省,130000,沧州市,130900,-3.82823833259
24,20010125,河北省,130000,沧州市,130900,-3.91134045575
25,20010126,河北省,130000,沧州市,130900,-3.43446616869
26,20010127,河北省,130000,沧州市,130900,-1.48954520677
27,20010128,河北省,130000,沧州市,130900,-3.46616503355
28,20010129,河北省,130000,沧州市,130900,-1.73631751215
29,20010130,河北省,130000,沧州市,130900,-0.0478633726834
30,20010131,河北省,130000,沧州市,130900,0.482783853605
31,20010201,河北省,130000,沧州市,130900,-1.33369661666
32,20010202,河北省,130000,沧州市,130900,-0.42367228736
33,20010203,河北省,130000,沧州市,130900,-5.24300837517
34,20010204,河北省,130000,沧州市,130900,-4.97008947424
35,20010205,河北省,130000,沧州市,130900,-6.27019736574
36,20010206,河北省,130000,沧州市,130900,-7.99888604396
37,20010207,河北省,130000,沧州市,130900,-6.81905520929
38,20010208,河北省,130000,沧州市,130900,-3.67879128456
39,20010209,河北省,130000,沧州市,130900,-2.00189258923
40,20010210,河北省,130000,沧州市,130900,-3.39244231018
41,20010211,河北省,130000,沧州市,130900,-4.71086058746
42,20010212,河北省,130000,沧州市,130900,-2.86824522147
43,20010213,河北省,130000,沧州市,130900,-1.28921611889
44,20010214,河北省,130000,沧州市,130900,-0.280688272588
45,20010215,河北省,130000,沧州市,130900,-0.66798746903
46,20010216,河北省,130000,沧州市,130900,1.27922954592
47,20010217,河北省,130000,沧州市,130900,1.72664998673
48,20010218,河北省,130000,沧州市,130900,4.74321937561
49,20010219,河北省,130000,沧州市,130900,4.33930428608
50,20010220,河北省,130000,沧州市,130900,3.86901100262
51,20010221,河北省,130000,沧州市,130900,5.60431097649
52,20010222,河北省,130000,沧州市,130900,3.5658151008
53,20010223,河北省,130000,沧州市,130900,-0.992148443654
54,20010224,河北省,130000,沧州市,130900,1.05740247949
55,20010225,河北省,130000,沧州市,130900,3.52395984289
56,20010226,河北省,130000,沧州市,130900,4.31342703587
57,20010227,河北省,130000,沧州市,130900,3.29895100722
58,20010228,河北省,130000,沧州市,130900,6.13052964855
59,20010301,河北省,130000,沧州市,130900,8.11602647884
60,20010302,河北省,130000,沧州市,130900,8.21369570655
61,20010303,河北省,130000,沧州市,130900,3.43574062554
62,20010304,河北省,130000,沧州市,130900,4.78522560403
63,20010305,河北省,130000,沧州市,130900,8.00541221773
64,20010306,河北省,130000,沧州市,130900,1.85218359973
65,20010307,河北省,130000,沧州市,130900,-0.38062535227
66,20010308,河北省,130000,沧州市,130900,1.37398665499
67,20010309,河北省,130000,沧州市,130900,6.39252806999
68,20010310,河北省,130000,沧州市,130900,1.81600869024
