,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,山东省,370000,济宁市,370800,1.00748624164
1,20010102,山东省,370000,济宁市,370800,1.02805355345
2,20010103,山东省,370000,济宁市,370800,-1.18290889931
3,20010104,山东省,370000,济宁市,370800,-1.43663411819
4,20010105,山东省,370000,济宁市,370800,1.70330007744
5,20010106,山东省,370000,济宁市,370800,0.945455297057
6,20010107,山东省,370000,济宁市,370800,0.477272533972
7,20010108,山东省,370000,济宁市,370800,-0.229577351618
8,20010109,山东省,370000,济宁市,370800,-2.02364378345
9,20010110,山东省,370000,济宁市,370800,-1.2331967657
10,20010111,山东省,370000,济宁市,370800,-2.74839194273
11,20010112,山东省,370000,济宁市,370800,-2.66791573064
12,20010113,山东省,370000,济宁市,370800,-6.16069860294
13,20010114,山东省,370000,济宁市,370800,-9.13120179341
14,20010115,山东省,370000,济宁市,370800,-6.98540736889
15,20010116,山东省,370000,济宁市,370800,-3.00211331762
16,20010117,山东省,370000,济宁市,370800,-0.431168243482
17,20010118,山东省,370000,济宁市,370800,1.14813256084
18,20010119,山东省,370000,济宁市,370800,-0.960384486372
19,20010120,山东省,370000,济宁市,370800,-1.03389999322
20,20010121,山东省,370000,济宁市,370800,-0.260770164306
21,20010122,山东省,370000,济宁市,370800,-1.00320946656
22,20010123,山东省,370000,济宁市,370800,-0.53974122933
23,20010124,山东省,370000,济宁市,370800,-1.53546840364
24,20010125,山东省,370000,济宁市,370800,-2.65900157238
25,20010126,山东省,370000,济宁市,370800,-3.66950587569
26,20010127,山东省,370000,济宁市,370800,-1.90717656037
27,20010128,山东省,370000,济宁市,370800,-2.93471389803
28,20010129,山东省,370000,济宁市,370800,-1.22593600791
29,20010130,山东省,370000,济宁市,370800,1.30448088223
30,20010131,山东省,370000,济宁市,370800,1.05484589523
31,20010201,山东省,370000,济宁市,370800,-0.269818140965
32,20010202,山东省,370000,济宁市,370800,1.21869442695
33,20010203,山东省,370000,济宁市,370800,1.60261184234
34,20010204,山东省,370000,济宁市,370800,1.477332898
35,20010205,山东省,370000,济宁市,370800,1.06909631373
36,20010206,山东省,370000,济宁市,370800,-3.54170379556
37,20010207,山东省,370000,济宁市,370800,-4.6137798408
38,20010208,山东省,370000,济宁市,370800,-1.6421573938
39,20010209,山东省,370000,济宁市,370800,0.55359703919
40,20010210,山东省,370000,济宁市,370800,1.4749240942
41,20010211,山东省,370000,济宁市,370800,0.283122948339
42,20010212,山东省,370000,济宁市,370800,-0.987486510184
43,20010213,山东省,370000,济宁市,370800,-1.66196601273
44,20010214,山东省,370000,济宁市,370800,3.09440524825
45,20010215,山东省,370000,济宁市,370800,1.73592996495
46,20010216,山东省,370000,济宁市,370800,1.35378267744
47,20010217,山东省,370000,济宁市,370800,1.58166154089
48,20010218,山东省,370000,济宁市,370800,5.69484602172
49,20010219,山东省,370000,济宁市,370800,7.38961849541
50,20010220,山东省,370000,济宁市,370800,5.16503463942
51,20010221,山东省,370000,济宁市,370800,6.63265391054
52,20010222,山东省,370000,济宁市,370800,6.91647856811
53,20010223,山东省,370000,济宁市,370800,-0.437250920989
54,20010224,山东省,370000,济宁市,370800,-0.71468335313
55,20010225,山东省,370000,济宁市,370800,1.46023543796
56,20010226,山东省,370000,济宁市,370800,4.26945799795
57,20010227,山东省,370000,济宁市,370800,3.75473639883
58,20010228,山东省,370000,济宁市,370800,5.11110364158
59,20010301,山东省,370000,济宁市,370800,7.7821976563
60,20010302,山东省,370000,济宁市,370800,9.65095268447
61,20010303,山东省,370000,济宁市,370800,5.24132167882
62,20010304,山东省,370000,济宁市,370800,6.16462220817
63,20010305,山东省,370000,济宁市,370800,8.68018341064
64,20010306,山东省,370000,济宁市,370800,4.184616911
65,20010307,山东省,370000,济宁市,370800,0.867553282401
66,20010308,山东省,370000,济宁市,370800,1.02348813106
67,20010309,山东省,370000,济宁市,370800,6.81117177832
68,20010310,山东省,370000,济宁市,370800,5.49245781734
69,20010311,山东省,370000,济宁市,370800,4.40608822066
70,20010312,山东省,370000,济宁市,370800,10.2033606891
71,20010313,山东省,370000,济宁市,370800,13.649614663
72,20010314,山东省,370000,济宁市,370800,7.49137002024
73,20010315,山东省,370000,济宁市,370800,6.6394563379
74,20010316,山东省,370000,济宁市,370800,4.95212800749
75,20010317,山东省,370000,济宁市,370800,8.74628178827
76,20010318,山东省,370000,济宁市,370800,11.8965581368
77,20010319,山东省,370000,济宁市,370800,15.2036538617
78,20010320,山东省,370000,济宁市,370800,15.9172366241
79,20010321,山东省,370000,济宁市,370800,17.5641708703
80,20010322,山东省,370000,济宁市,370800,11.4231514766
81,20010323,山东省,370000,济宁市,370800,12.120806135
82,20010324,山东省,370000,济宁市,370800,14.1741870025
83,20010325,山东省,370000,济宁市,370800,10.6227491971
84,20010326,山东省,370000,济宁市,370800,8.08628276299
85,20010327,山东省,370000,济宁市,370800,0.978157469425
86,20010328,山东省,370000,济宁市,370800,4.33999993883
87,20010329,山东省,370000,济宁市,370800,9.99042305453
88,20010330,山东省,370000,济宁市,370800,7.72457796952
89,20010331,山东省,370000,济宁市,370800,8.09789110052
90,20010401,山东省,370000,济宁市,370800,12.0883277038
91,20010402,山东省,370000,济宁市,370800,13.5720215173
92,20010403,山东省,370000,济宁市,370800,11.5270826734
93,20010404,山东省,370000,济宁市,370800,11.7706074221
94,20010405,山东省,370000,济宁市,370800,12.9296839484
95,20010406,山东省,370000,济宁市,370800,9.75427601255
96,20010407,山东省,370000,济宁市,370800,14.5849332152
97,20010408,山东省,370000,济宁市,370800,14.1353134616
98,20010409,山东省,370000,济宁市,370800,13.7851804536
99,20010410,山东省,370000,济宁市,370800,7.83924561533
100,20010411,山东省,370000,济宁市,370800,10.0954485926
101,20010412,山东省,370000,济宁市,370800,14.5942501529
102,20010413,山东省,370000,济宁市,370800,10.948749049
103,20010414,山东省,370000,济宁市,370800,14.892809243
104,20010415,山东省,370000,济宁市,370800,17.9462560456
105,20010416,山东省,370000,济宁市,370800,18.4865572699
106,20010417,山东省,370000,济宁市,370800,20.7040490775
107,20010418,山东省,370000,济宁市,370800,20.8922507845
108,20010419,山东省,370000,济宁市,370800,14.2289023893
109,20010420,山东省,370000,济宁市,370800,12.5871830973
110,20010421,山东省,370000,济宁市,370800,13.7103126789
111,20010422,山东省,370000,济宁市,370800,15.8938559499
112,20010423,山东省,370000,济宁市,370800,12.027856202
113,20010424,山东省,370000,济宁市,370800,13.6006597979
114,20010425,山东省,370000,济宁市,370800,15.5120920313
115,20010426,山东省,370000,济宁市,370800,15.68337036
116,20010427,山东省,370000,济宁市,370800,15.5886177852
117,20010428,山东省,370000,济宁市,370800,14.6007038971
118,20010429,山东省,370000,济宁市,370800,13.1010161762
119,20010430,山东省,370000,济宁市,370800,14.4123213867
120,20010501,山东省,370000,济宁市,370800,17.9269142151
121,20010502,山东省,370000,济宁市,370800,20.410898669
122,20010503,山东省,370000,济宁市,370800,20.7992159087
123,20010504,山东省,370000,济宁市,370800,20.9212173593
124,20010505,山东省,370000,济宁市,370800,20.843474421
125,20010506,山东省,370000,济宁市,370800,17.9196413632
126,20010507,山东省,370000,济宁市,370800,18.9714815206
127,20010508,山东省,370000,济宁市,370800,20.2599087419
128,20010509,山东省,370000,济宁市,370800,18.500195865
129,20010510,山东省,370000,济宁市,370800,20.3181520659
130,20010511,山东省,370000,济宁市,370800,20.4049893083
131,20010512,山东省,370000,济宁市,370800,22.6859222281
132,20010513,山东省,370000,济宁市,370800,23.7900676727
133,20010514,山东省,370000,济宁市,370800,23.548570896
134,20010515,山东省,370000,济宁市,370800,22.2151135412
135,20010516,山东省,370000,济宁市,370800,22.1813922093
136,20010517,山东省,370000,济宁市,370800,22.1370466167
137,20010518,山东省,370000,济宁市,370800,24.1083219462
138,20010519,山东省,370000,济宁市,370800,26.0467848942
139,20010520,山东省,370000,济宁市,370800,25.2496913384
140,20010521,山东省,370000,济宁市,370800,22.8134866912
141,20010522,山东省,370000,济宁市,370800,23.5365847884
142,20010523,山东省,370000,济宁市,370800,26.6873222877
143,20010524,山东省,370000,济宁市,370800,25.158912001
144,20010525,山东省,370000,济宁市,370800,25.7267827001
145,20010526,山东省,370000,济宁市,370800,22.5334473972
146,20010527,山东省,370000,济宁市,370800,24.0944128365
147,20010528,山东省,370000,济宁市,370800,25.3525038094
148,20010529,山东省,370000,济宁市,370800,22.698219957
149,20010530,山东省,370000,济宁市,370800,17.9015486487
150,20010531,山东省,370000,济宁市,370800,22.5495171383
151,20010601,山东省,370000,济宁市,370800,26.1069202423
152,20010602,山东省,370000,济宁市,370800,26.0592133752
153,20010603,山东省,370000,济宁市,370800,25.1745305555
154,20010604,山东省,370000,济宁市,370800,23.3295163122
155,20010605,山东省,370000,济宁市,370800,23.0353034447
156,20010606,山东省,370000,济宁市,370800,25.0604685422
157,20010607,山东省,370000,济宁市,370800,26.2320688182
158,20010608,山东省,370000,济宁市,370800,26.9539937644
159,20010609,山东省,370000,济宁市,370800,24.736389489
160,20010610,山东省,370000,济宁市,370800,26.2180073179
161,20010611,山东省,370000,济宁市,370800,26.7728288585
162,20010612,山东省,370000,济宁市,370800,20.9639289461
163,20010613,山东省,370000,济宁市,370800,22.220285613
164,20010614,山东省,370000,济宁市,370800,23.240983108
165,20010615,山东省,370000,济宁市,370800,24.6480536625
166,20010616,山东省,370000,济宁市,370800,24.2952534248
167,20010617,山东省,370000,济宁市,370800,25.6354265542
168,20010618,山东省,370000,济宁市,370800,23.6182087208
169,20010619,山东省,370000,济宁市,370800,26.1493496073
170,20010620,山东省,370000,济宁市,370800,25.845363025
171,20010621,山东省,370000,济宁市,370800,24.4153422652
172,20010622,山东省,370000,济宁市,370800,23.4673347473
173,20010623,山东省,370000,济宁市,370800,23.3318913558
174,20010624,山东省,370000,济宁市,370800,23.4973694374
175,20010625,山东省,370000,济宁市,370800,25.309874699
176,20010626,山东省,370000,济宁市,370800,27.5488973157
177,20010627,山东省,370000,济宁市,370800,29.6641594459
178,20010628,山东省,370000,济宁市,370800,27.4579334917
179,20010629,山东省,370000,济宁市,370800,25.0677582313
180,20010630,山东省,370000,济宁市,370800,28.4939633731
181,20010701,山东省,370000,济宁市,370800,31.0585013422
182,20010702,山东省,370000,济宁市,370800,29.504149996
183,20010703,山东省,370000,济宁市,370800,26.9088288669
184,20010704,山东省,370000,济宁市,370800,27.1537269066
185,20010705,山东省,370000,济宁市,370800,28.3693907508
186,20010706,山东省,370000,济宁市,370800,26.6004442018
187,20010707,山东省,370000,济宁市,370800,27.1618188661
188,20010708,山东省,370000,济宁市,370800,29.0826116759
189,20010709,山东省,370000,济宁市,370800,29.2712814068
190,20010710,山东省,370000,济宁市,370800,27.1202712223
191,20010711,山东省,370000,济宁市,370800,24.3154129818
192,20010712,山东省,370000,济宁市,370800,26.8645518073
193,20010713,山东省,370000,济宁市,370800,27.4280463252
194,20010714,山东省,370000,济宁市,370800,25.5814270809
195,20010715,山东省,370000,济宁市,370800,26.2664762037
196,20010716,山东省,370000,济宁市,370800,26.9956130324
197,20010717,山东省,370000,济宁市,370800,27.2831491931
198,20010718,山东省,370000,济宁市,370800,26.4163007407
199,20010719,山东省,370000,济宁市,370800,26.6200871303
200,20010720,山东省,370000,济宁市,370800,26.8743812956
201,20010721,山东省,370000,济宁市,370800,25.0629219844
202,20010722,山东省,370000,济宁市,370800,26.1490479831
203,20010723,山东省,370000,济宁市,370800,24.4605011776
204,20010724,山东省,370000,济宁市,370800,24.9682828311
205,20010725,山东省,370000,济宁市,370800,26.8634291024
206,20010726,山东省,370000,济宁市,370800,26.444254645
207,20010727,山东省,370000,济宁市,370800,24.4391422272
208,20010728,山东省,370000,济宁市,370800,23.1048116355
209,20010729,山东省,370000,济宁市,370800,24.0512315816
210,20010730,山东省,370000,济宁市,370800,22.3977545376
211,20010731,山东省,370000,济宁市,370800,24.3125741235
212,20010801,山东省,370000,济宁市,370800,23.8276715772
213,20010802,山东省,370000,济宁市,370800,25.1348675695
214,20010803,山东省,370000,济宁市,370800,26.1378392844
215,20010804,山东省,370000,济宁市,370800,24.9018783569
216,20010805,山东省,370000,济宁市,370800,27.6510284687
217,20010806,山东省,370000,济宁市,370800,29.101234173
218,20010807,山东省,370000,济宁市,370800,26.6512328838
219,20010808,山东省,370000,济宁市,370800,24.5758572282
220,20010809,山东省,370000,济宁市,370800,25.1860235806
221,20010810,山东省,370000,济宁市,370800,24.1253869945
222,20010811,山东省,370000,济宁市,370800,24.1673620816
223,20010812,山东省,370000,济宁市,370800,24.6853126
224,20010813,山东省,370000,济宁市,370800,24.3507455628
225,20010814,山东省,370000,济宁市,370800,25.3958120675
226,20010815,山东省,370000,济宁市,370800,24.0052210709
227,20010816,山东省,370000,济宁市,370800,24.0295180617
228,20010817,山东省,370000,济宁市,370800,23.8979056128
229,20010818,山东省,370000,济宁市,370800,25.7811456878
230,20010819,山东省,370000,济宁市,370800,26.2901179215
231,20010820,山东省,370000,济宁市,370800,25.3885545402
232,20010821,山东省,370000,济宁市,370800,26.1172665563
233,20010822,山东省,370000,济宁市,370800,27.6613320975
234,20010823,山东省,370000,济宁市,370800,26.7086517729
