,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,河南省,410000,济源市,419001,2.94317030907
1,20010102,河南省,410000,济源市,419001,2.17548033595
2,20010103,河南省,410000,济源市,419001,-1.28578844666
3,20010104,河南省,410000,济源市,419001,-2.74263244867
4,20010105,河南省,410000,济源市,419001,-2.85382950306
5,20010106,河南省,410000,济源市,419001,-1.71934038401
6,20010107,河南省,410000,济源市,419001,-2.0456289351
7,20010108,河南省,410000,济源市,419001,-1.2916649729
8,20010109,河南省,410000,济源市,419001,-3.08864057064
9,20010110,河南省,410000,济源市,419001,-1.20594801847
10,20010111,河南省,410000,济源市,419001,-4.18307173252
11,20010112,河南省,410000,济源市,419001,-0.350084356964
12,20010113,河南省,410000,济源市,419001,-1.8703969419
13,20010114,河南省,410000,济源市,419001,-4.84863269329
14,20010115,河南省,410000,济源市,419001,-4.95372951031
15,20010116,河南省,410000,济源市,419001,-4.23424291611
16,20010117,河南省,410000,济源市,419001,-1.96346411109
17,20010118,河南省,410000,济源市,419001,-1.45669585466
18,20010119,河南省,410000,济源市,419001,-1.07342077792
19,20010120,河南省,410000,济源市,419001,-1.29885794222
20,20010121,河南省,410000,济源市,419001,-1.65825855732
21,20010122,河南省,410000,济源市,419001,-3.13408720493
22,20010123,河南省,410000,济源市,419001,-4.17610216141
23,20010124,河南省,410000,济源市,419001,-2.15760725737
24,20010125,河南省,410000,济源市,419001,-4.70077526569
25,20010126,河南省,410000,济源市,419001,-2.67496317625
26,20010127,河南省,410000,济源市,419001,-0.226827271283
27,20010128,河南省,410000,济源市,419001,-3.20887088776
28,20010129,河南省,410000,济源市,419001,-0.554322123528
29,20010130,河南省,410000,济源市,419001,1.3496850878
30,20010131,河南省,410000,济源市,419001,1.88641867042
31,20010201,河南省,410000,济源市,419001,0.461830485612
32,20010202,河南省,410000,济源市,419001,2.12840995193
33,20010203,河南省,410000,济源市,419001,1.33874717355
34,20010204,河南省,410000,济源市,419001,-1.72582650185
35,20010205,河南省,410000,济源市,419001,-1.95402687788
36,20010206,河南省,410000,济源市,419001,-2.81073725224
37,20010207,河南省,410000,济源市,419001,-3.14480131865
38,20010208,河南省,410000,济源市,419001,1.18134886026
39,20010209,河南省,410000,济源市,419001,3.43991583586
40,20010210,河南省,410000,济源市,419001,-0.221343218524
41,20010211,河南省,410000,济源市,419001,-2.85594165325
42,20010212,河南省,410000,济源市,419001,-2.36798137426
43,20010213,河南省,410000,济源市,419001,1.03207121789
44,20010214,河南省,410000,济源市,419001,4.93096196651
45,20010215,河南省,410000,济源市,419001,4.32457953691
46,20010216,河南省,410000,济源市,419001,1.83871722221
47,20010217,河南省,410000,济源市,419001,4.46056306362
48,20010218,河南省,410000,济源市,419001,8.96872353554
49,20010219,河南省,410000,济源市,419001,7.94062268734
50,20010220,河南省,410000,济源市,419001,6.79386591911
51,20010221,河南省,410000,济源市,419001,9.36614441872
52,20010222,河南省,410000,济源市,419001,6.93010473251
53,20010223,河南省,410000,济源市,419001,1.20674077794
54,20010224,河南省,410000,济源市,419001,1.58678132296
55,20010225,河南省,410000,济源市,419001,2.15204337239
56,20010226,河南省,410000,济源市,419001,0.171245390433
57,20010227,河南省,410000,济源市,419001,5.59934997559
58,20010228,河南省,410000,济源市,419001,8.24205589294
59,20010301,河南省,410000,济源市,419001,11.5340352058
60,20010302,河南省,410000,济源市,419001,9.61001682281
61,20010303,河南省,410000,济源市,419001,5.81837832928
62,20010304,河南省,410000,济源市,419001,8.36398816109
63,20010305,河南省,410000,济源市,419001,10.4233253002
64,20010306,河南省,410000,济源市,419001,5.2819327116
65,20010307,河南省,410000,济源市,419001,2.34465381503
66,20010308,河南省,410000,济源市,419001,2.21268495917
67,20010309,河南省,410000,济源市,419001,8.17113339901
68,20010310,河南省,410000,济源市,419001,8.05092608929
69,20010311,河南省,410000,济源市,419001,9.2238445282
70,20010312,河南省,410000,济源市,419001,12.1605725288
71,20010313,河南省,410000,济源市,419001,14.357765913
72,20010314,河南省,410000,济源市,419001,11.3279328346
73,20010315,河南省,410000,济源市,419001,4.37728714943
74,20010316,河南省,410000,济源市,419001,3.54689872265
75,20010317,河南省,410000,济源市,419001,10.4066562653
76,20010318,河南省,410000,济源市,419001,12.0542647839
77,20010319,河南省,410000,济源市,419001,15.0343697071
78,20010320,河南省,410000,济源市,419001,14.8079125881
79,20010321,河南省,410000,济源市,419001,17.4042668343
80,20010322,河南省,410000,济源市,419001,11.045055151
81,20010323,河南省,410000,济源市,419001,13.6826636791
82,20010324,河南省,410000,济源市,419001,16.8626127243
83,20010325,河南省,410000,济源市,419001,13.3253655434
84,20010326,河南省,410000,济源市,419001,9.31930851936
85,20010327,河南省,410000,济源市,419001,4.31644773483
86,20010328,河南省,410000,济源市,419001,6.56780123711
87,20010329,河南省,410000,济源市,419001,12.2364439964
88,20010330,河南省,410000,济源市,419001,8.54358816147
89,20010331,河南省,410000,济源市,419001,8.52766370773
90,20010401,河南省,410000,济源市,419001,12.549952507
91,20010402,河南省,410000,济源市,419001,15.96331954
92,20010403,河南省,410000,济源市,419001,10.4719424248
93,20010404,河南省,410000,济源市,419001,12.7069547176
94,20010405,河南省,410000,济源市,419001,12.4313719273
95,20010406,河南省,410000,济源市,419001,9.28042268753
96,20010407,河南省,410000,济源市,419001,15.1120843887
97,20010408,河南省,410000,济源市,419001,16.7210979462
98,20010409,河南省,410000,济源市,419001,6.20419871807
99,20010410,河南省,410000,济源市,419001,6.39936542511
100,20010411,河南省,410000,济源市,419001,9.27688026428
101,20010412,河南省,410000,济源市,419001,13.5353629589
102,20010413,河南省,410000,济源市,419001,12.2106420994
103,20010414,河南省,410000,济源市,419001,13.9410209656
104,20010415,河南省,410000,济源市,419001,16.6464743614
105,20010416,河南省,410000,济源市,419001,19.6631417274
106,20010417,河南省,410000,济源市,419001,20.0026183128
107,20010418,河南省,410000,济源市,419001,20.5014076233
108,20010419,河南省,410000,济源市,419001,16.4165616035
109,20010420,河南省,410000,济源市,419001,9.71372056007
110,20010421,河南省,410000,济源市,419001,10.9139120579
111,20010422,河南省,410000,济源市,419001,14.7512738705
112,20010423,河南省,410000,济源市,419001,10.4096791744
113,20010424,河南省,410000,济源市,419001,11.5782444477
114,20010425,河南省,410000,济源市,419001,13.9376997948
115,20010426,河南省,410000,济源市,419001,16.6434025764
116,20010427,河南省,410000,济源市,419001,17.7343568802
117,20010428,河南省,410000,济源市,419001,15.8539936543
118,20010429,河南省,410000,济源市,419001,17.995100975
119,20010430,河南省,410000,济源市,419001,17.0571088791
120,20010501,河南省,410000,济源市,419001,19.3069195747
121,20010502,河南省,410000,济源市,419001,20.5034694672
122,20010503,河南省,410000,济源市,419001,19.2452020645
123,20010504,河南省,410000,济源市,419001,17.4529299736
124,20010505,河南省,410000,济源市,419001,19.9947171211
125,20010506,河南省,410000,济源市,419001,20.7050848007
126,20010507,河南省,410000,济源市,419001,19.5484213829
127,20010508,河南省,410000,济源市,419001,21.6390075684
128,20010509,河南省,410000,济源市,419001,19.3715996742
129,20010510,河南省,410000,济源市,419001,21.3784294128
130,20010511,河南省,410000,济源市,419001,21.2758011818
131,20010512,河南省,410000,济源市,419001,21.9940676689
132,20010513,河南省,410000,济源市,419001,25.142551899
133,20010514,河南省,410000,济源市,419001,23.4765844345
134,20010515,河南省,410000,济源市,419001,22.725048542
135,20010516,河南省,410000,济源市,419001,18.8587236404
136,20010517,河南省,410000,济源市,419001,22.3330073357
137,20010518,河南省,410000,济源市,419001,25.0691838264
138,20010519,河南省,410000,济源市,419001,25.6423010826
139,20010520,河南省,410000,济源市,419001,27.2135248184
140,20010521,河南省,410000,济源市,419001,24.4581007957
141,20010522,河南省,410000,济源市,419001,24.8515377045
142,20010523,河南省,410000,济源市,419001,26.671810627
143,20010524,河南省,410000,济源市,419001,20.3621816635
144,20010525,河南省,410000,济源市,419001,23.4082827568
145,20010526,河南省,410000,济源市,419001,23.3517417908
146,20010527,河南省,410000,济源市,419001,23.3382148743
147,20010528,河南省,410000,济源市,419001,25.9590930939
148,20010529,河南省,410000,济源市,419001,23.7594814301
