,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,青海省,630000,海北藏族自治州,632200,-9.38305020332
1,20010102,青海省,630000,海北藏族自治州,632200,-10.0277756608
2,20010103,青海省,630000,海北藏族自治州,632200,-9.51118616954
3,20010104,青海省,630000,海北藏族自治州,632200,-9.10574463658
4,20010105,青海省,630000,海北藏族自治州,632200,-9.77186926551
5,20010106,青海省,630000,海北藏族自治州,632200,-9.10826433223
6,20010107,青海省,630000,海北藏族自治州,632200,-9.23305816754
7,20010108,青海省,630000,海北藏族自治州,632200,-13.2534190261
8,20010109,青海省,630000,海北藏族自治州,632200,-12.1212158514
9,20010110,青海省,630000,海北藏族自治州,632200,-10.4978015319
10,20010111,青海省,630000,海北藏族自治州,632200,-9.11074343453
11,20010112,青海省,630000,海北藏族自治州,632200,-9.56563645342
12,20010113,青海省,630000,海北藏族自治州,632200,-10.265824774
13,20010114,青海省,630000,海北藏族自治州,632200,-9.50799315909
14,20010115,青海省,630000,海北藏族自治州,632200,-10.132516918
15,20010116,青海省,630000,海北藏族自治州,632200,-9.33452934286
16,20010117,青海省,630000,海北藏族自治州,632200,-7.67686930169
17,20010118,青海省,630000,海北藏族自治州,632200,-8.72942312904
18,20010119,青海省,630000,海北藏族自治州,632200,-9.2454975066
19,20010120,青海省,630000,海北藏族自治州,632200,-6.44146282517
20,20010121,青海省,630000,海北藏族自治州,632200,-7.01667031516
21,20010122,青海省,630000,海北藏族自治州,632200,-8.30020553133
22,20010123,青海省,630000,海北藏族自治州,632200,-8.22588044664
23,20010124,青海省,630000,海北藏族自治州,632200,-9.75934155091
24,20010125,青海省,630000,海北藏族自治州,632200,-10.706623492
25,20010126,青海省,630000,海北藏族自治州,632200,-11.5164957979
26,20010127,青海省,630000,海北藏族自治州,632200,-12.0804062615
27,20010128,青海省,630000,海北藏族自治州,632200,-10.5898949271
28,20010129,青海省,630000,海北藏族自治州,632200,-8.77857966527
29,20010130,青海省,630000,海北藏族自治州,632200,-6.96924560485
30,20010131,青海省,630000,海北藏族自治州,632200,-7.19577662323
31,20010201,青海省,630000,海北藏族自治州,632200,-7.91168697502
32,20010202,青海省,630000,海北藏族自治州,632200,-7.58470334696
33,20010203,青海省,630000,海北藏族自治州,632200,-7.33983500107
34,20010204,青海省,630000,海北藏族自治州,632200,-6.88908503367
35,20010205,青海省,630000,海北藏族自治州,632200,-6.60089814922
36,20010206,青海省,630000,海北藏族自治州,632200,-9.88340675313
37,20010207,青海省,630000,海北藏族自治州,632200,-9.70490039432
38,20010208,青海省,630000,海北藏族自治州,632200,-7.54237666337
39,20010209,青海省,630000,海北藏族自治州,632200,-7.71676102928
40,20010210,青海省,630000,海北藏族自治州,632200,-6.40655106565
41,20010211,青海省,630000,海北藏族自治州,632200,-7.62080363605
42,20010212,青海省,630000,海北藏族自治州,632200,-9.5817926863
43,20010213,青海省,630000,海北藏族自治州,632200,-8.97263104501
44,20010214,青海省,630000,海北藏族自治州,632200,-6.81038099268
45,20010215,青海省,630000,海北藏族自治州,632200,-5.91163978888
46,20010216,青海省,630000,海北藏族自治州,632200,-4.82505946315
47,20010217,青海省,630000,海北藏族自治州,632200,-1.86682762202
48,20010218,青海省,630000,海北藏族自治州,632200,-2.06481042314
49,20010219,青海省,630000,海北藏族自治州,632200,-3.04376929966
50,20010220,青海省,630000,海北藏族自治州,632200,-3.62358442824
51,20010221,青海省,630000,海北藏族自治州,632200,-1.44492796869
52,20010222,青海省,630000,海北藏族自治州,632200,-4.99348024959
53,20010223,青海省,630000,海北藏族自治州,632200,-6.28484397349
54,20010224,青海省,630000,海北藏族自治州,632200,-5.6963429762
55,20010225,青海省,630000,海北藏族自治州,632200,-3.68142599127
56,20010226,青海省,630000,海北藏族自治州,632200,-4.40767841883
57,20010227,青海省,630000,海北藏族自治州,632200,-5.62804599949
58,20010228,青海省,630000,海北藏族自治州,632200,-5.10020214538
59,20010301,青海省,630000,海北藏族自治州,632200,-5.37372850853
60,20010302,青海省,630000,海北藏族自治州,632200,-7.65130422945
61,20010303,青海省,630000,海北藏族自治州,632200,-5.90213415415
62,20010304,青海省,630000,海北藏族自治州,632200,-4.67804823351
63,20010305,青海省,630000,海北藏族自治州,632200,-5.97474324185
64,20010306,青海省,630000,海北藏族自治州,632200,-6.12118069504
65,20010307,青海省,630000,海北藏族自治州,632200,-6.78060488597
66,20010308,青海省,630000,海北藏族自治州,632200,-3.30602791905
67,20010309,青海省,630000,海北藏族自治州,632200,-1.82716280607
68,20010310,青海省,630000,海北藏族自治州,632200,-2.14324105445
69,20010311,青海省,630000,海北藏族自治州,632200,-2.21273814773
70,20010312,青海省,630000,海北藏族自治州,632200,-0.586273668921
71,20010313,青海省,630000,海北藏族自治州,632200,-1.63397702526
72,20010314,青海省,630000,海北藏族自治州,632200,-0.383072054429
73,20010315,青海省,630000,海北藏族自治州,632200,0.256258139452
74,20010316,青海省,630000,海北藏族自治州,632200,-2.1925155437
75,20010317,青海省,630000,海北藏族自治州,632200,-1.71319412181
76,20010318,青海省,630000,海北藏族自治州,632200,-0.53515082788
77,20010319,青海省,630000,海北藏族自治州,632200,-1.36135691315
78,20010320,青海省,630000,海北藏族自治州,632200,1.09911883296
79,20010321,青海省,630000,海北藏族自治州,632200,2.31619810511
80,20010322,青海省,630000,海北藏族自治州,632200,2.04933849049
81,20010323,青海省,630000,海北藏族自治州,632200,1.18122465176
82,20010324,青海省,630000,海北藏族自治州,632200,-0.125017010688
83,20010325,青海省,630000,海北藏族自治州,632200,1.25460363746
84,20010326,青海省,630000,海北藏族自治州,632200,0.102736003373
85,20010327,青海省,630000,海北藏族自治州,632200,-2.27776023924
86,20010328,青海省,630000,海北藏族自治州,632200,0.927616556013
87,20010329,青海省,630000,海北藏族自治州,632200,3.19301562274
88,20010330,青海省,630000,海北藏族自治州,632200,4.33923595342
89,20010331,青海省,630000,海北藏族自治州,632200,5.73533680128
90,20010401,青海省,630000,海北藏族自治州,632200,7.02039776159
91,20010402,青海省,630000,海北藏族自治州,632200,6.73758940334
92,20010403,青海省,630000,海北藏族自治州,632200,4.54356386237
93,20010404,青海省,630000,海北藏族自治州,632200,3.75775231615
94,20010405,青海省,630000,海北藏族自治州,632200,2.93004059002
95,20010406,青海省,630000,海北藏族自治州,632200,4.76322434519
96,20010407,青海省,630000,海北藏族自治州,632200,3.92986458313
97,20010408,青海省,630000,海北藏族自治州,632200,0.840093199553
98,20010409,青海省,630000,海北藏族自治州,632200,-5.27866496211
99,20010410,青海省,630000,海北藏族自治州,632200,-4.61342306435
100,20010411,青海省,630000,海北藏族自治州,632200,0.158829416452
101,20010412,青海省,630000,海北藏族自治州,632200,4.23090278066
102,20010413,青海省,630000,海北藏族自治州,632200,2.49032730728
103,20010414,青海省,630000,海北藏族自治州,632200,3.79958775564
104,20010415,青海省,630000,海北藏族自治州,632200,7.45314375732
105,20010416,青海省,630000,海北藏族自治州,632200,9.32173485341
106,20010417,青海省,630000,海北藏族自治州,632200,10.602903957
107,20010418,青海省,630000,海北藏族自治州,632200,11.3259263557
108,20010419,青海省,630000,海北藏族自治州,632200,8.14174256117
109,20010420,青海省,630000,海北藏族自治州,632200,6.11177104971
110,20010421,青海省,630000,海北藏族自治州,632200,8.67179096263
111,20010422,青海省,630000,海北藏族自治州,632200,3.81353733506
112,20010423,青海省,630000,海北藏族自治州,632200,3.55697129995
113,20010424,青海省,630000,海北藏族自治州,632200,4.4707197223
114,20010425,青海省,630000,海北藏族自治州,632200,6.3346326999
115,20010426,青海省,630000,海北藏族自治州,632200,7.74366508878
116,20010427,青海省,630000,海北藏族自治州,632200,5.58122968674
117,20010428,青海省,630000,海北藏族自治州,632200,7.57979630387
118,20010429,青海省,630000,海北藏族自治州,632200,1.77640380362
119,20010430,青海省,630000,海北藏族自治州,632200,5.66347754844
120,20010501,青海省,630000,海北藏族自治州,632200,9.23018054858
121,20010502,青海省,630000,海北藏族自治州,632200,8.8525485526
122,20010503,青海省,630000,海北藏族自治州,632200,8.49984675387
123,20010504,青海省,630000,海北藏族自治州,632200,9.51118949704
124,20010505,青海省,630000,海北藏族自治州,632200,11.0000347055
125,20010506,青海省,630000,海北藏族自治州,632200,3.95755961351
126,20010507,青海省,630000,海北藏族自治州,632200,4.90884093386
127,20010508,青海省,630000,海北藏族自治州,632200,6.79467418401
128,20010509,青海省,630000,海北藏族自治州,632200,9.16876244027
129,20010510,青海省,630000,海北藏族自治州,632200,11.1059708284
130,20010511,青海省,630000,海北藏族自治州,632200,10.2990925001
131,20010512,青海省,630000,海北藏族自治州,632200,13.3280839816
132,20010513,青海省,630000,海北藏族自治州,632200,11.0695100038
133,20010514,青海省,630000,海北藏族自治州,632200,7.45309377235
