,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,海南省,460000,海口市,460100,18.4980207171
1,20010102,海南省,460000,海口市,460100,20.8235579899
2,20010103,海南省,460000,海口市,460100,21.8833511897
3,20010104,海南省,460000,海口市,460100,21.4429294041
4,20010105,海南省,460000,海口市,460100,20.412260328
5,20010106,海南省,460000,海口市,460100,21.3064591544
6,20010107,海南省,460000,海口市,460100,21.7099020822
7,20010108,海南省,460000,海口市,460100,21.8673226493
8,20010109,海南省,460000,海口市,460100,20.0677247729
9,20010110,海南省,460000,海口市,460100,18.0176187243
10,20010111,海南省,460000,海口市,460100,19.3821103232
11,20010112,海南省,460000,海口市,460100,22.2446681431
12,20010113,海南省,460000,海口市,460100,18.2384450095
13,20010114,海南省,460000,海口市,460100,18.810042245
14,20010115,海南省,460000,海口市,460100,16.5333325522
15,20010116,海南省,460000,海口市,460100,17.476524898
16,20010117,海南省,460000,海口市,460100,20.197183609
17,20010118,海南省,460000,海口市,460100,20.6256888253
18,20010119,海南省,460000,海口市,460100,21.419216701
19,20010120,海南省,460000,海口市,460100,21.9309580667
20,20010121,海南省,460000,海口市,460100,22.7285047259
21,20010122,海南省,460000,海口市,460100,23.238904408
22,20010123,海南省,460000,海口市,460100,23.8595262255
23,20010124,海南省,460000,海口市,460100,24.4983346122
24,20010125,海南省,460000,海口市,460100,22.1997013092
25,20010126,海南省,460000,海口市,460100,14.8090945653
26,20010127,海南省,460000,海口市,460100,14.4709148407
27,20010128,海南省,460000,海口市,460100,13.5802789416
28,20010129,海南省,460000,海口市,460100,15.622278486
29,20010130,海南省,460000,海口市,460100,18.1122382028
30,20010131,海南省,460000,海口市,460100,20.3645956857
31,20010201,海南省,460000,海口市,460100,18.368018559
32,20010202,海南省,460000,海口市,460100,17.0371862139
33,20010203,海南省,460000,海口市,460100,17.7350303105
34,20010204,海南省,460000,海口市,460100,15.5519294739
35,20010205,海南省,460000,海口市,460100,19.904385158
36,20010206,海南省,460000,海口市,460100,22.4586244311
37,20010207,海南省,460000,海口市,460100,20.7716544015
38,20010208,海南省,460000,海口市,460100,17.7893965585
39,20010209,海南省,460000,海口市,460100,17.2064971924
40,20010210,海南省,460000,海口市,460100,15.2906661715
41,20010211,海南省,460000,海口市,460100,20.0318965912
42,20010212,海南省,460000,海口市,460100,20.0356693268
43,20010213,海南省,460000,海口市,460100,17.8805705479
44,20010214,海南省,460000,海口市,460100,14.342433112
45,20010215,海南省,460000,海口市,460100,16.1710290909
46,20010216,海南省,460000,海口市,460100,17.9215485709
47,20010217,海南省,460000,海口市,460100,20.0586212703
48,20010218,海南省,460000,海口市,460100,20.8081953866
49,20010219,海南省,460000,海口市,460100,20.2733020782
50,20010220,海南省,460000,海口市,460100,20.8189460209
51,20010221,海南省,460000,海口市,460100,22.0298614502
52,20010222,海南省,460000,海口市,460100,22.9810499464
53,20010223,海南省,460000,海口市,460100,23.5362202781
54,20010224,海南省,460000,海口市,460100,22.3153863634
55,20010225,海南省,460000,海口市,460100,18.0918145861
56,20010226,海南省,460000,海口市,460100,18.8134027209
57,20010227,海南省,460000,海口市,460100,20.1753248487
58,20010228,海南省,460000,海口市,460100,18.1397263663
59,20010301,海南省,460000,海口市,460100,17.4530506134
60,20010302,海南省,460000,海口市,460100,20.7856758663
61,20010303,海南省,460000,海口市,460100,21.2788442884
62,20010304,海南省,460000,海口市,460100,19.3137198857
63,20010305,海南省,460000,海口市,460100,21.7699203491
64,20010306,海南省,460000,海口市,460100,22.4642808097
65,20010307,海南省,460000,海口市,460100,22.5017768315
66,20010308,海南省,460000,海口市,460100,18.9507958548
67,20010309,海南省,460000,海口市,460100,18.4238403865
68,20010310,海南省,460000,海口市,460100,20.9527942113
69,20010311,海南省,460000,海口市,460100,19.0392616817
70,20010312,海南省,460000,海口市,460100,18.4069450923
71,20010313,海南省,460000,海口市,460100,21.606175014
72,20010314,海南省,460000,海口市,460100,22.8416985103
73,20010315,海南省,460000,海口市,460100,22.6740545545
74,20010316,海南省,460000,海口市,460100,24.4463977814
75,20010317,海南省,460000,海口市,460100,25.7816418239
76,20010318,海南省,460000,海口市,460100,24.869966507
77,20010319,海南省,460000,海口市,460100,25.6377786909
78,20010320,海南省,460000,海口市,460100,24.5044555664
79,20010321,海南省,460000,海口市,460100,23.7197396415
80,20010322,海南省,460000,海口市,460100,26.4669006893
81,20010323,海南省,460000,海口市,460100,28.3377306802
82,20010324,海南省,460000,海口市,460100,27.9458697183
83,20010325,海南省,460000,海口市,460100,25.4460334778
84,20010326,海南省,460000,海口市,460100,22.0198644911
85,20010327,海南省,460000,海口市,460100,22.2692805699
86,20010328,海南省,460000,海口市,460100,23.3065735953
87,20010329,海南省,460000,海口市,460100,21.6451650347
88,20010330,海南省,460000,海口市,460100,22.8799550193
89,20010331,海南省,460000,海口市,460100,24.1206744058
90,20010401,海南省,460000,海口市,460100,23.5385537829
91,20010402,海南省,460000,海口市,460100,25.088797978
92,20010403,海南省,460000,海口市,460100,27.0568632398
93,20010404,海南省,460000,海口市,460100,27.0485624586
94,20010405,海南省,460000,海口市,460100,24.9414386749
95,20010406,海南省,460000,海口市,460100,27.2846156529
96,20010407,海南省,460000,海口市,460100,28.029069628
97,20010408,海南省,460000,海口市,460100,28.6601927621
98,20010409,海南省,460000,海口市,460100,29.5177781241
99,20010410,海南省,460000,海口市,460100,29.0571359907
100,20010411,海南省,460000,海口市,460100,17.9785148076
101,20010412,海南省,460000,海口市,460100,18.6870313372
102,20010413,海南省,460000,海口市,460100,22.5297230312
103,20010414,海南省,460000,海口市,460100,24.0455755506
104,20010415,海南省,460000,海口市,460100,25.061365945
