,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,安徽省,340000,淮北市,340600,4.07402806282
1,20010102,安徽省,340000,淮北市,340600,4.55999512672
2,20010103,安徽省,340000,淮北市,340600,2.50455031395
3,20010104,安徽省,340000,淮北市,340600,1.85059247017
4,20010105,安徽省,340000,淮北市,340600,4.48179569244
5,20010106,安徽省,340000,淮北市,340600,3.00113782883
6,20010107,安徽省,340000,淮北市,340600,1.30640645027
7,20010108,安徽省,340000,淮北市,340600,0.808958017826
8,20010109,安徽省,340000,淮北市,340600,-0.330157461762
9,20010110,安徽省,340000,淮北市,340600,1.34805881977
10,20010111,安徽省,340000,淮北市,340600,0.484418481588
11,20010112,安徽省,340000,淮北市,340600,-0.541428729892
12,20010113,安徽省,340000,淮北市,340600,-2.17867558002
13,20010114,安徽省,340000,淮北市,340600,-4.61858520508
14,20010115,安徽省,340000,淮北市,340600,-3.46566033363
15,20010116,安徽省,340000,淮北市,340600,-0.175318293273
16,20010117,安徽省,340000,淮北市,340600,2.43404061794
17,20010118,安徽省,340000,淮北市,340600,4.46875047684
18,20010119,安徽省,340000,淮北市,340600,0.94842928648
19,20010120,安徽省,340000,淮北市,340600,0.475561058521
20,20010121,安徽省,340000,淮北市,340600,1.9966275692
21,20010122,安徽省,340000,淮北市,340600,1.58236958981
22,20010123,安徽省,340000,淮北市,340600,1.10430865288
23,20010124,安徽省,340000,淮北市,340600,-0.0724945224822
24,20010125,安徽省,340000,淮北市,340600,-2.13472011089
25,20010126,安徽省,340000,淮北市,340600,-3.77570281029
26,20010127,安徽省,340000,淮北市,340600,-0.951668143272
27,20010128,安徽省,340000,淮北市,340600,-1.52832026482
28,20010129,安徽省,340000,淮北市,340600,0.682796978951
29,20010130,安徽省,340000,淮北市,340600,3.81846246719
30,20010131,安徽省,340000,淮北市,340600,2.76395025253
31,20010201,安徽省,340000,淮北市,340600,1.65894732475
32,20010202,安徽省,340000,淮北市,340600,3.15298919678
33,20010203,安徽省,340000,淮北市,340600,4.17549610138
34,20010204,安徽省,340000,淮北市,340600,3.80230336189
35,20010205,安徽省,340000,淮北市,340600,3.42656984329
36,20010206,安徽省,340000,淮北市,340600,-1.0589879632
37,20010207,安徽省,340000,淮北市,340600,-2.57734208107
38,20010208,安徽省,340000,淮北市,340600,0.468758611381
39,20010209,安徽省,340000,淮北市,340600,2.49381084442
40,20010210,安徽省,340000,淮北市,340600,4.18468985558
41,20010211,安徽省,340000,淮北市,340600,2.54818139076
42,20010212,安徽省,340000,淮北市,340600,0.724177849293
43,20010213,安徽省,340000,淮北市,340600,0.652042686939
44,20010214,安徽省,340000,淮北市,340600,4.97060232162
45,20010215,安徽省,340000,淮北市,340600,5.33152866364
46,20010216,安徽省,340000,淮北市,340600,3.28189105988
47,20010217,安徽省,340000,淮北市,340600,2.2316380024
48,20010218,安徽省,340000,淮北市,340600,7.30547294617
49,20010219,安徽省,340000,淮北市,340600,8.99903907776
50,20010220,安徽省,340000,淮北市,340600,6.13123645782
51,20010221,安徽省,340000,淮北市,340600,7.67501802444
52,20010222,安徽省,340000,淮北市,340600,9.47200202942
53,20010223,安徽省,340000,淮北市,340600,1.82759943008
54,20010224,安徽省,340000,淮北市,340600,0.924869310856
55,20010225,安徽省,340000,淮北市,340600,2.87407402992
56,20010226,安徽省,340000,淮北市,340600,5.82733812332
57,20010227,安徽省,340000,淮北市,340600,5.15356082916
58,20010228,安徽省,340000,淮北市,340600,6.49198923111
59,20010301,安徽省,340000,淮北市,340600,10.0862388611
60,20010302,安徽省,340000,淮北市,340600,11.827232933
61,20010303,安徽省,340000,淮北市,340600,7.93278913498
62,20010304,安徽省,340000,淮北市,340600,8.06662950516
63,20010305,安徽省,340000,淮北市,340600,10.8522945404
64,20010306,安徽省,340000,淮北市,340600,7.9508767128
