,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,广东省,440000,清远市,441800,11.9160903584
1,20010102,广东省,440000,清远市,441800,14.5470982031
2,20010103,广东省,440000,清远市,441800,13.5926990076
3,20010104,广东省,440000,清远市,441800,13.153514797
4,20010105,广东省,440000,清远市,441800,14.0069294843
5,20010106,广东省,440000,清远市,441800,16.2892430262
6,20010107,广东省,440000,清远市,441800,16.686102607
7,20010108,广东省,440000,清远市,441800,17.2631162297
8,20010109,广东省,440000,清远市,441800,8.53814326633
9,20010110,广东省,440000,清远市,441800,8.31976554611
10,20010111,广东省,440000,清远市,441800,11.3967339126
11,20010112,广东省,440000,清远市,441800,11.5446438139
12,20010113,广东省,440000,清远市,441800,10.7231867747
13,20010114,广东省,440000,清远市,441800,10.9389599237
14,20010115,广东省,440000,清远市,441800,9.1561404575
15,20010116,广东省,440000,清远市,441800,11.5047961365
16,20010117,广东省,440000,清远市,441800,13.8903566274
17,20010118,广东省,440000,清远市,441800,15.8260491111
18,20010119,广东省,440000,清远市,441800,17.7601858486
19,20010120,广东省,440000,清远市,441800,17.1049329801
20,20010121,广东省,440000,清远市,441800,18.9532495845
21,20010122,广东省,440000,清远市,441800,18.0653967857
22,20010123,广东省,440000,清远市,441800,16.8550267436
23,20010124,广东省,440000,清远市,441800,13.6875130697
24,20010125,广东省,440000,清远市,441800,7.88599899682
25,20010126,广东省,440000,清远市,441800,7.23621410673
26,20010127,广东省,440000,清远市,441800,6.32485532761
27,20010128,广东省,440000,清远市,441800,8.23399307511
28,20010129,广东省,440000,清远市,441800,9.96226322651
29,20010130,广东省,440000,清远市,441800,11.1338769089
30,20010131,广东省,440000,清远市,441800,12.1372064677
31,20010201,广东省,440000,清远市,441800,8.75792196664
32,20010202,广东省,440000,清远市,441800,6.87891637195
33,20010203,广东省,440000,清远市,441800,8.12290474502
34,20010204,广东省,440000,清远市,441800,10.124349399
35,20010205,广东省,440000,清远市,441800,12.4730739377
36,20010206,广东省,440000,清远市,441800,14.6254561381
37,20010207,广东省,440000,清远市,441800,10.1874133565
38,20010208,广东省,440000,清远市,441800,9.8183509003
39,20010209,广东省,440000,清远市,441800,8.90849210999
40,20010210,广东省,440000,清远市,441800,10.7696184028
41,20010211,广东省,440000,清远市,441800,15.1635215933
42,20010212,广东省,440000,清远市,441800,15.5932912827
43,20010213,广东省,440000,清远市,441800,8.66533094103
44,20010214,广东省,440000,清远市,441800,9.33774503795
45,20010215,广东省,440000,清远市,441800,12.1510860053
46,20010216,广东省,440000,清远市,441800,14.08535953
47,20010217,广东省,440000,清远市,441800,15.9040053758
48,20010218,广东省,440000,清远市,441800,17.9788772843
49,20010219,广东省,440000,清远市,441800,19.451803901
50,20010220,广东省,440000,清远市,441800,20.1472034888
51,20010221,广东省,440000,清远市,441800,20.0283270316
52,20010222,广东省,440000,清远市,441800,21.4135697538
53,20010223,广东省,440000,清远市,441800,22.4940048998
54,20010224,广东省,440000,清远市,441800,13.7776167609
55,20010225,广东省,440000,清远市,441800,8.29428911209
56,20010226,广东省,440000,清远市,441800,9.57166194916
57,20010227,广东省,440000,清远市,441800,11.6092512391
58,20010228,广东省,440000,清远市,441800,11.3436273662
59,20010301,广东省,440000,清远市,441800,13.4891246882
60,20010302,广东省,440000,清远市,441800,16.9915283377
61,20010303,广东省,440000,清远市,441800,15.2763164694
62,20010304,广东省,440000,清远市,441800,15.7973350828
63,20010305,广东省,440000,清远市,441800,18.8504595323
64,20010306,广东省,440000,清远市,441800,19.8721331683
65,20010307,广东省,440000,清远市,441800,15.1262755827
66,20010308,广东省,440000,清远市,441800,12.0703923052
67,20010309,广东省,440000,清远市,441800,13.5251018134
68,20010310,广东省,440000,清远市,441800,13.2353248813
69,20010311,广东省,440000,清远市,441800,13.6194648092
70,20010312,广东省,440000,清远市,441800,15.8692656647
71,20010313,广东省,440000,清远市,441800,18.413622596
72,20010314,广东省,440000,清远市,441800,18.7237529321
73,20010315,广东省,440000,清远市,441800,20.4944543839
74,20010316,广东省,440000,清远市,441800,20.3464651541
75,20010317,广东省,440000,清远市,441800,17.1979609186
76,20010318,广东省,440000,清远市,441800,19.843718182
77,20010319,广东省,440000,清远市,441800,19.0716195757
78,20010320,广东省,440000,清远市,441800,17.3267903111
79,20010321,广东省,440000,清远市,441800,19.4458514994
80,20010322,广东省,440000,清远市,441800,21.5214198719
81,20010323,广东省,440000,清远市,441800,23.1984610558
82,20010324,广东省,440000,清远市,441800,23.8724951311
83,20010325,广东省,440000,清远市,441800,17.6793069406
84,20010326,广东省,440000,清远市,441800,18.1683840318
85,20010327,广东省,440000,清远市,441800,16.9933182543
86,20010328,广东省,440000,清远市,441800,18.1398339272
87,20010329,广东省,440000,清远市,441800,16.0056006692
88,20010330,广东省,440000,清远市,441800,20.023368532
89,20010331,广东省,440000,清远市,441800,20.2775810849
90,20010401,广东省,440000,清远市,441800,19.3544850783
91,20010402,广东省,440000,清远市,441800,21.3030294072
92,20010403,广东省,440000,清远市,441800,21.1400594711
93,20010404,广东省,440000,清远市,441800,18.820154927
94,20010405,广东省,440000,清远市,441800,20.602468664
95,20010406,广东省,440000,清远市,441800,19.9565170895
96,20010407,广东省,440000,清远市,441800,21.0926090587
97,20010408,广东省,440000,清远市,441800,23.0322634957
98,20010409,广东省,440000,清远市,441800,23.7897661383
99,20010410,广东省,440000,清远市,441800,18.3302569606
100,20010411,广东省,440000,清远市,441800,11.153169632
101,20010412,广东省,440000,清远市,441800,15.7637078545
102,20010413,广东省,440000,清远市,441800,19.0577904528
103,20010414,广东省,440000,清远市,441800,20.2636982744
104,20010415,广东省,440000,清远市,441800,19.2017511021
105,20010416,广东省,440000,清远市,441800,19.2410471223
106,20010417,广东省,440000,清远市,441800,20.4553871588
107,20010418,广东省,440000,清远市,441800,21.5272435708
108,20010419,广东省,440000,清远市,441800,23.6313584501
109,20010420,广东省,440000,清远市,441800,23.4515819116
110,20010421,广东省,440000,清远市,441800,17.387794473
111,20010422,广东省,440000,清远市,441800,15.3938615322
112,20010423,广东省,440000,清远市,441800,16.7695988525
113,20010424,广东省,440000,清远市,441800,17.1290195422
114,20010425,广东省,440000,清远市,441800,17.1616989049
115,20010426,广东省,440000,清远市,441800,21.0861240734
116,20010427,广东省,440000,清远市,441800,23.7696114887
117,20010428,广东省,440000,清远市,441800,26.030091199
118,20010429,广东省,440000,清远市,441800,27.1477836696
119,20010430,广东省,440000,清远市,441800,24.2366891774
120,20010501,广东省,440000,清远市,441800,21.1371282664
121,20010502,广东省,440000,清远市,441800,23.0973640355
122,20010503,广东省,440000,清远市,441800,24.0906107642
123,20010504,广东省,440000,清远市,441800,24.1621717973
124,20010505,广东省,440000,清远市,441800,25.8854602033
125,20010506,广东省,440000,清远市,441800,27.7715412053
126,20010507,广东省,440000,清远市,441800,26.819964799
127,20010508,广东省,440000,清远市,441800,23.2459979491
128,20010509,广东省,440000,清远市,441800,21.3528887575
129,20010510,广东省,440000,清远市,441800,21.7883766348
130,20010511,广东省,440000,清远市,441800,24.0121638992
131,20010512,广东省,440000,清远市,441800,25.621542974
132,20010513,广东省,440000,清远市,441800,27.078036395
133,20010514,广东省,440000,清远市,441800,26.971289548
134,20010515,广东省,440000,清远市,441800,27.0784865726
135,20010516,广东省,440000,清远市,441800,24.6062902537
136,20010517,广东省,440000,清远市,441800,23.9568210515
137,20010518,广东省,440000,清远市,441800,24.6591482162
138,20010519,广东省,440000,清远市,441800,26.2035580115
139,20010520,广东省,440000,清远市,441800,28.1460035064
140,20010521,广东省,440000,清远市,441800,25.3832245307
141,20010522,广东省,440000,清远市,441800,27.6971501871
142,20010523,广东省,440000,清远市,441800,28.6589281342
143,20010524,广东省,440000,清远市,441800,28.804045157
144,20010525,广东省,440000,清远市,441800,27.9503720457
145,20010526,广东省,440000,清远市,441800,28.3710073991
146,20010527,广东省,440000,清远市,441800,26.7224228165
147,20010528,广东省,440000,清远市,441800,24.3899617629
148,20010529,广东省,440000,清远市,441800,24.3959220106
149,20010530,广东省,440000,清远市,441800,25.2931954644
150,20010531,广东省,440000,清远市,441800,26.2571345676
151,20010601,广东省,440000,清远市,441800,23.3350589059
152,20010602,广东省,440000,清远市,441800,23.3276133537
153,20010603,广东省,440000,清远市,441800,24.2998715314
154,20010604,广东省,440000,清远市,441800,23.7560907277
155,20010605,广东省,440000,清远市,441800,25.6512270841
156,20010606,广东省,440000,清远市,441800,25.4694990678
157,20010607,广东省,440000,清远市,441800,25.5493346995
158,20010608,广东省,440000,清远市,441800,25.3983058929
159,20010609,广东省,440000,清远市,441800,25.3659912023
160,20010610,广东省,440000,清远市,441800,25.9881157875
161,20010611,广东省,440000,清远市,441800,25.1347905506
162,20010612,广东省,440000,清远市,441800,25.8598031131
163,20010613,广东省,440000,清远市,441800,23.4321643656
164,20010614,广东省,440000,清远市,441800,25.9735722542
165,20010615,广东省,440000,清远市,441800,27.8449254903
166,20010616,广东省,440000,清远市,441800,28.5160150094
167,20010617,广东省,440000,清远市,441800,29.346498446
168,20010618,广东省,440000,清远市,441800,29.6297540665
169,20010619,广东省,440000,清远市,441800,29.5124738
