,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,广东省,440000,湛江市,440800,18.0404249389
1,20010102,广东省,440000,湛江市,440800,19.6284843313
2,20010103,广东省,440000,湛江市,440800,19.7562217055
3,20010104,广东省,440000,湛江市,440800,19.4753187772
4,20010105,广东省,440000,湛江市,440800,19.9106080285
5,20010106,广东省,440000,湛江市,440800,20.5390992
6,20010107,广东省,440000,湛江市,440800,20.8678044286
7,20010108,广东省,440000,湛江市,440800,21.4387228078
8,20010109,广东省,440000,湛江市,440800,16.5807334966
9,20010110,广东省,440000,湛江市,440800,14.4817405569
10,20010111,广东省,440000,湛江市,440800,16.3619845489
11,20010112,广东省,440000,湛江市,440800,18.7176987878
12,20010113,广东省,440000,湛江市,440800,16.6814017131
13,20010114,广东省,440000,湛江市,440800,16.8566918538
14,20010115,广东省,440000,湛江市,440800,12.9269060924
15,20010116,广东省,440000,湛江市,440800,14.2495604548
16,20010117,广东省,440000,湛江市,440800,17.6771111324
17,20010118,广东省,440000,湛江市,440800,19.5106856905
18,20010119,广东省,440000,湛江市,440800,20.7831078891
19,20010120,广东省,440000,湛江市,440800,21.2136422519
20,20010121,广东省,440000,湛江市,440800,21.1652593942
21,20010122,广东省,440000,湛江市,440800,21.8239166654
22,20010123,广东省,440000,湛江市,440800,21.9930541598
23,20010124,广东省,440000,湛江市,440800,22.3019723563
24,20010125,广东省,440000,湛江市,440800,18.2680705169
25,20010126,广东省,440000,湛江市,440800,12.9457361616
26,20010127,广东省,440000,湛江市,440800,11.9251993771
27,20010128,广东省,440000,湛江市,440800,12.38531333
28,20010129,广东省,440000,湛江市,440800,14.3618438655
29,20010130,广东省,440000,湛江市,440800,15.3864068656
30,20010131,广东省,440000,湛江市,440800,17.2224059269
31,20010201,广东省,440000,湛江市,440800,14.5539258431
32,20010202,广东省,440000,湛江市,440800,12.553249984
33,20010203,广东省,440000,湛江市,440800,13.2893364676
34,20010204,广东省,440000,湛江市,440800,13.9707031908
35,20010205,广东省,440000,湛江市,440800,17.8850783644
36,20010206,广东省,440000,湛江市,440800,19.850095157
37,20010207,广东省,440000,湛江市,440800,17.6906792871
38,20010208,广东省,440000,湛江市,440800,15.2621203127
39,20010209,广东省,440000,湛江市,440800,13.9352024341
40,20010210,广东省,440000,湛江市,440800,13.1768098042
41,20010211,广东省,440000,湛江市,440800,17.7669794148
42,20010212,广东省,440000,湛江市,440800,19.7428138338
43,20010213,广东省,440000,湛江市,440800,15.1007134668
44,20010214,广东省,440000,湛江市,440800,13.9142887181
45,20010215,广东省,440000,湛江市,440800,15.6861150347
46,20010216,广东省,440000,湛江市,440800,17.3289435814
47,20010217,广东省,440000,湛江市,440800,18.8618152881
48,20010218,广东省,440000,湛江市,440800,19.7908761255
49,20010219,广东省,440000,湛江市,440800,20.4315444026
50,20010220,广东省,440000,湛江市,440800,20.5623944381
51,20010221,广东省,440000,湛江市,440800,21.2974443765
52,20010222,广东省,440000,湛江市,440800,22.144235611
53,20010223,广东省,440000,湛江市,440800,22.9047372752
54,20010224,广东省,440000,湛江市,440800,20.1318295577
55,20010225,广东省,440000,湛江市,440800,14.4439594663
56,20010226,广东省,440000,湛江市,440800,15.9919935424
57,20010227,广东省,440000,湛江市,440800,17.4623103635
58,20010228,广东省,440000,湛江市,440800,15.9522021063
59,20010301,广东省,440000,湛江市,440800,17.546801008
60,20010302,广东省,440000,湛江市,440800,19.5644434567
61,20010303,广东省,440000,湛江市,440800,19.6090671934
62,20010304,广东省,440000,湛江市,440800,19.2654355148
63,20010305,广东省,440000,湛江市,440800,20.5649519296
64,20010306,广东省,440000,湛江市,440800,21.3901901903
65,20010307,广东省,440000,湛江市,440800,21.5106133428
66,20010308,广东省,440000,湛江市,440800,17.3097261889
67,20010309,广东省,440000,湛江市,440800,15.8420135564
68,20010310,广东省,440000,湛江市,440800,17.6865287649
69,20010311,广东省,440000,湛江市,440800,17.0592207086
70,20010312,广东省,440000,湛江市,440800,17.2331200961
71,20010313,广东省,440000,湛江市,440800,19.8793419805
72,20010314,广东省,440000,湛江市,440800,21.4240694375
73,20010315,广东省,440000,湛江市,440800,21.8528929743
74,20010316,广东省,440000,湛江市,440800,23.1158289416
75,20010317,广东省,440000,湛江市,440800,23.6374134195
76,20010318,广东省,440000,湛江市,440800,23.6436169065
77,20010319,广东省,440000,湛江市,440800,23.4229082568
78,20010320,广东省,440000,湛江市,440800,22.3127980726
79,20010321,广东省,440000,湛江市,440800,23.386232705
80,20010322,广东省,440000,湛江市,440800,25.2351337959
81,20010323,广东省,440000,湛江市,440800,26.5195171093
82,20010324,广东省,440000,湛江市,440800,26.4303538224
83,20010325,广东省,440000,湛江市,440800,24.1964240239
84,20010326,广东省,440000,湛江市,440800,21.4236528462
85,20010327,广东省,440000,湛江市,440800,21.2579011588
86,20010328,广东省,440000,湛江市,440800,22.2833173028
87,20010329,广东省,440000,湛江市,440800,21.3593034415
88,20010330,广东省,440000,湛江市,440800,22.2432787665
89,20010331,广东省,440000,湛江市,440800,22.8788707996
90,20010401,广东省,440000,湛江市,440800,22.9094726957
91,20010402,广东省,440000,湛江市,440800,24.0453389266
92,20010403,广东省,440000,湛江市,440800,25.735867007
93,20010404,广东省,440000,湛江市,440800,24.4696400083
94,20010405,广东省,440000,湛江市,440800,22.706786057
95,20010406,广东省,440000,湛江市,440800,24.2681943959
96,20010407,广东省,440000,湛江市,440800,24.9256512872
97,20010408,广东省,440000,湛江市,440800,26.9794153016
98,20010409,广东省,440000,湛江市,440800,27.0194432489
99,20010410,广东省,440000,湛江市,440800,25.9374104204
100,20010411,广东省,440000,湛江市,440800,16.3516558614
101,20010412,广东省,440000,湛江市,440800,18.210464346
102,20010413,广东省,440000,湛江市,440800,20.4687833457
103,20010414,广东省,440000,湛江市,440800,22.1624274418
104,20010415,广东省,440000,湛江市,440800,23.2034341878
105,20010416,广东省,440000,湛江市,440800,23.9799618557
106,20010417,广东省,440000,湛江市,440800,25.3299107387
107,20010418,广东省,440000,湛江市,440800,27.0290426715
108,20010419,广东省,440000,湛江市,440800,27.8395629094
109,20010420,广东省,440000,湛江市,440800,29.4529206506
110,20010421,广东省,440000,湛江市,440800,28.4823759671
111,20010422,广东省,440000,湛江市,440800,21.9693711379
112,20010423,广东省,440000,湛江市,440800,24.139005661
113,20010424,广东省,440000,湛江市,440800,23.1870467745
114,20010425,广东省,440000,湛江市,440800,21.2258284996
115,20010426,广东省,440000,湛江市,440800,23.1244826481
116,20010427,广东省,440000,湛江市,440800,25.0264263811
117,20010428,广东省,440000,湛江市,440800,27.2550844653
118,20010429,广东省,440000,湛江市,440800,28.1611401788
119,20010430,广东省,440000,湛江市,440800,28.0149628869
120,20010501,广东省,440000,湛江市,440800,24.7144426149
121,20010502,广东省,440000,湛江市,440800,25.3427485762
122,20010503,广东省,440000,湛江市,440800,26.1755603922
123,20010504,广东省,440000,湛江市,440800,26.290774181
124,20010505,广东省,440000,湛江市,440800,27.9140218537
125,20010506,广东省,440000,湛江市,440800,29.6157673803
126,20010507,广东省,440000,湛江市,440800,30.4334415567
127,20010508,广东省,440000,湛江市,440800,29.6584258244
128,20010509,广东省,440000,湛江市,440800,26.4093024813
129,20010510,广东省,440000,湛江市,440800,24.8856314297
130,20010511,广东省,440000,湛江市,440800,26.095104086
131,20010512,广东省,440000,湛江市,440800,26.6232302436
132,20010513,广东省,440000,湛江市,440800,27.4378940319
133,20010514,广东省,440000,湛江市,440800,27.8561705228
134,20010515,广东省,440000,湛江市,440800,27.71948354
135,20010516,广东省,440000,湛江市,440800,26.4575517589
136,20010517,广东省,440000,湛江市,440800,27.0559262243
137,20010518,广东省,440000,湛江市,440800,25.8797653461
138,20010519,广东省,440000,湛江市,440800,27.6634055828
139,20010520,广东省,440000,湛江市,440800,28.7509693935
140,20010521,广东省,440000,湛江市,440800,29.3059189895
141,20010522,广东省,440000,湛江市,440800,28.647311112
142,20010523,广东省,440000,湛江市,440800,28.6643710959
143,20010524,广东省,440000,湛江市,440800,28.5572098699
144,20010525,广东省,440000,湛江市,440800,27.3471456067
145,20010526,广东省,440000,湛江市,440800,26.0332065451
146,20010527,广东省,440000,湛江市,440800,26.7842886037
147,20010528,广东省,440000,湛江市,440800,26.1971938692
148,20010529,广东省,440000,湛江市,440800,26.117673282
149,20010530,广东省,440000,湛江市,440800,27.0589716023
150,20010531,广东省,440000,湛江市,440800,26.2319420782
151,20010601,广东省,440000,湛江市,440800,26.3632025883
152,20010602,广东省,440000,湛江市,440800,26.2161675157
153,20010603,广东省,440000,湛江市,440800,27.9332885742
154,20010604,广东省,440000,湛江市,440800,27.3926569182
155,20010605,广东省,440000,湛江市,440800,27.6141812555
156,20010606,广东省,440000,湛江市,440800,27.3083637501
157,20010607,广东省,440000,湛江市,440800,26.8298764722
158,20010608,广东省,440000,湛江市,440800,28.4099457839
159,20010609,广东省,440000,湛江市,440800,28.9958613165
160,20010610,广东省,440000,湛江市,440800,28.6204388717
161,20010611,广东省,440000,湛江市,440800,28.7341155348
162,20010612,广东省,440000,湛江市,440800,28.8798755777
163,20010613,广东省,440000,湛江市,440800,26.3540200201
164,20010614,广东省,440000,湛江市,440800,27.5342794616
165,20010615,广东省,440000,湛江市,440800,27.9359366976
166,20010616,广东省,440000,湛江市,440800,29.4255027113
167,20010617,广东省,440000,湛江市,440800,29.5738493821
168,20010618,广东省,440000,湛江市,440800,29.3091408302
169,20010619,广东省,440000,湛江市,440800,29.7594141467
170,20010620,广东省,440000,湛江市,440800,29.9156282359
171,20010621,广东省,440000,湛江市,440800,29.2892151537
172,20010622,广东省,440000,湛江市,440800,28.206535734
173,20010623,广东省,440000,湛江市,440800,29.7125499988
174,20010624,广东省,440000,湛江市,440800,29.4241488227
175,20010625,广东省,440000,湛江市,440800,27.628993988
176,20010626,广东省,440000,湛江市,440800,26.4247381276
177,20010627,广东省,440000,湛江市,440800,26.8388479167
178,20010628,广东省,440000,湛江市,440800,28.372084519
179,20010629,广东省,440000,湛江市,440800,28.7203894648
