,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,福建省,350000,漳州市,350600,10.9092648824
1,20010102,福建省,350000,漳州市,350600,13.3219789823
2,20010103,福建省,350000,漳州市,350600,14.445151933
3,20010104,福建省,350000,漳州市,350600,14.3623562495
4,20010105,福建省,350000,漳州市,350600,16.3189214071
5,20010106,福建省,350000,漳州市,350600,16.6142429988
6,20010107,福建省,350000,漳州市,350600,16.8443463008
7,20010108,福建省,350000,漳州市,350600,16.5495171865
8,20010109,福建省,350000,漳州市,350600,13.4428434054
9,20010110,福建省,350000,漳州市,350600,11.3861598333
10,20010111,福建省,350000,漳州市,350600,12.9656762123
11,20010112,福建省,350000,漳州市,350600,14.0832740148
12,20010113,福建省,350000,漳州市,350600,12.5067299525
13,20010114,福建省,350000,漳州市,350600,10.8516501427
14,20010115,福建省,350000,漳州市,350600,9.66111955643
15,20010116,福建省,350000,漳州市,350600,10.4577307383
16,20010117,福建省,350000,漳州市,350600,13.5473343213
17,20010118,福建省,350000,漳州市,350600,14.6999639511
18,20010119,福建省,350000,漳州市,350600,16.2172871908
19,20010120,福建省,350000,漳州市,350600,17.2404225667
20,20010121,福建省,350000,漳州市,350600,16.1506536484
21,20010122,福建省,350000,漳州市,350600,16.4435500463
22,20010123,福建省,350000,漳州市,350600,16.4984626452
23,20010124,福建省,350000,漳州市,350600,16.7369347254
24,20010125,福建省,350000,漳州市,350600,13.6401198705
25,20010126,福建省,350000,漳州市,350600,8.70881954829
26,20010127,福建省,350000,漳州市,350600,8.61412156423
27,20010128,福建省,350000,漳州市,350600,9.84628953934
28,20010129,福建省,350000,漳州市,350600,11.0655773799
29,20010130,福建省,350000,漳州市,350600,13.4112297376
30,20010131,福建省,350000,漳州市,350600,14.7959656715
31,20010201,福建省,350000,漳州市,350600,10.8238046646
32,20010202,福建省,350000,漳州市,350600,9.39338013331
33,20010203,福建省,350000,漳州市,350600,11.3468369484
34,20010204,福建省,350000,漳州市,350600,13.0829516411
35,20010205,福建省,350000,漳州市,350600,15.4473546982
36,20010206,福建省,350000,漳州市,350600,17.0215028127
