,日期,省份,省份代码,城市,城市代码,平均气温
0,20010101,山东省,370000,潍坊市,370700,1.4372920776
1,20010102,山东省,370000,潍坊市,370700,-1.13798712118
2,20010103,山东省,370000,潍坊市,370700,-3.67659729566
3,20010104,山东省,370000,潍坊市,370700,-1.88932791734
4,20010105,山东省,370000,潍坊市,370700,1.67034757137
5,20010106,山东省,370000,潍坊市,370700,1.99910251911
6,20010107,山东省,370000,潍坊市,370700,0.940555355488
7,20010108,山东省,370000,潍坊市,370700,0.22340480988
8,20010109,山东省,370000,潍坊市,370700,-3.74315374325
9,20010110,山东省,370000,潍坊市,370700,-3.23835200377
10,20010111,山东省,370000,潍坊市,370700,-4.93304750858
11,20010112,山东省,370000,潍坊市,370700,-3.63828095106
12,20010113,山东省,370000,潍坊市,370700,-8.11468196527
13,20010114,山东省,370000,潍坊市,370700,-10.8732535778
14,20010115,山东省,370000,潍坊市,370700,-9.7499045103
15,20010116,山东省,370000,潍坊市,370700,-4.92462167373
16,20010117,山东省,370000,潍坊市,370700,-1.71911923263
17,20010118,山东省,370000,潍坊市,370700,0.334360642836
18,20010119,山东省,370000,潍坊市,370700,-0.125887703873
19,20010120,山东省,370000,潍坊市,370700,-2.05847610228
20,20010121,山东省,370000,潍坊市,370700,-1.65693117564
21,20010122,山东省,370000,潍坊市,370700,-0.139086459835
22,20010123,山东省,370000,潍坊市,370700,-0.614567986236
23,20010124,山东省,370000,潍坊市,370700,-1.47970384512
24,20010125,山东省,370000,潍坊市,370700,-2.12756449443
25,20010126,山东省,370000,潍坊市,370700,-3.21782833491
26,20010127,山东省,370000,潍坊市,370700,-0.479044928048
27,20010128,山东省,370000,潍坊市,370700,-3.06503202365
28,20010129,山东省,370000,潍坊市,370700,-0.861403808475
29,20010130,山东省,370000,潍坊市,370700,1.26855136645
30,20010131,山东省,370000,潍坊市,370700,1.00139651849
31,20010201,山东省,370000,潍坊市,370700,-1.21137386713
32,20010202,山东省,370000,潍坊市,370700,1.14942451624
33,20010203,山东省,370000,潍坊市,370700,0.876915372335
34,20010204,山东省,370000,潍坊市,370700,1.20713886045
35,20010205,山东省,370000,潍坊市,370700,0.283077523685
36,20010206,山东省,370000,潍坊市,370700,-4.46681640087
37,20010207,山东省,370000,潍坊市,370700,-5.96224091603
38,20010208,山东省,370000,潍坊市,370700,-2.0345174548
39,20010209,山东省,370000,潍坊市,370700,-0.379121264156
40,20010210,山东省,370000,潍坊市,370700,0.576448851838
41,20010211,山东省,370000,潍坊市,370700,-0.992521868016
42,20010212,山东省,370000,潍坊市,370700,-1.86490941048
43,20010213,山东省,370000,潍坊市,370700,-2.02234780941
44,20010214,山东省,370000,潍坊市,370700,1.59364810968
45,20010215,山东省,370000,潍坊市,370700,-0.245822699406
46,20010216,山东省,370000,潍坊市,370700,0.122320098767
47,20010217,山东省,370000,潍坊市,370700,1.42842674867
48,20010218,山东省,370000,潍坊市,370700,4.7641705244
49,20010219,山东省,370000,潍坊市,370700,5.31811670157
50,20010220,山东省,370000,潍坊市,370700,6.05172878657
51,20010221,山东省,370000,潍坊市,370700,7.20192626806
52,20010222,山东省,370000,潍坊市,370700,6.71124306703
53,20010223,山东省,370000,潍坊市,370700,-1.34231283764
54,20010224,山东省,370000,潍坊市,370700,-1.3420534623
55,20010225,山东省,370000,潍坊市,370700,1.9035227635
56,20010226,山东省,370000,潍坊市,370700,4.04881226099
57,20010227,山东省,370000,潍坊市,370700,4.26299960797
58,20010228,山东省,370000,潍坊市,370700,5.54776148918
59,20010301,山东省,370000,潍坊市,370700,5.71515670189
60,20010302,山东省,370000,潍坊市,370700,8.74271991925
61,20010303,山东省,370000,潍坊市,370700,3.8611430755
62,20010304,山东省,370000,潍坊市,370700,3.18201755255
63,20010305,山东省,370000,潍坊市,370700,8.51807426795
64,20010306,山东省,370000,潍坊市,370700,2.85945392266
65,20010307,山东省,370000,潍坊市,370700,-0.872526243902
66,20010308,山东省,370000,潍坊市,370700,-0.502735579339
67,20010309,山东省,370000,潍坊市,370700,6.92749282641
68,20010310,山东省,370000,潍坊市,370700,0.975868990406
69,20010311,山东省,370000,潍坊市,370700,2.31018062738
70,20010312,山东省,370000,潍坊市,370700,8.08648649851
71,20010313,山东省,370000,潍坊市,370700,11.2452165653
72,20010314,山东省,370000,潍坊市,370700,2.62899077244
73,20010315,山东省,370000,潍坊市,370700,4.95254454246
74,20010316,山东省,370000,潍坊市,370700,6.08283664019
75,20010317,山东省,370000,潍坊市,370700,8.44828617878
76,20010318,山东省,370000,潍坊市,370700,12.2980077206
77,20010319,山东省,370000,潍坊市,370700,15.7624424421
78,20010320,山东省,370000,潍坊市,370700,14.8871851456
79,20010321,山东省,370000,潍坊市,370700,16.424717732
80,20010322,山东省,370000,潍坊市,370700,9.55466226431
81,20010323,山东省,370000,潍坊市,370700,10.9021620384
82,20010324,山东省,370000,潍坊市,370700,12.6935241895
83,20010325,山东省,370000,潍坊市,370700,5.97069349044
84,20010326,山东省,370000,潍坊市,370700,5.7863453107
85,20010327,山东省,370000,潍坊市,370700,0.113093925306
86,20010328,山东省,370000,潍坊市,370700,2.94323222454
87,20010329,山东省,370000,潍坊市,370700,8.77103213775
88,20010330,山东省,370000,潍坊市,370700,3.98118465986
89,20010331,山东省,370000,潍坊市,370700,6.68156524805
90,20010401,山东省,370000,潍坊市,370700,11.5621588047
91,20010402,山东省,370000,潍坊市,370700,9.0777264864
92,20010403,山东省,370000,潍坊市,370700,8.36692811281
93,20010404,山东省,370000,潍坊市,370700,11.4856023788
94,20010405,山东省,370000,潍坊市,370700,10.0889801612
95,20010406,山东省,370000,潍坊市,370700,9.12153001932
96,20010407,山东省,370000,潍坊市,370700,12.722844833
